Time Remaining,GENESEO,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
16:05,,,,,"MISS LAYUP by SPITZER,JAKOB",,,"MISS LAYUP by SPITZER,JAKOB",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
15:57,,10 (+6),,4,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE-M 10-4 (-6),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
15:48,"GOOD LAYUP by MANKE,JACK(in the paint)",12 (+8),,4,,GENESEO 12-4 (-8),,"GOOD LAYUP by MANKE,JACK(in the paint)",1
--,"ASSIST  by RINGEN,JUSTIN",,,,,,,"ASSIST  by RINGEN,JUSTIN",1
15:48,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
15:48,"MISS FT by MANKE,JACK",,,,,,,"MISS FT by MANKE,JACK",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
15:48,"SUB IN by EASTMAN,TOMMY",,,,,,,"SUB IN by EASTMAN,TOMMY",1
15:48,"SUB OUT by CROCKETT,KEVIN",,,,,,,"SUB OUT by CROCKETT,KEVIN",1
15:48,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:48,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
15:48,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
15:48,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
15:48,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
15:48,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
15:31,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by RINGEN,JUSTIN",,,,,,,"REBOUND DEF by RINGEN,JUSTIN",1
15:07,"GOOD JUMPER by RINGEN,JUSTIN(in the paint)",14 (+10),,4,,GENESEO 14-4 (-10),,"GOOD JUMPER by RINGEN,JUSTIN(in the paint)",1
--,"ASSIST  by MANKE,JACK",,,,,,,"ASSIST  by MANKE,JACK",1
14:46,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
14:37,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:35,"SUB IN by MENKHORST,JORDI",,,,,,,"SUB IN by MENKHORST,JORDI",1
14:35,"SUB OUT by MANKE,JACK",,,,,,,"SUB OUT by MANKE,JACK",1
14:35,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
14:35,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
14:31,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
14:31,"BLOCK  by EASTMAN,TOMMY",,,,,,,"BLOCK  by EASTMAN,TOMMY",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
14:08,,14 (+7),,7,"GOOD 3PTR by WALKER,ART",CENTRE-M 14-7 (-7),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
13:45,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
13:45,"GOOD FT by DECKER,JOHN",15 (+8),,7,,GENESEO 15-7 (-8),,"GOOD FT by DECKER,JOHN",1
13:45,"GOOD FT by DECKER,JOHN",16 (+9),,7,,GENESEO 16-7 (-9),,"GOOD FT by DECKER,JOHN",1
13:45,"SUB IN by CROCKETT,KEVIN",,,,,,,"SUB IN by CROCKETT,KEVIN",1
13:45,"SUB OUT by RINGEN,JUSTIN",,,,,,,"SUB OUT by RINGEN,JUSTIN",1
13:39,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
13:38,"STEAL  by EASTMAN,TOMMY",,,,,,,"STEAL  by EASTMAN,TOMMY",1
13:21,"MISS 3PTR by EASTMAN,TOMMY",,,,,,,"MISS 3PTR by EASTMAN,TOMMY",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
12:53,,16 (+7),,9,"GOOD JUMPER by WALKER,ART",CENTRE-M 16-9 (-7),,"GOOD JUMPER by WALKER,ART",1
12:41,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
12:41,"SUB IN by NICHOLS,TERRANCE",,,,,,,"SUB IN by NICHOLS,TERRANCE",1
12:41,"SUB OUT by EISENBERG,JACK",,,,,,,"SUB OUT by EISENBERG,JACK",1
12:33,"MISS 3PTR by NICHOLS,TERRANCE",,,,,,,"MISS 3PTR by NICHOLS,TERRANCE",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
12:22,,16 (+5),,11,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 16-11 (-5),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
12:09,"GOOD LAYUP by DECKER,JOHN(in the paint)",18 (+7),,11,,GENESEO 18-11 (-7),,"GOOD LAYUP by DECKER,JOHN(in the paint)",1
12:09,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
12:09,"GOOD FT by DECKER,JOHN",19 (+8),,11,,GENESEO 19-11 (-8),,"GOOD FT by DECKER,JOHN",1
12:09,"SUB IN by BURKE,CJ",,,,,,,"SUB IN by BURKE,CJ",1
12:09,"SUB OUT by CROCKETT,KEVIN",,,,,,,"SUB OUT by CROCKETT,KEVIN",1
12:09,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
12:09,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
12:00,,19 (+5),,14,"GOOD 3PTR by GRUBER,SAM",CENTRE-M 19-14 (-5),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
11:43,"GOOD 3PTR by DECKER,JOHN",22 (+8),,14,,GENESEO 22-14 (-8),,"GOOD 3PTR by DECKER,JOHN",1
11:16,,,,,"MISS LAYUP by SCHMUCKER,ZACH",,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,"REBOUND DEF by EASTMAN,TOMMY",,,,,,,"REBOUND DEF by EASTMAN,TOMMY",1
11:04,"MISS 3PTR by DECKER,JOHN",,,,,,,"MISS 3PTR by DECKER,JOHN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
10:49,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
10:44,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by NICHOLS,TERRANCE",,,,,,,"REBOUND DEF by NICHOLS,TERRANCE",1
10:36,"TURNOVER  by DECKER,JOHN",,,,,,,"TURNOVER  by DECKER,JOHN",1
10:36,"FOUL  by DECKER,JOHN",,,,,,,"FOUL  by DECKER,JOHN",1
10:36,"SUB IN by MANKE,JACK",,,,,,,"SUB IN by MANKE,JACK",1
10:36,"SUB IN by RINGEN,JUSTIN",,,,,,,"SUB IN by RINGEN,JUSTIN",1
10:36,"SUB OUT by EASTMAN,TOMMY",,,,,,,"SUB OUT by EASTMAN,TOMMY",1
10:36,"SUB OUT by MENKHORST,JORDI",,,,,,,"SUB OUT by MENKHORST,JORDI",1
10:36,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
10:36,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
10:36,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
10:36,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
10:25,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by BURKE,CJ",,,,,,,"REBOUND DEF by BURKE,CJ",1
10:16,"MISS 3PTR by NICHOLS,TERRANCE",,,,,,,"MISS 3PTR by NICHOLS,TERRANCE",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
10:07,"FOUL  by BURKE,CJ",,,,,,,"FOUL  by BURKE,CJ",1
10:07,,22 (+7),,15,"GOOD FT by AYERS,PERRY",CENTRE-M 22-15 (-7),,"GOOD FT by AYERS,PERRY",1
10:07,,22 (+6),,16,"GOOD FT by AYERS,PERRY",CENTRE-M 22-16 (-6),,"GOOD FT by AYERS,PERRY",1
10:07,"SUB IN by COHEN,JONATHAN",,,,,,,"SUB IN by COHEN,JONATHAN",1
10:07,"SUB IN by EISENBERG,JACK",,,,,,,"SUB IN by EISENBERG,JACK",1
10:07,"SUB OUT by DECKER,JOHN",,,,,,,"SUB OUT by DECKER,JOHN",1
10:07,"SUB OUT by NICHOLS,TERRANCE",,,,,,,"SUB OUT by NICHOLS,TERRANCE",1
10:07,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
10:07,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
09:49,"MISS LAYUP by EISENBERG,JACK",,,,,,,"MISS LAYUP by EISENBERG,JACK",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
09:27,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
--,"REBOUND DEF by RINGEN,JUSTIN",,,,,,,"REBOUND DEF by RINGEN,JUSTIN",1
09:20,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
09:20,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
09:20,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
09:18,"MISS JUMPER by RINGEN,JUSTIN",,,,,,,"MISS JUMPER by RINGEN,JUSTIN",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
08:58,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by EISENBERG,JACK",,,,,,,"REBOUND DEF by EISENBERG,JACK",1
08:31,"MISS 3PTR by COHEN,JONATHAN",,,,,,,"MISS 3PTR by COHEN,JONATHAN",1
--,"REBOUND OFF by MANKE,JACK",,,,,,,"REBOUND OFF by MANKE,JACK",1
08:28,"GOOD LAYUP by MANKE,JACK(in the paint)",24 (+8),,16,,GENESEO 24-16 (-8),,"GOOD LAYUP by MANKE,JACK(in the paint)",1
08:04,,24 (+6),,18,"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 24-18 (-6),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
07:34,"MISS 3PTR by RINGEN,JUSTIN",,,,,,,"MISS 3PTR by RINGEN,JUSTIN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
07:25,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
07:25,"BLOCK  by RINGEN,JUSTIN",,,,,,,"BLOCK  by RINGEN,JUSTIN",1
--,"REBOUND DEF by EISENBERG,JACK",,,,,,,"REBOUND DEF by EISENBERG,JACK",1
07:17,"TURNOVER  by MANKE,JACK",,,,,,,"TURNOVER  by MANKE,JACK",1
07:17,"FOUL  by MANKE,JACK",,,,,,,"FOUL  by MANKE,JACK",1
07:17,"SUB IN by CROCKETT,KEVIN",,,,,,,"SUB IN by CROCKETT,KEVIN",1
07:17,"SUB IN by DECKER,JOHN",,,,,,,"SUB IN by DECKER,JOHN",1
07:17,"SUB OUT by BURKE,CJ",,,,,,,"SUB OUT by BURKE,CJ",1
07:17,"SUB OUT by RINGEN,JUSTIN",,,,,,,"SUB OUT by RINGEN,JUSTIN",1
07:17,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
07:17,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
07:17,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
07:17,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
07:06,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
07:06,"BLOCK  by MANKE,JACK",,,,,,,"BLOCK  by MANKE,JACK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:58,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:41,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
06:41,"GOOD FT by DECKER,JOHN",25 (+7),,18,,GENESEO 25-18 (-7),,"GOOD FT by DECKER,JOHN",1
06:41,"GOOD FT by DECKER,JOHN",26 (+8),,18,,GENESEO 26-18 (-8),,"GOOD FT by DECKER,JOHN",1
06:41,"SUB IN by CROWLEY,SEAN",,,,,,,"SUB IN by CROWLEY,SEAN",1
06:41,"SUB OUT by MANKE,JACK",,,,,,,"SUB OUT by MANKE,JACK",1
06:41,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
06:41,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
06:41,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
06:41,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
06:22,,26 (+6),,20,"GOOD LAYUP by WALKER,ART(in the paint)",CENTRE-M 26-20 (-6),,"GOOD LAYUP by WALKER,ART(in the paint)",1
05:52,"GOOD 3PTR by CROCKETT,KEVIN",29 (+9),,20,,GENESEO 29-20 (-9),,"GOOD 3PTR by CROCKETT,KEVIN",1
--,"ASSIST  by DECKER,JOHN",,,,,,,"ASSIST  by DECKER,JOHN",1
05:28,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by CROCKETT,KEVIN",,,,,,,"REBOUND DEF by CROCKETT,KEVIN",1
05:18,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
05:18,"GOOD FT by COHEN,JONATHAN",30 (+10),,20,,GENESEO 30-20 (-10),,"GOOD FT by COHEN,JONATHAN",1
05:18,"MISS FT by COHEN,JONATHAN",,,,,,,"MISS FT by COHEN,JONATHAN",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
04:53,,30 (+8),,22,"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 30-22 (-8),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
04:36,"GOOD 3PTR by EISENBERG,JACK",33 (+11),,22,,GENESEO 33-22 (-11),,"GOOD 3PTR by EISENBERG,JACK",1
--,"ASSIST  by CROWLEY,SEAN",,,,,,,"ASSIST  by CROWLEY,SEAN",1
04:18,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by COHEN,JONATHAN",,,,,,,"REBOUND DEF by COHEN,JONATHAN",1
04:03,"GOOD LAYUP by CROWLEY,SEAN(in the paint)",35 (+13),,22,,GENESEO 35-22 (-13),,"GOOD LAYUP by CROWLEY,SEAN(in the paint)",1
03:46,"FOUL  by CROCKETT,KEVIN",,,,,,,"FOUL  by CROCKETT,KEVIN",1
03:46,"SUB IN by EASTMAN,TOMMY",,,,,,,"SUB IN by EASTMAN,TOMMY",1
03:46,"SUB OUT by COHEN,JONATHAN",,,,,,,"SUB OUT by COHEN,JONATHAN",1
03:46,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
03:46,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
03:46,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
03:46,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
03:43,,35 (+11),,24,"GOOD JUMPER by GUMP,MATT(in the paint)",CENTRE-M 35-24 (-11),,"GOOD JUMPER by GUMP,MATT(in the paint)",1
03:36,"TURNOVER  by DECKER,JOHN",,,,,,,"TURNOVER  by DECKER,JOHN",1
03:17,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by DECKER,JOHN",,,,,,,"REBOUND DEF by DECKER,JOHN",1
03:02,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
02:58,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
02:58,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
02:58,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
02:58,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
02:57,"GOOD FT by DECKER,JOHN",36 (+12),,24,,GENESEO 36-24 (-12),,"GOOD FT by DECKER,JOHN",1
02:57,"GOOD FT by DECKER,JOHN",37 (+13),,24,,GENESEO 37-24 (-13),,"GOOD FT by DECKER,JOHN",1
02:57,"SUB IN by RINGEN,JUSTIN",,,,,,,"SUB IN by RINGEN,JUSTIN",1
02:57,"SUB OUT by CROWLEY,SEAN",,,,,,,"SUB OUT by CROWLEY,SEAN",1
02:40,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by EASTMAN,TOMMY",,,,,,,"REBOUND DEF by EASTMAN,TOMMY",1
02:32,"MISS JUMPER by EISENBERG,JACK",,,,,,,"MISS JUMPER by EISENBERG,JACK",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
02:16,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
02:16,"BLOCK  by RINGEN,JUSTIN",,,,,,,"BLOCK  by RINGEN,JUSTIN",1
--,"REBOUND DEF by EISENBERG,JACK",,,,,,,"REBOUND DEF by EISENBERG,JACK",1
02:01,"GOOD JUMPER by CROCKETT,KEVIN",39 (+15),,24,,GENESEO 39-24 (-15),,"GOOD JUMPER by CROCKETT,KEVIN",1
01:44,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by DECKER,JOHN",,,,,,,"REBOUND DEF by DECKER,JOHN",1
01:36,"MISS 3PTR by DECKER,JOHN",,,,,,,"MISS 3PTR by DECKER,JOHN",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
01:29,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by EASTMAN,TOMMY",,,,,,,"REBOUND DEF by EASTMAN,TOMMY",1
01:07,"MISS LAYUP by RINGEN,JUSTIN",,,,,,,"MISS LAYUP by RINGEN,JUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:07,"SUB IN by COHEN,JONATHAN",,,,,,,"SUB IN by COHEN,JONATHAN",1
01:07,"SUB OUT by DECKER,JOHN",,,,,,,"SUB OUT by DECKER,JOHN",1
01:07,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
01:07,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
01:00,"GOOD 3PTR by EISENBERG,JACK",42 (+18),,24,,GENESEO 42-24 (-18),,"GOOD 3PTR by EISENBERG,JACK",1
--,"ASSIST  by RINGEN,JUSTIN",,,,,,,"ASSIST  by RINGEN,JUSTIN",1
00:32,"FOUL  by RINGEN,JUSTIN",,,,,,,"FOUL  by RINGEN,JUSTIN",1
00:32,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:32,"SUB IN by DECKER,JOHN",,,,,,,"SUB IN by DECKER,JOHN",1
00:32,"SUB OUT by EASTMAN,TOMMY",,,,,,,"SUB OUT by EASTMAN,TOMMY",1
00:32,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",1
00:32,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
00:31,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",1
--,"REBOUND DEF by RINGEN,JUSTIN",,,,,,,"REBOUND DEF by RINGEN,JUSTIN",1
00:05,"GOOD JUMPER by DECKER,JOHN",44 (+20),,24,,GENESEO 44-24 (-20),,"GOOD JUMPER by DECKER,JOHN",1
19:49,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
19:49,"GOOD FT by RINGEN,JUSTIN",45 (+21),,24,,GENESEO 45-24 (-21),,"GOOD FT by RINGEN,JUSTIN",2
19:49,"GOOD FT by RINGEN,JUSTIN",46 (+22),,24,,GENESEO 46-24 (-22),,"GOOD FT by RINGEN,JUSTIN",2
19:32,,46 (+19),,27,"GOOD 3PTR by GUMP,MATT",CENTRE-M 46-27 (-19),,"GOOD 3PTR by GUMP,MATT",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
19:01,"MISS 3PTR by DECKER,JOHN",,,,,,,"MISS 3PTR by DECKER,JOHN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:45,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND DEF by DECKER,JOHN",,,,,,,"REBOUND DEF by DECKER,JOHN",2
18:38,"GOOD JUMPER by RINGEN,JUSTIN",48 (+21),,27,,GENESEO 48-27 (-21),,"GOOD JUMPER by RINGEN,JUSTIN",2
18:16,,,,,"MISS LAYUP by SPITZER,JAKOB",,,"MISS LAYUP by SPITZER,JAKOB",2
--,"REBOUND DEF by MANKE,JACK",,,,,,,"REBOUND DEF by MANKE,JACK",2
17:59,"GOOD LAYUP by MANKE,JACK(in the paint)",50 (+23),,27,,GENESEO 50-27 (-23),,"GOOD LAYUP by MANKE,JACK(in the paint)",2
--,"ASSIST  by RINGEN,JUSTIN",,,,,,,"ASSIST  by RINGEN,JUSTIN",2
17:49,,50 (+20),,30,"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 50-30 (-20),,"GOOD 3PTR by RAKES,BAILEY",2
17:46,,,,,"FOUL TECH by RAKES,BAILEY",,,"FOUL TECH by RAKES,BAILEY",2
17:46,"GOOD FT by DECKER,JOHN",51 (+21),,30,,GENESEO 51-30 (-21),,"GOOD FT by DECKER,JOHN",2
17:46,"GOOD FT by DECKER,JOHN",52 (+22),,30,,GENESEO 52-30 (-22),,"GOOD FT by DECKER,JOHN",2
17:33,"GOOD LAYUP by EISENBERG,JACK(in the paint)",54 (+24),,30,,GENESEO 54-30 (-24),,"GOOD LAYUP by EISENBERG,JACK(in the paint)",2
17:20,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",2
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",2
17:16,,,,,"MISS LAYUP by SPITZER,JAKOB",,,"MISS LAYUP by SPITZER,JAKOB",2
--,"REBOUND DEF by MANKE,JACK",,,,,,,"REBOUND DEF by MANKE,JACK",2
17:11,"MISS JUMPER by RINGEN,JUSTIN",,,,,,,"MISS JUMPER by RINGEN,JUSTIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:11,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
17:11,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
17:01,,54 (+22),,32,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE-M 54-32 (-22),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
