Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:47,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
19:47,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
19:22,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
19:01,,0,,3 (+3),"GOOD 3PTR by BORN,CLAY",SEWANEE 0-3 (-3),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
18:49,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
18:49,"GOOD FT by SINE,TUCKER",1,,3 (+2),,CENTRE 1-3 (-2),,"GOOD FT by SINE,TUCKER",1
18:49,"GOOD FT by SINE,TUCKER",2,,3 (+1),,CENTRE 2-3 (-1),,"GOOD FT by SINE,TUCKER",1
18:38,,2,,5 (+3),"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 2-5 (-3),,"GOOD JUMPER by WILLIAMS,JORDEN",1
18:27,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
18:08,,2,,8 (+6),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 2-8 (-6),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by BORN,LEO",,,"ASSIST  by BORN,LEO",1
17:39,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
17:28,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
17:06,"MISS 3PTR by SPITZER,JAKOB",,,,,,,"MISS 3PTR by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
16:48,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
16:35,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",1
16:26,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
15:58,,2,,10 (+8),"GOOD JUMPER by BORN,LEO",SEWANEE 2-10 (-8),,"GOOD JUMPER by BORN,LEO",1
15:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:46,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
15:46,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
15:46,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
15:46,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
15:46,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
15:46,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
15:37,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
15:08,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
14:51,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
14:31,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
14:31,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
14:26,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
14:06,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
14:05,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
13:53,,2,,13 (+11),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 2-13 (-11),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
13:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:50,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
13:50,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
13:50,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
13:50,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
13:50,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
13:50,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
13:50,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
13:50,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
13:50,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
13:50,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
13:50,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
13:50,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
13:35,"GOOD 3PTR by WALKER,ART",5,,13 (+8),,CENTRE 5-13 (-8),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
13:19,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
13:18,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
13:06,"GOOD JUMPER by WALKER,ART",7,,13 (+6),,CENTRE 7-13 (-6),,"GOOD JUMPER by WALKER,ART",1
12:45,,,,,"MISS 3PTR by LEE,MATTHEW",,,"MISS 3PTR by LEE,MATTHEW",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
12:15,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
12:15,,,,,"BLOCK  by CRUMLY,JONNY",,,"BLOCK  by CRUMLY,JONNY",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
12:10,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
11:53,,7,,16 (+9),"GOOD 3PTR by BARRY,MICHAEL",SEWANEE 7-16 (-9),,"GOOD 3PTR by BARRY,MICHAEL",1
11:29,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
11:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:29,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
11:29,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
11:29,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
11:29,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
11:29,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:29,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
11:29,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
11:29,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
11:29,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
11:29,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
11:29,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
11:29,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:29,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
11:29,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
11:29,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
11:29,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
11:29,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
11:29,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
11:24,"GOOD JUMPER by SPITZER,JAKOB",9,,16 (+7),,CENTRE 9-16 (-7),,"GOOD JUMPER by SPITZER,JAKOB",1
10:55,,9,,18 (+9),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 9-18 (-9),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
10:41,"TURNOVER  by GRUBER,SAM",,,,,,,"TURNOVER  by GRUBER,SAM",1
10:40,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
10:34,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
10:25,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
09:57,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:36,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
09:11,,9,,21 (+12),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 9-21 (-12),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1
08:49,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
08:49,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
08:49,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
08:49,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
08:49,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
08:49,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
08:49,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
08:49,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
08:49,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
08:43,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
08:21,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
07:55,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
07:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:55,"GOOD FT by RAKES,BAILEY",10,,21 (+11),,CENTRE 10-21 (-11),,"GOOD FT by RAKES,BAILEY",1
07:55,"GOOD FT by RAKES,BAILEY",11,,21 (+10),,CENTRE 11-21 (-10),,"GOOD FT by RAKES,BAILEY",1
07:55,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
07:55,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
07:55,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
