Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:43,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND DEF by SPALDING,TANNER",,,"REBOUND DEF by SPALDING,TANNER",1
19:30,,,,,"MISS LAYUP by SPALDING,TANNER",,,"MISS LAYUP by SPALDING,TANNER",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
19:17,"GOOD 3PTR by GRIFFIN,JAROD",3 (+3),,0,,CENTRE-M 3-0 (+3),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
19:04,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",1
18:47,"GOOD 3PTR by SINE,TUCKER",6 (+6),,0,,CENTRE-M 6-0 (+6),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
18:34,,,,,"MISS LAYUP by JONES,BLAKE",,,"MISS LAYUP by JONES,BLAKE",1
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",1
18:30,,6 (+4),,2,"GOOD LAYUP by KORN,LUKAS(in the paint)",BCM 6-2 (+4),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1
18:12,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",8 (+6),,2,,CENTRE-M 8-2 (+6),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
18:01,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
18:01,,8 (+5),,3,"GOOD FT by KORN,LUKAS",BCM 8-3 (+5),,"GOOD FT by KORN,LUKAS",1
18:01,,,,,"MISS FT by KORN,LUKAS",,,"MISS FT by KORN,LUKAS",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
17:45,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
17:44,,,,,"STEAL  by KORN,LUKAS",,,"STEAL  by KORN,LUKAS",1
17:40,,8 (+3),,5,"GOOD LAYUP by SPALDING,TANNER(in the paint)",BCM 8-5 (+3),,"GOOD LAYUP by SPALDING,TANNER(in the paint)",1
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",1
17:22,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",1
17:01,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",1
17:01,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:01,"GOOD FT by SPITZER,JAKOB",9 (+4),,5,,CENTRE-M 9-5 (+4),,"GOOD FT by SPITZER,JAKOB",1
17:01,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
17:01,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
16:47,,,,,"TURNOVER  by KORN,LUKAS",,,"TURNOVER  by KORN,LUKAS",1
16:46,"STEAL  by SPITZER,JAKOB",,,,,,,"STEAL  by SPITZER,JAKOB",1
16:40,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",11 (+6),,5,,CENTRE-M 11-5 (+6),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
16:25,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
16:06,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
16:06,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
15:57,"GOOD JUMPER by RAKES,BAILEY",13 (+8),,5,,CENTRE-M 13-5 (+8),,"GOOD JUMPER by RAKES,BAILEY",1
15:40,,,,,"MISS JUMPER by DENBESTEN,COLE",,,"MISS JUMPER by DENBESTEN,COLE",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
15:38,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
15:38,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
15:31,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",1
15:31,"BLOCK  by SPITZER,JAKOB",,,,,,,"BLOCK  by SPITZER,JAKOB",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
15:10,"GOOD LAYUP by AYERS,PERRY(in the paint)",15 (+10),,5,,CENTRE-M 15-5 (+10),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
15:01,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
15:01,,15 (+9),,6,"GOOD FT by MARDER,NICK",BCM 15-6 (+9),,"GOOD FT by MARDER,NICK",1
15:01,,,,,"MISS FT by MARDER,NICK",,,"MISS FT by MARDER,NICK",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
15:01,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
15:01,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:01,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
15:01,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:36,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
14:36,"MISS FT by SCHMUCKER,ZACH",,,,,,,"MISS FT by SCHMUCKER,ZACH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:36,"MISS FT by SCHMUCKER,ZACH",,,,,,,"MISS FT by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by SPALDING,TANNER",,,"REBOUND DEF by SPALDING,TANNER",1
14:36,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
14:36,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
14:20,,15 (+7),,8,"GOOD LAYUP by MARDER,NICK(in the paint)",BCM 15-8 (+7),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
13:59,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
13:59,"GOOD FT by AYERS,PERRY",16 (+8),,8,,CENTRE-M 16-8 (+8),,"GOOD FT by AYERS,PERRY",1
13:59,"GOOD FT by AYERS,PERRY",17 (+9),,8,,CENTRE-M 17-8 (+9),,"GOOD FT by AYERS,PERRY",1
13:59,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
