Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
11:21,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
10:57,"GOOD JUMPER by PERKINS,ALEX(in the paint)",20 (+7),,13,,BSC 20-13 (-7),,"GOOD JUMPER by PERKINS,ALEX(in the paint)",1
10:32,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
10:22,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",1
10:22,,,,,"BLOCK  by SPITZER,JAKOB",,,"BLOCK  by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
10:19,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
10:19,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
10:19,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
10:19,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
10:19,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
10:19,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
10:19,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
10:19,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
10:19,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
10:19,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
10:03,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
10:03,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:03,,20 (+6),,14,"GOOD FT by GUMP,MATT",CEN 20-14 (-6),,"GOOD FT by GUMP,MATT",1
10:03,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
10:03,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
09:44,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
09:44,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
09:44,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
09:44,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
09:44,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
09:39,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
09:39,"GOOD FT by MCLEAN,JAMES",21 (+7),,14,,BSC 21-14 (-7),,"GOOD FT by MCLEAN,JAMES",1
09:39,"GOOD FT by MCLEAN,JAMES",22 (+8),,14,,BSC 22-14 (-8),,"GOOD FT by MCLEAN,JAMES",1
09:26,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
09:24,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
09:10,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
09:09,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",1
09:02,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
09:02,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",1
08:50,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
08:41,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
08:27,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",24 (+10),,14,,BSC 24-14 (-10),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
08:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:25,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
08:25,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
08:25,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
08:25,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
08:25,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
08:25,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
08:25,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
08:25,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
08:25,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
08:25,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
08:25,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
08:09,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
07:56,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
07:44,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",1
07:44,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,"REBOUND OFF by LEWIS,EVAN",,,,,,,"REBOUND OFF by LEWIS,EVAN",1
07:42,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
07:42,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:42,"GOOD FT by LEWIS,EVAN",25 (+11),,14,,BSC 25-14 (-11),,"GOOD FT by LEWIS,EVAN",1
07:42,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
07:42,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
07:42,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
07:42,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
07:42,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
07:42,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
07:42,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
07:42,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
07:42,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
07:42,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
07:31,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
07:21,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
07:21,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
07:21,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
07:21,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
07:21,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
07:21,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
07:21,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
07:21,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
07:21,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
07:21,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
07:21,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
07:05,,25 (+9),,16,"GOOD LAYUP by BATES,JACOB(in the paint)",CEN 25-16 (-9),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
06:52,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
06:46,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
06:46,,25 (+8),,17,"GOOD FT by AYERS,PERRY",CEN 25-17 (-8),,"GOOD FT by AYERS,PERRY",1
06:46,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",1
--,"REBOUND DEF by HARDIMAN,BEN",,,,,,,"REBOUND DEF by HARDIMAN,BEN",1
06:36,"GOOD 3PTR by BAK,CALVIN",28 (+11),,17,,BSC 28-17 (-11),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by MURPHY,JUWAN",,,,,,,"ASSIST  by MURPHY,JUWAN",1
06:31,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
06:31,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
06:16,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1
06:16,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:16,,28 (+10),,18,"GOOD FT by AYERS,PERRY",CEN 28-18 (-10),,"GOOD FT by AYERS,PERRY",1
06:16,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
06:16,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
06:00,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
05:47,,28 (+7),,21,"GOOD 3PTR by SINE,TUCKER",CEN 28-21 (-7),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
05:31,"MISS 3PTR by MURPHY,JUWAN",,,,,,,"MISS 3PTR by MURPHY,JUWAN",1
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",1
05:26,"TURNOVER  by GRAHAM,CHRIS",,,,,,,"TURNOVER  by GRAHAM,CHRIS",1
05:26,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
05:26,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
05:26,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
05:26,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
05:26,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
05:26,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
05:26,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
05:26,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
05:26,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
05:26,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
05:26,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
05:16,,28 (+5),,23,"GOOD LAYUP by RAKES,BAILEY(in the paint)",CEN 28-23 (-5),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
05:06,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
04:59,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:57,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
04:57,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
04:57,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
04:57,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
04:46,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
04:38,,28 (+3),,25,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",CEN 28-25 (-3),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
04:23,"GOOD 3PTR by LEWIS,EVAN",31 (+6),,25,,BSC 31-25 (-6),,"GOOD 3PTR by LEWIS,EVAN",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
04:02,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
04:02,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
