Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CWR-M,Game Score,Team Indicator,Play,Period
19:42,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2 (+2),,0,,CENTRE-M 2-0 (+2),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
19:16,,2,,3 (+1),"GOOD 3PTR by BLACK,DAVID",CWR-M 2-3 (-1),,"GOOD 3PTR by BLACK,DAVID",1
--,,,,,"ASSIST  by HANSEN,SAM",,,"ASSIST  by HANSEN,SAM",1
18:51,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by HANSEN,SAM",,,"REBOUND DEF by HANSEN,SAM",1
18:30,,,,,"MISS 3PTR by BLACK,DAVID",,,"MISS 3PTR by BLACK,DAVID",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
18:03,"GOOD 3PTR by GRIFFIN,JAROD",5 (+2),,3,,CENTRE-M 5-3 (+2),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
17:42,,,,,"MISS LAYUP by DUCKETT,TJ",,,"MISS LAYUP by DUCKETT,TJ",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
17:18,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by BLACK,DAVID",,,"REBOUND DEF by BLACK,DAVID",1
16:59,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
16:59,,5 (+1),,4,"GOOD FT by BLACK,DAVID",CWR-M 5-4 (+1),,"GOOD FT by BLACK,DAVID",1
16:59,,5,,5,"GOOD FT by BLACK,DAVID",CWR-M 5-5 (0),,"GOOD FT by BLACK,DAVID",1
16:40,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",7 (+2),,5,,CENTRE-M 7-5 (+2),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
16:40,,,,,"SUB IN by NALLY,CONNOR",,,"SUB IN by NALLY,CONNOR",1
16:40,,,,,"SUB IN by SINACOLA,JON PAUL",,,"SUB IN by SINACOLA,JON PAUL",1
16:40,,,,,"SUB IN by BLACK,ERIC",,,"SUB IN by BLACK,ERIC",1
16:40,,,,,"SUB IN by ALOI,NICK",,,"SUB IN by ALOI,NICK",1
16:40,,,,,"SUB IN by LAVIS,JAKE",,,"SUB IN by LAVIS,JAKE",1
16:40,,,,,"SUB OUT by DUCKETT,TJ",,,"SUB OUT by DUCKETT,TJ",1
16:40,,,,,"SUB OUT by HANSEN,SAM",,,"SUB OUT by HANSEN,SAM",1
16:40,,,,,"SUB OUT by BLACK,DAVID",,,"SUB OUT by BLACK,DAVID",1
16:40,,,,,"SUB OUT by ZUCKER,COLIN",,,"SUB OUT by ZUCKER,COLIN",1
16:40,,,,,"SUB OUT by ALVAREZ,JAVIER",,,"SUB OUT by ALVAREZ,JAVIER",1
