Time Remaining,FCMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:30,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",1
19:04,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2 (+2),,0,,FCMBB 2-0 (-2),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",1
18:43,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
18:18,"MISS 3PTR by MCCORY,BRETT",,,,,,,"MISS 3PTR by MCCORY,BRETT",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
18:16,"FOUL  by MCCORY,BRETT",,,,,,,"FOUL  by MCCORY,BRETT",1
18:01,,2,,2,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 2-2 (0),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
17:48,"MISS LAYUP by BEINEKE,JOHN",,,,,,,"MISS LAYUP by BEINEKE,JOHN",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
17:42,,2,,5 (+3),"GOOD 3PTR by GRIFFIN,JAROD(fastbreak)",CENTRE-M 2-5 (+3),,"GOOD 3PTR by GRIFFIN,JAROD(fastbreak)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
17:22,"MISS JUMPER by MANN,AARON",,,,,,,"MISS JUMPER by MANN,AARON",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
17:15,,2,,7 (+5),"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",CENTRE-M 2-7 (+5),,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",1
17:00,"TURNOVER  by MCCORY,BRETT",,,,,,,"TURNOVER  by MCCORY,BRETT",1
16:47,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
16:36,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",4,,7 (+3),,FCMBB 4-7 (+3),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",1
16:36,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
16:36,"GOOD FT by BEINEKE,JOHN",5,,7 (+2),,FCMBB 5-7 (+2),,"GOOD FT by BEINEKE,JOHN",1
16:22,,5,,9 (+4),"GOOD JUMPER by GRIFFIN,JAROD",CENTRE-M 5-9 (+4),,"GOOD JUMPER by GRIFFIN,JAROD",1
16:02,"MISS JUMPER by OAKLEY,BLAKE",,,,,,,"MISS JUMPER by OAKLEY,BLAKE",1
16:02,,,,,"BLOCK  by SPITZER,JAKOB",,,"BLOCK  by SPITZER,JAKOB",1
--,"REBOUND OFF by BEINEKE,JOHN",,,,,,,"REBOUND OFF by BEINEKE,JOHN",1
15:56,"MISS 3PTR by MANN,AARON",,,,,,,"MISS 3PTR by MANN,AARON",1
