Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,BEREA,Game Score,Team Indicator,Play,Period
19:42,,0,,2 (+2),"GOOD LAYUP by BIZZLE-BROWN,DYONTA(in the paint)",BEREA 0-2 (-2),,"GOOD LAYUP by BIZZLE-BROWN,DYONTA(in the paint)",1
--,,,,,"ASSIST  by WISE,COREY",,,"ASSIST  by WISE,COREY",1
19:23,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1
19:23,,,,,"BLOCK  by BIZZLE-BROWN,DYONTA",,,"BLOCK  by BIZZLE-BROWN,DYONTA",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
19:14,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
18:52,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by MYRKS,ANTHONY",,,"REBOUND DEF by MYRKS,ANTHONY",1
18:44,,0,,4 (+4),"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",BEREA 0-4 (-4),,"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",1
18:37,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by MYRKS,ANTHONY",,,"REBOUND DEF by MYRKS,ANTHONY",1
18:26,,,,,"MISS LAYUP by MYRKS,ANTHONY",,,"MISS LAYUP by MYRKS,ANTHONY",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
18:19,"GOOD 3PTR by RAKES,BAILEY",3,,4 (+1),,CENTRE 3-4 (-1),,"GOOD 3PTR by RAKES,BAILEY",1
--,"ASSIST  by SPITZER,JAKOB",,,,,,,"ASSIST  by SPITZER,JAKOB",1
18:08,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
18:08,,3,,5 (+2),"GOOD FT by BIZZLE-BROWN,DYONTA",BEREA 3-5 (-2),,"GOOD FT by BIZZLE-BROWN,DYONTA",1
18:08,,3,,6 (+3),"GOOD FT by BIZZLE-BROWN,DYONTA",BEREA 3-6 (-3),,"GOOD FT by BIZZLE-BROWN,DYONTA",1
17:48,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
17:48,,,,,"BLOCK  by BIZZLE-BROWN,DYONTA",,,"BLOCK  by BIZZLE-BROWN,DYONTA",1
--,,,,,"REBOUND DEF by WISE,COREY",,,"REBOUND DEF by WISE,COREY",1
17:39,,3,,8 (+5),"GOOD JUMPER by WISE,COREY",BEREA 3-8 (-5),,"GOOD JUMPER by WISE,COREY",1
17:16,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",1
17:12,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
17:00,,3,,10 (+7),"GOOD JUMPER by HINTON,GABE(in the paint)",BEREA 3-10 (-7),,"GOOD JUMPER by HINTON,GABE(in the paint)",1
17:00,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
17:00,,3,,11 (+8),"GOOD FT by HINTON,GABE",BEREA 3-11 (-8),,"GOOD FT by HINTON,GABE",1
17:00,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
17:00,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
17:00,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",1
17:00,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",1
16:44,"GOOD JUMPER by RAKES,BAILEY",5,,11 (+6),,CENTRE 5-11 (-6),,"GOOD JUMPER by RAKES,BAILEY",1
16:18,,5,,13 (+8),"GOOD JUMPER by MYRKS,ANTHONY(in the paint)",BEREA 5-13 (-8),,"GOOD JUMPER by MYRKS,ANTHONY(in the paint)",1
16:13,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
16:13,,,,,"MISS FT by MYRKS,ANTHONY",,,"MISS FT by MYRKS,ANTHONY",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
16:08,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
16:08,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
15:55,,,,,"FOUL  by BIZZLE-BROWN,DYONTA",,,"FOUL  by BIZZLE-BROWN,DYONTA",1
15:55,"MISS FT by SCHMUCKER,ZACH",,,,,,,"MISS FT by SCHMUCKER,ZACH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:55,"GOOD FT by SCHMUCKER,ZACH",6,,13 (+7),,CENTRE 6-13 (-7),,"GOOD FT by SCHMUCKER,ZACH",1
15:55,,,,,"SUB IN by MILLER,TERIQUE",,,"SUB IN by MILLER,TERIQUE",1
15:55,,,,,"SUB OUT by MYRKS,ANTHONY",,,"SUB OUT by MYRKS,ANTHONY",1
15:46,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
15:26,"GOOD 3PTR by GRUBER,SAM",9,,13 (+4),,CENTRE 9-13 (-4),,"GOOD 3PTR by GRUBER,SAM",1
