Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
19:43,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
19:26,,0,,2 (+2),"GOOD JUMPER by NOKES,COLT(in the paint)",MVCM 0-2 (-2),,"GOOD JUMPER by NOKES,COLT(in the paint)",1
--,,,,,"ASSIST  by SPICER,TYLER",,,"ASSIST  by SPICER,TYLER",1
19:26,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
19:26,,,,,"MISS FT by NOKES,COLT",,,"MISS FT by NOKES,COLT",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
19:25,,,,,"FOUL  by SPICER,TYLER",,,"FOUL  by SPICER,TYLER",1
19:14,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
19:00,,,,,"MISS 3PTR by BOWYER,JAY",,,"MISS 3PTR by BOWYER,JAY",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
18:45,"GOOD JUMPER by GUMP,MATT",2,,2,,CENTRE-M 2-2 (0),,"GOOD JUMPER by GUMP,MATT",1
18:33,,,,,"MISS JUMPER by GARCIA,EMANUELLE",,,"MISS JUMPER by GARCIA,EMANUELLE",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
18:22,"GOOD LAYUP by AYERS,PERRY(in the paint)",4 (+2),,2,,CENTRE-M 4-2 (+2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
18:07,,,,,"MISS 3PTR by BOWYER,JAY",,,"MISS 3PTR by BOWYER,JAY",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
17:54,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND DEF by BOWYER,JAY",,,"REBOUND DEF by BOWYER,JAY",1
17:46,,4,,5 (+1),"GOOD 3PTR by SPICER,TYLER",MVCM 4-5 (-1),,"GOOD 3PTR by SPICER,TYLER",1
--,,,,,"ASSIST  by BOWYER,JAY",,,"ASSIST  by BOWYER,JAY",1
17:12,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
17:11,,,,,"STEAL  by BOWYER,JAY",,,"STEAL  by BOWYER,JAY",1
17:05,,4,,7 (+3),"GOOD LAYUP by NOKES,COLT(in the paint)",MVCM 4-7 (-3),,"GOOD LAYUP by NOKES,COLT(in the paint)",1
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",1
16:47,"GOOD LAYUP by AYERS,PERRY(in the paint)",6,,7 (+1),,CENTRE-M 6-7 (-1),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
16:29,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
16:20,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
16:20,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
16:09,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by SPICER,TYLER",,,"REBOUND DEF by SPICER,TYLER",1
15:57,,,,,"TURNOVER  by SPICER,TYLER",,,"TURNOVER  by SPICER,TYLER",1
15:56,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
15:52,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND DEF by SPICER,TYLER",,,"REBOUND DEF by SPICER,TYLER",1
15:45,,6,,9 (+3),"GOOD LAYUP by BOWYER,JAY(fastbreak)(in the paint)",MVCM 6-9 (-3),,"GOOD LAYUP by BOWYER,JAY(fastbreak)(in the paint)",1
15:26,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
15:23,"GOOD LAYUP by SINE,TUCKER(in the paint)",8,,9 (+1),,CENTRE-M 8-9 (-1),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
