Time Remaining,SUMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:34,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
19:32,"STEAL  by ELLIS,DOMINIQUE",,,,,,,"STEAL  by ELLIS,DOMINIQUE",1
19:17,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:04,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",1
18:59,,,,,"MISS TIPIN by SPITZER,JAKOB",,,"MISS TIPIN by SPITZER,JAKOB",1
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",1
18:44,"MISS 3PTR by ROWE,RYLAN",,,,,,,"MISS 3PTR by ROWE,RYLAN",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
18:41,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
18:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
18:28,"TURNOVER  by TRISKO,NICK",,,,,,,"TURNOVER  by TRISKO,NICK",1
18:08,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
17:59,"MISS 3PTR by WALLACE,KEITH",,,,,,,"MISS 3PTR by WALLACE,KEITH",1
--,"REBOUND OFF by ROWE,RYLAN",,,,,,,"REBOUND OFF by ROWE,RYLAN",1
17:54,"GOOD LAYUP by ROWE,RYLAN(in the paint)",2 (+2),,0,,SUMB 2-0 (-2),,"GOOD LAYUP by ROWE,RYLAN(in the paint)",1
17:36,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
17:16,"MISS 3PTR by ROWE,RYLAN",,,,,,,"MISS 3PTR by ROWE,RYLAN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
17:06,,2,,3 (+1),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 2-3 (+1),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
16:39,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
16:39,"MISS FT by TRISKO,NICK",,,,,,,"MISS FT by TRISKO,NICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:39,"GOOD FT by TRISKO,NICK",3,,3,,SUMB 3-3 (0),,"GOOD FT by TRISKO,NICK",1
16:39,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
16:39,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
16:39,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
16:39,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
16:39,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
16:39,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
16:22,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",1
16:08,"GOOD JUMPER by TURNER,JAMES",5 (+2),,3,,SUMB 5-3 (-2),,"GOOD JUMPER by TURNER,JAMES",1
--,"ASSIST  by TRISKO,NICK",,,,,,,"ASSIST  by TRISKO,NICK",1
15:52,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",1
15:51,"STEAL  by TURNER,JAMES",,,,,,,"STEAL  by TURNER,JAMES",1
15:48,"GOOD DUNK by TURNER,JAMES(fastbreak)(in the paint)",7 (+4),,3,,SUMB 7-3 (-4),,"GOOD DUNK by TURNER,JAMES(fastbreak)(in the paint)",1
15:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:37,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
--,"REBOUND DEF by WALLACE,KEITH",,,,,,,"REBOUND DEF by WALLACE,KEITH",1
15:30,"MISS 3PTR by TRISKO,NICK",,,,,,,"MISS 3PTR by TRISKO,NICK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:11,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
15:09,"STEAL  by TURNER,JAMES",,,,,,,"STEAL  by TURNER,JAMES",1
15:06,"MISS LAYUP by TURNER,JAMES",,,,,,,"MISS LAYUP by TURNER,JAMES",1
--,"REBOUND OFF by ELLIS,DOMINIQUE",,,,,,,"REBOUND OFF by ELLIS,DOMINIQUE",1
14:55,"GOOD TIPIN by ELLIS,DOMINIQUE(in the paint)",9 (+6),,3,,SUMB 9-3 (-6),,"GOOD TIPIN by ELLIS,DOMINIQUE(in the paint)",1
14:39,"FOUL  by WALLACE,KEITH",,,,,,,"FOUL  by WALLACE,KEITH",1
14:39,"SUB IN by KENNEDY,DEMARCUS",,,,,,,"SUB IN by KENNEDY,DEMARCUS",1
14:39,"SUB OUT by WALLACE,KEITH",,,,,,,"SUB OUT by WALLACE,KEITH",1
14:39,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
14:39,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
14:33,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:15,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
14:15,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
14:15,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:45,"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",11 (+8),,3,,SUMB 11-3 (-8),,"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",1
13:28,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
13:28,"SUB IN by ABRAMS,JAMES",,,,,,,"SUB IN by ABRAMS,JAMES",1
13:28,"SUB OUT by TRISKO,NICK",,,,,,,"SUB OUT by TRISKO,NICK",1
13:28,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
13:28,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
13:09,"TURNOVER  by ROWE,RYLAN",,,,,,,"TURNOVER  by ROWE,RYLAN",1
12:57,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",1
12:57,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
12:57,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
12:44,"GOOD 3PTR by TURNER,JAMES",14 (+11),,3,,SUMB 14-3 (-11),,"GOOD 3PTR by TURNER,JAMES",1
--,"ASSIST  by ROWE,RYLAN",,,,,,,"ASSIST  by ROWE,RYLAN",1
12:21,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by ABRAMS,JAMES",,,,,,,"REBOUND DEF by ABRAMS,JAMES",1
12:11,"TURNOVER  by ROWE,RYLAN",,,,,,,"TURNOVER  by ROWE,RYLAN",1
12:11,"SUB IN by WALLACE,KEITH",,,,,,,"SUB IN by WALLACE,KEITH",1
12:11,"SUB IN by TRISKO,NICK",,,,,,,"SUB IN by TRISKO,NICK",1
12:11,"SUB OUT by KENNEDY,DEMARCUS",,,,,,,"SUB OUT by KENNEDY,DEMARCUS",1
12:11,"SUB OUT by ABRAMS,JAMES",,,,,,,"SUB OUT by ABRAMS,JAMES",1
12:11,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
12:11,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
11:58,,14 (+9),,5,"GOOD JUMPER by WALKER,ART",CENTRE-M 14-5 (-9),,"GOOD JUMPER by WALKER,ART",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
11:24,"MISS 3PTR by MUMPHREY,OWEN",,,,,,,"MISS 3PTR by MUMPHREY,OWEN",1
11:24,,,,,"BLOCK  by AYERS,PERRY",,,"BLOCK  by AYERS,PERRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:24,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
11:24,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:24,"SUB IN by KENNEDY,DEMARCUS",,,,,,,"SUB IN by KENNEDY,DEMARCUS",1
11:24,"SUB IN by MUMPHREY,OWEN",,,,,,,"SUB IN by MUMPHREY,OWEN",1
11:24,"SUB IN by RAINEY,WILL",,,,,,,"SUB IN by RAINEY,WILL",1
11:24,"SUB IN by ABRAMS,JAMES",,,,,,,"SUB IN by ABRAMS,JAMES",1
11:24,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
11:24,"SUB OUT by WALLACE,KEITH",,,,,,,"SUB OUT by WALLACE,KEITH",1
11:24,"SUB OUT by ROWE,RYLAN",,,,,,,"SUB OUT by ROWE,RYLAN",1
11:24,"SUB OUT by TRISKO,NICK",,,,,,,"SUB OUT by TRISKO,NICK",1
11:24,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
11:24,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
11:04,"FOUL  by MUMPHREY,OWEN",,,,,,,"FOUL  by MUMPHREY,OWEN",1
11:01,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by KENNEDY,DEMARCUS",,,,,,,"REBOUND DEF by KENNEDY,DEMARCUS",1
10:45,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
10:45,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
10:45,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
10:41,"MISS 3PTR by RAINEY,WILL",,,,,,,"MISS 3PTR by RAINEY,WILL",1
--,"REBOUND OFF by ABRAMS,JAMES",,,,,,,"REBOUND OFF by ABRAMS,JAMES",1
10:41,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
10:38,"GOOD 3PTR by RAINEY,WILL",17 (+12),,5,,SUMB 17-5 (-12),,"GOOD 3PTR by RAINEY,WILL",1
--,"ASSIST  by MUMPHREY,OWEN",,,,,,,"ASSIST  by MUMPHREY,OWEN",1
10:19,"FOUL  by ABRAMS,JAMES",,,,,,,"FOUL  by ABRAMS,JAMES",1
10:19,,17 (+11),,6,"GOOD FT by BATES,JACOB",CENTRE-M 17-6 (-11),,"GOOD FT by BATES,JACOB",1
10:19,,17 (+10),,7,"GOOD FT by BATES,JACOB",CENTRE-M 17-7 (-10),,"GOOD FT by BATES,JACOB",1
10:19,"SUB IN by TRISKO,NICK",,,,,,,"SUB IN by TRISKO,NICK",1
10:19,"SUB OUT by ABRAMS,JAMES",,,,,,,"SUB OUT by ABRAMS,JAMES",1
09:58,"TURNOVER  by TRISKO,NICK",,,,,,,"TURNOVER  by TRISKO,NICK",1
09:58,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
09:58,"SUB IN by ROWE,RYLAN",,,,,,,"SUB IN by ROWE,RYLAN",1
09:58,"SUB IN by WALLACE,KEITH",,,,,,,"SUB IN by WALLACE,KEITH",1
09:58,"SUB OUT by KENNEDY,DEMARCUS",,,,,,,"SUB OUT by KENNEDY,DEMARCUS",1
09:58,"SUB OUT by MUMPHREY,OWEN",,,,,,,"SUB OUT by MUMPHREY,OWEN",1
09:58,"SUB OUT by RAINEY,WILL",,,,,,,"SUB OUT by RAINEY,WILL",1
09:49,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
09:42,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND OFF by WALLACE,KEITH",,,,,,,"REBOUND OFF by WALLACE,KEITH",1
09:36,"MISS 3PTR by WALLACE,KEITH",,,,,,,"MISS 3PTR by WALLACE,KEITH",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
09:35,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
09:12,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by TRISKO,NICK",,,,,,,"REBOUND DEF by TRISKO,NICK",1
08:56,"TURNOVER  by WALLACE,KEITH",,,,,,,"TURNOVER  by WALLACE,KEITH",1
08:55,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
08:30,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by TRISKO,NICK",,,,,,,"REBOUND DEF by TRISKO,NICK",1
08:20,"MISS LAYUP by TRISKO,NICK",,,,,,,"MISS LAYUP by TRISKO,NICK",1
--,"REBOUND OFF by TRISKO,NICK",,,,,,,"REBOUND OFF by TRISKO,NICK",1
08:17,"GOOD TIPIN by TRISKO,NICK(in the paint)",19 (+12),,7,,SUMB 19-7 (-12),,"GOOD TIPIN by TRISKO,NICK(in the paint)",1
08:05,,19 (+10),,9,"GOOD JUMPER by RAKES,BAILEY(in the paint)",CENTRE-M 19-9 (-10),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",1
07:45,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
