Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
15:26,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
15:26,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
15:13,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
15:09,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
15:00,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
15:00,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
14:43,,,,,"MISS JUMPER by GARDNER,ROBERT",,,"MISS JUMPER by GARDNER,ROBERT",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
14:28,"GOOD 3PTR by RAKES,BAILEY",11 (+7),,4,,CENTRE-M 11-4 (+7),,"GOOD 3PTR by RAKES,BAILEY",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
14:11,,,,,"MISS 3PTR by COLEMAN,DANIEL",,,"MISS 3PTR by COLEMAN,DANIEL",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
14:04,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
14:04,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:04,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
14:04,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
13:42,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
13:42,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",1
13:30,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
13:18,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",1
13:09,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
13:09,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
13:09,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
13:09,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
13:09,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
12:42,,,,,"MISS JUMPER by MANCUSO,LOGAN",,,"MISS JUMPER by MANCUSO,LOGAN",1
12:42,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND OFF by MANCUSO,LOGAN",,,"REBOUND OFF by MANCUSO,LOGAN",1
12:35,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",1
12:35,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
12:29,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",1
12:29,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
12:29,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
12:29,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
12:29,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
12:29,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
12:29,,,,,"SUB IN by BURT,DERRICK",,,"SUB IN by BURT,DERRICK",1
12:29,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
12:29,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
12:21,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
12:12,,11 (+4),,7,"GOOD 3PTR by KOHNKE,SAM",MMB 11-7 (+4),,"GOOD 3PTR by KOHNKE,SAM",1
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",1
11:55,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
11:55,,,,,"BLOCK  by MANCUSO,LOGAN",,,"BLOCK  by MANCUSO,LOGAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:52,"GOOD JUMPER by SINE,TUCKER",13 (+6),,7,,CENTRE-M 13-7 (+6),,"GOOD JUMPER by SINE,TUCKER",1
11:36,,,,,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1
11:35,"STEAL  by GRUBER,SAM",,,,,,,"STEAL  by GRUBER,SAM",1
11:33,"GOOD LAYUP by GRUBER,SAM(fastbreak)(in the paint)",15 (+8),,7,,CENTRE-M 15-7 (+8),,"GOOD LAYUP by GRUBER,SAM(fastbreak)(in the paint)",1
11:31,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
11:31,"GOOD FT by GRUBER,SAM",16 (+9),,7,,CENTRE-M 16-7 (+9),,"GOOD FT by GRUBER,SAM",1
11:08,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
11:08,"BLOCK  by GUMP,MATT",,,,,,,"BLOCK  by GUMP,MATT",1
--,,,,,"REBOUND OFF by KOHNKE,SAM",,,"REBOUND OFF by KOHNKE,SAM",1
11:04,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
11:04,,16 (+8),,8,"GOOD FT by BURT,DERRICK",MMB 16-8 (+8),,"GOOD FT by BURT,DERRICK",1
11:04,,16 (+7),,9,"GOOD FT by BURT,DERRICK",MMB 16-9 (+7),,"GOOD FT by BURT,DERRICK",1
11:04,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
11:04,,,,,"SUB OUT by BURT,DERRICK",,,"SUB OUT by BURT,DERRICK",1
10:59,"GOOD LAYUP by AYERS,PERRY(in the paint)",18 (+9),,9,,CENTRE-M 18-9 (+9),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
10:35,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
10:21,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
10:12,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
10:07,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
10:07,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
10:07,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
10:07,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
09:33,"GOOD 3PTR by GRIFFIN,JAROD",21 (+12),,9,,CENTRE-M 21-9 (+12),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
09:02,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
08:50,"GOOD LAYUP by BATES,JACOB(in the paint)",23 (+14),,9,,CENTRE-M 23-9 (+14),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
08:50,,,,,"FOUL  by COLEMAN,DANIEL",,,"FOUL  by COLEMAN,DANIEL",1
08:50,"GOOD FT by BATES,JACOB",24 (+15),,9,,CENTRE-M 24-9 (+15),,"GOOD FT by BATES,JACOB",1
08:50,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
08:50,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
08:50,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
08:50,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
08:50,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
08:50,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
08:28,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
08:21,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
08:13,,24 (+12),,12,"GOOD 3PTR by BECKER,SAXTON",MMB 24-12 (+12),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by GARDNER,ROBERT",,,"ASSIST  by GARDNER,ROBERT",1
07:48,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
07:38,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:37,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
07:37,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
07:37,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
07:36,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
07:36,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
07:36,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
07:36,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:33,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
07:32,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
07:06,,24 (+10),,14,"GOOD JUMPER by BLANZ,BUCK",MMB 24-14 (+10),,"GOOD JUMPER by BLANZ,BUCK",1
--,,,,,"ASSIST  by GARDNER,ROBERT",,,"ASSIST  by GARDNER,ROBERT",1
06:55,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
06:55,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
06:55,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
06:55,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
06:55,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
06:55,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
06:35,,24 (+8),,16,"GOOD JUMPER by BLANZ,BUCK(in the paint)",MMB 24-16 (+8),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",1
06:13,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
05:49,,24 (+6),,18,"GOOD LAYUP by BECKER,SAXTON(in the paint)",MMB 24-18 (+6),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
05:48,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
05:48,,24 (+5),,19,"GOOD FT by BECKER,SAXTON",MMB 24-19 (+5),,"GOOD FT by BECKER,SAXTON",1
05:48,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
05:48,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
05:30,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
05:24,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND OFF by KOHNKE,SAM",,,"REBOUND OFF by KOHNKE,SAM",1
04:58,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
04:49,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
04:49,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
04:49,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
04:49,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
04:49,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
04:36,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
04:36,,,,,"BLOCK  by BECKER,SAXTON",,,"BLOCK  by BECKER,SAXTON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:36,"GOOD 3PTR by BATES,JACOB",27 (+8),,19,,CENTRE-M 27-19 (+8),,"GOOD 3PTR by BATES,JACOB",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
04:36,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
04:25,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:58,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
02:58,"GOOD JUMPER by AYERS,PERRY",29 (+10),,19,,CENTRE-M 29-19 (+10),,"GOOD JUMPER by AYERS,PERRY",1
02:58,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
02:58,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
02:58,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
02:58,,,,,"SUB OUT by MASON,WADE",,,"SUB OUT by MASON,WADE",1
02:54,,29 (+7),,22,"GOOD 3PTR by GARDNER,ROBERT",MMB 29-22 (+7),,"GOOD 3PTR by GARDNER,ROBERT",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
02:33,,,,,"FOUL  by GARDNER,ROBERT",,,"FOUL  by GARDNER,ROBERT",1
02:33,"GOOD FT by SINE,TUCKER",30 (+8),,22,,CENTRE-M 30-22 (+8),,"GOOD FT by SINE,TUCKER",1
02:33,"GOOD FT by SINE,TUCKER",31 (+9),,22,,CENTRE-M 31-22 (+9),,"GOOD FT by SINE,TUCKER",1
02:33,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
02:33,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
02:33,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
02:33,,,,,"SUB OUT by GARDNER,ROBERT",,,"SUB OUT by GARDNER,ROBERT",1
02:15,,31 (+6),,25,"GOOD 3PTR by GAGEN,BRENNAN",MMB 31-25 (+6),,"GOOD 3PTR by GAGEN,BRENNAN",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
01:49,"GOOD 3PTR by GUMP,MATT",34 (+9),,25,,CENTRE-M 34-25 (+9),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
01:21,,34 (+7),,27,"GOOD JUMPER by BLANZ,BUCK",MMB 34-27 (+7),,"GOOD JUMPER by BLANZ,BUCK",1
00:56,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
00:56,"GOOD FT by AYERS,PERRY",35 (+8),,27,,CENTRE-M 35-27 (+8),,"GOOD FT by AYERS,PERRY",1
00:56,"GOOD FT by AYERS,PERRY",36 (+9),,27,,CENTRE-M 36-27 (+9),,"GOOD FT by AYERS,PERRY",1
00:56,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
00:56,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:43,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
00:43,,36 (+8),,28,"GOOD FT by BECKER,SAXTON",MMB 36-28 (+8),,"GOOD FT by BECKER,SAXTON",1
00:43,,36 (+7),,29,"GOOD FT by BECKER,SAXTON",MMB 36-29 (+7),,"GOOD FT by BECKER,SAXTON",1
00:43,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
00:43,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
00:43,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
00:43,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
00:24,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
00:23,,,,,"STEAL  by MANCUSO,LOGAN",,,"STEAL  by MANCUSO,LOGAN",1
00:23,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
00:23,,,,,"MISS FT by KOHNKE,SAM",,,"MISS FT by KOHNKE,SAM",1
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",1
00:23,,,,,"MISS LAYUP by TURNER,JAMES",,,"MISS LAYUP by TURNER,JAMES",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
00:23,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
00:23,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
00:21,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
00:21,"GOOD FT by GUMP,MATT",37 (+8),,29,,CENTRE-M 37-29 (+8),,"GOOD FT by GUMP,MATT",1
00:21,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
00:05,,37 (+6),,31,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",MMB 37-31 (+6),,"GOOD LAYUP by GAGEN,BRENNAN(in the paint)",1
19:48,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
19:32,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",2
19:31,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
19:27,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
19:27,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",2
19:27,,,,,"MISS LAYUP by KOHNKE,SAM",,,"MISS LAYUP by KOHNKE,SAM",2
19:27,"BLOCK  by RAKES,BAILEY",,,,,,,"BLOCK  by RAKES,BAILEY",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
19:27,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",39 (+8),,31,,CENTRE-M 39-31 (+8),,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
19:03,,39 (+5),,34,"GOOD 3PTR by GARDNER,ROBERT",MMB 39-34 (+5),,"GOOD 3PTR by GARDNER,ROBERT",2
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",2
