Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
16:06,"SUB IN by BOURDAGE,TAYLOR",,,,,,,"SUB IN by BOURDAGE,TAYLOR",1
16:06,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
16:06,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
16:06,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
16:06,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
16:06,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
16:06,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
16:06,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
16:06,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
16:06,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
15:47,,5,,13 (+8),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 5-13 (+8),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
15:32,"MISS 3PTR by HUGHES,JUSTIN",,,,,,,"MISS 3PTR by HUGHES,JUSTIN",1
--,"REBOUND OFF by BOURDAGE,TAYLOR",,,,,,,"REBOUND OFF by BOURDAGE,TAYLOR",1
15:21,"TURNOVER  by BOURDAGE,TAYLOR",,,,,,,"TURNOVER  by BOURDAGE,TAYLOR",1
15:21,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:21,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:21,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
15:21,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
15:21,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
15:03,,5,,15 (+10),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 5-15 (+10),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
15:03,"FOUL  by SIGRIST,CONNOR",,,,,,,"FOUL  by SIGRIST,CONNOR",1
15:03,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,"REBOUND DEF by TURNER,MIKE",,,,,,,"REBOUND DEF by TURNER,MIKE",1
14:56,"MISS 3PTR by BOURDAGE,TAYLOR",,,,,,,"MISS 3PTR by BOURDAGE,TAYLOR",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
14:43,,5,,18 (+13),"GOOD 3PTR by SCHMUCKER,ZACH",CENTRE-M 5-18 (+13),,"GOOD 3PTR by SCHMUCKER,ZACH",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
14:28,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
14:28,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
14:28,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
14:28,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
14:28,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
14:28,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
14:28,"SUB OUT by BOURDAGE,TAYLOR",,,,,,,"SUB OUT by BOURDAGE,TAYLOR",1
14:28,"SUB OUT by HUFFMAN,DEVIN",,,,,,,"SUB OUT by HUFFMAN,DEVIN",1
14:28,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
14:28,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
14:23,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
14:23,"GOOD FT by INUNGU,TOM",6,,18 (+12),,OUM 6-18 (+12),,"GOOD FT by INUNGU,TOM",1
14:23,"GOOD FT by INUNGU,TOM",7,,18 (+11),,OUM 7-18 (+11),,"GOOD FT by INUNGU,TOM",1
14:23,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
14:23,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
14:23,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
14:23,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
13:56,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
13:33,"GOOD LAYUP by PATRICK,DREW(in the paint)",9,,18 (+9),,OUM 9-18 (+9),,"GOOD LAYUP by PATRICK,DREW(in the paint)",1
13:11,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
13:11,,9,,19 (+10),"GOOD FT by AYERS,PERRY",CENTRE-M 9-19 (+10),,"GOOD FT by AYERS,PERRY",1
13:11,,9,,20 (+11),"GOOD FT by AYERS,PERRY",CENTRE-M 9-20 (+11),,"GOOD FT by AYERS,PERRY",1
13:11,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
13:11,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
12:54,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
12:54,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
12:42,,9,,22 (+13),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 9-22 (+13),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
12:25,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
12:09,,9,,25 (+16),"GOOD 3PTR by WALKER,ART",CENTRE-M 9-25 (+16),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",1
12:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
12:05,"SUB IN by MCGRATH,JOSH",,,,,,,"SUB IN by MCGRATH,JOSH",1
12:05,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
11:52,"GOOD JUMPER by EDWARDS,JUSTIN(in the paint)",11,,25 (+14),,OUM 11-25 (+14),,"GOOD JUMPER by EDWARDS,JUSTIN(in the paint)",1
11:37,"FOUL  by MCGRATH,JOSH",,,,,,,"FOUL  by MCGRATH,JOSH",1
11:37,,11,,26 (+15),"GOOD FT by AYERS,PERRY",CENTRE-M 11-26 (+15),,"GOOD FT by AYERS,PERRY",1
11:37,,11,,27 (+16),"GOOD FT by AYERS,PERRY",CENTRE-M 11-27 (+16),,"GOOD FT by AYERS,PERRY",1
11:37,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
11:37,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
11:37,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
11:37,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
11:37,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
11:37,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
11:23,"MISS LAYUP by EDWARDS,JUSTIN",,,,,,,"MISS LAYUP by EDWARDS,JUSTIN",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
11:21,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",1
11:21,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
11:21,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
11:21,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
11:21,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
11:09,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
10:58,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
10:46,"MISS 3PTR by TURNER,MIKE",,,,,,,"MISS 3PTR by TURNER,MIKE",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
10:33,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
10:33,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
10:33,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
10:16,"MISS JUMPER by HUGHES,JUSTIN",,,,,,,"MISS JUMPER by HUGHES,JUSTIN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
09:52,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by HUGHES,JUSTIN",,,,,,,"REBOUND DEF by HUGHES,JUSTIN",1
09:27,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
09:27,"GOOD FT by LAWRENCE,CHRIS",12,,27 (+15),,OUM 12-27 (+15),,"GOOD FT by LAWRENCE,CHRIS",1
09:27,"GOOD FT by LAWRENCE,CHRIS",13,,27 (+14),,OUM 13-27 (+14),,"GOOD FT by LAWRENCE,CHRIS",1
09:27,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
09:27,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
09:09,,13,,30 (+17),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 13-30 (+17),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
08:46,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
08:46,"MISS FT by LAWRENCE,CHRIS",,,,,,,"MISS FT by LAWRENCE,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:46,"MISS FT by LAWRENCE,CHRIS",,,,,,,"MISS FT by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
08:46,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
08:46,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
08:46,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
08:46,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
08:46,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
08:46,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
08:27,,13,,32 (+19),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 13-32 (+19),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
08:09,"GOOD JUMPER by LAWRENCE,CHRIS",15,,32 (+17),,OUM 15-32 (+17),,"GOOD JUMPER by LAWRENCE,CHRIS",1
07:45,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",1
07:26,"MISS 3PTR by HUFFMAN,DEVIN",,,,,,,"MISS 3PTR by HUFFMAN,DEVIN",1
--,"REBOUND OFF by LAWRENCE,CHRIS",,,,,,,"REBOUND OFF by LAWRENCE,CHRIS",1
07:19,"MISS 3PTR by HUGHES,JUSTIN",,,,,,,"MISS 3PTR by HUGHES,JUSTIN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
07:08,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
07:08,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:08,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
07:08,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
06:51,"TURNOVER  by HUGHES,JUSTIN",,,,,,,"TURNOVER  by HUGHES,JUSTIN",1
06:50,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
06:29,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,"REBOUND DEF by TURNER,MIKE",,,,,,,"REBOUND DEF by TURNER,MIKE",1
06:18,"MISS LAYUP by HUGHES,JUSTIN",,,,,,,"MISS LAYUP by HUGHES,JUSTIN",1
06:18,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,"REBOUND OFF by HUGHES,JUSTIN",,,,,,,"REBOUND OFF by HUGHES,JUSTIN",1
06:01,"TURNOVER  by HUFFMAN,DEVIN",,,,,,,"TURNOVER  by HUFFMAN,DEVIN",1
06:01,"FOUL  by HUFFMAN,DEVIN",,,,,,,"FOUL  by HUFFMAN,DEVIN",1
06:01,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
06:01,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
06:01,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
06:01,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
06:01,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
06:01,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
05:43,,15,,35 (+20),"GOOD 3PTR by GRUBER,SAM",CENTRE-M 15-35 (+20),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
05:13,"TURNOVER  by HUFFMAN,DEVIN",,,,,,,"TURNOVER  by HUFFMAN,DEVIN",1
05:11,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
05:11,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
05:11,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
05:11,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",1
05:11,"SUB OUT by MCGRATH,JOSH",,,,,,,"SUB OUT by MCGRATH,JOSH",1
05:11,"SUB OUT by HUFFMAN,DEVIN",,,,,,,"SUB OUT by HUFFMAN,DEVIN",1
04:48,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by EDWARDS,JUSTIN",,,,,,,"REBOUND DEF by EDWARDS,JUSTIN",1
04:39,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",1
04:38,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
04:33,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
04:30,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
04:30,,15,,36 (+21),"GOOD FT by BATES,JACOB",CENTRE-M 15-36 (+21),,"GOOD FT by BATES,JACOB",1
04:30,,15,,37 (+22),"GOOD FT by BATES,JACOB",CENTRE-M 15-37 (+22),,"GOOD FT by BATES,JACOB",1
04:30,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
04:30,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
04:30,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
04:30,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
04:20,"TURNOVER  by ANDINO,GEORGE",,,,,,,"TURNOVER  by ANDINO,GEORGE",1
04:20,"FOUL  by ANDINO,GEORGE",,,,,,,"FOUL  by ANDINO,GEORGE",1
04:06,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by GRUBER,SAM",,,"REBOUND OFF by GRUBER,SAM",1
03:59,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",1
03:38,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:35,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
03:35,"MISS FT by LAWRENCE,CHRIS",,,,,,,"MISS FT by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
03:35,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
03:35,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
03:35,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
03:35,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
03:11,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
02:55,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
02:55,,15,,38 (+23),"GOOD FT by AYERS,PERRY",CENTRE-M 15-38 (+23),,"GOOD FT by AYERS,PERRY",1
02:55,,15,,39 (+24),"GOOD FT by AYERS,PERRY",CENTRE-M 15-39 (+24),,"GOOD FT by AYERS,PERRY",1
02:55,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
02:55,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
02:44,"MISS LAYUP by PATRICK,DREW",,,,,,,"MISS LAYUP by PATRICK,DREW",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
02:38,,15,,42 (+27),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 15-42 (+27),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
02:25,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",17,,42 (+25),,OUM 17-42 (+25),,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",1
02:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:08,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
02:08,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
02:08,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
02:08,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
02:08,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
02:08,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
01:54,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
01:37,"MISS LAYUP by EDWARDS,JUSTIN",,,,,,,"MISS LAYUP by EDWARDS,JUSTIN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
01:19,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:15,"SUB IN by BOURDAGE,TAYLOR",,,,,,,"SUB IN by BOURDAGE,TAYLOR",1
01:15,"SUB OUT by EDWARDS,JUSTIN",,,,,,,"SUB OUT by EDWARDS,JUSTIN",1
01:15,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",1
01:15,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
01:05,"TURNOVER  by TURNER,MIKE",,,,,,,"TURNOVER  by TURNER,MIKE",1
00:57,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
00:57,,17,,43 (+26),"GOOD FT by BATES,JACOB",CENTRE-M 17-43 (+26),,"GOOD FT by BATES,JACOB",1
00:57,,17,,44 (+27),"GOOD FT by BATES,JACOB",CENTRE-M 17-44 (+27),,"GOOD FT by BATES,JACOB",1
00:44,"MISS LAYUP by ANDINO,GEORGE",,,,,,,"MISS LAYUP by ANDINO,GEORGE",1
00:44,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
00:15,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
00:10,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
00:06,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
00:06,"MISS FT by PATRICK,DREW",,,,,,,"MISS FT by PATRICK,DREW",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
00:05,"FOUL  by BOURDAGE,TAYLOR",,,,,,,"FOUL  by BOURDAGE,TAYLOR",1
00:05,,17,,45 (+28),"GOOD FT by GUMP,MATT",CENTRE-M 17-45 (+28),,"GOOD FT by GUMP,MATT",1
00:05,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",1
--,"REBOUND DEF by TURNER,MIKE",,,,,,,"REBOUND DEF by TURNER,MIKE",1
00:05,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",1
00:05,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
00:00,"MISS 3PTR by BOURDAGE,TAYLOR",,,,,,,"MISS 3PTR by BOURDAGE,TAYLOR",1
