Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:39,,,,,"MISS 3PTR by JONES,BRETT",,,"MISS 3PTR by JONES,BRETT",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
19:35,,0,,2 (+2),"GOOD TIPIN by GUMP,MATT(in the paint)",CENTRE-M 0-2 (+2),,"GOOD TIPIN by GUMP,MATT(in the paint)",1
19:26,"GOOD JUMPER by SPALDING,TANNER",2,,2,,BCM 2-2 (0),,"GOOD JUMPER by SPALDING,TANNER",1
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",1
19:06,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
18:50,,,,,"MISS JUMPER by GRUBER,SAM",,,"MISS JUMPER by GRUBER,SAM",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
18:44,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,"REBOUND OFF by MARDER,NICK",,,,,,,"REBOUND OFF by MARDER,NICK",1
18:17,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
17:56,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by SPALDING,TANNER",,,,,,,"REBOUND DEF by SPALDING,TANNER",1
17:29,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",1
17:29,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
17:29,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
17:17,,2,,5 (+3),"GOOD 3PTR by GRUBER,SAM",CENTRE-M 2-5 (+3),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
17:01,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
16:50,,2,,7 (+5),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE-M 2-7 (+5),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
16:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:29,"GOOD JUMPER by MCCLOUD,ALTON",4,,7 (+3),,BCM 4-7 (+3),,"GOOD JUMPER by MCCLOUD,ALTON",1
16:15,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",1
16:14,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
16:08,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",1
16:08,"FOUL  by JOHNSON,CALEB",,,,,,,"FOUL  by JOHNSON,CALEB",1
16:08,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
16:08,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
16:08,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
16:08,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
16:08,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",1
16:08,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
15:58,,4,,9 (+5),"GOOD LAYUP by SINE,TUCKER(in the paint)",CENTRE-M 4-9 (+5),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
15:49,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
15:49,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:49,"SUB IN by JOHNSON,CORY",,,,,,,"SUB IN by JOHNSON,CORY",1
15:49,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",1
15:49,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
15:49,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
15:49,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
15:49,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
15:31,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
15:11,,4,,12 (+8),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 4-12 (+8),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
14:52,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
14:52,"MISS FT by MCCLOUD,ALTON",,,,,,,"MISS FT by MCCLOUD,ALTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:52,"MISS FT by MCCLOUD,ALTON",,,,,,,"MISS FT by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
14:28,,4,,15 (+11),"GOOD 3PTR by GUMP,MATT",CENTRE-M 4-15 (+11),,"GOOD 3PTR by GUMP,MATT",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
14:09,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",1
--,"REBOUND OFF by SPALDING,TANNER",,,,,,,"REBOUND OFF by SPALDING,TANNER",1
14:06,"GOOD TIPIN by SPALDING,TANNER(in the paint)",6,,15 (+9),,BCM 6-15 (+9),,"GOOD TIPIN by SPALDING,TANNER(in the paint)",1
13:50,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
13:39,"MISS 3PTR by JOHNSON,CORY",,,,,,,"MISS 3PTR by JOHNSON,CORY",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
13:17,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",1
13:00,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
12:33,,6,,18 (+12),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 6-18 (+12),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
12:18,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
12:11,,6,,20 (+14),"GOOD JUMPER by SINE,TUCKER(fastbreak)(in the paint)",CENTRE-M 6-20 (+14),,"GOOD JUMPER by SINE,TUCKER(fastbreak)(in the paint)",1
12:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:08,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
12:08,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
12:08,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
12:08,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
12:08,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
12:08,"SUB OUT by JOHNSON,CORY",,,,,,,"SUB OUT by JOHNSON,CORY",1
12:08,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
12:08,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
12:08,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
12:08,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
12:08,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
12:08,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
11:48,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
11:48,"MISS FT by MARDER,NICK",,,,,,,"MISS FT by MARDER,NICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:48,"GOOD FT by MARDER,NICK",7,,20 (+13),,BCM 7-20 (+13),,"GOOD FT by MARDER,NICK",1
