Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
19:39,,,,,"MISS JUMPER by JAMES,JORDAN",,,"MISS JUMPER by JAMES,JORDAN",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
19:15,"MISS LAYUP by RING,NOAH",,,,,,,"MISS LAYUP by RING,NOAH",1
--,,,,,"REBOUND DEF by JAMES,JORDAN",,,"REBOUND DEF by JAMES,JORDAN",1
19:07,,0,,3 (+3),"GOOD 3PTR by KEMP,JACKSON",OGL-M 0-3 (-3),,"GOOD 3PTR by KEMP,JACKSON",1
--,,,,,"ASSIST  by JAMES,JORDAN",,,"ASSIST  by JAMES,JORDAN",1
18:47,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by JAMES,JORDAN",,,"REBOUND DEF by JAMES,JORDAN",1
18:38,,0,,5 (+5),"GOOD LAYUP by JAMES,JORDAN(in the paint)",OGL-M 0-5 (-5),,"GOOD LAYUP by JAMES,JORDAN(in the paint)",1
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",1
18:15,"GOOD 3PTR by BAUGHMAN,CARTER",3,,5 (+2),,CENTREM 3-5 (-2),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by STINNETT,CADE",,,,,,,"ASSIST  by STINNETT,CADE",1
17:46,,3,,8 (+5),"GOOD 3PTR by EZIGBO,UBA",OGL-M 3-8 (-5),,"GOOD 3PTR by EZIGBO,UBA",1
--,,,,,"ASSIST  by JAMES,JORDAN",,,"ASSIST  by JAMES,JORDAN",1
17:29,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",1
17:25,"GOOD LAYUP by RING,NOAH(in the paint)",5,,8 (+3),,CENTREM 5-8 (-3),,"GOOD LAYUP by RING,NOAH(in the paint)",1
17:07,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
16:57,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:35,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
16:19,"GOOD LAYUP by WILSON,DREW(in the paint)",7,,8 (+1),,CENTREM 7-8 (-1),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
16:08,,,,,"MISS LAYUP by JAMES,JORDAN",,,"MISS LAYUP by JAMES,JORDAN",1
--,,,,,"REBOUND OFF by JAMES,JORDAN",,,"REBOUND OFF by JAMES,JORDAN",1
16:05,,7,,10 (+3),"GOOD LAYUP by JAMES,JORDAN(in the paint)",OGL-M 7-10 (-3),,"GOOD LAYUP by JAMES,JORDAN(in the paint)",1
