Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
14:50,,,,,"MISS JUMPER by DEARMAN,TYLER(in the paint)",,,"MISS JUMPER by DEARMAN,TYLER(in the paint)",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
14:41,"MISS LAYUP by RING,NOAH(in the paint)",,,,,,,"MISS LAYUP by RING,NOAH(in the paint)",1
--,,,,,"REBOUND DEF by FARRISH,CALEB",,,"REBOUND DEF by FARRISH,CALEB",1
14:19,,,,,"MISS JUMPER by PROCTOR,LUKE(in the paint)",,,"MISS JUMPER by PROCTOR,LUKE(in the paint)",1
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",1
14:05,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by DEARMAN,TYLER",,,"REBOUND DEF by DEARMAN,TYLER",1
13:36,,,,,"MISS 3PTR by PROCTOR,LUKE",,,"MISS 3PTR by PROCTOR,LUKE",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
13:27,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by BURCH,JULIUS",,,"REBOUND DEF by BURCH,JULIUS",1
13:20,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:20,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:20,,,,,"SUB OUT by FARRISH,CALEB",,,"SUB OUT by FARRISH,CALEB",1
13:20,,,,,"SUB OUT by PROCTOR,LUKE",,,"SUB OUT by PROCTOR,LUKE",1
13:20,,,,,"SUB OUT by BURCH,JULIUS",,,"SUB OUT by BURCH,JULIUS",1
13:20,,,,,"SUB IN by LITTLEJOHN,ROB",,,"SUB IN by LITTLEJOHN,ROB",1
13:20,,,,,"SUB IN by PROCTOR,GABE",,,"SUB IN by PROCTOR,GABE",1
13:20,,,,,"SUB IN by WASHINGTON,MYLES",,,"SUB IN by WASHINGTON,MYLES",1
13:20,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
13:20,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
13:20,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",1
13:20,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
13:00,,,,,"MISS 3PTR by WASHINGTON,MYLES",,,"MISS 3PTR by WASHINGTON,MYLES",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
12:38,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",1
--,,,,,"REBOUND DEF by WASHINGTON,MYLES",,,"REBOUND DEF by WASHINGTON,MYLES",1
12:33,,,,,"SUB OUT by DAVIS,JORDEN",,,"SUB OUT by DAVIS,JORDEN",1
12:33,,,,,"SUB IN by BOWENS,ELIJAH",,,"SUB IN by BOWENS,ELIJAH",1
12:33,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
12:33,"SUB IN by RAYMER,COLBY",,,,,,,"SUB IN by RAYMER,COLBY",1
12:22,,,,,"TURNOVER  by PROCTOR,GABE",,,"TURNOVER  by PROCTOR,GABE",1
12:22,"STEAL  by COLEMAN,HUNTER",,,,,,,"STEAL  by COLEMAN,HUNTER",1
12:13,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
12:13,,,,,"STEAL  by WASHINGTON,MYLES",,,"STEAL  by WASHINGTON,MYLES",1
12:05,,2,,6 (+4),"GOOD 3PTR by PROCTOR,GABE",GC 2-6 (-4),,"GOOD 3PTR by PROCTOR,GABE",1
--,,,,,"ASSIST  by BOWENS,ELIJAH",,,"ASSIST  by BOWENS,ELIJAH",1
12:01,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",1
12:01,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
11:47,"GOOD 3PTR by RAYMER,COLBY",5,,6 (+1),,Centre 5-6 (-1),,"GOOD 3PTR by RAYMER,COLBY",1
--,"ASSIST  by COLEMAN,HUNTER",,,,,,,"ASSIST  by COLEMAN,HUNTER",1
11:27,,,,,"MISS JUMPER by WASHINGTON,MYLES",,,"MISS JUMPER by WASHINGTON,MYLES",1
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",1
11:05,"MISS JUMPER by RAYMER,COLBY",,,,,,,"MISS JUMPER by RAYMER,COLBY",1
--,,,,,"REBOUND DEF by BOWENS,ELIJAH",,,"REBOUND DEF by BOWENS,ELIJAH",1
10:58,,5,,9 (+4),"GOOD 3PTR by PROCTOR,GABE",GC 5-9 (-4),,"GOOD 3PTR by PROCTOR,GABE",1
--,,,,,"ASSIST  by BOWENS,ELIJAH",,,"ASSIST  by BOWENS,ELIJAH",1
10:25,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",7,,9 (+2),,Centre 7-9 (-2),,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",1
--,"ASSIST  by RAYMER,COLBY",,,,,,,"ASSIST  by RAYMER,COLBY",1
10:06,,,,,"MISS 3PTR by BOWENS,ELIJAH",,,"MISS 3PTR by BOWENS,ELIJAH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:03,,,,,"SUB OUT by DEARMAN,TYLER",,,"SUB OUT by DEARMAN,TYLER",1
10:03,,,,,"SUB IN by DAVIS,JORDEN",,,"SUB IN by DAVIS,JORDEN",1
10:03,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
10:03,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
10:03,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
10:03,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
09:46,"MISS 3PTR by MARKHAM,DRU",,,,,,,"MISS 3PTR by MARKHAM,DRU",1
--,,,,,"REBOUND DEF by WASHINGTON,MYLES",,,"REBOUND DEF by WASHINGTON,MYLES",1
09:31,,7,,11 (+4),"GOOD JUMPER by LITTLEJOHN,ROB(in the paint)",GC 7-11 (-4),,"GOOD JUMPER by LITTLEJOHN,ROB(in the paint)",1
09:09,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
09:09,,,,,"STEAL  by PROCTOR,GABE",,,"STEAL  by PROCTOR,GABE",1
09:01,,,,,"MISS 3PTR by PROCTOR,GABE",,,"MISS 3PTR by PROCTOR,GABE",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
08:39,"GOOD LAYUP by MOORE,CHEZ(in the paint)",9,,11 (+2),,Centre 9-11 (-2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
08:19,,9,,13 (+4),"GOOD LAYUP by LITTLEJOHN,ROB(in the paint)",GC 9-13 (-4),,"GOOD LAYUP by LITTLEJOHN,ROB(in the paint)",1
--,,,,,"ASSIST  by PROCTOR,GABE",,,"ASSIST  by PROCTOR,GABE",1
08:19,"FOUL  by RAYMER,COLBY",,,,,,,"FOUL  by RAYMER,COLBY",1
08:19,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",1
08:19,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",1
08:19,"SUB OUT by RAYMER,COLBY",,,,,,,"SUB OUT by RAYMER,COLBY",1
08:19,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
08:19,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
08:19,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",1
08:19,,9,,14 (+5),"GOOD FT by LITTLEJOHN,ROB",GC 9-14 (-5),,"GOOD FT by LITTLEJOHN,ROB",1
07:58,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
07:58,,,,,"STEAL  by WASHINGTON,MYLES",,,"STEAL  by WASHINGTON,MYLES",1
07:49,,9,,17 (+8),"GOOD 3PTR by WASHINGTON,MYLES",GC 9-17 (-8),,"GOOD 3PTR by WASHINGTON,MYLES",1
--,,,,,"ASSIST  by LITTLEJOHN,ROB",,,"ASSIST  by LITTLEJOHN,ROB",1
07:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:46,,,,,"SUB OUT by LITTLEJOHN,ROB",,,"SUB OUT by LITTLEJOHN,ROB",1
07:46,,,,,"SUB OUT by PROCTOR,GABE",,,"SUB OUT by PROCTOR,GABE",1
07:46,,,,,"SUB OUT by BOWENS,ELIJAH",,,"SUB OUT by BOWENS,ELIJAH",1
07:46,,,,,"SUB OUT by WASHINGTON,MYLES",,,"SUB OUT by WASHINGTON,MYLES",1
07:46,,,,,"SUB IN by FARRISH,CALEB",,,"SUB IN by FARRISH,CALEB",1
07:46,,,,,"SUB IN by PROCTOR,LUKE",,,"SUB IN by PROCTOR,LUKE",1
07:46,,,,,"SUB IN by BURCH,JULIUS",,,"SUB IN by BURCH,JULIUS",1
07:46,,,,,"SUB IN by DEARMAN,TYLER",,,"SUB IN by DEARMAN,TYLER",1
07:46,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
07:46,"SUB IN by MAUL,CALEB",,,,,,,"SUB IN by MAUL,CALEB",1
07:26,"GOOD 3PTR by BAUGHMAN,CARTER",12,,17 (+5),,Centre 12-17 (-5),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by RING,NOAH",,,,,,,"ASSIST  by RING,NOAH",1
06:58,,12,,19 (+7),"GOOD LAYUP by BURCH,JULIUS(in the paint)",GC 12-19 (-7),,"GOOD LAYUP by BURCH,JULIUS(in the paint)",1
06:30,"MISS JUMPER by RING,NOAH",,,,,,,"MISS JUMPER by RING,NOAH",1
--,,,,,"REBOUND DEF by PROCTOR,LUKE",,,"REBOUND DEF by PROCTOR,LUKE",1
06:14,,12,,21 (+9),"GOOD LAYUP by BURCH,JULIUS(in the paint)",GC 12-21 (-9),,"GOOD LAYUP by BURCH,JULIUS(in the paint)",1
--,,,,,"ASSIST  by DAVIS,JORDEN",,,"ASSIST  by DAVIS,JORDEN",1
05:53,,,,,"FOUL  by FARRISH,CALEB",,,"FOUL  by FARRISH,CALEB",1
05:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
05:53,"GOOD FT by MAUL,CALEB",13,,21 (+8),,Centre 13-21 (-8),,"GOOD FT by MAUL,CALEB",1
05:53,"MISS FT by MAUL,CALEB",,,,,,,"MISS FT by MAUL,CALEB",1
--,,,,,"REBOUND DEF by DEARMAN,TYLER",,,"REBOUND DEF by DEARMAN,TYLER",1
05:34,,,,,"MISS 3PTR by DAVIS,JORDEN",,,"MISS 3PTR by DAVIS,JORDEN",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
05:23,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:11,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",,,,,,,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:10,,,,,"FOUL  by FARRISH,CALEB",,,"FOUL  by FARRISH,CALEB",1
05:10,,,,,"SUB OUT by FARRISH,CALEB",,,"SUB OUT by FARRISH,CALEB",1
05:10,,,,,"SUB IN by WASHINGTON,MYLES",,,"SUB IN by WASHINGTON,MYLES",1
05:02,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND OFF by MAUL,CALEB",,,,,,,"REBOUND OFF by MAUL,CALEB",1
04:58,,,,,"FOUL  by BURCH,JULIUS",,,"FOUL  by BURCH,JULIUS",1
04:53,"TURNOVER  by STINNETT,CADE",,,,,,,"TURNOVER  by STINNETT,CADE",1
04:53,,,,,"STEAL  by WASHINGTON,MYLES",,,"STEAL  by WASHINGTON,MYLES",1
04:49,,13,,23 (+10),"GOOD LAYUP by DAVIS,JORDEN(fastbreak)(in the paint)",GC 13-23 (-10),,"GOOD LAYUP by DAVIS,JORDEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WASHINGTON,MYLES",,,"ASSIST  by WASHINGTON,MYLES",1
04:34,,,,,"SUB OUT by PROCTOR,LUKE",,,"SUB OUT by PROCTOR,LUKE",1
04:34,,,,,"SUB IN by PROCTOR,GABE",,,"SUB IN by PROCTOR,GABE",1
04:26,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",1
04:26,,,,,"STEAL  by DAVIS,JORDEN",,,"STEAL  by DAVIS,JORDEN",1
04:15,,,,,"MISS JUMPER by WASHINGTON,MYLES(in the paint)",,,"MISS JUMPER by WASHINGTON,MYLES(in the paint)",1
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",1
04:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:43,"MISS JUMPER by BAUGHMAN,CARTER",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by PROCTOR,GABE",,,"REBOUND DEF by PROCTOR,GABE",1
03:28,,13,,25 (+12),"GOOD JUMPER by WASHINGTON,MYLES(in the paint)",GC 13-25 (-12),,"GOOD JUMPER by WASHINGTON,MYLES(in the paint)",1
03:05,"GOOD LAYUP by STINNETT,CADE(in the paint)",15,,25 (+10),,Centre 15-25 (-10),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
--,"ASSIST  by RING,NOAH",,,,,,,"ASSIST  by RING,NOAH",1
03:03,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
03:03,"SUB OUT by MAUL,CALEB",,,,,,,"SUB OUT by MAUL,CALEB",1
03:03,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
03:03,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
02:49,,,,,"MISS 3PTR by DAVIS,JORDEN",,,"MISS 3PTR by DAVIS,JORDEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:46,"FOUL  by STINNETT,CADE",,,,,,,"FOUL  by STINNETT,CADE",1
02:45,,,,,"MISS JUMPER by WASHINGTON,MYLES(in the paint)",,,"MISS JUMPER by WASHINGTON,MYLES(in the paint)",1
--,,,,,"REBOUND OFF by DAVIS,JORDEN",,,"REBOUND OFF by DAVIS,JORDEN",1
02:42,"FOUL  by STINNETT,CADE",,,,,,,"FOUL  by STINNETT,CADE",1
02:42,,15,,26 (+11),"GOOD FT by DAVIS,JORDEN",GC 15-26 (-11),,"GOOD FT by DAVIS,JORDEN",1
02:42,,,,,"SUB OUT by BURCH,JULIUS",,,"SUB OUT by BURCH,JULIUS",1
02:42,,,,,"SUB IN by LITTLEJOHN,ROB",,,"SUB IN by LITTLEJOHN,ROB",1
02:42,,,,,"MISS FT by DAVIS,JORDEN",,,"MISS FT by DAVIS,JORDEN",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
02:19,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",,,,,,,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",1
--,,,,,"REBOUND DEF by LITTLEJOHN,ROB",,,"REBOUND DEF by LITTLEJOHN,ROB",1
02:01,,15,,29 (+14),"GOOD 3PTR by DAVIS,JORDEN",GC 15-29 (-14),,"GOOD 3PTR by DAVIS,JORDEN",1
--,,,,,"ASSIST  by WASHINGTON,MYLES",,,"ASSIST  by WASHINGTON,MYLES",1
01:45,"TURNOVER  by TAYLOR,MARSHALL",,,,,,,"TURNOVER  by TAYLOR,MARSHALL",1
01:45,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
01:45,"SUB IN by RAYMER,COLBY",,,,,,,"SUB IN by RAYMER,COLBY",1
01:22,,,,,"MISS LAYUP by DEARMAN,TYLER(in the paint)",,,"MISS LAYUP by DEARMAN,TYLER(in the paint)",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
01:13,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by WASHINGTON,MYLES",,,"REBOUND DEF by WASHINGTON,MYLES",1
00:53,,15,,32 (+17),"GOOD 3PTR by WASHINGTON,MYLES",GC 15-32 (-17),,"GOOD 3PTR by WASHINGTON,MYLES",1
00:37,"GOOD 3PTR by BAUGHMAN,CARTER",18,,32 (+14),,Centre 18-32 (-14),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by STINNETT,CADE",,,,,,,"ASSIST  by STINNETT,CADE",1
00:07,,,,,"MISS 3PTR by DEARMAN,TYLER",,,"MISS 3PTR by DEARMAN,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:05,,,,,"FOUL  by PROCTOR,GABE",,,"FOUL  by PROCTOR,GABE",1
00:00,"MISS 3PTR by MOORE,CHEZ",,,,,,,"MISS 3PTR by MOORE,CHEZ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by LITTLEJOHN,ROB",,,"SUB OUT by LITTLEJOHN,ROB",2
20:00,,,,,"SUB OUT by PROCTOR,GABE",,,"SUB OUT by PROCTOR,GABE",2
20:00,,,,,"SUB OUT by WASHINGTON,MYLES",,,"SUB OUT by WASHINGTON,MYLES",2
20:00,,,,,"SUB IN by FARRISH,CALEB",,,"SUB IN by FARRISH,CALEB",2
20:00,,,,,"SUB IN by PROCTOR,LUKE",,,"SUB IN by PROCTOR,LUKE",2
20:00,,,,,"SUB IN by BURCH,JULIUS",,,"SUB IN by BURCH,JULIUS",2
20:00,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
20:00,"SUB OUT by RAYMER,COLBY",,,,,,,"SUB OUT by RAYMER,COLBY",2
20:00,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
20:00,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
19:51,"GOOD 3PTR by BAUGHMAN,CARTER",21,,32 (+11),,Centre 21-32 (-11),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by STINNETT,CADE",,,,,,,"ASSIST  by STINNETT,CADE",2
19:30,,,,,"MISS 3PTR by DEARMAN,TYLER",,,"MISS 3PTR by DEARMAN,TYLER",2
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",2
19:18,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by DAVIS,JORDEN",,,"REBOUND DEF by DAVIS,JORDEN",2
19:02,,,,,"MISS 3PTR by PROCTOR,LUKE",,,"MISS 3PTR by PROCTOR,LUKE",2
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",2
18:51,,,,,"FOUL  by FARRISH,CALEB",,,"FOUL  by FARRISH,CALEB",2
18:51,"MISS FT by MOORE,CHEZ",,,,,,,"MISS FT by MOORE,CHEZ",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:51,"GOOD FT by MOORE,CHEZ",22,,32 (+10),,Centre 22-32 (-10),,"GOOD FT by MOORE,CHEZ",2
18:33,,22,,34 (+12),"GOOD LAYUP by FARRISH,CALEB(in the paint)",GC 22-34 (-12),,"GOOD LAYUP by FARRISH,CALEB(in the paint)",2
--,,,,,"ASSIST  by BURCH,JULIUS",,,"ASSIST  by BURCH,JULIUS",2
18:19,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
18:19,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
18:04,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",2
18:04,"TURNOVER  by TAYLOR,MARSHALL",,,,,,,"TURNOVER  by TAYLOR,MARSHALL",2
17:45,,,,,"MISS 3PTR by DAVIS,JORDEN",,,"MISS 3PTR by DAVIS,JORDEN",2
--,,,,,"REBOUND OFF by DAVIS,JORDEN",,,"REBOUND OFF by DAVIS,JORDEN",2
17:28,,22,,37 (+15),"GOOD 3PTR by PROCTOR,LUKE",GC 22-37 (-15),,"GOOD 3PTR by PROCTOR,LUKE",2
--,,,,,"ASSIST  by DEARMAN,TYLER",,,"ASSIST  by DEARMAN,TYLER",2
16:59,"GOOD 3PTR by STINNETT,CADE",25,,37 (+12),,Centre 25-37 (-12),,"GOOD 3PTR by STINNETT,CADE",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
16:43,,,,,"MISS 3PTR by DEARMAN,TYLER",,,"MISS 3PTR by DEARMAN,TYLER",2
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",2
16:20,,,,,"FOUL  by FARRISH,CALEB",,,"FOUL  by FARRISH,CALEB",2
16:20,,,,,"SUB OUT by FARRISH,CALEB",,,"SUB OUT by FARRISH,CALEB",2
16:20,,,,,"SUB IN by WASHINGTON,MYLES",,,"SUB IN by WASHINGTON,MYLES",2
16:14,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",2
16:10,"MISS LAYUP by RING,NOAH(in the paint)",,,,,,,"MISS LAYUP by RING,NOAH(in the paint)",2
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",2
16:07,"MISS LAYUP by RING,NOAH(in the paint)",,,,,,,"MISS LAYUP by RING,NOAH(in the paint)",2
