Time Remaining,WPU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:51,"TURNOVER  by PETTIFORD,TIMOTHY",,,,,,,"TURNOVER  by PETTIFORD,TIMOTHY",1
19:51,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
19:41,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:29,"TURNOVER  by PETTIFORD,TIMOTHY",,,,,,,"TURNOVER  by PETTIFORD,TIMOTHY",1
19:14,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,"MISS JUMPER by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",1
18:51,"GOOD JUMPER by BRYANT,BEAU",2 (+2),,0,,WPU 2-0 (-2),,"GOOD JUMPER by BRYANT,BEAU",1
18:33,"FOUL  by BORDERS,MALACHI",,,,,,,"FOUL  by BORDERS,MALACHI",1
18:13,,2,,2,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 2-2 (0),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
18:13,"FOUL  by PETTIFORD,TIMOTHY",,,,,,,"FOUL  by PETTIFORD,TIMOTHY",1
18:13,,2,,3 (+1),"GOOD FT by MOORE,CHEZ",Centre 2-3 (+1),,"GOOD FT by MOORE,CHEZ",1
17:54,,,,,"FOUL  by STINNETT,CADE",,,"FOUL  by STINNETT,CADE",1
17:54,"GOOD FT by PETTIFORD,TIMOTHY",3,,3,,WPU 3-3 (0),,"GOOD FT by PETTIFORD,TIMOTHY",1
17:54,"GOOD FT by PETTIFORD,TIMOTHY",4 (+1),,3,,WPU 4-3 (-1),,"GOOD FT by PETTIFORD,TIMOTHY",1
17:41,,4,,5 (+1),"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",Centre 4-5 (+1),,"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",1
17:28,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
17:18,,4,,8 (+4),"GOOD 3PTR by COLEMAN,HUNTER",Centre 4-8 (+4),,"GOOD 3PTR by COLEMAN,HUNTER",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
17:01,"TURNOVER  by BRYANT,BEAU",,,,,,,"TURNOVER  by BRYANT,BEAU",1
17:01,,,,,"STEAL  by COLEMAN,HUNTER",,,"STEAL  by COLEMAN,HUNTER",1
16:51,,,,,"MISS LAYUP by COLEMAN,HUNTER(in the paint)",,,"MISS LAYUP by COLEMAN,HUNTER(in the paint)",1
--,"REBOUND DEF by BORDERS,MALACHI",,,,,,,"REBOUND DEF by BORDERS,MALACHI",1
16:35,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
16:32,"MISS FT by PETTIFORD,TIMOTHY",,,,,,,"MISS FT by PETTIFORD,TIMOTHY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:32,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",1
