Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS JUMPER by MOORE,CHEZ",,,"MISS JUMPER by MOORE,CHEZ",1
--,"REBOUND DEF by CAUDILL,ISAAC",,,,,,,"REBOUND DEF by CAUDILL,ISAAC",1
19:23,"TURNOVER  by MINTER,TREY",,,,,,,"TURNOVER  by MINTER,TREY",1
19:23,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",1
19:11,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",1
18:53,"MISS 3PTR by CAUDILL,ISAAC",,,,,,,"MISS 3PTR by CAUDILL,ISAAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:50,"FOUL  by BOGGS,TYLER",,,,,,,"FOUL  by BOGGS,TYLER",1
18:42,"FOUL  by BOGGS,TYLER",,,,,,,"FOUL  by BOGGS,TYLER",1
18:38,,0,,1 (+1),"GOOD FT by BAUGHMAN,CARTER",Centre 0-1 (+1),,"GOOD FT by BAUGHMAN,CARTER",1
18:38,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",1
18:38,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
18:38,,0,,2 (+2),"GOOD FT by BAUGHMAN,CARTER",Centre 0-2 (+2),,"GOOD FT by BAUGHMAN,CARTER",1
18:10,"MISS JUMPER by MONTGOMERY,JAREL",,,,,,,"MISS JUMPER by MONTGOMERY,JAREL",1
--,"REBOUND OFF by JONES,ANDREW",,,,,,,"REBOUND OFF by JONES,ANDREW",1
18:02,"GOOD LAYUP by JONES,ANDREW(in the paint)",2,,2,,BEREA 2-2 (0),,"GOOD LAYUP by JONES,ANDREW(in the paint)",1
17:50,,2,,4 (+2),"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 2-4 (+2),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
17:33,"MISS 3PTR by MINTER,TREY",,,,,,,"MISS 3PTR by MINTER,TREY",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
17:17,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
17:17,"BLOCK  by MACKEY,MARQUIS",,,,,,,"BLOCK  by MACKEY,MARQUIS",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
17:02,,2,,6 (+4),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 2-6 (+4),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
16:46,"GOOD JUMPER by MONTGOMERY,JAREL",4,,6 (+2),,BEREA 4-6 (+2),,"GOOD JUMPER by MONTGOMERY,JAREL",1
16:31,,4,,8 (+4),"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",Centre 4-8 (+4),,"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",1
