Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
16:12,"GOOD JUMPER by CAUDILL,ISAAC",6,,8 (+2),,BEREA 6-8 (+2),,"GOOD JUMPER by CAUDILL,ISAAC",1
--,"ASSIST  by MACKEY,MARQUIS",,,,,,,"ASSIST  by MACKEY,MARQUIS",1
15:43,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,"MISS JUMPER by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",1
15:34,"MISS 3PTR by JONES,ANDREW",,,,,,,"MISS 3PTR by JONES,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:33,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
15:33,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
15:06,"GOOD JUMPER by CAUDILL,ISAAC(in the paint)",8,,8,,BEREA 8-8 (0),,"GOOD JUMPER by CAUDILL,ISAAC(in the paint)",1
14:48,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",1
14:36,"MISS JUMPER by MACKEY,MARQUIS",,,,,,,"MISS JUMPER by MACKEY,MARQUIS",1
--,"REBOUND OFF by JONES,ANDREW",,,,,,,"REBOUND OFF by JONES,ANDREW",1
14:26,"MISS LAYUP by JONES,ANDREW(in the paint)",,,,,,,"MISS LAYUP by JONES,ANDREW(in the paint)",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
14:08,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:08,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
14:08,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
14:08,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
14:08,,,,,"SUB IN by BUSH,TYLER",,,"SUB IN by BUSH,TYLER",1
14:08,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",1
14:08,"SUB IN by RILEY,BRYCE",,,,,,,"SUB IN by RILEY,BRYCE",1
14:00,"TURNOVER  by MINTER,TREY",,,,,,,"TURNOVER  by MINTER,TREY",1
14:00,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
13:35,,,,,"MISS 3PTR by BUSH,TYLER",,,"MISS 3PTR by BUSH,TYLER",1
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",1
13:27,"GOOD 3PTR by JONES,ANDREW",11 (+3),,8,,BEREA 11-8 (-3),,"GOOD 3PTR by JONES,ANDREW",1
--,"ASSIST  by MONTGOMERY,JAREL",,,,,,,"ASSIST  by MONTGOMERY,JAREL",1
13:19,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
13:19,"STEAL  by MONTGOMERY,JAREL",,,,,,,"STEAL  by MONTGOMERY,JAREL",1
13:14,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",1
13:14,"GOOD FT by MONTGOMERY,JAREL",12 (+4),,8,,BEREA 12-8 (-4),,"GOOD FT by MONTGOMERY,JAREL",1
13:14,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
13:14,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
13:14,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
13:14,,,,,"SUB IN by MAUL,CALEB",,,"SUB IN by MAUL,CALEB",1
13:14,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",1
13:14,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",1
13:14,"GOOD FT by MONTGOMERY,JAREL",13 (+5),,8,,BEREA 13-8 (-5),,"GOOD FT by MONTGOMERY,JAREL",1
12:59,"FOUL  by HAMM,ANTHONY",,,,,,,"FOUL  by HAMM,ANTHONY",1
12:52,,,,,"TURNOVER  by COLEMAN,HUNTER",,,"TURNOVER  by COLEMAN,HUNTER",1
12:25,"MISS 3PTR by HAMM,ANTHONY",,,,,,,"MISS 3PTR by HAMM,ANTHONY",1
--,"REBOUND OFF by RILEY,BRYCE",,,,,,,"REBOUND OFF by RILEY,BRYCE",1
12:16,"GOOD 3PTR by MINTER,TREY",16 (+8),,8,,BEREA 16-8 (-8),,"GOOD 3PTR by MINTER,TREY",1
--,"ASSIST  by CAUDILL,ISAAC",,,,,,,"ASSIST  by CAUDILL,ISAAC",1
11:57,"FOUL  by BLACK,JAYLEN",,,,,,,"FOUL  by BLACK,JAYLEN",1
11:57,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",1
11:57,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",1
11:41,"FOUL  by MONTGOMERY,JAREL",,,,,,,"FOUL  by MONTGOMERY,JAREL",1
11:29,"MISS JUMPER by RILEY,BRYCE",,,,,,,"MISS JUMPER by RILEY,BRYCE",1
11:29,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
11:28,"FOUL  by RILEY,BRYCE",,,,,,,"FOUL  by RILEY,BRYCE",1
11:28,,,,,"MISS FT by WILSON,DREW",,,"MISS FT by WILSON,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:28,,,,,"MISS FT by WILSON,DREW",,,"MISS FT by WILSON,DREW",1
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",1
11:17,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
11:17,,,,,"SUB OUT by BUSH,TYLER",,,"SUB OUT by BUSH,TYLER",1
11:17,,,,,"SUB OUT by MAUL,CALEB",,,"SUB OUT by MAUL,CALEB",1
11:17,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
11:17,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
11:17,,,,,"SUB IN by WOOLDRIDGE,CARSON",,,"SUB IN by WOOLDRIDGE,CARSON",1
11:17,"SUB OUT by CAUDILL,ISAAC",,,,,,,"SUB OUT by CAUDILL,ISAAC",1
11:17,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",1
11:17,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
11:17,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",1
11:14,"MISS 3PTR by JONES,ANDREW",,,,,,,"MISS 3PTR by JONES,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:06,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by HAMM,ANTHONY",,,,,,,"REBOUND DEF by HAMM,ANTHONY",1
10:50,"GOOD 3PTR by JONES,ANDREW",19 (+11),,8,,BEREA 19-8 (-11),,"GOOD 3PTR by JONES,ANDREW",1
--,"ASSIST  by MINTER,TREY",,,,,,,"ASSIST  by MINTER,TREY",1
09:30,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
09:30,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
09:30,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",1
09:30,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",1
09:30,"SUB OUT by RILEY,BRYCE",,,,,,,"SUB OUT by RILEY,BRYCE",1
09:30,"SUB IN by CAUDILL,ISAAC",,,,,,,"SUB IN by CAUDILL,ISAAC",1
09:30,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",1
09:30,"SUB IN by MONTGOMERY,JAREL",,,,,,,"SUB IN by MONTGOMERY,JAREL",1
09:27,,19 (+9),,10,"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 19-10 (-9),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
09:17,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",1
09:17,"SUB IN by RILEY,BRYCE",,,,,,,"SUB IN by RILEY,BRYCE",1
09:13,"GOOD 3PTR by RILEY,BRYCE",22 (+12),,10,,BEREA 22-10 (-12),,"GOOD 3PTR by RILEY,BRYCE",1
09:09,"GOOD 3PTR by CAUDILL,ISAAC",25 (+15),,10,,BEREA 25-10 (-15),,"GOOD 3PTR by CAUDILL,ISAAC",1
09:09,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
08:54,"SUB OUT by RILEY,BRYCE",,,,,,,"SUB OUT by RILEY,BRYCE",1
08:54,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
08:49,,,,,"SUB OUT by WOOLDRIDGE,CARSON",,,"SUB OUT by WOOLDRIDGE,CARSON",1
08:49,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
08:49,"FOUL  by JONES,ANDREW",,,,,,,"FOUL  by JONES,ANDREW",1
08:39,,25 (+14),,11,"GOOD FT by MOORE,CHEZ",Centre 25-11 (-14),,"GOOD FT by MOORE,CHEZ",1
08:39,,25 (+13),,12,"GOOD FT by MOORE,CHEZ",Centre 25-12 (-13),,"GOOD FT by MOORE,CHEZ",1
08:37,"SUB OUT by BLACK,JAYLEN",,,,,,,"SUB OUT by BLACK,JAYLEN",1
08:37,"SUB IN by MINTER,TREY",,,,,,,"SUB IN by MINTER,TREY",1
08:32,"MISS JUMPER by MONTGOMERY,JAREL",,,,,,,"MISS JUMPER by MONTGOMERY,JAREL",1
--,,,,,"REBOUND DEF by BANKS,JAXSON",,,"REBOUND DEF by BANKS,JAXSON",1
08:10,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
08:10,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
08:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:38,"MISS 3PTR by JONES,ANDREW",,,,,,,"MISS 3PTR by JONES,ANDREW",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
07:24,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by MACKEY,MARQUIS",,,,,,,"REBOUND DEF by MACKEY,MARQUIS",1
07:12,"MISS 3PTR by MONTGOMERY,JAREL",,,,,,,"MISS 3PTR by MONTGOMERY,JAREL",1
--,"REBOUND OFF by JONES,ANDREW",,,,,,,"REBOUND OFF by JONES,ANDREW",1
06:58,"GOOD 3PTR by CAUDILL,ISAAC",28 (+16),,12,,BEREA 28-12 (-16),,"GOOD 3PTR by CAUDILL,ISAAC",1
--,"ASSIST  by MINTER,TREY",,,,,,,"ASSIST  by MINTER,TREY",1
06:42,"FOUL  by CAUDILL,ISAAC",,,,,,,"FOUL  by CAUDILL,ISAAC",1
06:39,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
06:39,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
06:39,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",1
06:39,"SUB IN by BOGGS,TYLER",,,,,,,"SUB IN by BOGGS,TYLER",1
06:39,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",1
--,"REBOUND DEF by BOGGS,TYLER",,,,,,,"REBOUND DEF by BOGGS,TYLER",1
06:35,"TURNOVER  by MINTER,TREY",,,,,,,"TURNOVER  by MINTER,TREY",1
06:35,,,,,"STEAL  by RING,NOAH",,,"STEAL  by RING,NOAH",1
06:27,"FOUL  by MONTGOMERY,JAREL",,,,,,,"FOUL  by MONTGOMERY,JAREL",1
06:22,,28 (+15),,13,"GOOD FT by BAUGHMAN,CARTER(fastbreak)",Centre 28-13 (-15),,"GOOD FT by BAUGHMAN,CARTER(fastbreak)",1
06:22,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
06:22,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
06:22,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",1
06:22,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",1
06:15,,28 (+14),,14,"GOOD FT by BAUGHMAN,CARTER(fastbreak)",Centre 28-14 (-14),,"GOOD FT by BAUGHMAN,CARTER(fastbreak)",1
05:51,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",,,,,,,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",1
--,,,,,"REBOUND DEF by MARKHAM,DRU",,,"REBOUND DEF by MARKHAM,DRU",1
05:33,,28 (+12),,16,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 28-16 (-12),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"ASSIST  by COLEMAN,HUNTER",,,"ASSIST  by COLEMAN,HUNTER",1
05:17,"MISS JUMPER by CAUDILL,ISAAC",,,,,,,"MISS JUMPER by CAUDILL,ISAAC",1
--,"REBOUND OFF by MACKEY,MARQUIS",,,,,,,"REBOUND OFF by MACKEY,MARQUIS",1
05:09,"GOOD LAYUP by MACKEY,MARQUIS(in the paint)",30 (+14),,16,,BEREA 30-16 (-14),,"GOOD LAYUP by MACKEY,MARQUIS(in the paint)",1
04:51,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",1
--,"REBOUND DEF by CAUDILL,ISAAC",,,,,,,"REBOUND DEF by CAUDILL,ISAAC",1
04:44,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",,,,,,,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",1
04:44,,,,,"BLOCK  by COLEMAN,HUNTER",,,"BLOCK  by COLEMAN,HUNTER",1
--,"REBOUND OFF by BOGGS,TYLER",,,,,,,"REBOUND OFF by BOGGS,TYLER",1
04:24,"MISS JUMPER by MACKEY,MARQUIS",,,,,,,"MISS JUMPER by MACKEY,MARQUIS",1
--,"REBOUND OFF by BLACK,JAYLEN",,,,,,,"REBOUND OFF by BLACK,JAYLEN",1
04:14,"MISS JUMPER by BLACK,JAYLEN",,,,,,,"MISS JUMPER by BLACK,JAYLEN",1
--,,,,,"REBOUND DEF by MARKHAM,DRU",,,"REBOUND DEF by MARKHAM,DRU",1
04:04,,30 (+11),,19,"GOOD 3PTR by STINNETT,CADE",Centre 30-19 (-11),,"GOOD 3PTR by STINNETT,CADE",1
--,,,,,"ASSIST  by MOORE,CHEZ",,,"ASSIST  by MOORE,CHEZ",1
03:37,"MISS JUMPER by CAUDILL,ISAAC(in the paint)",,,,,,,"MISS JUMPER by CAUDILL,ISAAC(in the paint)",1
03:37,,,,,"BLOCK  by MOORE,CHEZ",,,"BLOCK  by MOORE,CHEZ",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
03:24,,30 (+9),,21,"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 30-21 (-9),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
--,,,,,"ASSIST  by MARKHAM,DRU",,,"ASSIST  by MARKHAM,DRU",1
03:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:01,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
03:01,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",1
03:01,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
03:01,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
03:01,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",1
03:01,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",1
03:01,"SUB IN by RILEY,BRYCE",,,,,,,"SUB IN by RILEY,BRYCE",1
03:01,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
02:51,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
02:51,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
02:51,"MISS 3PTR by MINTER,TREY",,,,,,,"MISS 3PTR by MINTER,TREY",1
--,,,,,"REBOUND DEF by MARKHAM,DRU",,,"REBOUND DEF by MARKHAM,DRU",1
02:51,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",1
02:51,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
02:36,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
02:25,"GOOD JUMPER by MINTER,TREY(in the paint)",32 (+11),,21,,BEREA 32-21 (-11),,"GOOD JUMPER by MINTER,TREY(in the paint)",1
02:09,"FOUL  by JONES,ANDREW",,,,,,,"FOUL  by JONES,ANDREW",1
02:06,,32 (+10),,22,"GOOD FT by MOORE,CHEZ",Centre 32-22 (-10),,"GOOD FT by MOORE,CHEZ",1
02:06,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
02:06,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
02:06,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",1
02:06,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",1
02:06,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",1
--,"REBOUND DEF by RILEY,BRYCE",,,,,,,"REBOUND DEF by RILEY,BRYCE",1
01:53,"MISS JUMPER by MINTER,TREY",,,,,,,"MISS JUMPER by MINTER,TREY",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
01:48,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",1
01:48,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
01:44,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
01:44,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
01:16,"TURNOVER  by RILEY,BRYCE",,,,,,,"TURNOVER  by RILEY,BRYCE",1
01:16,,,,,"STEAL  by STINNETT,CADE",,,"STEAL  by STINNETT,CADE",1
01:03,,,,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",1
--,"REBOUND DEF by BLACK,JAYLEN",,,,,,,"REBOUND DEF by BLACK,JAYLEN",1
00:52,"MISS LAYUP by BLACK,JAYLEN(in the paint)",,,,,,,"MISS LAYUP by BLACK,JAYLEN(in the paint)",1
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",1
00:43,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",1
00:43,"STEAL  by MINTER,TREY",,,,,,,"STEAL  by MINTER,TREY",1
00:43,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
00:43,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
00:43,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
00:43,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",1
00:43,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
00:43,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
00:43,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
00:43,"GOOD FT by MINTER,TREY(fastbreak)",33 (+11),,22,,BEREA 33-22 (-11),,"GOOD FT by MINTER,TREY(fastbreak)",1
00:43,"GOOD FT by MINTER,TREY(fastbreak)",34 (+12),,22,,BEREA 34-22 (-12),,"GOOD FT by MINTER,TREY(fastbreak)",1
00:43,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",1
00:43,"SUB OUT by CAUDILL,ISAAC",,,,,,,"SUB OUT by CAUDILL,ISAAC",1
00:43,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",1
00:43,"SUB IN by TWIGGS,KAEDEN",,,,,,,"SUB IN by TWIGGS,KAEDEN",1
00:33,"FOUL  by HAMM,ANTHONY",,,,,,,"FOUL  by HAMM,ANTHONY",1
00:33,,34 (+11),,23,"GOOD FT by BAUGHMAN,CARTER",Centre 34-23 (-11),,"GOOD FT by BAUGHMAN,CARTER",1
00:33,"SUB OUT by RILEY,BRYCE",,,,,,,"SUB OUT by RILEY,BRYCE",1
00:33,"SUB IN by COOPER,CONNOR",,,,,,,"SUB IN by COOPER,CONNOR",1
00:33,,34 (+10),,24,"GOOD FT by BAUGHMAN,CARTER",Centre 34-24 (-10),,"GOOD FT by BAUGHMAN,CARTER",1
00:28,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
00:28,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
00:28,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
00:28,,,,,"SUB IN by WOOLDRIDGE,CARSON",,,"SUB IN by WOOLDRIDGE,CARSON",1
00:01,"MISS 3PTR by COOPER,CONNOR",,,,,,,"MISS 3PTR by COOPER,CONNOR",1
00:00,"SUB OUT by COOPER,CONNOR",,,,,,,"SUB OUT by COOPER,CONNOR",1
00:00,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",1
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",1
20:00,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
20:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
20:00,,,,,"SUB OUT by WOOLDRIDGE,CARSON",,,"SUB OUT by WOOLDRIDGE,CARSON",2
20:00,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
20:00,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
20:00,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
20:00,"SUB OUT by BLACK,JAYLEN",,,,,,,"SUB OUT by BLACK,JAYLEN",2
20:00,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",2
20:00,"SUB OUT by TWIGGS,KAEDEN",,,,,,,"SUB OUT by TWIGGS,KAEDEN",2
20:00,"SUB IN by MINTER,TREY",,,,,,,"SUB IN by MINTER,TREY",2
20:00,"SUB IN by CAUDILL,ISAAC",,,,,,,"SUB IN by CAUDILL,ISAAC",2
20:00,"SUB IN by MONTGOMERY,JAREL",,,,,,,"SUB IN by MONTGOMERY,JAREL",2
