Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:34,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
19:34,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",1
19:03,,0,,3 (+3),"GOOD 3PTR by STINNETT,CADE",Centre 0-3 (+3),,"GOOD 3PTR by STINNETT,CADE",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
18:42,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",1
18:27,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
18:16,"GOOD JUMPER by ESSICK,JALEN",2,,3 (+1),,Rhodes 2-3 (+1),,"GOOD JUMPER by ESSICK,JALEN",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
17:59,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by WALKER,JEFFERSON",,,,,,,"REBOUND DEF by WALKER,JEFFERSON",1
17:45,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
17:34,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by WALKER,JEFFERSON",,,,,,,"REBOUND DEF by WALKER,JEFFERSON",1
17:13,"GOOD JUMPER by WILEY,KOKI(in the paint)",4 (+1),,3,,Rhodes 4-3 (-1),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
16:41,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
16:27,,4,,5 (+1),"GOOD JUMPER by WILSON,DREW(in the paint)",Centre 4-5 (+1),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
16:00,"GOOD 3PTR by WILLIAMS,ZAVIEN",7 (+2),,5,,Rhodes 7-5 (-2),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
15:26,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
15:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:26,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
15:26,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
15:26,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
15:26,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
15:26,,7 (+1),,6,"GOOD FT by STINNETT,CADE",Centre 7-6 (-1),,"GOOD FT by STINNETT,CADE",1
15:26,,7,,7,"GOOD FT by STINNETT,CADE",Centre 7-7 (0),,"GOOD FT by STINNETT,CADE",1
15:07,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",1
15:02,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
14:43,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
14:23,"GOOD JUMPER by ESSICK,JALEN(in the paint)",9 (+2),,7,,Rhodes 9-7 (-2),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
14:08,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
13:59,,,,,"FOUL  by COLEMAN,HUNTER",,,"FOUL  by COLEMAN,HUNTER",1
13:59,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
