Time Remaining,GBORO,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
17:25,"TURNOVER  by SERGI,MASON",,,,,,,"TURNOVER  by SERGI,MASON",1
17:05,,2,,5 (+3),"GOOD 3PTR by WILSON,DREW",Centre 2-5 (+3),,"GOOD 3PTR by WILSON,DREW",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
16:31,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
16:12,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",1
16:07,,,,,"MISS LAYUP by RING,NOAH(in the paint)",,,"MISS LAYUP by RING,NOAH(in the paint)",1
--,"REBOUND DEF by HILL,TY",,,,,,,"REBOUND DEF by HILL,TY",1
16:00,"GOOD LAYUP by HILL,TY(fastbreak)(in the paint)",4,,5 (+1),,GBORO 4-5 (+1),,"GOOD LAYUP by HILL,TY(fastbreak)(in the paint)",1
15:41,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",1
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",1
15:29,"GOOD LAYUP by BOULWARE,TIM(in the paint)",6 (+1),,5,,GBORO 6-5 (-1),,"GOOD LAYUP by BOULWARE,TIM(in the paint)",1
15:04,"FOUL  by HILL,TY",,,,,,,"FOUL  by HILL,TY",1
15:04,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:04,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
15:04,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
15:04,"SUB OUT by HILL,TY",,,,,,,"SUB OUT by HILL,TY",1
15:04,"SUB OUT by BROWN,MATTHEW",,,,,,,"SUB OUT by BROWN,MATTHEW",1
15:04,"SUB IN by ALVEY,ERIK",,,,,,,"SUB IN by ALVEY,ERIK",1
15:04,"SUB IN by THOMPSON,GRANT",,,,,,,"SUB IN by THOMPSON,GRANT",1
15:04,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
15:04,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
15:04,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",1
--,"REBOUND DEF by SERGI,MASON",,,,,,,"REBOUND DEF by SERGI,MASON",1
14:46,"GOOD JUMPER by ALVEY,ERIK(in the paint)",8 (+3),,5,,GBORO 8-5 (-3),,"GOOD JUMPER by ALVEY,ERIK(in the paint)",1
--,"ASSIST  by THOMPSON,GRANT",,,,,,,"ASSIST  by THOMPSON,GRANT",1
14:25,,,,,"TURNOVER  by KNOCHELMANN,PETE",,,"TURNOVER  by KNOCHELMANN,PETE",1
14:25,"STEAL  by SERGI,MASON",,,,,,,"STEAL  by SERGI,MASON",1
14:16,"MISS 3PTR by BOULWARE,TIM",,,,,,,"MISS 3PTR by BOULWARE,TIM",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
14:01,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by BOULWARE,TIM",,,,,,,"REBOUND DEF by BOULWARE,TIM",1
13:50,"TURNOVER  by ALVEY,ERIK",,,,,,,"TURNOVER  by ALVEY,ERIK",1
13:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:50,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
13:50,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
13:50,"SUB OUT by BOULWARE,TIM",,,,,,,"SUB OUT by BOULWARE,TIM",1
13:50,"SUB OUT by PRUETT,ISAIAH",,,,,,,"SUB OUT by PRUETT,ISAIAH",1
13:50,"SUB IN by HILL,TY",,,,,,,"SUB IN by HILL,TY",1
13:50,"SUB IN by BROWN,MATTHEW",,,,,,,"SUB IN by BROWN,MATTHEW",1
13:36,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",1
13:36,"BLOCK  by THOMPSON,GRANT",,,,,,,"BLOCK  by THOMPSON,GRANT",1
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",1
13:29,"GOOD LAYUP by SERGI,MASON(in the paint)",10 (+5),,5,,GBORO 10-5 (-5),,"GOOD LAYUP by SERGI,MASON(in the paint)",1
13:29,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
13:29,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
13:29,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
13:29,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
13:29,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
13:29,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
13:29,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
13:29,,,,,"SUB IN by RAYMER,COLBY",,,"SUB IN by RAYMER,COLBY",1
13:29,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
13:28,"MISS FT by SERGI,MASON",,,,,,,"MISS FT by SERGI,MASON",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
13:09,,10 (+2),,8,"GOOD 3PTR by RING,NOAH",Centre 10-8 (-2),,"GOOD 3PTR by RING,NOAH",1
--,,,,,"ASSIST  by MARKHAM,DRU",,,"ASSIST  by MARKHAM,DRU",1
12:46,"GOOD LAYUP by THOMPSON,GRANT(in the paint)",12 (+4),,8,,GBORO 12-8 (-4),,"GOOD LAYUP by THOMPSON,GRANT(in the paint)",1
--,"ASSIST  by BROWN,MATTHEW",,,,,,,"ASSIST  by BROWN,MATTHEW",1
12:34,,,,,"TURNOVER  by RAYMER,COLBY",,,"TURNOVER  by RAYMER,COLBY",1
12:34,"STEAL  by HILL,TY",,,,,,,"STEAL  by HILL,TY",1
12:34,,,,,"FOUL  by RAYMER,COLBY",,,"FOUL  by RAYMER,COLBY",1
12:34,"SUB OUT by SERGI,MASON",,,,,,,"SUB OUT by SERGI,MASON",1
12:34,"SUB IN by WALTERS,RUJON",,,,,,,"SUB IN by WALTERS,RUJON",1
12:15,"MISS LAYUP by THOMPSON,GRANT(in the paint)",,,,,,,"MISS LAYUP by THOMPSON,GRANT(in the paint)",1
--,"REBOUND OFF by THOMPSON,GRANT",,,,,,,"REBOUND OFF by THOMPSON,GRANT",1
12:12,,,,,"FOUL  by RAYMER,COLBY",,,"FOUL  by RAYMER,COLBY",1
12:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:12,"MISS FT by THOMPSON,GRANT",,,,,,,"MISS FT by THOMPSON,GRANT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:12,"GOOD FT by THOMPSON,GRANT",13 (+5),,8,,GBORO 13-8 (-5),,"GOOD FT by THOMPSON,GRANT",1
11:57,,,,,"SUB OUT by RAYMER,COLBY",,,"SUB OUT by RAYMER,COLBY",1
11:57,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
11:47,,,,,"MISS LAYUP by COLEMAN,HUNTER(in the paint)",,,"MISS LAYUP by COLEMAN,HUNTER(in the paint)",1
--,"REBOUND DEF by ALVEY,ERIK",,,,,,,"REBOUND DEF by ALVEY,ERIK",1
11:34,"MISS LAYUP by ALVEY,ERIK(in the paint)",,,,,,,"MISS LAYUP by ALVEY,ERIK(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
11:26,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:22,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",1
11:22,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
11:19,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",1
11:07,"MISS 3PTR by ALVEY,ERIK",,,,,,,"MISS 3PTR by ALVEY,ERIK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:04,"SUB OUT by ALVEY,ERIK",,,,,,,"SUB OUT by ALVEY,ERIK",1
11:04,"SUB OUT by BROWN,MATTHEW",,,,,,,"SUB OUT by BROWN,MATTHEW",1
11:04,"SUB OUT by THOMPSON,GRANT",,,,,,,"SUB OUT by THOMPSON,GRANT",1
11:04,"SUB IN by BOULWARE,TIM",,,,,,,"SUB IN by BOULWARE,TIM",1
11:04,"SUB IN by PRUETT,ISAIAH",,,,,,,"SUB IN by PRUETT,ISAIAH",1
11:04,"SUB IN by GARY,CASSIUS",,,,,,,"SUB IN by GARY,CASSIUS",1
10:39,,13 (+2),,11,"GOOD 3PTR by TAYLOR,MARSHALL",Centre 13-11 (-2),,"GOOD 3PTR by TAYLOR,MARSHALL",1
10:23,"TURNOVER  by HILL,TY",,,,,,,"TURNOVER  by HILL,TY",1
10:23,"SUB OUT by HILL,TY",,,,,,,"SUB OUT by HILL,TY",1
10:23,"SUB IN by SERGI,MASON",,,,,,,"SUB IN by SERGI,MASON",1
10:12,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by GARY,CASSIUS",,,,,,,"REBOUND DEF by GARY,CASSIUS",1
10:00,"MISS LAYUP by WALTERS,RUJON(in the paint)",,,,,,,"MISS LAYUP by WALTERS,RUJON(in the paint)",1
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",1
09:51,,13,,13,"GOOD JUMPER by TAYLOR,MARSHALL",Centre 13-13 (0),,"GOOD JUMPER by TAYLOR,MARSHALL",1
09:38,"TURNOVER  by WALTERS,RUJON",,,,,,,"TURNOVER  by WALTERS,RUJON",1
09:38,,,,,"STEAL  by MOORE,CHEZ",,,"STEAL  by MOORE,CHEZ",1
09:19,,13,,16 (+3),"GOOD 3PTR by TAYLOR,MARSHALL",Centre 13-16 (+3),,"GOOD 3PTR by TAYLOR,MARSHALL",1
--,,,,,"ASSIST  by RING,NOAH",,,"ASSIST  by RING,NOAH",1
09:03,"MISS 3PTR by PRUETT,ISAIAH",,,,,,,"MISS 3PTR by PRUETT,ISAIAH",1
--,"REBOUND OFF by BOULWARE,TIM",,,,,,,"REBOUND OFF by BOULWARE,TIM",1
09:01,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
09:01,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
09:01,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
09:01,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
09:01,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
09:01,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
09:01,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
08:53,"GOOD JUMPER by BOULWARE,TIM(in the paint)",15,,16 (+1),,GBORO 15-16 (+1),,"GOOD JUMPER by BOULWARE,TIM(in the paint)",1
08:35,,15,,18 (+3),"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 15-18 (+3),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
08:11,"MISS JUMPER by WALTERS,RUJON",,,,,,,"MISS JUMPER by WALTERS,RUJON",1
--,"REBOUND OFF by GARY,CASSIUS",,,,,,,"REBOUND OFF by GARY,CASSIUS",1
08:08,"MISS LAYUP by GARY,CASSIUS(in the paint)",,,,,,,"MISS LAYUP by GARY,CASSIUS(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:08,"SUB OUT by GARY,CASSIUS",,,,,,,"SUB OUT by GARY,CASSIUS",1
08:08,"SUB IN by BROWN,MATTHEW",,,,,,,"SUB IN by BROWN,MATTHEW",1
08:02,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
08:00,"MISS FT by WALTERS,RUJON",,,,,,,"MISS FT by WALTERS,RUJON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:00,"GOOD FT by WALTERS,RUJON",16,,18 (+2),,GBORO 16-18 (+2),,"GOOD FT by WALTERS,RUJON",1
08:00,"SUB OUT by WALTERS,RUJON",,,,,,,"SUB OUT by WALTERS,RUJON",1
08:00,"SUB IN by HILL,TY",,,,,,,"SUB IN by HILL,TY",1
07:47,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
07:47,"BLOCK  by BROWN,MATTHEW",,,,,,,"BLOCK  by BROWN,MATTHEW",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:44,,16,,20 (+4),"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 16-20 (+4),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
07:44,"FOUL  by SERGI,MASON",,,,,,,"FOUL  by SERGI,MASON",1
07:44,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
07:44,,,,,"SUB IN by LOVELL,TREY",,,"SUB IN by LOVELL,TREY",1
07:44,"SUB OUT by SERGI,MASON",,,,,,,"SUB OUT by SERGI,MASON",1
07:44,"SUB IN by ALVEY,ERIK",,,,,,,"SUB IN by ALVEY,ERIK",1
07:44,,16,,21 (+5),"GOOD FT by STINNETT,CADE",Centre 16-21 (+5),,"GOOD FT by STINNETT,CADE",1
07:28,"MISS JUMPER by BOULWARE,TIM(in the paint)",,,,,,,"MISS JUMPER by BOULWARE,TIM(in the paint)",1
--,,,,,"REBOUND DEF by KNOCHELMANN,PETE",,,"REBOUND DEF by KNOCHELMANN,PETE",1
07:12,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",1
07:01,"MISS JUMPER by BOULWARE,TIM",,,,,,,"MISS JUMPER by BOULWARE,TIM",1
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",1
06:58,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
--,"REBOUND DEF by BOULWARE,TIM",,,,,,,"REBOUND DEF by BOULWARE,TIM",1
06:45,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
06:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:45,"GOOD FT by BOULWARE,TIM",17,,21 (+4),,GBORO 17-21 (+4),,"GOOD FT by BOULWARE,TIM",1
06:45,,,,,"SUB OUT by LOVELL,TREY",,,"SUB OUT by LOVELL,TREY",1
06:45,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
06:45,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
06:45,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
06:45,"GOOD FT by BOULWARE,TIM",18,,21 (+3),,GBORO 18-21 (+3),,"GOOD FT by BOULWARE,TIM",1
06:45,"SUB OUT by BOULWARE,TIM",,,,,,,"SUB OUT by BOULWARE,TIM",1
06:45,"SUB IN by THOMPSON,GRANT",,,,,,,"SUB IN by THOMPSON,GRANT",1
06:19,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",1
06:19,"STEAL  by PRUETT,ISAIAH",,,,,,,"STEAL  by PRUETT,ISAIAH",1
06:19,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
06:19,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
06:19,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
06:19,"MISS FT by PRUETT,ISAIAH",,,,,,,"MISS FT by PRUETT,ISAIAH",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
06:08,"FOUL  by THOMPSON,GRANT",,,,,,,"FOUL  by THOMPSON,GRANT",1
06:08,,18,,22 (+4),"GOOD FT by STINNETT,CADE",Centre 18-22 (+4),,"GOOD FT by STINNETT,CADE",1
06:08,,18,,23 (+5),"GOOD FT by STINNETT,CADE",Centre 18-23 (+5),,"GOOD FT by STINNETT,CADE",1
05:49,"MISS LAYUP by BROWN,MATTHEW(in the paint)",,,,,,,"MISS LAYUP by BROWN,MATTHEW(in the paint)",1
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",1
05:25,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by HILL,TY",,,,,,,"REBOUND DEF by HILL,TY",1
05:17,"MISS 3PTR by BROWN,MATTHEW",,,,,,,"MISS 3PTR by BROWN,MATTHEW",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
05:06,"FOUL  by BROWN,MATTHEW",,,,,,,"FOUL  by BROWN,MATTHEW",1
05:06,"SUB OUT by ALVEY,ERIK",,,,,,,"SUB OUT by ALVEY,ERIK",1
05:06,"SUB OUT by BROWN,MATTHEW",,,,,,,"SUB OUT by BROWN,MATTHEW",1
05:06,"SUB IN by SERGI,MASON",,,,,,,"SUB IN by SERGI,MASON",1
05:06,"SUB IN by BOULWARE,TIM",,,,,,,"SUB IN by BOULWARE,TIM",1
04:53,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND DEF by PRUETT,ISAIAH",,,,,,,"REBOUND DEF by PRUETT,ISAIAH",1
04:46,"MISS 3PTR by HILL,TY",,,,,,,"MISS 3PTR by HILL,TY",1
--,"REBOUND OFF by BOULWARE,TIM",,,,,,,"REBOUND OFF by BOULWARE,TIM",1
04:41,"MISS LAYUP by BOULWARE,TIM(in the paint)",,,,,,,"MISS LAYUP by BOULWARE,TIM(in the paint)",1
--,"REBOUND OFF by BOULWARE,TIM",,,,,,,"REBOUND OFF by BOULWARE,TIM",1
04:39,"MISS LAYUP by BOULWARE,TIM(in the paint)",,,,,,,"MISS LAYUP by BOULWARE,TIM(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:39,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
04:39,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
04:26,"GOOD 3PTR by PRUETT,ISAIAH",21,,23 (+2),,GBORO 21-23 (+2),,"GOOD 3PTR by PRUETT,ISAIAH",1
--,"ASSIST  by HILL,TY",,,,,,,"ASSIST  by HILL,TY",1
04:00,,21,,25 (+4),"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",Centre 21-25 (+4),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
03:35,"MISS 3PTR by HILL,TY",,,,,,,"MISS 3PTR by HILL,TY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:32,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:21,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",1
03:21,"BLOCK  by HILL,TY",,,,,,,"BLOCK  by HILL,TY",1
--,,,,,"REBOUND OFF by COLEMAN,HUNTER",,,"REBOUND OFF by COLEMAN,HUNTER",1
03:02,,21,,28 (+7),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 21-28 (+7),,"GOOD 3PTR by BAUGHMAN,CARTER",1
02:44,"GOOD 3PTR by HILL,TY",24,,28 (+4),,GBORO 24-28 (+4),,"GOOD 3PTR by HILL,TY",1
--,"ASSIST  by BOULWARE,TIM",,,,,,,"ASSIST  by BOULWARE,TIM",1
02:18,"FOUL  by THOMPSON,GRANT",,,,,,,"FOUL  by THOMPSON,GRANT",1
02:18,,,,,"MISS FT by COLEMAN,HUNTER",,,"MISS FT by COLEMAN,HUNTER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:18,"SUB OUT by THOMPSON,GRANT",,,,,,,"SUB OUT by THOMPSON,GRANT",1
02:18,"SUB IN by BROWN,MATTHEW",,,,,,,"SUB IN by BROWN,MATTHEW",1
02:18,,,,,"MISS FT by COLEMAN,HUNTER",,,"MISS FT by COLEMAN,HUNTER",1
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",1
01:58,"GOOD LAYUP by SERGI,MASON(in the paint)",26,,28 (+2),,GBORO 26-28 (+2),,"GOOD LAYUP by SERGI,MASON(in the paint)",1
--,"ASSIST  by HILL,TY",,,,,,,"ASSIST  by HILL,TY",1
01:37,,,,,"TURNOVER  by COLEMAN,HUNTER",,,"TURNOVER  by COLEMAN,HUNTER",1
01:37,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
01:37,,,,,"SUB IN by RAYMER,COLBY",,,"SUB IN by RAYMER,COLBY",1
01:18,"TURNOVER  by BROWN,MATTHEW",,,,,,,"TURNOVER  by BROWN,MATTHEW",1
01:18,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
01:18,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
00:49,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,"REBOUND DEF by HILL,TY",,,,,,,"REBOUND DEF by HILL,TY",1
00:42,"MISS JUMPER by HILL,TY",,,,,,,"MISS JUMPER by HILL,TY",1
--,"REBOUND OFF by HILL,TY",,,,,,,"REBOUND OFF by HILL,TY",1
00:38,"GOOD 3PTR by BROWN,MATTHEW",29 (+1),,28,,GBORO 29-28 (-1),,"GOOD 3PTR by BROWN,MATTHEW",1
--,"ASSIST  by HILL,TY",,,,,,,"ASSIST  by HILL,TY",1
00:01,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
00:01,,,,,"SUB OUT by RAYMER,COLBY",,,"SUB OUT by RAYMER,COLBY",1
00:01,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
00:01,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
00:01,"SUB OUT by PRUETT,ISAIAH",,,,,,,"SUB OUT by PRUETT,ISAIAH",1
00:01,"SUB IN by ALVEY,ERIK",,,,,,,"SUB IN by ALVEY,ERIK",1
00:00,,,,,"MISS JUMPER by TAYLOR,MARSHALL",,,"MISS JUMPER by TAYLOR,MARSHALL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
20:00,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
20:00,"SUB OUT by ALVEY,ERIK",,,,,,,"SUB OUT by ALVEY,ERIK",2
20:00,"SUB IN by PRUETT,ISAIAH",,,,,,,"SUB IN by PRUETT,ISAIAH",2
19:55,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
19:55,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
19:45,"GOOD LAYUP by BOULWARE,TIM(in the paint)",31 (+3),,28,,GBORO 31-28 (-3),,"GOOD LAYUP by BOULWARE,TIM(in the paint)",2
19:30,,31 (+1),,30,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 31-30 (-1),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
19:22,"MISS JUMPER by BROWN,MATTHEW",,,,,,,"MISS JUMPER by BROWN,MATTHEW",2
