Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
19:41,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2 (+2),,0,,Centre 2-0 (+2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
19:21,,,,,"MISS 3PTR by CRAWFORD,ANDRE",,,"MISS 3PTR by CRAWFORD,ANDRE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:52,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",1
--,,,,,"REBOUND DEF by CRAWFORD,ANDRE",,,"REBOUND DEF by CRAWFORD,ANDRE",1
18:29,,,,,"TURNOVER  by DILLARD,ANTHONY",,,"TURNOVER  by DILLARD,ANTHONY",1
18:29,"STEAL  by COLEMAN,HUNTER",,,,,,,"STEAL  by COLEMAN,HUNTER",1
18:23,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by CRAWFORD,ANDRE",,,"REBOUND DEF by CRAWFORD,ANDRE",1
18:14,,2,,2,"GOOD JUMPER by JOHNSON,JACOBY(fastbreak)(in the paint)",SU 2-2 (0),,"GOOD JUMPER by JOHNSON,JACOBY(fastbreak)(in the paint)",1
17:55,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",1
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",1
17:47,,2,,4 (+2),"GOOD JUMPER by JOHNSON,JACOBY(fastbreak)",SU 2-4 (-2),,"GOOD JUMPER by JOHNSON,JACOBY(fastbreak)",1
17:26,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
17:26,,,,,"BLOCK  by CAMPBELL,MAXTON",,,"BLOCK  by CAMPBELL,MAXTON",1
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",1
17:01,,,,,"MISS JUMPER by DILLARD,ANTHONY(in the paint)",,,"MISS JUMPER by DILLARD,ANTHONY(in the paint)",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
16:53,"MISS JUMPER by RING,NOAH(in the paint)",,,,,,,"MISS JUMPER by RING,NOAH(in the paint)",1
--,,,,,"REBOUND DEF by CRAWFORD,ANDRE",,,"REBOUND DEF by CRAWFORD,ANDRE",1
16:28,,,,,"MISS LAYUP by CAMPBELL,MAXTON(in the paint)",,,"MISS LAYUP by CAMPBELL,MAXTON(in the paint)",1
--,,,,,"REBOUND OFF by CRAWFORD,ANDRE",,,"REBOUND OFF by CRAWFORD,ANDRE",1
16:21,,2,,6 (+4),"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",SU 2-6 (-4),,"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",1
--,,,,,"ASSIST  by CRAWFORD,ANDRE",,,"ASSIST  by CRAWFORD,ANDRE",1
16:08,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",4,,6 (+2),,Centre 4-6 (-2),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
15:48,,,,,"TURNOVER  by DILLARD,ANTHONY",,,"TURNOVER  by DILLARD,ANTHONY",1
15:48,,,,,"SUB OUT by CRAWFORD,ANDRE",,,"SUB OUT by CRAWFORD,ANDRE",1
15:48,,,,,"SUB OUT by DILLARD,ANTHONY",,,"SUB OUT by DILLARD,ANTHONY",1
15:48,,,,,"SUB IN by BRADFORD,CADEN",,,"SUB IN by BRADFORD,CADEN",1
15:48,,,,,"SUB IN by MCCAMPBELL,DEVONTE",,,"SUB IN by MCCAMPBELL,DEVONTE",1
15:48,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
15:48,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
15:22,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by MCCAMPBELL,DEVONTE",,,"REBOUND DEF by MCCAMPBELL,DEVONTE",1
15:01,,4,,8 (+4),"GOOD JUMPER by JOHNSON,JACOBY",SU 4-8 (-4),,"GOOD JUMPER by JOHNSON,JACOBY",1
--,,,,,"ASSIST  by MCCAMPBELL,DEVONTE",,,"ASSIST  by MCCAMPBELL,DEVONTE",1
14:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:40,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND DEF by MCCAMPBELL,DEVONTE",,,"REBOUND DEF by MCCAMPBELL,DEVONTE",1
14:27,,4,,10 (+6),"GOOD JUMPER by JOHNSON,JACOBY(in the paint)",SU 4-10 (-6),,"GOOD JUMPER by JOHNSON,JACOBY(in the paint)",1
14:06,,,,,"FOUL  by MCCAMPBELL,DEVONTE",,,"FOUL  by MCCAMPBELL,DEVONTE",1
14:06,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",1
14:06,,,,,"SUB IN by DILLARD,ANTHONY",,,"SUB IN by DILLARD,ANTHONY",1
14:06,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",1
14:06,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
14:06,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
14:06,"SUB IN by LOVELL,TREY",,,,,,,"SUB IN by LOVELL,TREY",1
14:00,"MISS JUMPER by STINNETT,CADE(in the paint)",,,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",1
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",1
13:53,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",1
13:47,"FOUL  by MARKHAM,DRU",,,,,,,"FOUL  by MARKHAM,DRU",1
13:47,,,,,"MISS FT by DILLARD,ANTHONY(fastbreak)",,,"MISS FT by DILLARD,ANTHONY(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:47,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
13:47,"SUB IN by MAUL,CALEB",,,,,,,"SUB IN by MAUL,CALEB",1
13:47,,,,,"MISS FT by DILLARD,ANTHONY(fastbreak)",,,"MISS FT by DILLARD,ANTHONY(fastbreak)",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
13:26,"GOOD 3PTR by STINNETT,CADE",7,,10 (+3),,Centre 7-10 (-3),,"GOOD 3PTR by STINNETT,CADE",1
--,"ASSIST  by LOVELL,TREY",,,,,,,"ASSIST  by LOVELL,TREY",1
13:18,,,,,"MISS 3PTR by BRADFORD,CADEN",,,"MISS 3PTR by BRADFORD,CADEN",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
13:06,"MISS 3PTR by MARKHAM,DRU",,,,,,,"MISS 3PTR by MARKHAM,DRU",1
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",1
12:58,"FOUL  by MAUL,CALEB",,,,,,,"FOUL  by MAUL,CALEB",1
12:58,,7,,11 (+4),"GOOD FT by DILLARD,ANTHONY(fastbreak)",SU 7-11 (-4),,"GOOD FT by DILLARD,ANTHONY(fastbreak)",1
12:58,,,,,"SUB OUT by JOHNSON,JACOBY",,,"SUB OUT by JOHNSON,JACOBY",1
12:58,,,,,"SUB OUT by HENSON,JONATHAN",,,"SUB OUT by HENSON,JONATHAN",1
12:58,,,,,"SUB IN by STORM,CHARLIE",,,"SUB IN by STORM,CHARLIE",1
12:58,,,,,"SUB IN by BYRON,MARLIN",,,"SUB IN by BYRON,MARLIN",1
12:58,,7,,12 (+5),"GOOD FT by DILLARD,ANTHONY(fastbreak)",SU 7-12 (-5),,"GOOD FT by DILLARD,ANTHONY(fastbreak)",1
12:46,"GOOD JUMPER by STINNETT,CADE(in the paint)",9,,12 (+3),,Centre 9-12 (-3),,"GOOD JUMPER by STINNETT,CADE(in the paint)",1
12:38,,,,,"MISS JUMPER by STORM,CHARLIE",,,"MISS JUMPER by STORM,CHARLIE",1
--,,,,,"REBOUND OFF by DILLARD,ANTHONY",,,"REBOUND OFF by DILLARD,ANTHONY",1
12:34,,,,,"MISS LAYUP by DILLARD,ANTHONY(in the paint)",,,"MISS LAYUP by DILLARD,ANTHONY(in the paint)",1
--,"REBOUND DEF by MARKHAM,DRU",,,,,,,"REBOUND DEF by MARKHAM,DRU",1
12:16,"TURNOVER  by MAUL,CALEB",,,,,,,"TURNOVER  by MAUL,CALEB",1
12:16,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",1
12:16,"SUB OUT by MAUL,CALEB",,,,,,,"SUB OUT by MAUL,CALEB",1
12:16,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
12:16,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
