Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,FCMBB,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS 3PTR by SAMPLES,CODY",,,"MISS 3PTR by SAMPLES,CODY",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
19:15,"MISS LAYUP by KNOCHELMANN,PETE",,,,,,,"MISS LAYUP by KNOCHELMANN,PETE",1
--,,,,,"REBOUND DEF by HOFFMAN,NATHANIEL",,,"REBOUND DEF by HOFFMAN,NATHANIEL",1
18:58,,,,,"MISS 3PTR by CROWE,CARTER",,,"MISS 3PTR by CROWE,CARTER",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
18:48,"TURNOVER  by COLEMAN,HUNTER",,,,,,,"TURNOVER  by COLEMAN,HUNTER",1
18:48,,,,,"STEAL  by CROWE,CARTER",,,"STEAL  by CROWE,CARTER",1
18:24,,,,,"TURNOVER  by SAMPLES,CODY",,,"TURNOVER  by SAMPLES,CODY",1
17:57,"GOOD 3PTR by BAUGHMAN,CARTER",3 (+3),,0,,CENTRE 3-0 (+3),,"GOOD 3PTR by BAUGHMAN,CARTER",1
17:39,,,,,"MISS 3PTR by CROWE,CARTER",,,"MISS 3PTR by CROWE,CARTER",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
17:30,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",1
--,,,,,"REBOUND DEF by CROWE,CARTER",,,"REBOUND DEF by CROWE,CARTER",1
17:15,,3 (+1),,2,"GOOD JUMPER by HOFFMAN,NATHANIEL(in the paint)",FCMBB 3-2 (+1),,"GOOD JUMPER by HOFFMAN,NATHANIEL(in the paint)",1
--,,,,,"ASSIST  by SAMPLES,CODY",,,"ASSIST  by SAMPLES,CODY",1
17:01,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by CROWE,CARTER",,,"REBOUND DEF by CROWE,CARTER",1
16:48,,3,,4 (+1),"GOOD JUMPER by CROWE,CARTER(in the paint)",FCMBB 3-4 (-1),,"GOOD JUMPER by CROWE,CARTER(in the paint)",1
16:16,"MISS JUMPER by STINNETT,CADE",,,,,,,"MISS JUMPER by STINNETT,CADE",1
