Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:42,"GOOD JUMPER by IGBANU,PROMISE(in the paint)",2 (+2),,0,,COV 2-0 (-2),,"GOOD JUMPER by IGBANU,PROMISE(in the paint)",1
19:24,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",,,"MISS JUMPER by STINNETT,CADE(in the paint)",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
19:10,"MISS 3PTR by PEARLMAN,LOGAN",,,,,,,"MISS 3PTR by PEARLMAN,LOGAN",1
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",1
19:03,,,,,"TURNOVER  by COLEMAN,HUNTER",,,"TURNOVER  by COLEMAN,HUNTER",1
19:03,"STEAL  by GERNATT,JONATHAN",,,,,,,"STEAL  by GERNATT,JONATHAN",1
18:35,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",1
18:35,"GOOD FT by IGBANU,PROMISE",3 (+3),,0,,COV 3-0 (-3),,"GOOD FT by IGBANU,PROMISE",1
18:35,"GOOD FT by IGBANU,PROMISE",4 (+4),,0,,COV 4-0 (-4),,"GOOD FT by IGBANU,PROMISE",1
18:27,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by HESTER,CHARLIE",,,,,,,"REBOUND DEF by HESTER,CHARLIE",1
18:17,"FOUL  by GERNATT,JONATHAN",,,,,,,"FOUL  by GERNATT,JONATHAN",1
18:17,"TURNOVER  by GERNATT,JONATHAN",,,,,,,"TURNOVER  by GERNATT,JONATHAN",1
17:52,,,,,"MISS JUMPER by MOORE,CHEZ",,,"MISS JUMPER by MOORE,CHEZ",1
--,"REBOUND DEF by NOEL,MALCOLM",,,,,,,"REBOUND DEF by NOEL,MALCOLM",1
17:44,"TURNOVER  by HESTER,CHARLIE",,,,,,,"TURNOVER  by HESTER,CHARLIE",1
17:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:32,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
17:32,"SUB IN by MATHIS,WALKER",,,,,,,"SUB IN by MATHIS,WALKER",1
17:32,"FOUL  by CROWDEN,LUKE",,,,,,,"FOUL  by CROWDEN,LUKE",1
17:32,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:32,,4 (+3),,1,"GOOD FT by STINNETT,CADE",Centre 4-1 (-3),,"GOOD FT by STINNETT,CADE",1
17:32,"SUB OUT by HESTER,CHARLIE",,,,,,,"SUB OUT by HESTER,CHARLIE",1
17:32,"SUB IN by CROWDEN,LUKE",,,,,,,"SUB IN by CROWDEN,LUKE",1
17:10,"GOOD 3PTR by PEARLMAN,LOGAN",7 (+6),,1,,COV 7-1 (-6),,"GOOD 3PTR by PEARLMAN,LOGAN",1
16:33,,7 (+4),,3,"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 7-3 (-4),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",1
16:26,"TURNOVER  by NOEL,MALCOLM",,,,,,,"TURNOVER  by NOEL,MALCOLM",1
16:26,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
16:19,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by MATHIS,WALKER",,,,,,,"REBOUND DEF by MATHIS,WALKER",1
16:13,"TURNOVER  by GERNATT,JONATHAN",,,,,,,"TURNOVER  by GERNATT,JONATHAN",1
15:53,,7 (+2),,5,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 7-5 (-2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
15:26,"MISS LAYUP by MATHIS,WALKER(in the paint)",,,,,,,"MISS LAYUP by MATHIS,WALKER(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
15:17,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by GERNATT,JONATHAN",,,,,,,"REBOUND DEF by GERNATT,JONATHAN",1
15:03,"GOOD 3PTR by GERNATT,JONATHAN",10 (+5),,5,,COV 10-5 (-5),,"GOOD 3PTR by GERNATT,JONATHAN",1
--,"ASSIST  by NOEL,MALCOLM",,,,,,,"ASSIST  by NOEL,MALCOLM",1
14:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:50,,10 (+3),,7,"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",Centre 10-7 (-3),,"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",1
14:50,"FOUL  by NOEL,MALCOLM",,,,,,,"FOUL  by NOEL,MALCOLM",1
14:50,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
14:50,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
14:50,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
14:50,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
14:50,"SUB OUT by NOEL,MALCOLM",,,,,,,"SUB OUT by NOEL,MALCOLM",1
14:50,"SUB OUT by PEARLMAN,LOGAN",,,,,,,"SUB OUT by PEARLMAN,LOGAN",1
14:50,"SUB OUT by GERNATT,JONATHAN",,,,,,,"SUB OUT by GERNATT,JONATHAN",1
14:50,"SUB OUT by MATHIS,WALKER",,,,,,,"SUB OUT by MATHIS,WALKER",1
14:50,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
14:50,"SUB IN by HESTER,CHARLIE",,,,,,,"SUB IN by HESTER,CHARLIE",1
14:50,"SUB IN by WITT,ELI",,,,,,,"SUB IN by WITT,ELI",1
14:50,"SUB IN by ST. GERMAIN,MICHAEL",,,,,,,"SUB IN by ST. GERMAIN,MICHAEL",1
14:39,,10 (+2),,8,"GOOD FT by BAUGHMAN,CARTER",Centre 10-8 (-2),,"GOOD FT by BAUGHMAN,CARTER",1
14:36,"GOOD LAYUP by WITT,ELI(in the paint)",12 (+4),,8,,COV 12-8 (-4),,"GOOD LAYUP by WITT,ELI(in the paint)",1
--,"ASSIST  by CROWDEN,LUKE",,,,,,,"ASSIST  by CROWDEN,LUKE",1
14:11,,12 (+2),,10,"GOOD JUMPER by STINNETT,CADE(in the paint)",Centre 12-10 (-2),,"GOOD JUMPER by STINNETT,CADE(in the paint)",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
