Time Remaining,LOR,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:36,"MISS JUMPER by BASS,TYLER",,,,,,,"MISS JUMPER by BASS,TYLER",1
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",1
19:08,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
19:05,,,,,"MISS JUMPER by MOORE,CHEZ(in the paint)",,,"MISS JUMPER by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
18:56,"MISS JUMPER by SINGLETON,ALEX",,,,,,,"MISS JUMPER by SINGLETON,ALEX",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
18:27,,,,,"MISS JUMPER by STINNETT,CADE",,,"MISS JUMPER by STINNETT,CADE",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
18:24,,0,,2 (+2),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 0-2 (+2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
18:08,"GOOD 3PTR by CIURLIK,DECLAN",3 (+1),,2,,LOR 3-2 (-1),,"GOOD 3PTR by CIURLIK,DECLAN",1
--,"ASSIST  by BASS,TYLER",,,,,,,"ASSIST  by BASS,TYLER",1
17:49,,,,,"MISS 3PTR by MOORE,CHEZ",,,"MISS 3PTR by MOORE,CHEZ",1
--,"REBOUND DEF by SABET,ALI",,,,,,,"REBOUND DEF by SABET,ALI",1
17:38,"MISS 3PTR by BASS,TYLER",,,,,,,"MISS 3PTR by BASS,TYLER",1
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",1
17:10,,3,,4 (+1),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 3-4 (+1),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
16:53,"FOUL  by SINGLETON,ALEX",,,,,,,"FOUL  by SINGLETON,ALEX",1
16:53,"TURNOVER  by SINGLETON,ALEX",,,,,,,"TURNOVER  by SINGLETON,ALEX",1
16:53,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
16:53,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
16:34,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
16:34,"STEAL  by BASS,TYLER",,,,,,,"STEAL  by BASS,TYLER",1
16:30,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
16:30,"GOOD FT by BARRY,MYLES(fastbreak)",4,,4,,LOR 4-4 (0),,"GOOD FT by BARRY,MYLES(fastbreak)",1
16:30,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",1
16:30,"SUB IN by DEERING,ZACH",,,,,,,"SUB IN by DEERING,ZACH",1
16:30,"MISS FT by BARRY,MYLES(fastbreak)",,,,,,,"MISS FT by BARRY,MYLES(fastbreak)",1
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",1
16:12,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
16:12,"BLOCK  by DEERING,ZACH",,,,,,,"BLOCK  by DEERING,ZACH",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
16:12,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",1
16:12,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",1
