Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Transy,Game Score,Team Indicator,Play,Period
19:46,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",2 (+2),,0,,Centre 2-0 (+2),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
19:31,,2,,2,"GOOD JUMPER by NAPIER,COLBY",Transy 2-2 (0),,"GOOD JUMPER by NAPIER,COLBY",1
19:09,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
19:07,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
19:04,,2,,4 (+2),"GOOD LAYUP by GREEN,JAYLAN(in the paint)",Transy 2-4 (-2),,"GOOD LAYUP by GREEN,JAYLAN(in the paint)",1
18:33,"TURNOVER  by RING,NOAH",,,,,,,"TURNOVER  by RING,NOAH",1
18:33,,,,,"STEAL  by PENN,HUNTER",,,"STEAL  by PENN,HUNTER",1
18:17,,,,,"MISS 3PTR by CAPPS,DAKOTA",,,"MISS 3PTR by CAPPS,DAKOTA",1
18:17,"BLOCK  by BAUGHMAN,CARTER",,,,,,,"BLOCK  by BAUGHMAN,CARTER",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
18:01,,2,,7 (+5),"GOOD 3PTR by NAPIER,COLBY",Transy 2-7 (-5),,"GOOD 3PTR by NAPIER,COLBY",1
17:43,,2,,9 (+7),"GOOD LAYUP by GREEN,JAYLAN(in the paint)",Transy 2-9 (-7),,"GOOD LAYUP by GREEN,JAYLAN(in the paint)",1
17:22,"GOOD 3PTR by COLEMAN,HUNTER",5,,9 (+4),,Centre 5-9 (-4),,"GOOD 3PTR by COLEMAN,HUNTER",1
17:06,,5,,11 (+6),"GOOD JUMPER by TEAGUE,MATTHEW(in the paint)",Transy 5-11 (-6),,"GOOD JUMPER by TEAGUE,MATTHEW(in the paint)",1
--,,,,,"ASSIST  by CAPPS,DAKOTA",,,"ASSIST  by CAPPS,DAKOTA",1
16:40,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",7,,11 (+4),,Centre 7-11 (-4),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
16:25,,,,,"MISS JUMPER by TEAGUE,MATTHEW",,,"MISS JUMPER by TEAGUE,MATTHEW",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
16:16,"MISS JUMPER by BAUGHMAN,CARTER",,,,,,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by NAPIER,COLBY",,,"REBOUND DEF by NAPIER,COLBY",1
16:08,,7,,13 (+6),"GOOD LAYUP by CAPPS,DAKOTA(in the paint)",Transy 7-13 (-6),,"GOOD LAYUP by CAPPS,DAKOTA(in the paint)",1
15:50,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",1
--,,,,,"REBOUND DEF by PENN,HUNTER",,,"REBOUND DEF by PENN,HUNTER",1
15:35,,7,,15 (+8),"GOOD JUMPER by GREEN,JAYLAN",Transy 7-15 (-8),,"GOOD JUMPER by GREEN,JAYLAN",1
15:35,"FOUL  by COLEMAN,HUNTER",,,,,,,"FOUL  by COLEMAN,HUNTER",1
15:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:35,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",1
15:35,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
15:35,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
15:35,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
15:35,,7,,16 (+9),"GOOD FT by GREEN,JAYLAN",Transy 7-16 (-9),,"GOOD FT by GREEN,JAYLAN",1
15:25,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",1
15:25,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
15:12,,,,,"TURNOVER  by CAPPS,DAKOTA",,,"TURNOVER  by CAPPS,DAKOTA",1
15:12,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",1
15:07,"TURNOVER  by STINNETT,CADE",,,,,,,"TURNOVER  by STINNETT,CADE",1
15:07,,,,,"STEAL  by PENN,HUNTER",,,"STEAL  by PENN,HUNTER",1
15:01,,7,,18 (+11),"GOOD JUMPER by TEAGUE,MATTHEW",Transy 7-18 (-11),,"GOOD JUMPER by TEAGUE,MATTHEW",1
14:45,"MISS JUMPER by STINNETT,CADE(in the paint)",,,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",1
--,,,,,"REBOUND DEF by TEAGUE,MATTHEW",,,"REBOUND DEF by TEAGUE,MATTHEW",1
14:38,,,,,"TURNOVER  by TEAGUE,MATTHEW",,,"TURNOVER  by TEAGUE,MATTHEW",1
14:38,"STEAL  by WILSON,DREW",,,,,,,"STEAL  by WILSON,DREW",1
14:33,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
14:33,,,,,"STEAL  by TEAGUE,MATTHEW",,,"STEAL  by TEAGUE,MATTHEW",1
14:25,,,,,"FOUL  by GREEN,JAYLAN",,,"FOUL  by GREEN,JAYLAN",1
