Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,THEWMBB,Game Score,Team Indicator,Play,Period
19:43,,0,,3 (+3),"GOOD 3PTR by PINKSTON,TRE",THEWMBB 0-3 (-3),,"GOOD 3PTR by PINKSTON,TRE",1
19:29,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",2,,3 (+1),,RHODES 2-3 (-1),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
19:14,,,,,"MISS 3PTR by HARRIS,KEITH",,,"MISS 3PTR by HARRIS,KEITH",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
18:59,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
18:58,,,,,"STEAL  by WILKERSON,CARLOS",,,"STEAL  by WILKERSON,CARLOS",1
18:37,,,,,"MISS 3PTR by MOULTRIE,JONTE",,,"MISS 3PTR by MOULTRIE,JONTE",1
--,"REBOUND DEF by FERIA,NICK DE",,,,,,,"REBOUND DEF by FERIA,NICK DE",1
18:28,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by WILKERSON,CARLOS",,,"REBOUND DEF by WILKERSON,CARLOS",1
18:24,,,,,"TURNOVER  by WILKERSON,CARLOS",,,"TURNOVER  by WILKERSON,CARLOS",1
18:20,"GOOD LAYUP by ESSICK,JALEN(in the paint)",4 (+1),,3,,RHODES 4-3 (+1),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
17:58,,,,,"MISS JUMPER by JONES,TAVONTA",,,"MISS JUMPER by JONES,TAVONTA",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
17:43,"MISS JUMPER by GIROUX,PRESTON",,,,,,,"MISS JUMPER by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by WILKERSON,CARLOS",,,"REBOUND DEF by WILKERSON,CARLOS",1
17:17,,,,,"MISS 3PTR by MOULTRIE,JONTE",,,"MISS 3PTR by MOULTRIE,JONTE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
16:53,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
