Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:52,"GOOD JUMPER by STANLEY,SETH(fastbreak)(in the paint)",2 (+2),,0,,Hend 2-0 (-2),,"GOOD JUMPER by STANLEY,SETH(fastbreak)(in the paint)",1
19:35,,,,,"MISS JUMPER by NESTLEHUTT,JAKE(in the paint)",,,"MISS JUMPER by NESTLEHUTT,JAKE(in the paint)",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
19:09,"GOOD 3PTR by STANLEY,SETH",5 (+5),,0,,Hend 5-0 (-5),,"GOOD 3PTR by STANLEY,SETH",1
18:49,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
18:31,"GOOD 3PTR by STANLEY,SETH",8 (+8),,0,,Hend 8-0 (-8),,"GOOD 3PTR by STANLEY,SETH",1
18:12,,,,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1
18:12,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
18:01,"GOOD 3PTR by STANLEY,SETH",11 (+11),,0,,Hend 11-0 (-11),,"GOOD 3PTR by STANLEY,SETH",1
17:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:43,,11 (+9),,2,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",Rhodes 11-2 (-9),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
17:43,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
17:43,,11 (+8),,3,"GOOD FT by GIROUX,PRESTON",Rhodes 11-3 (-8),,"GOOD FT by GIROUX,PRESTON",1
17:25,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by DE FERIA,NICK",,,"REBOUND DEF by DE FERIA,NICK",1
17:14,,11 (+6),,5,"GOOD JUMPER by NESTLEHUTT,JAKE(in the paint)",Rhodes 11-5 (-6),,"GOOD JUMPER by NESTLEHUTT,JAKE(in the paint)",1
16:59,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by DE FERIA,NICK",,,"REBOUND DEF by DE FERIA,NICK",1
16:51,,,,,"TURNOVER  by GIROUX,PRESTON",,,"TURNOVER  by GIROUX,PRESTON",1
16:51,"STEAL  by FITCH,CARL",,,,,,,"STEAL  by FITCH,CARL",1
16:39,"MISS JUMPER by CARTWRIGHT,BROOKS",,,,,,,"MISS JUMPER by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
16:32,,11 (+4),,7,"GOOD JUMPER by GALVIN,OWEN(fastbreak)(in the paint)",Rhodes 11-7 (-4),,"GOOD JUMPER by GALVIN,OWEN(fastbreak)(in the paint)",1
16:14,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
16:14,"GOOD FT by STANLEY,SETH",12 (+5),,7,,Hend 12-7 (-5),,"GOOD FT by STANLEY,SETH",1
16:14,"GOOD FT by STANLEY,SETH",13 (+6),,7,,Hend 13-7 (-6),,"GOOD FT by STANLEY,SETH",1
15:53,,13 (+4),,9,"GOOD JUMPER by GALVIN,OWEN(in the paint)",Rhodes 13-9 (-4),,"GOOD JUMPER by GALVIN,OWEN(in the paint)",1
15:41,"TURNOVER  by CARTWRIGHT,BROOKS",,,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",1
15:15,,,,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
14:55,"GOOD JUMPER by EATON,JACK(in the paint)",15 (+6),,9,,Hend 15-9 (-6),,"GOOD JUMPER by EATON,JACK(in the paint)",1
14:27,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",1
14:27,"BLOCK  by FITCH,CARL",,,,,,,"BLOCK  by FITCH,CARL",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
14:19,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",1
14:13,,15 (+4),,11,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",Rhodes 15-11 (-4),,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",1
14:13,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
14:13,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
14:13,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
14:13,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
14:13,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
14:13,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
14:13,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
14:13,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
14:13,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
14:13,,15 (+3),,12,"GOOD FT by WEATHERFORD,MITCH(fastbreak)",Rhodes 15-12 (-3),,"GOOD FT by WEATHERFORD,MITCH(fastbreak)",1
14:13,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
14:13,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
14:13,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
14:13,"SUB IN by JOHNSON,DAMECKO",,,,,,,"SUB IN by JOHNSON,DAMECKO",1
14:07,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
14:07,"MISS FT by STANLEY,SETH",,,,,,,"MISS FT by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:07,"GOOD FT by STANLEY,SETH",16 (+4),,12,,Hend 16-12 (-4),,"GOOD FT by STANLEY,SETH",1
13:53,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
13:53,,16 (+3),,13,"GOOD FT by DE FERIA,NICK",Rhodes 16-13 (-3),,"GOOD FT by DE FERIA,NICK",1
13:53,,16 (+2),,14,"GOOD FT by DE FERIA,NICK",Rhodes 16-14 (-2),,"GOOD FT by DE FERIA,NICK",1
13:38,,,,,"FOUL  by DE FERIA,NICK",,,"FOUL  by DE FERIA,NICK",1
13:38,"GOOD FT by STANLEY,SETH",17 (+3),,14,,Hend 17-14 (-3),,"GOOD FT by STANLEY,SETH",1
