Time Remaining,BenU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
16:51,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
16:42,"MISS 3PTR by BOATRIGHT,MIKE",,,,,,,"MISS 3PTR by BOATRIGHT,MIKE",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
16:22,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by BOGUS,KENNY",,,,,,,"REBOUND DEF by BOGUS,KENNY",1
16:12,"MISS JUMPER by BOATRIGHT,MIKE",,,,,,,"MISS JUMPER by BOATRIGHT,MIKE",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
15:53,,2,,9 (+7),"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 2-9 (+7),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
15:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:12,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:12,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
15:12,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
15:12,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
15:12,"SUB OUT by KOSICH,NICK",,,,,,,"SUB OUT by KOSICH,NICK",1
15:12,"SUB OUT by BOATRIGHT,MIKE",,,,,,,"SUB OUT by BOATRIGHT,MIKE",1
15:12,"SUB IN by GRAEBNER,KEEGAN",,,,,,,"SUB IN by GRAEBNER,KEEGAN",1
15:12,"SUB IN by FAULKNER,DERRICK",,,,,,,"SUB IN by FAULKNER,DERRICK",1
15:09,"GOOD 3PTR by GRAEBNER,KYLE",5,,9 (+4),,BenU 5-9 (+4),,"GOOD 3PTR by GRAEBNER,KYLE",1
--,"ASSIST  by BOGUS,KENNY",,,,,,,"ASSIST  by BOGUS,KENNY",1
15:00,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
15:00,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
15:00,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
15:00,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
14:45,"GOOD 3PTR by BOGUS,KENNY",8,,9 (+1),,BenU 8-9 (+1),,"GOOD 3PTR by BOGUS,KENNY",1
--,"ASSIST  by GRYGO,ERIC",,,,,,,"ASSIST  by GRYGO,ERIC",1
14:24,,,,,"TURNOVER  by SHEN,KEVIN",,,"TURNOVER  by SHEN,KEVIN",1
14:24,"STEAL  by GRAEBNER,KEEGAN",,,,,,,"STEAL  by GRAEBNER,KEEGAN",1
14:19,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",1
14:19,"GOOD FT by GRAEBNER,KEEGAN(fastbreak)",9,,9,,BenU 9-9 (0),,"GOOD FT by GRAEBNER,KEEGAN(fastbreak)",1
14:19,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
14:19,,,,,"SUB OUT by PIPPENGER,WILEY",,,"SUB OUT by PIPPENGER,WILEY",1
14:19,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
14:19,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
14:19,"GOOD FT by GRAEBNER,KEEGAN(fastbreak)",10 (+1),,9,,BenU 10-9 (-1),,"GOOD FT by GRAEBNER,KEEGAN(fastbreak)",1
14:03,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",1
14:03,"BLOCK  by GRYGO,ERIC",,,,,,,"BLOCK  by GRYGO,ERIC",1
--,"REBOUND DEF by GRAEBNER,KEEGAN",,,,,,,"REBOUND DEF by GRAEBNER,KEEGAN",1
13:49,"GOOD LAYUP by FAULKNER,DERRICK(in the paint)",12 (+3),,9,,BenU 12-9 (-3),,"GOOD LAYUP by FAULKNER,DERRICK(in the paint)",1
--,"ASSIST  by BOGUS,KENNY",,,,,,,"ASSIST  by BOGUS,KENNY",1
13:32,,,,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1
--,"REBOUND DEF by BOGUS,KENNY",,,,,,,"REBOUND DEF by BOGUS,KENNY",1
13:23,"GOOD JUMPER by BOGUS,KENNY",14 (+5),,9,,BenU 14-9 (-5),,"GOOD JUMPER by BOGUS,KENNY",1
13:02,"FOUL  by BOGUS,KENNY",,,,,,,"FOUL  by BOGUS,KENNY",1
13:02,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
13:02,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
13:02,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
13:02,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
13:02,"SUB OUT by GRYGO,ERIC",,,,,,,"SUB OUT by GRYGO,ERIC",1
13:02,"SUB IN by HESTER,CHRIS",,,,,,,"SUB IN by HESTER,CHRIS",1
13:02,,14 (+4),,10,"GOOD FT by SHEN,KEVIN",Rhodes 14-10 (-4),,"GOOD FT by SHEN,KEVIN",1
13:02,,,,,"MISS FT by SHEN,KEVIN",,,"MISS FT by SHEN,KEVIN",1
--,"REBOUND DEF by BOGUS,KENNY",,,,,,,"REBOUND DEF by BOGUS,KENNY",1
12:56,"MISS LAYUP by HESTER,CHRIS(in the paint)",,,,,,,"MISS LAYUP by HESTER,CHRIS(in the paint)",1
--,"REBOUND OFF by HESTER,CHRIS",,,,,,,"REBOUND OFF by HESTER,CHRIS",1
12:52,"GOOD LAYUP by HESTER,CHRIS(in the paint)",16 (+6),,10,,BenU 16-10 (-6),,"GOOD LAYUP by HESTER,CHRIS(in the paint)",1
12:31,,16 (+4),,12,"GOOD JUMPER by WEATHERFORD,MITCH",Rhodes 16-12 (-4),,"GOOD JUMPER by WEATHERFORD,MITCH",1
12:09,"GOOD LAYUP by HESTER,CHRIS(in the paint)",18 (+6),,12,,BenU 18-12 (-6),,"GOOD LAYUP by HESTER,CHRIS(in the paint)",1
12:09,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",1
12:09,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
12:09,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
12:09,"SUB OUT by BOGUS,KENNY",,,,,,,"SUB OUT by BOGUS,KENNY",1
12:09,"SUB OUT by GRAEBNER,KYLE",,,,,,,"SUB OUT by GRAEBNER,KYLE",1
12:09,"SUB IN by KOSICH,NICK",,,,,,,"SUB IN by KOSICH,NICK",1
12:09,"SUB IN by TAYLOR,WALTER",,,,,,,"SUB IN by TAYLOR,WALTER",1
12:09,"MISS FT by HESTER,CHRIS",,,,,,,"MISS FT by HESTER,CHRIS",1
--,"REBOUND OFF by HESTER,CHRIS",,,,,,,"REBOUND OFF by HESTER,CHRIS",1
12:09,"TURNOVER  by HESTER,CHRIS",,,,,,,"TURNOVER  by HESTER,CHRIS",1
12:09,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:47,,,,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1
11:47,"BLOCK  by TAYLOR,WALTER",,,,,,,"BLOCK  by TAYLOR,WALTER",1
--,"REBOUND DEF by FAULKNER,DERRICK",,,,,,,"REBOUND DEF by FAULKNER,DERRICK",1
11:26,"FOUL  by HESTER,CHRIS",,,,,,,"FOUL  by HESTER,CHRIS",1
11:26,"TURNOVER  by HESTER,CHRIS",,,,,,,"TURNOVER  by HESTER,CHRIS",1
11:26,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
11:26,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
11:26,"SUB OUT by TAYLOR,WALTER",,,,,,,"SUB OUT by TAYLOR,WALTER",1
11:26,"SUB IN by GRYGO,ERIC",,,,,,,"SUB IN by GRYGO,ERIC",1
11:10,,18 (+3),,15,"GOOD 3PTR by GALVIN,OWEN",Rhodes 18-15 (-3),,"GOOD 3PTR by GALVIN,OWEN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
10:40,"MISS 3PTR by KOSICH,NICK",,,,,,,"MISS 3PTR by KOSICH,NICK",1
--,"REBOUND OFF by GRYGO,ERIC",,,,,,,"REBOUND OFF by GRYGO,ERIC",1
10:35,"GOOD LAYUP by GRYGO,ERIC(in the paint)",20 (+5),,15,,BenU 20-15 (-5),,"GOOD LAYUP by GRYGO,ERIC(in the paint)",1
10:10,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by GRYGO,ERIC",,,,,,,"REBOUND DEF by GRYGO,ERIC",1
10:04,"GOOD LAYUP by FAULKNER,DERRICK(fastbreak)(in the paint)",22 (+7),,15,,BenU 22-15 (-7),,"GOOD LAYUP by FAULKNER,DERRICK(fastbreak)(in the paint)",1
09:41,,,,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1
--,"REBOUND DEF by GRYGO,ERIC",,,,,,,"REBOUND DEF by GRYGO,ERIC",1
09:33,"TURNOVER  by HESTER,CHRIS",,,,,,,"TURNOVER  by HESTER,CHRIS",1
09:33,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
09:33,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
09:33,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
09:33,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
09:33,"SUB OUT by FAULKNER,DERRICK",,,,,,,"SUB OUT by FAULKNER,DERRICK",1
09:33,"SUB OUT by HESTER,CHRIS",,,,,,,"SUB OUT by HESTER,CHRIS",1
09:33,"SUB IN by BOGUS,KENNY",,,,,,,"SUB IN by BOGUS,KENNY",1
09:33,"SUB IN by BOATRIGHT,MIKE",,,,,,,"SUB IN by BOATRIGHT,MIKE",1
09:30,,22 (+5),,17,"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 22-17 (-5),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
09:11,"GOOD LAYUP by GRYGO,ERIC(in the paint)",24 (+7),,17,,BenU 24-17 (-7),,"GOOD LAYUP by GRYGO,ERIC(in the paint)",1
--,"ASSIST  by BOGUS,KENNY",,,,,,,"ASSIST  by BOGUS,KENNY",1
08:35,"FOUL  by KOSICH,NICK",,,,,,,"FOUL  by KOSICH,NICK",1
08:35,"SUB OUT by GRAEBNER,KEEGAN",,,,,,,"SUB OUT by GRAEBNER,KEEGAN",1
08:35,"SUB IN by GRAEBNER,KYLE",,,,,,,"SUB IN by GRAEBNER,KYLE",1
08:16,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by BOATRIGHT,MIKE",,,,,,,"REBOUND DEF by BOATRIGHT,MIKE",1
08:02,"MISS 3PTR by GRAEBNER,KYLE",,,,,,,"MISS 3PTR by GRAEBNER,KYLE",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
07:56,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
07:56,"STEAL  by BOGUS,KENNY",,,,,,,"STEAL  by BOGUS,KENNY",1
07:51,"GOOD LAYUP by BOATRIGHT,MIKE(fastbreak)(in the paint)",26 (+9),,17,,BenU 26-17 (-9),,"GOOD LAYUP by BOATRIGHT,MIKE(fastbreak)(in the paint)",1
07:48,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:48,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",1
07:48,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
07:32,,,,,"MISS LAYUP by PIPPENGER,WILEY(in the paint)",,,"MISS LAYUP by PIPPENGER,WILEY(in the paint)",1
--,,,,,"REBOUND OFF by PIPPENGER,WILEY",,,"REBOUND OFF by PIPPENGER,WILEY",1
07:21,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
07:21,"STEAL  by KOSICH,NICK",,,,,,,"STEAL  by KOSICH,NICK",1
07:19,"TURNOVER  by BOGUS,KENNY",,,,,,,"TURNOVER  by BOGUS,KENNY",1
07:06,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
07:06,"STEAL  by BOATRIGHT,MIKE",,,,,,,"STEAL  by BOATRIGHT,MIKE",1
06:44,"MISS 3PTR by GRAEBNER,KYLE",,,,,,,"MISS 3PTR by GRAEBNER,KYLE",1
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",1
06:26,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
06:26,"BLOCK  by BOATRIGHT,MIKE",,,,,,,"BLOCK  by BOATRIGHT,MIKE",1
--,"REBOUND DEF by GRYGO,ERIC",,,,,,,"REBOUND DEF by GRYGO,ERIC",1
06:22,"GOOD JUMPER by BOATRIGHT,MIKE(fastbreak)(in the paint)",28 (+11),,17,,BenU 28-17 (-11),,"GOOD JUMPER by BOATRIGHT,MIKE(fastbreak)(in the paint)",1
06:11,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
06:11,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
06:11,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
06:11,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
06:11,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
06:11,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
05:54,,,,,"MISS JUMPER by WEATHERFORD,MITCH(in the paint)",,,"MISS JUMPER by WEATHERFORD,MITCH(in the paint)",1
--,"REBOUND DEF by GRAEBNER,KYLE",,,,,,,"REBOUND DEF by GRAEBNER,KYLE",1
05:36,"MISS JUMPER by BOGUS,KENNY(in the paint)",,,,,,,"MISS JUMPER by BOGUS,KENNY(in the paint)",1
--,,,,,"REBOUND DEF by PIPPENGER,WILEY",,,"REBOUND DEF by PIPPENGER,WILEY",1
05:29,"FOUL  by KOSICH,NICK",,,,,,,"FOUL  by KOSICH,NICK",1
05:29,,,,,"MISS FT by PIPPENGER,WILEY(fastbreak)",,,"MISS FT by PIPPENGER,WILEY(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:29,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
05:29,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
05:29,,28 (+10),,18,"GOOD FT by PIPPENGER,WILEY(fastbreak)",Rhodes 28-18 (-10),,"GOOD FT by PIPPENGER,WILEY(fastbreak)",1
05:04,"GOOD LAYUP by GRYGO,ERIC(in the paint)",30 (+12),,18,,BenU 30-18 (-12),,"GOOD LAYUP by GRYGO,ERIC(in the paint)",1
04:49,,,,,"TURNOVER  by NESTLEHUTT,JAKE",,,"TURNOVER  by NESTLEHUTT,JAKE",1
04:49,"STEAL  by BOATRIGHT,MIKE",,,,,,,"STEAL  by BOATRIGHT,MIKE",1
04:41,"GOOD LAYUP by GRYGO,ERIC(in the paint)",32 (+14),,18,,BenU 32-18 (-14),,"GOOD LAYUP by GRYGO,ERIC(in the paint)",1
--,"ASSIST  by BOGUS,KENNY",,,,,,,"ASSIST  by BOGUS,KENNY",1
04:18,,32 (+11),,21,"GOOD 3PTR by JAMES,MAC",Rhodes 32-21 (-11),,"GOOD 3PTR by JAMES,MAC",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
04:05,"MISS 3PTR by KOSICH,NICK",,,,,,,"MISS 3PTR by KOSICH,NICK",1
--,,,,,"REBOUND DEF by PIPPENGER,WILEY",,,"REBOUND DEF by PIPPENGER,WILEY",1
03:55,,32 (+9),,23,"GOOD JUMPER by JAMES,MAC(in the paint)",Rhodes 32-23 (-9),,"GOOD JUMPER by JAMES,MAC(in the paint)",1
03:35,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
03:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:35,,,,,"SUB OUT by PIPPENGER,WILEY",,,"SUB OUT by PIPPENGER,WILEY",1
03:35,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
03:35,"SUB OUT by KOSICH,NICK",,,,,,,"SUB OUT by KOSICH,NICK",1
03:35,"SUB IN by GRAEBNER,KEEGAN",,,,,,,"SUB IN by GRAEBNER,KEEGAN",1
03:17,"MISS 3PTR by BOATRIGHT,MIKE",,,,,,,"MISS 3PTR by BOATRIGHT,MIKE",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
03:03,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by GRYGO,ERIC",,,,,,,"REBOUND DEF by GRYGO,ERIC",1
02:37,"MISS 3PTR by GRAEBNER,KEEGAN",,,,,,,"MISS 3PTR by GRAEBNER,KEEGAN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
02:21,,32 (+7),,25,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",Rhodes 32-25 (-7),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
02:04,"TURNOVER  by BOATRIGHT,MIKE",,,,,,,"TURNOVER  by BOATRIGHT,MIKE",1
02:04,"SUB OUT by BOATRIGHT,MIKE",,,,,,,"SUB OUT by BOATRIGHT,MIKE",1
02:04,"SUB OUT by GRAEBNER,KYLE",,,,,,,"SUB OUT by GRAEBNER,KYLE",1
02:04,"SUB IN by KOSICH,NICK",,,,,,,"SUB IN by KOSICH,NICK",1
02:04,"SUB IN by FAULKNER,DERRICK",,,,,,,"SUB IN by FAULKNER,DERRICK",1
02:02,,32 (+5),,27,"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",Rhodes 32-27 (-5),,"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",1
01:32,"MISS 3PTR by KOSICH,NICK",,,,,,,"MISS 3PTR by KOSICH,NICK",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
01:21,,32 (+2),,30,"GOOD 3PTR by NESTLEHUTT,JAKE",Rhodes 32-30 (-2),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
00:56,"GOOD 3PTR by GRAEBNER,KEEGAN",35 (+5),,30,,BenU 35-30 (-5),,"GOOD 3PTR by GRAEBNER,KEEGAN",1
--,"ASSIST  by BOGUS,KENNY",,,,,,,"ASSIST  by BOGUS,KENNY",1
00:39,,,,,"MISS JUMPER by GIROUX,PRESTON",,,"MISS JUMPER by GIROUX,PRESTON",1
--,"REBOUND DEF by BOGUS,KENNY",,,,,,,"REBOUND DEF by BOGUS,KENNY",1
00:13,"TURNOVER  by BOGUS,KENNY",,,,,,,"TURNOVER  by BOGUS,KENNY",1
00:13,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
00:09,"FOUL  by KOSICH,NICK",,,,,,,"FOUL  by KOSICH,NICK",1
00:09,"SUB OUT by GRAEBNER,KEEGAN",,,,,,,"SUB OUT by GRAEBNER,KEEGAN",1
00:09,"SUB IN by ELLINGSON,CADE",,,,,,,"SUB IN by ELLINGSON,CADE",1
00:02,,,,,"MISS JUMPER by JAMES,MAC(in the paint)",,,"MISS JUMPER by JAMES,MAC(in the paint)",1
--,"REBOUND DEF by KOSICH,NICK",,,,,,,"REBOUND DEF by KOSICH,NICK",1
20:00,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",2
20:00,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
20:00,"SUB OUT by FAULKNER,DERRICK",,,,,,,"SUB OUT by FAULKNER,DERRICK",2
20:00,"SUB OUT by ELLINGSON,CADE",,,,,,,"SUB OUT by ELLINGSON,CADE",2
20:00,"SUB IN by BOATRIGHT,MIKE",,,,,,,"SUB IN by BOATRIGHT,MIKE",2
20:00,"SUB IN by GRAEBNER,KYLE",,,,,,,"SUB IN by GRAEBNER,KYLE",2
19:45,,35 (+3),,32,"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 35-32 (-3),,"GOOD JUMPER by WILEY,KOKI(in the paint)",2
19:25,"GOOD LAYUP by GRYGO,ERIC(in the paint)",37 (+5),,32,,BenU 37-32 (-5),,"GOOD LAYUP by GRYGO,ERIC(in the paint)",2
--,"ASSIST  by BOGUS,KENNY",,,,,,,"ASSIST  by BOGUS,KENNY",2
19:11,,37 (+3),,34,"GOOD JUMPER by GIROUX,PRESTON",Rhodes 37-34 (-3),,"GOOD JUMPER by GIROUX,PRESTON",2
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",2
18:51,"MISS 3PTR by KOSICH,NICK",,,,,,,"MISS 3PTR by KOSICH,NICK",2
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",2
18:40,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",2
18:13,"GOOD 3PTR by GRAEBNER,KYLE",40 (+6),,34,,BenU 40-34 (-6),,"GOOD 3PTR by GRAEBNER,KYLE",2
--,"ASSIST  by BOGUS,KENNY",,,,,,,"ASSIST  by BOGUS,KENNY",2
17:57,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",2
--,"REBOUND DEF by GRYGO,ERIC",,,,,,,"REBOUND DEF by GRYGO,ERIC",2
17:37,"GOOD 3PTR by BOATRIGHT,MIKE",43 (+9),,34,,BenU 43-34 (-9),,"GOOD 3PTR by BOATRIGHT,MIKE",2
--,"ASSIST  by KOSICH,NICK",,,,,,,"ASSIST  by KOSICH,NICK",2
17:20,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",2
17:16,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
17:16,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",2
16:58,"TURNOVER  by GRAEBNER,KYLE",,,,,,,"TURNOVER  by GRAEBNER,KYLE",2
16:58,,,,,"STEAL  by PIPPENGER,WILEY",,,"STEAL  by PIPPENGER,WILEY",2
16:49,,43 (+7),,36,"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 43-36 (-7),,"GOOD JUMPER by WILEY,KOKI(in the paint)",2
16:32,"MISS 3PTR by KOSICH,NICK",,,,,,,"MISS 3PTR by KOSICH,NICK",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
16:23,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",2
