Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:46,"GOOD 3PTR by ROBERTS,JOSHUA",3 (+3),,0,,BU 3-0 (-3),,"GOOD 3PTR by ROBERTS,JOSHUA",1
--,"ASSIST  by DUPREE,RYAN",,,,,,,"ASSIST  by DUPREE,RYAN",1
19:20,,3 (+1),,2,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",Rhodes 3-2 (-1),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
18:56,"MISS LAYUP by DUPREE,RYAN(in the paint)",,,,,,,"MISS LAYUP by DUPREE,RYAN(in the paint)",1
--,"REBOUND OFF by COOKS,BROSNAN",,,,,,,"REBOUND OFF by COOKS,BROSNAN",1
18:54,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
18:54,"MISS FT by COOKS,BROSNAN",,,,,,,"MISS FT by COOKS,BROSNAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:54,"GOOD FT by COOKS,BROSNAN",4 (+2),,2,,BU 4-2 (-2),,"GOOD FT by COOKS,BROSNAN",1
18:47,,4,,4,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",Rhodes 4-4 (0),,"GOOD LAYUP by GIROUX,PRESTON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BERRY,BRYCE",,,"ASSIST  by BERRY,BRYCE",1
18:39,"GOOD 3PTR by COOKS,BROSNAN(fastbreak)",7 (+3),,4,,BU 7-4 (-3),,"GOOD 3PTR by COOKS,BROSNAN(fastbreak)",1
--,"ASSIST  by DUPREE,RYAN",,,,,,,"ASSIST  by DUPREE,RYAN",1
18:20,,,,,"MISS LAYUP by BERRY,BRYCE(in the paint)",,,"MISS LAYUP by BERRY,BRYCE(in the paint)",1
--,"REBOUND DEF by DUPREE,RYAN",,,,,,,"REBOUND DEF by DUPREE,RYAN",1
18:08,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",9 (+5),,4,,BU 9-4 (-5),,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",1
--,"ASSIST  by DUPREE,RYAN",,,,,,,"ASSIST  by DUPREE,RYAN",1
17:53,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by COOKS,BROSNAN",,,,,,,"REBOUND DEF by COOKS,BROSNAN",1
17:47,"MISS 3PTR by ROBERTS,JOSHUA",,,,,,,"MISS 3PTR by ROBERTS,JOSHUA",1
