Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
19:41,,,,,"TURNOVER  by WALLACE,K.D.",,,"TURNOVER  by WALLACE,K.D.",1
19:41,"STEAL  by GALVIN,OWEN",,,,,,,"STEAL  by GALVIN,OWEN",1
19:19,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
19:19,,,,,"STEAL  by WALLACE,K.D.",,,"STEAL  by WALLACE,K.D.",1
19:13,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
18:51,,,,,"MISS JUMPER by BAKER,KAE'RON",,,"MISS JUMPER by BAKER,KAE'RON",1
18:51,"FOUL  by GALVIN,OWEN",,,,,,,"FOUL  by GALVIN,OWEN",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
18:43,"GOOD 3PTR by BERRY,BRYCE(fastbreak)",3 (+3),,0,,Rhodes 3-0 (+3),,"GOOD 3PTR by BERRY,BRYCE(fastbreak)",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
18:26,,,,,"MISS JUMPER by RHONE,JAYLEN",,,"MISS JUMPER by RHONE,JAYLEN",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
18:12,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",5 (+5),,0,,Rhodes 5-0 (+5),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
18:12,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",1
18:12,"GOOD FT by GIROUX,PRESTON",6 (+6),,0,,Rhodes 6-0 (+6),,"GOOD FT by GIROUX,PRESTON",1
17:57,,6 (+4),,2,"GOOD JUMPER by RHONE,JAYLEN(in the paint)",LC 6-2 (+4),,"GOOD JUMPER by RHONE,JAYLEN(in the paint)",1
17:43,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
17:43,,,,,"STEAL  by AUSTIN,DENZEL",,,"STEAL  by AUSTIN,DENZEL",1
17:32,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",1
17:32,,,,,"TURNOVER  by AMES,TREY",,,"TURNOVER  by AMES,TREY",1
17:01,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",1
17:01,,,,,"SUB IN by BILBO,KJ",,,"SUB IN by BILBO,KJ",1
