Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
19:41,,0,,3 (+3),"GOOD 3PTR by JONES,DREW",Berry 0-3 (-3),,"GOOD 3PTR by JONES,DREW",1
--,,,,,"ASSIST  by HASLAM,ETHAN",,,"ASSIST  by HASLAM,ETHAN",1
19:32,"GOOD 3PTR by FERIA,NICK DE",3,,3,,Rhodes 3-3 (0),,"GOOD 3PTR by FERIA,NICK DE",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
19:16,,,,,"MISS 3PTR by JONES,DREW",,,"MISS 3PTR by JONES,DREW",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
19:01,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
18:46,,3,,6 (+3),"GOOD 3PTR by JONES,DREW",Berry 3-6 (-3),,"GOOD 3PTR by JONES,DREW",1
--,,,,,"ASSIST  by HAYNES,CALEB",,,"ASSIST  by HAYNES,CALEB",1
18:34,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
18:19,,,,,"TURNOVER  by HAYNES,CALEB",,,"TURNOVER  by HAYNES,CALEB",1
18:19,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
18:11,"MISS JUMPER by FERIA,NICK DE",,,,,,,"MISS JUMPER by FERIA,NICK DE",1
--,,,,,"REBOUND DEF by HASLAM,ETHAN",,,"REBOUND DEF by HASLAM,ETHAN",1
17:58,,,,,"TURNOVER  by JOHNSON,MICAH",,,"TURNOVER  by JOHNSON,MICAH",1
17:37,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
17:37,,,,,"STEAL  by JONES,DREW",,,"STEAL  by JONES,DREW",1
17:24,,3,,8 (+5),"GOOD JUMPER by HAYNES,CALEB(in the paint)",Berry 3-8 (-5),,"GOOD JUMPER by HAYNES,CALEB(in the paint)",1
--,,,,,"ASSIST  by WEHUNT,DAWSON",,,"ASSIST  by WEHUNT,DAWSON",1
17:05,"GOOD 3PTR by NESTLEHUTT,JAKE",6,,8 (+2),,Rhodes 6-8 (-2),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,"ASSIST  by FERIA,NICK DE",,,,,,,"ASSIST  by FERIA,NICK DE",1
16:49,,,,,"MISS 3PTR by JONES,DREW",,,"MISS 3PTR by JONES,DREW",1
--,,,,,"REBOUND OFF by HASLAM,ETHAN",,,"REBOUND OFF by HASLAM,ETHAN",1
16:45,,6,,10 (+4),"GOOD LAYUP by HASLAM,ETHAN(in the paint)",Berry 6-10 (-4),,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",1
16:25,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
16:25,"SUB IN by PIPPENGER,WILEY",,,,,,,"SUB IN by PIPPENGER,WILEY",1
16:25,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
16:25,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
16:25,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
16:25,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
16:25,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
16:25,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
16:25,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
16:25,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
16:25,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
16:25,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
16:25,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",1
16:09,,6,,12 (+6),"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 6-12 (-6),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
--,,,,,"ASSIST  by HASLAM,ETHAN",,,"ASSIST  by HASLAM,ETHAN",1
16:09,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
16:09,,,,,"MISS FT by BROOKS,AUSTIN",,,"MISS FT by BROOKS,AUSTIN",1
16:09,,,,,"SUB IN by ESTES,DJ",,,"SUB IN by ESTES,DJ",1
16:09,,,,,"SUB OUT by WEHUNT,DAWSON",,,"SUB OUT by WEHUNT,DAWSON",1
--,"REBOUND DEF by PIPPENGER,WILEY",,,,,,,"REBOUND DEF by PIPPENGER,WILEY",1
15:51,"MISS LAYUP by WILEY,KOKI",,,,,,,"MISS LAYUP by WILEY,KOKI",1
--,,,,,"REBOUND DEF by HASLAM,ETHAN",,,"REBOUND DEF by HASLAM,ETHAN",1
15:42,,6,,15 (+9),"GOOD 3PTR by JONES,DREW",Berry 6-15 (-9),,"GOOD 3PTR by JONES,DREW",1
--,,,,,"ASSIST  by ESTES,DJ",,,"ASSIST  by ESTES,DJ",1
15:22,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
15:22,,,,,"BLOCK  by BROOKS,AUSTIN",,,"BLOCK  by BROOKS,AUSTIN",1
--,"REBOUND OFF by PIPPENGER,WILEY",,,,,,,"REBOUND OFF by PIPPENGER,WILEY",1
15:17,"MISS LAYUP by PIPPENGER,WILEY",,,,,,,"MISS LAYUP by PIPPENGER,WILEY",1
15:17,,,,,"BLOCK  by BROOKS,AUSTIN",,,"BLOCK  by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by JOHNSON,MICAH",,,"REBOUND DEF by JOHNSON,MICAH",1
14:58,,6,,18 (+12),"GOOD 3PTR by JOHNSON,MICAH",Berry 6-18 (-12),,"GOOD 3PTR by JOHNSON,MICAH",1
--,,,,,"ASSIST  by ESTES,DJ",,,"ASSIST  by ESTES,DJ",1
14:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:54,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",1
14:54,,,,,"SUB IN by SOWADA,COLLIN",,,"SUB IN by SOWADA,COLLIN",1
14:54,,,,,"SUB OUT by HASLAM,ETHAN",,,"SUB OUT by HASLAM,ETHAN",1
14:54,,,,,"SUB OUT by JOHNSON,MICAH",,,"SUB OUT by JOHNSON,MICAH",1
14:25,"GOOD 3PTR by ESSICK,JALEN",9,,18 (+9),,Rhodes 9-18 (-9),,"GOOD 3PTR by ESSICK,JALEN",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
14:13,,,,,"TURNOVER  by CLARK,ETHAN",,,"TURNOVER  by CLARK,ETHAN",1
13:57,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",1
--,,,,,"REBOUND DEF by SOWADA,COLLIN",,,"REBOUND DEF by SOWADA,COLLIN",1
13:45,,9,,21 (+12),"GOOD 3PTR by JONES,DREW",Berry 9-21 (-12),,"GOOD 3PTR by JONES,DREW",1
--,,,,,"ASSIST  by SOWADA,COLLIN",,,"ASSIST  by SOWADA,COLLIN",1
13:26,"GOOD 3PTR by ESSICK,JALEN",12,,21 (+9),,Rhodes 12-21 (-9),,"GOOD 3PTR by ESSICK,JALEN",1
13:05,,,,,"MISS LAYUP by BROOKS,AUSTIN",,,"MISS LAYUP by BROOKS,AUSTIN",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
12:56,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
12:56,,,,,"STEAL  by SOWADA,COLLIN",,,"STEAL  by SOWADA,COLLIN",1
12:49,,,,,"MISS 3PTR by ESTES,DJ",,,"MISS 3PTR by ESTES,DJ",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
12:36,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by SOWADA,COLLIN",,,"REBOUND DEF by SOWADA,COLLIN",1
12:18,,12,,23 (+11),"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 12-23 (-11),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
--,,,,,"ASSIST  by SOWADA,COLLIN",,,"ASSIST  by SOWADA,COLLIN",1
