Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:46,"GOOD JUMPER by CARTER,ZACC",2 (+2),,0,,MCM 2-0 (-2),,"GOOD JUMPER by CARTER,ZACC",1
19:23,,2,,2,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",Rhodes 2-2 (0),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
19:13,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
19:13,"GOOD FT by TERRY,KRISHAWN",3 (+1),,2,,MCM 3-2 (-1),,"GOOD FT by TERRY,KRISHAWN",1
19:13,"GOOD FT by TERRY,KRISHAWN",4 (+2),,2,,MCM 4-2 (-2),,"GOOD FT by TERRY,KRISHAWN",1
18:57,,,,,"MISS JUMPER by JAMES,MAC(in the paint)",,,"MISS JUMPER by JAMES,MAC(in the paint)",1
--,"REBOUND DEF by BERRY JR.,DEDRICK",,,,,,,"REBOUND DEF by BERRY JR.,DEDRICK",1
18:52,"MISS LAYUP by CARTER,ZACC(in the paint)",,,,,,,"MISS LAYUP by CARTER,ZACC(in the paint)",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
18:37,,,,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1
--,"REBOUND DEF by TERRY,KRISHAWN",,,,,,,"REBOUND DEF by TERRY,KRISHAWN",1
18:30,"TURNOVER  by TAYLOR,COLIN",,,,,,,"TURNOVER  by TAYLOR,COLIN",1
18:30,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",1
18:16,,4,,4,"GOOD LAYUP by BERRY,BRYCE(in the paint)",Rhodes 4-4 (0),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
--,,,,,"ASSIST  by NESTLEHUTT,JAKE",,,"ASSIST  by NESTLEHUTT,JAKE",1
17:59,"MISS 3PTR by TERRY,KRISHAWN",,,,,,,"MISS 3PTR by TERRY,KRISHAWN",1
--,"REBOUND OFF by TAYLOR,COLIN",,,,,,,"REBOUND OFF by TAYLOR,COLIN",1
17:52,"MISS 3PTR by TAYLOR,COLIN",,,,,,,"MISS 3PTR by TAYLOR,COLIN",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
17:43,,,,,"MISS JUMPER by NESTLEHUTT,JAKE",,,"MISS JUMPER by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by TERRY,KRISHAWN",,,,,,,"REBOUND DEF by TERRY,KRISHAWN",1
17:30,"MISS JUMPER by TAYLOR,COLIN",,,,,,,"MISS JUMPER by TAYLOR,COLIN",1
--,,,,,"REBOUND DEF by BERRY,BRYCE",,,"REBOUND DEF by BERRY,BRYCE",1
17:19,,,,,"MISS JUMPER by NESTLEHUTT,JAKE(in the paint)",,,"MISS JUMPER by NESTLEHUTT,JAKE(in the paint)",1
17:19,"BLOCK  by WILLIAMS JR.,MIKE",,,,,,,"BLOCK  by WILLIAMS JR.,MIKE",1
--,"REBOUND DEF by WILLIAMS JR.,MIKE",,,,,,,"REBOUND DEF by WILLIAMS JR.,MIKE",1
17:12,"TURNOVER  by WILLIAMS JR.,MIKE",,,,,,,"TURNOVER  by WILLIAMS JR.,MIKE",1
16:56,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
16:56,"STEAL  by CARTER,ZACC",,,,,,,"STEAL  by CARTER,ZACC",1
16:40,"MISS 3PTR by TAYLOR,COLIN",,,,,,,"MISS 3PTR by TAYLOR,COLIN",1
--,"REBOUND OFF by TERRY,KRISHAWN",,,,,,,"REBOUND OFF by TERRY,KRISHAWN",1
16:20,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
16:20,"GOOD FT by BERRY JR.,DEDRICK",5 (+1),,4,,MCM 5-4 (-1),,"GOOD FT by BERRY JR.,DEDRICK",1
16:20,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
16:20,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
16:20,"GOOD FT by BERRY JR.,DEDRICK",6 (+2),,4,,MCM 6-4 (-2),,"GOOD FT by BERRY JR.,DEDRICK",1
16:05,"FOUL  by WILLIAMS JR.,MIKE",,,,,,,"FOUL  by WILLIAMS JR.,MIKE",1
15:50,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
15:50,"STEAL  by BERRY JR.,DEDRICK",,,,,,,"STEAL  by BERRY JR.,DEDRICK",1
15:38,"MISS 3PTR by BERRY JR.,DEDRICK",,,,,,,"MISS 3PTR by BERRY JR.,DEDRICK",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
15:27,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
15:27,"BLOCK  by BERRY JR.,DEDRICK",,,,,,,"BLOCK  by BERRY JR.,DEDRICK",1
--,"REBOUND DEF by TERRY,KRISHAWN",,,,,,,"REBOUND DEF by TERRY,KRISHAWN",1
15:22,"GOOD LAYUP by TERRY,KRISHAWN(fastbreak)(in the paint)",8 (+4),,4,,MCM 8-4 (-4),,"GOOD LAYUP by TERRY,KRISHAWN(fastbreak)(in the paint)",1
--,"ASSIST  by CARTER,ZACC",,,,,,,"ASSIST  by CARTER,ZACC",1
15:09,,8 (+2),,6,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",Rhodes 8-6 (-2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
14:53,"GOOD 3PTR by BERRY JR.,DEDRICK",11 (+5),,6,,MCM 11-6 (-5),,"GOOD 3PTR by BERRY JR.,DEDRICK",1
14:34,,11 (+2),,9,"GOOD 3PTR by WILEY,KOKI",Rhodes 11-9 (-2),,"GOOD 3PTR by WILEY,KOKI",1
--,,,,,"ASSIST  by NESTLEHUTT,JAKE",,,"ASSIST  by NESTLEHUTT,JAKE",1
14:18,"TURNOVER  by CARTER,ZACC",,,,,,,"TURNOVER  by CARTER,ZACC",1
14:18,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:16,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
14:16,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
14:16,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
14:16,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
14:16,"SUB OUT by TAYLOR,COLIN",,,,,,,"SUB OUT by TAYLOR,COLIN",1
14:16,"SUB OUT by WILLIAMS JR.,MIKE",,,,,,,"SUB OUT by WILLIAMS JR.,MIKE",1
