Time Remaining,MIL-U,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:50,"GOOD 3PTR by BURROWS,TROY",3 (+3),,0,,MIL-U 3-0 (-3),,"GOOD 3PTR by BURROWS,TROY",1
--,"ASSIST  by HAMPTON,JAKE",,,,,,,"ASSIST  by HAMPTON,JAKE",1
19:22,,3 (+1),,2,"GOOD JUMPER by GALVIN,OWEN(in the paint)",Rhodes 3-2 (-1),,"GOOD JUMPER by GALVIN,OWEN(in the paint)",1
19:11,"TURNOVER  by HAMPTON,JAKE",,,,,,,"TURNOVER  by HAMPTON,JAKE",1
19:02,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
18:46,"GOOD 3PTR by BURROWS,TROY",6 (+4),,2,,MIL-U 6-2 (-4),,"GOOD 3PTR by BURROWS,TROY",1
--,"ASSIST  by STICHNOTE,SAM",,,,,,,"ASSIST  by STICHNOTE,SAM",1
18:32,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
18:32,"STEAL  by HAMPTON,JAKE",,,,,,,"STEAL  by HAMPTON,JAKE",1
18:26,"MISS 3PTR by BURROWS,TROY",,,,,,,"MISS 3PTR by BURROWS,TROY",1
--,"REBOUND OFF by HAMPTON,JAKE",,,,,,,"REBOUND OFF by HAMPTON,JAKE",1
18:22,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
18:17,"TURNOVER  by LAURENCE,COLE",,,,,,,"TURNOVER  by LAURENCE,COLE",1
18:09,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
17:56,"MISS 3PTR by HAMPTON,JAKE",,,,,,,"MISS 3PTR by HAMPTON,JAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:54,"FOUL  by LAURENCE,COLE",,,,,,,"FOUL  by LAURENCE,COLE",1
17:36,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",1
--,"REBOUND DEF by STICHNOTE,SAM",,,,,,,"REBOUND DEF by STICHNOTE,SAM",1
17:26,"MISS LAYUP by LAURENCE,COLE(in the paint)",,,,,,,"MISS LAYUP by LAURENCE,COLE(in the paint)",1
--,"REBOUND OFF by LAURENCE,COLE",,,,,,,"REBOUND OFF by LAURENCE,COLE",1
17:21,"GOOD LAYUP by LAURENCE,COLE(in the paint)",8 (+6),,2,,MIL-U 8-2 (-6),,"GOOD LAYUP by LAURENCE,COLE(in the paint)",1
17:05,,8 (+4),,4,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",Rhodes 8-4 (-4),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
16:52,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
16:52,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
16:52,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
16:52,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
