Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,WASHUM,Game Score,Team Indicator,Play,Period
19:34,,,,,"MISS 3PTR by NESTER,MATT",,,"MISS 3PTR by NESTER,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:23,,,,,"FOUL  by RUCKER,DEVAUGHN",,,"FOUL  by RUCKER,DEVAUGHN",1
19:23,,,,,"TURNOVER  by RUCKER,DEVAUGHN",,,"TURNOVER  by RUCKER,DEVAUGHN",1
19:09,"GOOD JUMPER by WILEY,KOKI(in the paint)",2 (+2),,0,,RHODES 2-0 (+2),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
18:53,,,,,"MISS LAYUP by NESTER,MATT",,,"MISS LAYUP by NESTER,MATT",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
18:42,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by HUNTER,HANK",,,"REBOUND DEF by HUNTER,HANK",1
18:34,,,,,"MISS 3PTR by HARDY,JUSTIN",,,"MISS 3PTR by HARDY,JUSTIN",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
18:10,"GOOD 3PTR by ESSICK,JALEN",5 (+5),,0,,RHODES 5-0 (+5),,"GOOD 3PTR by ESSICK,JALEN",1
--,"ASSIST  by BERRY,BRYCE",,,,,,,"ASSIST  by BERRY,BRYCE",1
17:44,,5 (+3),,2,"GOOD LAYUP by HARDY,JUSTIN(in the paint)",WASHUM 5-2 (+3),,"GOOD LAYUP by HARDY,JUSTIN(in the paint)",1
17:24,"MISS JUMPER by GIROUX,PRESTON",,,,,,,"MISS JUMPER by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by RUCKER,DEVAUGHN",,,"REBOUND DEF by RUCKER,DEVAUGHN",1
17:12,,,,,"FOUL  by RUCKER,DEVAUGHN",,,"FOUL  by RUCKER,DEVAUGHN",1
17:12,,,,,"TURNOVER  by RUCKER,DEVAUGHN",,,"TURNOVER  by RUCKER,DEVAUGHN",1
17:12,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
17:12,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
17:12,,,,,"SUB IN by ARENAS,JONATHAN",,,"SUB IN by ARENAS,JONATHAN",1
17:12,,,,,"SUB OUT by RUCKER,DEVAUGHN",,,"SUB OUT by RUCKER,DEVAUGHN",1
16:59,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",7 (+5),,2,,RHODES 7-2 (+5),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
16:57,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
16:57,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
16:51,,,,,"MISS 3PTR by NOLAN,JACK",,,"MISS 3PTR by NOLAN,JACK",1
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",1
16:40,"SUB IN by PIPPENGER,WILEY",,,,,,,"SUB IN by PIPPENGER,WILEY",1
16:40,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
16:40,,,,,"SUB IN by BOEHM,SPENCER",,,"SUB IN by BOEHM,SPENCER",1
16:40,,,,,"SUB OUT by HUNTER,HANK",,,"SUB OUT by HUNTER,HANK",1
16:28,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,"REBOUND OFF by PIPPENGER,WILEY",,,,,,,"REBOUND OFF by PIPPENGER,WILEY",1
16:25,,,,,"FOUL  by ARENAS,JONATHAN",,,"FOUL  by ARENAS,JONATHAN",1
16:11,"GOOD 3PTR by GALVIN,OWEN",10 (+8),,2,,RHODES 10-2 (+8),,"GOOD 3PTR by GALVIN,OWEN",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
15:45,,10 (+5),,5,"GOOD 3PTR by NOLAN,JACK",WASHUM 10-5 (+5),,"GOOD 3PTR by NOLAN,JACK",1
--,,,,,"ASSIST  by NESTER,MATT",,,"ASSIST  by NESTER,MATT",1
15:22,"TURNOVER  by BERRY,BRYCE",,,,,,,"TURNOVER  by BERRY,BRYCE",1
15:21,,,,,"STEAL  by NOLAN,JACK",,,"STEAL  by NOLAN,JACK",1
15:17,,10 (+2),,8,"GOOD 3PTR by NOLAN,JACK(fastbreak)",WASHUM 10-8 (+2),,"GOOD 3PTR by NOLAN,JACK(fastbreak)",1
--,,,,,"ASSIST  by HARDY,JUSTIN",,,"ASSIST  by HARDY,JUSTIN",1
15:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:13,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
15:13,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
15:13,,,,,"SUB IN by WEBB,PAYDEN",,,"SUB IN by WEBB,PAYDEN",1
15:13,,,,,"SUB OUT by NESTER,MATT",,,"SUB OUT by NESTER,MATT",1
14:53,"MISS JUMPER by PIPPENGER,WILEY",,,,,,,"MISS JUMPER by PIPPENGER,WILEY",1
--,"REBOUND OFF by PIPPENGER,WILEY",,,,,,,"REBOUND OFF by PIPPENGER,WILEY",1
14:50,"MISS LAYUP by PIPPENGER,WILEY",,,,,,,"MISS LAYUP by PIPPENGER,WILEY",1
--,,,,,"REBOUND DEF by NOLAN,JACK",,,"REBOUND DEF by NOLAN,JACK",1
14:29,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",1
14:28,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
14:28,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
14:25,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",1
14:25,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
14:25,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
14:15,,10,,11 (+1),"GOOD 3PTR by WEBB,PAYDEN",WASHUM 10-11 (-1),,"GOOD 3PTR by WEBB,PAYDEN",1
--,,,,,"ASSIST  by ARENAS,JONATHAN",,,"ASSIST  by ARENAS,JONATHAN",1
13:47,"GOOD JUMPER by WEATHERFORD,MITCH",12 (+1),,11,,RHODES 12-11 (+1),,"GOOD JUMPER by WEATHERFORD,MITCH",1
13:30,,,,,"MISS 3PTR by WEBB,PAYDEN",,,"MISS 3PTR by WEBB,PAYDEN",1
--,,,,,"REBOUND OFF by ARENAS,JONATHAN",,,"REBOUND OFF by ARENAS,JONATHAN",1
13:25,,,,,"MISS LAYUP by ARENAS,JONATHAN",,,"MISS LAYUP by ARENAS,JONATHAN",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
13:01,,,,,"FOUL  by WEBB,PAYDEN",,,"FOUL  by WEBB,PAYDEN",1
13:01,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:01,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
13:01,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
13:01,"SUB OUT by PIPPENGER,WILEY",,,,,,,"SUB OUT by PIPPENGER,WILEY",1
13:01,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
13:01,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
13:01,,,,,"SUB IN by HUNTER,HANK",,,"SUB IN by HUNTER,HANK",1
13:01,,,,,"SUB IN by MACK,KAMERON",,,"SUB IN by MACK,KAMERON",1
13:01,,,,,"SUB IN by NESTER,MATT",,,"SUB IN by NESTER,MATT",1
13:01,,,,,"SUB OUT by BOEHM,SPENCER",,,"SUB OUT by BOEHM,SPENCER",1
13:01,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",1
13:01,,,,,"SUB OUT by NOLAN,JACK",,,"SUB OUT by NOLAN,JACK",1
12:45,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
12:42,,,,,"STEAL  by MACK,KAMERON",,,"STEAL  by MACK,KAMERON",1
12:40,,12,,14 (+2),"GOOD 3PTR by NESTER,MATT(fastbreak)",WASHUM 12-14 (-2),,"GOOD 3PTR by NESTER,MATT(fastbreak)",1
--,,,,,"ASSIST  by WEBB,PAYDEN",,,"ASSIST  by WEBB,PAYDEN",1
12:17,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",14,,14,,RHODES 14-14 (0),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
11:56,,,,,"MISS LAYUP by MACK,KAMERON",,,"MISS LAYUP by MACK,KAMERON",1
11:56,"BLOCK  by ESSICK,JALEN",,,,,,,"BLOCK  by ESSICK,JALEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:55,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
11:55,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
11:51,,,,,"MISS JUMPER by WEBB,PAYDEN",,,"MISS JUMPER by WEBB,PAYDEN",1
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",1
11:35,,,,,"FOUL  by MACK,KAMERON",,,"FOUL  by MACK,KAMERON",1
11:35,"GOOD FT by ESSICK,JALEN",15 (+1),,14,,RHODES 15-14 (+1),,"GOOD FT by ESSICK,JALEN",1
11:35,"GOOD FT by ESSICK,JALEN",16 (+2),,14,,RHODES 16-14 (+2),,"GOOD FT by ESSICK,JALEN",1
11:35,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by HUNTER,HANK",,,"REBOUND DEF by HUNTER,HANK",1
11:35,,,,,"SUB IN by WEBB,PAYDEN",,,"SUB IN by WEBB,PAYDEN",1
11:35,,,,,"SUB IN by JACOB,CHARLIE",,,"SUB IN by JACOB,CHARLIE",1
11:35,,,,,"SUB OUT by JACOB,CHARLIE",,,"SUB OUT by JACOB,CHARLIE",1
11:35,,,,,"SUB OUT by WEBB,PAYDEN",,,"SUB OUT by WEBB,PAYDEN",1
11:26,,16,,16,"GOOD LAYUP by HUNTER,HANK(in the paint)",WASHUM 16-16 (0),,"GOOD LAYUP by HUNTER,HANK(in the paint)",1
--,,,,,"ASSIST  by ARENAS,JONATHAN",,,"ASSIST  by ARENAS,JONATHAN",1
11:08,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",1
--,,,,,"REBOUND DEF by ARENAS,JONATHAN",,,"REBOUND DEF by ARENAS,JONATHAN",1
10:59,,16,,18 (+2),"GOOD LAYUP by ARENAS,JONATHAN(in the paint)",WASHUM 16-18 (-2),,"GOOD LAYUP by ARENAS,JONATHAN(in the paint)",1
10:33,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by ARENAS,JONATHAN",,,"REBOUND DEF by ARENAS,JONATHAN",1
10:27,,,,,"TURNOVER  by ARENAS,JONATHAN",,,"TURNOVER  by ARENAS,JONATHAN",1
10:25,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
10:22,,,,,"FOUL  by ARENAS,JONATHAN",,,"FOUL  by ARENAS,JONATHAN",1
10:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:22,"SUB IN by PIPPENGER,WILEY",,,,,,,"SUB IN by PIPPENGER,WILEY",1
10:22,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
10:22,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
10:22,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
10:22,,,,,"SUB IN by HARDY,JUSTIN",,,"SUB IN by HARDY,JUSTIN",1
10:22,,,,,"SUB OUT by ARENAS,JONATHAN",,,"SUB OUT by ARENAS,JONATHAN",1
10:14,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
10:01,,,,,"MISS LAYUP by HUNTER,HANK",,,"MISS LAYUP by HUNTER,HANK",1
--,,,,,"REBOUND OFF by HUNTER,HANK",,,"REBOUND OFF by HUNTER,HANK",1
09:57,,16,,21 (+5),"GOOD 3PTR by NESTER,MATT",WASHUM 16-21 (-5),,"GOOD 3PTR by NESTER,MATT",1
--,,,,,"ASSIST  by HUNTER,HANK",,,"ASSIST  by HUNTER,HANK",1
09:38,"GOOD LAYUP by PIPPENGER,WILEY(in the paint)",18,,21 (+3),,RHODES 18-21 (-3),,"GOOD LAYUP by PIPPENGER,WILEY(in the paint)",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
09:22,,,,,"MISS LAYUP by HARDY,JUSTIN",,,"MISS LAYUP by HARDY,JUSTIN",1
--,,,,,"REBOUND OFF by HUNTER,HANK",,,"REBOUND OFF by HUNTER,HANK",1
09:18,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
09:10,,,,,"MISS JUMPER by HARDY,JUSTIN",,,"MISS JUMPER by HARDY,JUSTIN",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
09:05,"MISS LAYUP by PIPPENGER,WILEY",,,,,,,"MISS LAYUP by PIPPENGER,WILEY",1
09:05,,,,,"BLOCK  by HUNTER,HANK",,,"BLOCK  by HUNTER,HANK",1
--,,,,,"REBOUND DEF by NESTER,MATT",,,"REBOUND DEF by NESTER,MATT",1
08:56,,18,,24 (+6),"GOOD 3PTR by HARDY,JUSTIN",WASHUM 18-24 (-6),,"GOOD 3PTR by HARDY,JUSTIN",1
--,,,,,"ASSIST  by NESTER,MATT",,,"ASSIST  by NESTER,MATT",1
08:34,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by NESTER,MATT",,,"REBOUND DEF by NESTER,MATT",1
