Time Remaining,ETBU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:39,"MISS JUMPER by HAYNES,CHRIS(in the paint)",,,,,,,"MISS JUMPER by HAYNES,CHRIS(in the paint)",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
19:11,,,,,"TURNOVER  by NESTLEHUTT,JAKE",,,"TURNOVER  by NESTLEHUTT,JAKE",1
19:11,"STEAL  by BROWN,LANDIN",,,,,,,"STEAL  by BROWN,LANDIN",1
18:49,"MISS LAYUP by DOOLEY,ROBBY(in the paint)",,,,,,,"MISS LAYUP by DOOLEY,ROBBY(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:38,,0,,3 (+3),"GOOD 3PTR by BERRY,BRYCE",Rhodes 0-3 (+3),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
18:30,"TURNOVER  by GRAY,JORDAN",,,,,,,"TURNOVER  by GRAY,JORDAN",1
18:30,,,,,"STEAL  by GIROUX,PRESTON",,,"STEAL  by GIROUX,PRESTON",1
18:20,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by DOOLEY,ROBBY",,,,,,,"REBOUND DEF by DOOLEY,ROBBY",1
18:14,"MISS LAYUP by BROWN,LANDIN(in the paint)",,,,,,,"MISS LAYUP by BROWN,LANDIN(in the paint)",1
18:14,,,,,"BLOCK  by WILEY,KOKI",,,"BLOCK  by WILEY,KOKI",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:05,,0,,5 (+5),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 0-5 (+5),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
17:34,"SUB OUT by GRAY,JORDAN",,,,,,,"SUB OUT by GRAY,JORDAN",1
17:34,"SUB IN by FONTENOT,NATHAN",,,,,,,"SUB IN by FONTENOT,NATHAN",1
17:31,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by BROWN,LANDIN",,,,,,,"REBOUND DEF by BROWN,LANDIN",1
17:13,"MISS 3PTR by CONNER,JADEN",,,,,,,"MISS 3PTR by CONNER,JADEN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
17:06,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by HAYNES,CHRIS",,,,,,,"REBOUND DEF by HAYNES,CHRIS",1
16:45,"GOOD LAYUP by HAYNES,CHRIS(in the paint)",2,,5 (+3),,ETBU 2-5 (+3),,"GOOD LAYUP by HAYNES,CHRIS(in the paint)",1
16:31,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
16:31,"STEAL  by BROWN,LANDIN",,,,,,,"STEAL  by BROWN,LANDIN",1
16:25,"MISS 3PTR by FONTENOT,NATHAN",,,,,,,"MISS 3PTR by FONTENOT,NATHAN",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
16:15,,,,,"TURNOVER  by NESTLEHUTT,JAKE",,,"TURNOVER  by NESTLEHUTT,JAKE",1
16:15,"STEAL  by BROWN,LANDIN",,,,,,,"STEAL  by BROWN,LANDIN",1
16:08,"MISS JUMPER by CONNER,JADEN",,,,,,,"MISS JUMPER by CONNER,JADEN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
15:54,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by DOOLEY,ROBBY",,,,,,,"REBOUND DEF by DOOLEY,ROBBY",1
15:39,"GOOD JUMPER by CONNER,JADEN",4,,5 (+1),,ETBU 4-5 (+1),,"GOOD JUMPER by CONNER,JADEN",1
15:10,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
15:10,"BLOCK  by FONTENOT,NATHAN",,,,,,,"BLOCK  by FONTENOT,NATHAN",1
--,,,,,"REBOUND OFF by WEATHERFORD,MITCH",,,"REBOUND OFF by WEATHERFORD,MITCH",1
15:05,,4,,8 (+4),"GOOD 3PTR by NESTLEHUTT,JAKE",Rhodes 4-8 (+4),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
15:04,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
15:04,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
15:04,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
15:04,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:04,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
15:04,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
15:04,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
15:04,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
15:04,"SUB OUT by CONNER,JADEN",,,,,,,"SUB OUT by CONNER,JADEN",1
15:04,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
15:04,"SUB OUT by HAYNES,CHRIS",,,,,,,"SUB OUT by HAYNES,CHRIS",1
15:04,"SUB IN by RIDDICK,WESTIN",,,,,,,"SUB IN by RIDDICK,WESTIN",1
15:04,"SUB IN by COLLINS,COLTON",,,,,,,"SUB IN by COLLINS,COLTON",1
15:04,"SUB IN by CALDWELL,AHMAD",,,,,,,"SUB IN by CALDWELL,AHMAD",1
15:02,"MISS 3PTR by FONTENOT,NATHAN",,,,,,,"MISS 3PTR by FONTENOT,NATHAN",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
14:57,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
14:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:37,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by BROWN,LANDIN",,,,,,,"REBOUND DEF by BROWN,LANDIN",1
14:31,,,,,"FOUL  by GRUBBS,COBY",,,"FOUL  by GRUBBS,COBY",1
14:31,"GOOD FT by CALDWELL,AHMAD",5,,8 (+3),,ETBU 5-8 (+3),,"GOOD FT by CALDWELL,AHMAD",1
14:31,"MISS FT by CALDWELL,AHMAD",,,,,,,"MISS FT by CALDWELL,AHMAD",1
--,,,,,"REBOUND DEF by GRUBBS,COBY",,,"REBOUND DEF by GRUBBS,COBY",1
14:07,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
13:53,"MISS JUMPER by COLLINS,COLTON",,,,,,,"MISS JUMPER by COLLINS,COLTON",1
--,,,,,"REBOUND DEF by GRUBBS,COBY",,,"REBOUND DEF by GRUBBS,COBY",1
13:45,,5,,11 (+6),"GOOD 3PTR by ESSICK,JALEN",Rhodes 5-11 (+6),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
13:29,"GOOD JUMPER by BROWN,LANDIN(in the paint)",7,,11 (+4),,ETBU 7-11 (+4),,"GOOD JUMPER by BROWN,LANDIN(in the paint)",1
13:15,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by COLLINS,COLTON",,,,,,,"REBOUND DEF by COLLINS,COLTON",1
