Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
19:49,,0,,2 (+2),"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",AC 0-2 (-2),,"GOOD LAYUP by HOLLAND,MICHAEL(in the paint)",1
--,,,,,"ASSIST  by BRUMBAUGH,LUKE",,,"ASSIST  by BRUMBAUGH,LUKE",1
19:31,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
19:29,,,,,"STEAL  by MERCADEL,JUSTICE",,,"STEAL  by MERCADEL,JUSTICE",1
19:12,,,,,"MISS LAYUP by HOLLAND,MICHAEL",,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
19:01,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
18:54,,,,,"MISS JUMPER by BRUMBAUGH,LUKE",,,"MISS JUMPER by BRUMBAUGH,LUKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:37,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by MERCADEL,JUSTICE",,,"REBOUND DEF by MERCADEL,JUSTICE",1
18:28,,,,,"MISS 3PTR by MERCADEL,JUSTICE",,,"MISS 3PTR by MERCADEL,JUSTICE",1
--,,,,,"REBOUND OFF by HOLLAND,MICHAEL",,,"REBOUND OFF by HOLLAND,MICHAEL",1
18:22,,0,,4 (+4),"GOOD DUNK by HOLLAND,MICHAEL(in the paint)",AC 0-4 (-4),,"GOOD DUNK by HOLLAND,MICHAEL(in the paint)",1
18:16,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
18:16,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
18:09,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
