Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:35,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:09,,,,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",,,"MISS JUMPER by GIROUX,PRESTON(in the paint)",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
18:48,"GOOD JUMPER by JENKINS,KALEB",2 (+2),,0,,Mill 2-0 (-2),,"GOOD JUMPER by JENKINS,KALEB",1
18:31,,2,,2,"GOOD JUMPER by DE FERIA,NICK(in the paint)",Rhodes 2-2 (0),,"GOOD JUMPER by DE FERIA,NICK(in the paint)",1
18:13,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
18:13,,,,,"STEAL  by GIROUX,PRESTON",,,"STEAL  by GIROUX,PRESTON",1
17:57,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
17:48,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
17:42,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",1
17:42,,,,,"MISS FT by DE FERIA,NICK(fastbreak)",,,"MISS FT by DE FERIA,NICK(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:42,,2,,3 (+1),"GOOD FT by DE FERIA,NICK(fastbreak)",Rhodes 2-3 (+1),,"GOOD FT by DE FERIA,NICK(fastbreak)",1
17:28,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",4 (+1),,3,,Mill 4-3 (-1),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",1
17:07,,4,,6 (+2),"GOOD 3PTR by WILEY,KOKI",Rhodes 4-6 (+2),,"GOOD 3PTR by WILEY,KOKI",1
16:46,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",6,,6,,Mill 6-6 (0),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",1
16:34,,6,,8 (+2),"GOOD JUMPER by GIROUX,PRESTON",Rhodes 6-8 (+2),,"GOOD JUMPER by GIROUX,PRESTON",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
16:17,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
15:56,,,,,"TURNOVER  by DE FERIA,NICK",,,"TURNOVER  by DE FERIA,NICK",1
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:46,"GOOD DUNK by SPIKES,KALVIN(in the paint)",8,,8,,Mill 8-8 (0),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",1
15:32,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
15:22,"GOOD JUMPER by TURNER,JAMES(in the paint)",10 (+2),,8,,Mill 10-8 (-2),,"GOOD JUMPER by TURNER,JAMES(in the paint)",1
15:02,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
14:55,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",12 (+4),,8,,Mill 12-8 (-4),,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",1
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",1
14:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:51,,,,,"SUB OUT by DE FERIA,NICK",,,"SUB OUT by DE FERIA,NICK",1
14:51,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
14:51,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
14:51,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
14:51,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
14:51,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
14:43,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
14:24,"MISS DUNK by SPIKES,KALVIN(in the paint)",,,,,,,"MISS DUNK by SPIKES,KALVIN(in the paint)",1
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",1
14:07,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
13:51,"GOOD JUMPER by SPIKES,KALVIN",14 (+6),,8,,Mill 14-8 (-6),,"GOOD JUMPER by SPIKES,KALVIN",1
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",1
13:29,,14 (+4),,10,"GOOD JUMPER by WILEY,KOKI",Rhodes 14-10 (-4),,"GOOD JUMPER by WILEY,KOKI",1
13:12,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by PIPPENGER,WILEY",,,"REBOUND DEF by PIPPENGER,WILEY",1
13:02,,14 (+2),,12,"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 14-12 (-2),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
12:48,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",1
12:48,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
12:48,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
12:48,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
12:48,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
12:48,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
12:48,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",1
12:31,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
12:31,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
12:31,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
12:19,"GOOD 3PTR by JENKINS,KALEB",17 (+5),,12,,Mill 17-12 (-5),,"GOOD 3PTR by JENKINS,KALEB",1
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",1
12:07,,,,,"MISS JUMPER by WEATHERFORD,MITCH(in the paint)",,,"MISS JUMPER by WEATHERFORD,MITCH(in the paint)",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
12:00,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",1
--,"REBOUND OFF by MCLAURIN,RYAN",,,,,,,"REBOUND OFF by MCLAURIN,RYAN",1
11:55,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",1
11:55,"FOUL  by HUGHES,ANTHONY",,,,,,,"FOUL  by HUGHES,ANTHONY",1
11:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:48,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
11:33,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",19 (+7),,12,,Mill 19-12 (-7),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",1
11:14,,19 (+5),,14,"GOOD JUMPER by JAMES,MAC(in the paint)",Rhodes 19-14 (-5),,"GOOD JUMPER by JAMES,MAC(in the paint)",1
10:52,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",21 (+7),,14,,Mill 21-14 (-7),,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",1
10:29,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
10:17,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",1
10:17,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
10:17,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
10:17,,,,,"SUB OUT by PIPPENGER,WILEY",,,"SUB OUT by PIPPENGER,WILEY",1
10:17,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
10:17,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
10:17,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
10:03,,,,,"MISS JUMPER by JAMES,MAC(in the paint)",,,"MISS JUMPER by JAMES,MAC(in the paint)",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
09:51,"GOOD LAYUP by JENKINS,KALEB(in the paint)",23 (+9),,14,,Mill 23-14 (-9),,"GOOD LAYUP by JENKINS,KALEB(in the paint)",1
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",1
09:34,,,,,"MISS JUMPER by WEATHERFORD,MITCH(in the paint)",,,"MISS JUMPER by WEATHERFORD,MITCH(in the paint)",1
09:34,"BLOCK  by VAN PELT,JUSTIN",,,,,,,"BLOCK  by VAN PELT,JUSTIN",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
09:27,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",1
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",1
