Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:50,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
19:47,,,,,"TURNOVER  by COOKS,BROSNAN",,,"TURNOVER  by COOKS,BROSNAN",1
19:29,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
19:24,"MISS LAYUP by GIROUX,PRESTON(in the paint)",,,,,,,"MISS LAYUP by GIROUX,PRESTON(in the paint)",1
19:20,,,,,"TURNOVER  by DUPREE,RYAN",,,"TURNOVER  by DUPREE,RYAN",1
19:20,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by PRUITT,KELVIN",,,"REBOUND DEF by PRUITT,KELVIN",1
19:14,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:11,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
19:11,,,,,"STEAL  by DUPREE,RYAN",,,"STEAL  by DUPREE,RYAN",1
19:11,,0,,2 (+2),"GOOD LAYUP by DUPREE,RYAN(fastbreak)(in the paint)",BU 0-2 (-2),,"GOOD LAYUP by DUPREE,RYAN(fastbreak)(in the paint)",1
19:11,"GOOD LAYUP by BERRY,BRYCE(in the paint)",2,,2,,Rhodes 2-2 (0),,"GOOD LAYUP by BERRY,BRYCE(in the paint)",1
19:11,,,,,"MISS 3PTR by DUPREE,RYAN",,,"MISS 3PTR by DUPREE,RYAN",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
18:56,"MISS LAYUP by BERRY,BRYCE(in the paint)",,,,,,,"MISS LAYUP by BERRY,BRYCE(in the paint)",1
--,,,,,"REBOUND DEF by COUCH,LUKE",,,"REBOUND DEF by COUCH,LUKE",1
18:19,,,,,"TURNOVER  by COUCH,LUKE",,,"TURNOVER  by COUCH,LUKE",1
18:03,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND DEF by DUPREE,RYAN",,,"REBOUND DEF by DUPREE,RYAN",1
17:49,,2,,4 (+2),"GOOD LAYUP by COOKS,BROSNAN(in the paint)",BU 2-4 (-2),,"GOOD LAYUP by COOKS,BROSNAN(in the paint)",1
--,,,,,"ASSIST  by COUCH,LUKE",,,"ASSIST  by COUCH,LUKE",1
