Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:50,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
19:50,"SUB OUT by COPELAND,GRAHAM",,,,,,,"SUB OUT by COPELAND,GRAHAM",1
19:48,,0,,2 (+2),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 0-2 (-2),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
19:22,"MISS JUMPER by WEATHERFORD,MITCH",,,,,,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
19:21,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
19:07,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
18:43,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
18:33,,0,,5 (+5),"GOOD 3PTR by JENKINS,KALEB",Mill 0-5 (-5),,"GOOD 3PTR by JENKINS,KALEB",1
--,,,,,"ASSIST  by MCLAURIN,RYAN",,,"ASSIST  by MCLAURIN,RYAN",1
18:13,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
18:13,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
18:13,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
18:13,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
17:57,,,,,"MISS JUMPER by JENKINS,KALEB",,,"MISS JUMPER by JENKINS,KALEB",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
17:49,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
17:40,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
17:40,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
17:40,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
17:20,,0,,8 (+8),"GOOD 3PTR by HUGHES,ANTHONY",Mill 0-8 (-8),,"GOOD 3PTR by HUGHES,ANTHONY",1
--,,,,,"ASSIST  by SPIKES,KALVIN",,,"ASSIST  by SPIKES,KALVIN",1
17:00,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
17:00,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
16:51,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
16:40,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
