Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by ESTES,DJ",,,,,,,"TURNOVER  by ESTES,DJ",1
19:33,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
19:33,"BLOCK  by BROOKS,AUSTIN",,,,,,,"BLOCK  by BROOKS,AUSTIN",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
19:24,"TURNOVER  by HAYNES,CALEB",,,,,,,"TURNOVER  by HAYNES,CALEB",1
19:24,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",1
19:20,,0,,2 (+2),"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",Rhodes 0-2 (+2),,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",1
18:54,"MISS JUMPER by ESTES,DJ",,,,,,,"MISS JUMPER by ESTES,DJ",1
--,,,,,"REBOUND DEF by DE FERIA,NICK",,,"REBOUND DEF by DE FERIA,NICK",1
18:32,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:03,"MISS JUMPER by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS JUMPER by BROOKS,AUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
17:55,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",1
17:35,"MISS JUMPER by JOHNSON,MICAH(in the paint)",,,,,,,"MISS JUMPER by JOHNSON,MICAH(in the paint)",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
17:34,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
17:24,"GOOD 3PTR by ESTES,DJ",3 (+1),,2,,Berry 3-2 (-1),,"GOOD 3PTR by ESTES,DJ",1
17:04,,3,,4 (+1),"GOOD JUMPER by ESSICK,JALEN",Rhodes 3-4 (+1),,"GOOD JUMPER by ESSICK,JALEN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
16:42,"MISS JUMPER by HAYNES,CALEB(in the paint)",,,,,,,"MISS JUMPER by HAYNES,CALEB(in the paint)",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
16:31,,3,,7 (+4),"GOOD 3PTR by WEATHERFORD,MITCH",Rhodes 3-7 (+4),,"GOOD 3PTR by WEATHERFORD,MITCH",1
--,,,,,"ASSIST  by DE FERIA,NICK",,,"ASSIST  by DE FERIA,NICK",1
