Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
14:01,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,"REBOUND DEF by UKPE,JOSH",,,,,,,"REBOUND DEF by UKPE,JOSH",1
13:42,"FOUL  by JACKSON,TYLAN",,,,,,,"FOUL  by JACKSON,TYLAN",1
13:42,"TURNOVER  by JACKSON,TYLAN",,,,,,,"TURNOVER  by JACKSON,TYLAN",1
13:38,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
13:38,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
13:38,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",,,"MISS 3PTR by PHILLIPS JR,RODNEY",1
--,"REBOUND DEF by UKPE,JOSH",,,,,,,"REBOUND DEF by UKPE,JOSH",1
13:29,"TURNOVER  by UKPE,JOSH",,,,,,,"TURNOVER  by UKPE,JOSH",1
13:29,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
13:29,,,,,"SUB OUT by BONNECAZE,STEWART",,,"SUB OUT by BONNECAZE,STEWART",1
13:29,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
13:29,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
13:29,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",1
13:29,"SUB OUT by JACKSON,TYLAN",,,,,,,"SUB OUT by JACKSON,TYLAN",1
13:29,"SUB IN by ELDRIDGE,TIM",,,,,,,"SUB IN by ELDRIDGE,TIM",1
13:29,"SUB IN by CHEATER,DILLON",,,,,,,"SUB IN by CHEATER,DILLON",1
13:28,,,,,"FOUL  by PHILLIPS JR,RODNEY",,,"FOUL  by PHILLIPS JR,RODNEY",1
13:28,,,,,"TURNOVER  by PHILLIPS JR,RODNEY",,,"TURNOVER  by PHILLIPS JR,RODNEY",1
13:20,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
13:20,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
13:05,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
12:57,"FOUL  by ELDRIDGE,TIM",,,,,,,"FOUL  by ELDRIDGE,TIM",1
12:57,,14 (+11),,3,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 14-3 (-11),,"GOOD FT by WATSON,DOUG(fastbreak)",1
12:57,,14 (+10),,4,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 14-4 (-10),,"GOOD FT by WATSON,DOUG(fastbreak)",1
12:44,"GOOD 3PTR by UKPE,JOSH",17 (+13),,4,,UO 17-4 (-13),,"GOOD 3PTR by UKPE,JOSH",1
--,"ASSIST  by CHEATER,DILLON",,,,,,,"ASSIST  by CHEATER,DILLON",1
12:31,"FOUL  by TABE,SEPHFAN",,,,,,,"FOUL  by TABE,SEPHFAN",1
12:31,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",1
12:31,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",1
12:31,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
12:31,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
12:21,,,,,"MISS 3PTR by GASCA,DAKOTA",,,"MISS 3PTR by GASCA,DAKOTA",1
12:21,"FOUL  by UKPE,JOSH",,,,,,,"FOUL  by UKPE,JOSH",1
12:21,,17 (+12),,5,"GOOD FT by UGHOVWA,NICHOLAS",Mill 17-5 (-12),,"GOOD FT by UGHOVWA,NICHOLAS",1
12:21,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
12:21,,17 (+11),,6,"GOOD FT by UGHOVWA,NICHOLAS",Mill 17-6 (-11),,"GOOD FT by UGHOVWA,NICHOLAS",1
12:21,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
12:21,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
12:21,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
12:21,"SUB OUT by CHEATER,DILLON",,,,,,,"SUB OUT by CHEATER,DILLON",1
12:21,"SUB IN by JACKSON,TYLAN",,,,,,,"SUB IN by JACKSON,TYLAN",1
--,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",,,"REBOUND OFF by UGHOVWA,NICHOLAS",1
11:58,"TURNOVER  by JACKSON,TYLAN",,,,,,,"TURNOVER  by JACKSON,TYLAN",1
11:58,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
11:58,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
11:58,"SUB OUT by TABE,SEPHFAN",,,,,,,"SUB OUT by TABE,SEPHFAN",1
11:58,"SUB IN by CHEATER,DILLON",,,,,,,"SUB IN by CHEATER,DILLON",1
11:50,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,"REBOUND DEF by JACKSON,TYLAN",,,,,,,"REBOUND DEF by JACKSON,TYLAN",1
11:42,"GOOD JUMPER by ELDRIDGE,TIM(fastbreak)(in the paint)",19 (+13),,6,,UO 19-6 (-13),,"GOOD JUMPER by ELDRIDGE,TIM(fastbreak)(in the paint)",1
11:18,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND OFF by WATSON,DOUG",,,"REBOUND OFF by WATSON,DOUG",1
11:01,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",1
11:01,"STEAL  by JACKSON,TYLAN",,,,,,,"STEAL  by JACKSON,TYLAN",1
10:53,,,,,"MISS LAYUP by BUSH,RODREEKAS(in the paint)",,,"MISS LAYUP by BUSH,RODREEKAS(in the paint)",1
--,"REBOUND DEF by JACKSON,TYLAN",,,,,,,"REBOUND DEF by JACKSON,TYLAN",1
10:44,"MISS LAYUP by UKPE,JOSH(in the paint)",,,,,,,"MISS LAYUP by UKPE,JOSH(in the paint)",1
--,,,,,"REBOUND DEF by PHILLIPS JR,RODNEY",,,"REBOUND DEF by PHILLIPS JR,RODNEY",1
10:37,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by POWELL,KYRON",,,,,,,"REBOUND DEF by POWELL,KYRON",1
10:21,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
