Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:30,,0,,2 (+2),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 0-2 (-2),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
19:24,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
19:03,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",1
18:51,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
18:31,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
18:31,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
18:16,,0,,4 (+4),"GOOD JUMPER by ESSICK,JALEN",Rhodes 0-4 (-4),,"GOOD JUMPER by ESSICK,JALEN",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
18:02,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:00,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",1
17:46,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
17:46,,0,,5 (+5),"GOOD FT by WALKER,JEFFERSON",Rhodes 0-5 (-5),,"GOOD FT by WALKER,JEFFERSON",1
17:46,,0,,6 (+6),"GOOD FT by WALKER,JEFFERSON",Rhodes 0-6 (-6),,"GOOD FT by WALKER,JEFFERSON",1
17:46,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
17:46,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
17:43,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
17:39,"GOOD LAYUP by WATSON,DOUG(in the paint)",2,,6 (+4),,Mill 2-6 (-4),,"GOOD LAYUP by WATSON,DOUG(in the paint)",1
17:28,,2,,8 (+6),"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 2-8 (-6),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
17:28,"FOUL  by PHILLIPS JR,RODNEY",,,,,,,"FOUL  by PHILLIPS JR,RODNEY",1
17:28,,,,,"MISS FT by ESSICK,JALEN",,,"MISS FT by ESSICK,JALEN",1
--,"REBOUND DEF by PHILLIPS JR,RODNEY",,,,,,,"REBOUND DEF by PHILLIPS JR,RODNEY",1
16:54,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
16:43,,2,,10 (+8),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 2-10 (-8),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
16:33,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
16:33,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
16:28,,2,,12 (+10),"GOOD LAYUP by ESSICK,JALEN(fastbreak)(in the paint)",Rhodes 2-12 (-10),,"GOOD LAYUP by ESSICK,JALEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
16:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:21,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",1
16:21,,,,,"STEAL  by GEORGETOWN II,ARNESS",,,"STEAL  by GEORGETOWN II,ARNESS",1
16:06,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
15:51,"MISS JUMPER by URSIN,AARON",,,,,,,"MISS JUMPER by URSIN,AARON",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
15:34,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
15:34,,,,,"SUB IN by DOTSON,PHIL",,,"SUB IN by DOTSON,PHIL",1
15:34,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
15:34,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
15:28,,2,,14 (+12),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 2-14 (-12),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",1
15:16,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
15:16,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",1
15:15,,,,,"FOUL  by DOTSON,PHIL",,,"FOUL  by DOTSON,PHIL",1
15:15,,,,,"TURNOVER  by DOTSON,PHIL",,,"TURNOVER  by DOTSON,PHIL",1
15:02,"TURNOVER  by RUCKER,CAM",,,,,,,"TURNOVER  by RUCKER,CAM",1
15:02,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
15:02,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
15:02,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",1
15:02,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
15:02,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
14:51,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
14:37,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
14:32,,2,,16 (+14),"GOOD DUNK by ESSICK,JALEN(in the paint)",Rhodes 2-16 (-14),,"GOOD DUNK by ESSICK,JALEN(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
14:14,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
14:14,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
14:14,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
14:14,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
14:14,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
14:05,"TURNOVER  by RUCKER,CAM",,,,,,,"TURNOVER  by RUCKER,CAM",1
13:34,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
13:29,,2,,18 (+16),"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 2-18 (-16),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
13:11,"MISS JUMPER by BONNECAZE,STEWART",,,,,,,"MISS JUMPER by BONNECAZE,STEWART",1
--,"REBOUND OFF by STEPHEN,SETH",,,,,,,"REBOUND OFF by STEPHEN,SETH",1
13:10,"MISS LAYUP by STEPHEN,SETH(in the paint)",,,,,,,"MISS LAYUP by STEPHEN,SETH(in the paint)",1
13:10,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:58,"GOOD JUMPER by GASCA,DAKOTA",4,,18 (+14),,Mill 4-18 (-14),,"GOOD JUMPER by GASCA,DAKOTA",1
12:33,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
12:33,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
12:33,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
12:24,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",1
12:24,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
12:12,"MISS 3PTR by ROTH,DREW",,,,,,,"MISS 3PTR by ROTH,DREW",1
--,"REBOUND OFF by GORTON,MACK",,,,,,,"REBOUND OFF by GORTON,MACK",1
12:06,"MISS LAYUP by GORTON,MACK(in the paint)",,,,,,,"MISS LAYUP by GORTON,MACK(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
11:58,,4,,20 (+16),"GOOD JUMPER by DOTSON,PHIL(fastbreak)(in the paint)",Rhodes 4-20 (-16),,"GOOD JUMPER by DOTSON,PHIL(fastbreak)(in the paint)",1
11:41,"GOOD JUMPER by GORTON,MACK(in the paint)",6,,20 (+14),,Mill 6-20 (-14),,"GOOD JUMPER by GORTON,MACK(in the paint)",1
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",1
11:20,,6,,22 (+16),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 6-22 (-16),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
11:02,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",1
11:02,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
10:47,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",1
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",1
10:38,"GOOD JUMPER by GASCA,DAKOTA(fastbreak)(in the paint)",8,,22 (+14),,Mill 8-22 (-14),,"GOOD JUMPER by GASCA,DAKOTA(fastbreak)(in the paint)",1
10:13,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
10:08,,8,,24 (+16),"GOOD JUMPER by DOTSON,PHIL(in the paint)",Rhodes 8-24 (-16),,"GOOD JUMPER by DOTSON,PHIL(in the paint)",1
09:50,"TURNOVER  by ROTH,DREW",,,,,,,"TURNOVER  by ROTH,DREW",1
09:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
09:50,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
09:50,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
09:50,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
09:50,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
09:50,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
09:50,,,,,"SUB IN by COOPER,LUKE",,,"SUB IN by COOPER,LUKE",1
09:50,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
09:50,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
09:50,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
09:50,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
09:50,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
09:50,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
09:39,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",1
09:39,,8,,25 (+17),"GOOD FT by LAMEY,HAYDEN",Rhodes 8-25 (-17),,"GOOD FT by LAMEY,HAYDEN",1
09:39,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
09:39,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
09:39,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
09:39,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
09:39,,,,,"MISS FT by LAMEY,HAYDEN",,,"MISS FT by LAMEY,HAYDEN",1
--,"REBOUND DEF by PHILLIPS JR,RODNEY",,,,,,,"REBOUND DEF by PHILLIPS JR,RODNEY",1
