Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:40,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
19:24,"MISS JUMPER by STINNETT,CADE(in the paint)",,,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",1
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",1
19:24,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
19:16,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",1
19:11,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
19:00,"GOOD LAYUP by WILSON,DREW(in the paint)",2 (+2),,0,,Centre 2-0 (-2),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
18:34,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",1
18:34,"STEAL  by TAYLOR,MARSHALL",,,,,,,"STEAL  by TAYLOR,MARSHALL",1
18:24,"GOOD 3PTR by BAUGHMAN,CARTER",5 (+5),,0,,Centre 5-0 (-5),,"GOOD 3PTR by BAUGHMAN,CARTER",1
17:55,,,,,"MISS LAYUP by UGHOVWA,NICHOLAS(in the paint)",,,"MISS LAYUP by UGHOVWA,NICHOLAS(in the paint)",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
17:27,,,,,"FOUL  by BONNECAZE,STEWART",,,"FOUL  by BONNECAZE,STEWART",1
17:27,"MISS FT by TAYLOR,MARSHALL",,,,,,,"MISS FT by TAYLOR,MARSHALL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:27,"GOOD FT by TAYLOR,MARSHALL",6 (+6),,0,,Centre 6-0 (-6),,"GOOD FT by TAYLOR,MARSHALL",1
17:19,,6 (+4),,2,"GOOD JUMPER by URSIN,AARON(in the paint)",Mill 6-2 (-4),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
--,,,,,"ASSIST  by BONNECAZE,STEWART",,,"ASSIST  by BONNECAZE,STEWART",1
16:57,"MISS LAYUP by RING,NOAH(in the paint)",,,,,,,"MISS LAYUP by RING,NOAH(in the paint)",1
16:57,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
16:46,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
16:29,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",1
16:23,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by BONNECAZE,STEWART",,,"REBOUND DEF by BONNECAZE,STEWART",1
16:14,,6 (+2),,4,"GOOD JUMPER by BONNECAZE,STEWART(in the paint)",Mill 6-4 (-2),,"GOOD JUMPER by BONNECAZE,STEWART(in the paint)",1
15:53,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",1
15:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:53,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
15:53,,,,,"SUB IN by FORBES,TRACE",,,"SUB IN by FORBES,TRACE",1
15:53,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
15:53,"SUB IN by RAYMER,COLBY",,,,,,,"SUB IN by RAYMER,COLBY",1
15:53,"GOOD FT by STINNETT,CADE",7 (+3),,4,,Centre 7-4 (-3),,"GOOD FT by STINNETT,CADE",1
15:53,"GOOD FT by STINNETT,CADE",8 (+4),,4,,Centre 8-4 (-4),,"GOOD FT by STINNETT,CADE",1
15:35,,8 (+2),,6,"GOOD LAYUP by URSIN,AARON(in the paint)",Mill 8-6 (-2),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
--,,,,,"ASSIST  by GASCA,DAKOTA",,,"ASSIST  by GASCA,DAKOTA",1
15:17,"GOOD 3PTR by RING,NOAH",11 (+5),,6,,Centre 11-6 (-5),,"GOOD 3PTR by RING,NOAH",1
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",1
15:05,,,,,"MISS 3PTR by GASCA,DAKOTA",,,"MISS 3PTR by GASCA,DAKOTA",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
14:54,"MISS JUMPER by RING,NOAH",,,,,,,"MISS JUMPER by RING,NOAH",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
14:36,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",1
14:36,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
14:36,,,,,"SUB IN by HAUPT,KYLE",,,"SUB IN by HAUPT,KYLE",1
14:24,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
14:24,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
14:24,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
14:24,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
14:10,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
13:57,,11 (+2),,9,"GOOD 3PTR by FORBES,TRACE",Mill 11-9 (-2),,"GOOD 3PTR by FORBES,TRACE",1
--,,,,,"ASSIST  by URSIN,AARON",,,"ASSIST  by URSIN,AARON",1
13:36,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
13:36,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
13:30,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
13:30,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
13:30,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
13:30,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
13:30,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
13:30,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",1
13:30,"SUB IN by JONES,KAM",,,,,,,"SUB IN by JONES,KAM",1
13:30,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
13:27,"FOUL  by KNOCHELMANN,PETE",,,,,,,"FOUL  by KNOCHELMANN,PETE",1
13:27,"TURNOVER  by KNOCHELMANN,PETE",,,,,,,"TURNOVER  by KNOCHELMANN,PETE",1
13:16,,,,,"SUB OUT by BONNECAZE,STEWART",,,"SUB OUT by BONNECAZE,STEWART",1
13:16,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
