Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
19:45,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by HONROTH,OWEN",,,"REBOUND DEF by HONROTH,OWEN",1
19:13,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
19:13,,,,,"MISS FT by CLARK,BRYCE",,,"MISS FT by CLARK,BRYCE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:13,,0,,1 (+1),"GOOD FT by CLARK,BRYCE",Berry 0-1 (-1),,"GOOD FT by CLARK,BRYCE",1
18:53,"GOOD JUMPER by URSIN,AARON(in the paint)",2 (+1),,1,,Mill 2-1 (+1),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
18:33,,,,,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
18:27,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",1
18:16,,2,,3 (+1),"GOOD LAYUP by CLARK,BRYCE(in the paint)",Berry 2-3 (-1),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
--,,,,,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1
17:55,,,,,"FOUL  by BENHAM,BRAXTON",,,"FOUL  by BENHAM,BRAXTON",1
17:55,"GOOD FT by GASCA,DAKOTA",3,,3,,Mill 3-3 (0),,"GOOD FT by GASCA,DAKOTA",1
17:55,"GOOD FT by GASCA,DAKOTA",4 (+1),,3,,Mill 4-3 (+1),,"GOOD FT by GASCA,DAKOTA",1
17:44,,4,,5 (+1),"GOOD LAYUP by CLARK,BRYCE(in the paint)",Berry 4-5 (-1),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
--,,,,,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1
17:44,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
17:44,,,,,"MISS FT by CLARK,BRYCE",,,"MISS FT by CLARK,BRYCE",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
17:32,"GOOD JUMPER by URSIN,AARON(in the paint)",6 (+1),,5,,Mill 6-5 (+1),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
17:20,,,,,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",,,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
17:06,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by BENHAM,BRAXTON",,,"REBOUND DEF by BENHAM,BRAXTON",1
16:58,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
16:58,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
