Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:46,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",,,"TURNOVER  by UGHOVWA,NICHOLAS",1
19:46,"STEAL  by JORDAN,JUDAH",,,,,,,"STEAL  by JORDAN,JUDAH",1
19:41,"FOUL  by JORDAN,JUDAH",,,,,,,"FOUL  by JORDAN,JUDAH",1
19:41,"TURNOVER  by JORDAN,JUDAH",,,,,,,"TURNOVER  by JORDAN,JUDAH",1
19:37,,,,,"MISS JUMPER by UGHOVWA,NICHOLAS(in the paint)",,,"MISS JUMPER by UGHOVWA,NICHOLAS(in the paint)",1
--,"REBOUND DEF by WHEATON,DAMIEN",,,,,,,"REBOUND DEF by WHEATON,DAMIEN",1
19:12,"TURNOVER  by JORDAN,JUDAH",,,,,,,"TURNOVER  by JORDAN,JUDAH",1
19:12,,,,,"STEAL  by GASCA,DAKOTA",,,"STEAL  by GASCA,DAKOTA",1
19:04,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
19:04,"STEAL  by COUCH,LUKE",,,,,,,"STEAL  by COUCH,LUKE",1
19:00,,,,,"FOUL  by GASCA,DAKOTA",,,"FOUL  by GASCA,DAKOTA",1
19:00,"GOOD FT by COUCH,LUKE(fastbreak)",1 (+1),,0,,BU 1-0 (-1),,"GOOD FT by COUCH,LUKE(fastbreak)",1
19:00,"GOOD FT by COUCH,LUKE(fastbreak)",2 (+2),,0,,BU 2-0 (-2),,"GOOD FT by COUCH,LUKE(fastbreak)",1
18:49,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",1
18:49,"STEAL  by COUCH,LUKE",,,,,,,"STEAL  by COUCH,LUKE",1
18:25,"GOOD 3PTR by MARSHALL,JORDAN",5 (+5),,0,,BU 5-0 (-5),,"GOOD 3PTR by MARSHALL,JORDAN",1
18:10,,,,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",1
18:10,"BLOCK  by WHEATON,DAMIEN",,,,,,,"BLOCK  by WHEATON,DAMIEN",1
--,,,,,"REBOUND OFF by URSIN,AARON",,,"REBOUND OFF by URSIN,AARON",1
17:59,"FOUL  by MARSHALL,JORDAN",,,,,,,"FOUL  by MARSHALL,JORDAN",1
17:59,,,,,"MISS FT by URSIN,AARON",,,"MISS FT by URSIN,AARON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:59,,,,,"MISS FT by URSIN,AARON",,,"MISS FT by URSIN,AARON",1
--,"REBOUND DEF by WHEATON,DAMIEN",,,,,,,"REBOUND DEF by WHEATON,DAMIEN",1
17:46,"GOOD JUMPER by COUCH,LUKE(in the paint)",7 (+7),,0,,BU 7-0 (-7),,"GOOD JUMPER by COUCH,LUKE(in the paint)",1
17:36,,7 (+5),,2,"GOOD LAYUP by URSIN,AARON(in the paint)",Mill 7-2 (-5),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
--,,,,,"ASSIST  by BONNECAZE,STEWART",,,"ASSIST  by BONNECAZE,STEWART",1
17:13,"TURNOVER  by MARSHALL,JORDAN",,,,,,,"TURNOVER  by MARSHALL,JORDAN",1
17:13,,,,,"STEAL  by BONNECAZE,STEWART",,,"STEAL  by BONNECAZE,STEWART",1
17:13,"FOUL  by MARSHALL,JORDAN",,,,,,,"FOUL  by MARSHALL,JORDAN",1
17:13,"SUB OUT by MARSHALL,JORDAN",,,,,,,"SUB OUT by MARSHALL,JORDAN",1
17:13,"SUB IN by MCMILLAN,MATTHEW",,,,,,,"SUB IN by MCMILLAN,MATTHEW",1
17:10,,7 (+2),,5,"GOOD 3PTR by WATSON,DOUG",Mill 7-5 (-2),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by GASCA,DAKOTA",,,"ASSIST  by GASCA,DAKOTA",1
16:53,"GOOD 3PTR by MCMILLAN,MATTHEW",10 (+5),,5,,BU 10-5 (-5),,"GOOD 3PTR by MCMILLAN,MATTHEW",1
16:39,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",,,"TURNOVER  by UGHOVWA,NICHOLAS",1
16:39,"STEAL  by JORDAN,JUDAH",,,,,,,"STEAL  by JORDAN,JUDAH",1
16:30,"GOOD 3PTR by MCMILLAN,MATTHEW",13 (+8),,5,,BU 13-5 (-8),,"GOOD 3PTR by MCMILLAN,MATTHEW",1
--,"ASSIST  by JORDAN,JUDAH",,,,,,,"ASSIST  by JORDAN,JUDAH",1
16:21,,,,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",1
--,"REBOUND DEF by GIVENS,DONOVAN",,,,,,,"REBOUND DEF by GIVENS,DONOVAN",1
16:10,"GOOD 3PTR by WHEATON,DAMIEN",16 (+11),,5,,BU 16-5 (-11),,"GOOD 3PTR by WHEATON,DAMIEN",1
15:56,"FOUL  by COUCH,LUKE",,,,,,,"FOUL  by COUCH,LUKE",1
15:56,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
15:56,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
15:56,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
15:56,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:53,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by JORDAN,JUDAH",,,,,,,"REBOUND DEF by JORDAN,JUDAH",1
15:46,"GOOD JUMPER by COUCH,LUKE",18 (+13),,5,,BU 18-5 (-13),,"GOOD JUMPER by COUCH,LUKE",1
15:33,,,,,"MISS 3PTR by ROTH,DREW",,,"MISS 3PTR by ROTH,DREW",1
--,,,,,"REBOUND OFF by BONNECAZE,STEWART",,,"REBOUND OFF by BONNECAZE,STEWART",1
15:28,,18 (+11),,7,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",Mill 18-7 (-11),,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",1
15:14,"TURNOVER  by COUCH,LUKE",,,,,,,"TURNOVER  by COUCH,LUKE",1
15:10,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
15:10,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
15:10,"SUB OUT by GIVENS,DONOVAN",,,,,,,"SUB OUT by GIVENS,DONOVAN",1
15:10,"SUB IN by MCWILLIAMS,MARTAVIN",,,,,,,"SUB IN by MCWILLIAMS,MARTAVIN",1
14:42,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
14:42,"BLOCK  by WHEATON,DAMIEN",,,,,,,"BLOCK  by WHEATON,DAMIEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:32,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
14:32,"BLOCK  by WHEATON,DAMIEN",,,,,,,"BLOCK  by WHEATON,DAMIEN",1
--,"REBOUND DEF by WHEATON,DAMIEN",,,,,,,"REBOUND DEF by WHEATON,DAMIEN",1
14:21,"GOOD LAYUP by MCWILLIAMS,MARTAVIN(in the paint)",20 (+13),,7,,BU 20-7 (-13),,"GOOD LAYUP by MCWILLIAMS,MARTAVIN(in the paint)",1
--,"ASSIST  by WHEATON,DAMIEN",,,,,,,"ASSIST  by WHEATON,DAMIEN",1
13:57,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND OFF by GORTON,MACK",,,"REBOUND OFF by GORTON,MACK",1
13:53,,20 (+11),,9,"GOOD LAYUP by GORTON,MACK(in the paint)",Mill 20-9 (-11),,"GOOD LAYUP by GORTON,MACK(in the paint)",1
