Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Miss,Game Score,Team Indicator,Play,Period
19:47,"FOUL  by UGHOVWA,NICHOLAS",,,,,,,"FOUL  by UGHOVWA,NICHOLAS",1
19:38,,,,,"MISS JUMPER by REID,JUSTIN",,,"MISS JUMPER by REID,JUSTIN",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
19:29,"TURNOVER  by HOGAN,TJ",,,,,,,"TURNOVER  by HOGAN,TJ",1
19:12,,,,,"MISS JUMPER by REID,JUSTIN",,,"MISS JUMPER by REID,JUSTIN",1
19:12,"BLOCK  by UGHOVWA,NICHOLAS",,,,,,,"BLOCK  by UGHOVWA,NICHOLAS",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
19:05,,,,,"FOUL  by MCCRARY,BEE",,,"FOUL  by MCCRARY,BEE",1
18:55,"MISS JUMPER by UGHOVWA,NICHOLAS(in the paint)",,,,,,,"MISS JUMPER by UGHOVWA,NICHOLAS(in the paint)",1
--,,,,,"REBOUND DEF by REID,JUSTIN",,,"REBOUND DEF by REID,JUSTIN",1
18:52,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
18:45,"FOUL  by HOGAN,TJ",,,,,,,"FOUL  by HOGAN,TJ",1
18:37,,0,,2 (+2),"GOOD LAYUP by SMITH,PAUL(in the paint)",Miss 0-2 (-2),,"GOOD LAYUP by SMITH,PAUL(in the paint)",1
18:16,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",1
18:11,,,,,"SUB OUT by SMITH,PAUL",,,"SUB OUT by SMITH,PAUL",1
18:11,,,,,"SUB OUT by MCCRARY,BEE",,,"SUB OUT by MCCRARY,BEE",1
18:11,,,,,"SUB IN by THOMPSON,TRADAVIS",,,"SUB IN by THOMPSON,TRADAVIS",1
18:11,,,,,"SUB IN by SMITH,GALEN",,,"SUB IN by SMITH,GALEN",1
18:07,,,,,"FOUL  by THOMPSON,TRADAVIS",,,"FOUL  by THOMPSON,TRADAVIS",1
17:54,"GOOD JUMPER by WATSON,DOUG",2,,2,,Mill 2-2 (0),,"GOOD JUMPER by WATSON,DOUG",1
--,"ASSIST  by UGHOVWA,NICHOLAS",,,,,,,"ASSIST  by UGHOVWA,NICHOLAS",1
17:42,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
17:42,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
17:25,,,,,"MISS LAYUP by THOMPSON,TRADAVIS(in the paint)",,,"MISS LAYUP by THOMPSON,TRADAVIS(in the paint)",1
--,,,,,"REBOUND OFF by REID,JUSTIN",,,"REBOUND OFF by REID,JUSTIN",1
17:19,,2,,4 (+2),"GOOD DUNK by REID,JUSTIN(in the paint)",Miss 2-4 (-2),,"GOOD DUNK by REID,JUSTIN(in the paint)",1
17:05,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
17:05,,,,,"STEAL  by MILLER,MILES",,,"STEAL  by MILLER,MILES",1
16:56,,,,,"TURNOVER  by WILLIAMS,BLAYTON",,,"TURNOVER  by WILLIAMS,BLAYTON",1
16:56,"STEAL  by BUSH,RODREEKAS",,,,,,,"STEAL  by BUSH,RODREEKAS",1
16:34,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",1
16:34,,,,,"SUB OUT by WILLIAMS,BLAYTON",,,"SUB OUT by WILLIAMS,BLAYTON",1
16:34,,,,,"SUB OUT by REID,JUSTIN",,,"SUB OUT by REID,JUSTIN",1
16:34,,,,,"SUB IN by RATLIFF JR. ,ANTHONY",,,"SUB IN by RATLIFF JR. ,ANTHONY",1
16:34,,,,,"SUB IN by CLARK,DARRIUS",,,"SUB IN by CLARK,DARRIUS",1
16:19,,2,,6 (+4),"GOOD JUMPER by CLARK,DARRIUS(in the paint)",Miss 2-6 (-4),,"GOOD JUMPER by CLARK,DARRIUS(in the paint)",1
16:03,"MISS JUMPER by UGHOVWA,NICHOLAS",,,,,,,"MISS JUMPER by UGHOVWA,NICHOLAS",1
--,,,,,"REBOUND DEF by THOMPSON,TRADAVIS",,,"REBOUND DEF by THOMPSON,TRADAVIS",1
15:55,,,,,"MISS LAYUP by CLARK,DARRIUS(in the paint)",,,"MISS LAYUP by CLARK,DARRIUS(in the paint)",1
--,,,,,"REBOUND OFF by RATLIFF JR. ,ANTHONY",,,"REBOUND OFF by RATLIFF JR. ,ANTHONY",1
15:49,,2,,8 (+6),"GOOD LAYUP by RATLIFF JR. ,ANTHONY(in the paint)",Miss 2-8 (-6),,"GOOD LAYUP by RATLIFF JR. ,ANTHONY(in the paint)",1
15:36,"GOOD JUMPER by URSIN,AARON",4,,8 (+4),,Mill 4-8 (-4),,"GOOD JUMPER by URSIN,AARON",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
15:22,,4,,10 (+6),"GOOD JUMPER by CLARK,DARRIUS",Miss 4-10 (-6),,"GOOD JUMPER by CLARK,DARRIUS",1
--,,,,,"ASSIST  by THOMPSON,TRADAVIS",,,"ASSIST  by THOMPSON,TRADAVIS",1
15:10,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
15:10,,,,,"BLOCK  by SMITH,GALEN",,,"BLOCK  by SMITH,GALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:03,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
15:03,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
15:03,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
15:03,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
15:03,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
15:03,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
15:03,,,,,"SUB OUT by CLARK,DARRIUS",,,"SUB OUT by CLARK,DARRIUS",1
15:03,,,,,"SUB IN by BATES III,TREY",,,"SUB IN by BATES III,TREY",1
15:01,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:44,,,,,"TURNOVER  by THOMPSON,TRADAVIS",,,"TURNOVER  by THOMPSON,TRADAVIS",1
14:44,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
14:40,"GOOD LAYUP by GORTON,MACK(fastbreak)(in the paint)",6,,10 (+4),,Mill 6-10 (-4),,"GOOD LAYUP by GORTON,MACK(fastbreak)(in the paint)",1
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",1
14:30,,,,,"TURNOVER  by RATLIFF JR. ,ANTHONY",,,"TURNOVER  by RATLIFF JR. ,ANTHONY",1
14:30,,,,,"SUB OUT by SMITH,GALEN",,,"SUB OUT by SMITH,GALEN",1
14:30,,,,,"SUB IN by SMITH,PAUL",,,"SUB IN by SMITH,PAUL",1
14:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:55,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:37,,6,,12 (+6),"GOOD JUMPER by THOMPSON,TRADAVIS",Miss 6-12 (-6),,"GOOD JUMPER by THOMPSON,TRADAVIS",1
--,,,,,"ASSIST  by SMITH,PAUL",,,"ASSIST  by SMITH,PAUL",1
13:28,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
13:28,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
13:22,,,,,"TURNOVER  by BATES III,TREY",,,"TURNOVER  by BATES III,TREY",1
13:13,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
13:03,,,,,"TURNOVER  by BATES III,TREY",,,"TURNOVER  by BATES III,TREY",1
13:03,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
13:03,"TURNOVER  by RUCKER,CAM",,,,,,,"TURNOVER  by RUCKER,CAM",1
12:53,,,,,"MISS JUMPER by RATLIFF JR. ,ANTHONY",,,"MISS JUMPER by RATLIFF JR. ,ANTHONY",1
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",1
12:50,,,,,"FOUL  by SMITH,PAUL",,,"FOUL  by SMITH,PAUL",1
12:50,,,,,"SUB OUT by MILLER,MILES",,,"SUB OUT by MILLER,MILES",1
12:50,,,,,"SUB OUT by SMITH,PAUL",,,"SUB OUT by SMITH,PAUL",1
12:50,,,,,"SUB OUT by RATLIFF JR. ,ANTHONY",,,"SUB OUT by RATLIFF JR. ,ANTHONY",1
12:50,,,,,"SUB IN by FRANKLIN,JAMES",,,"SUB IN by FRANKLIN,JAMES",1
12:50,,,,,"SUB IN by GROSS,ANKERION",,,"SUB IN by GROSS,ANKERION",1
12:50,,,,,"SUB IN by SMITH,GALEN",,,"SUB IN by SMITH,GALEN",1
12:50,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
12:50,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
12:37,,,,,"FOUL  by SMITH,GALEN",,,"FOUL  by SMITH,GALEN",1
12:37,"GOOD FT by URSIN,AARON",7,,12 (+5),,Mill 7-12 (-5),,"GOOD FT by URSIN,AARON",1
12:37,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",1
--,,,,,"REBOUND DEF by GROSS,ANKERION",,,"REBOUND DEF by GROSS,ANKERION",1
12:33,,,,,"TURNOVER  by BATES III,TREY",,,"TURNOVER  by BATES III,TREY",1
12:33,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
12:26,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
12:26,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
12:26,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
12:26,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
12:14,"GOOD LAYUP by HOGAN,TJ(in the paint)",9,,12 (+3),,Mill 9-12 (-3),,"GOOD LAYUP by HOGAN,TJ(in the paint)",1
12:11,,,,,"MISS 3PTR by GROSS,ANKERION",,,"MISS 3PTR by GROSS,ANKERION",1
--,,,,,"REBOUND OFF by SMITH,GALEN",,,"REBOUND OFF by SMITH,GALEN",1
12:04,"FOUL  by HOGAN,TJ",,,,,,,"FOUL  by HOGAN,TJ",1
12:04,,,,,"SUB OUT by BATES III,TREY",,,"SUB OUT by BATES III,TREY",1
12:04,,,,,"SUB OUT by GROSS,ANKERION",,,"SUB OUT by GROSS,ANKERION",1
12:04,,,,,"SUB IN by MILLER,MILES",,,"SUB IN by MILLER,MILES",1
12:04,,,,,"SUB IN by REID,JUSTIN",,,"SUB IN by REID,JUSTIN",1
12:01,,9,,14 (+5),"GOOD LAYUP by SMITH,GALEN(in the paint)",Miss 9-14 (-5),,"GOOD LAYUP by SMITH,GALEN(in the paint)",1
--,,,,,"ASSIST  by MILLER,MILES",,,"ASSIST  by MILLER,MILES",1
11:44,,,,,"FOUL  by REID,JUSTIN",,,"FOUL  by REID,JUSTIN",1
11:42,,,,,"FOUL  by MILLER,MILES",,,"FOUL  by MILLER,MILES",1
