Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:50,,,,,"MISS LAYUP by MCWILLIAMS,MARTAVIN(in the paint)",,,"MISS LAYUP by MCWILLIAMS,MARTAVIN(in the paint)",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
19:49,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
19:35,,,,,"MISS JUMPER by MARSHALL,JORDAN(in the paint)",,,"MISS JUMPER by MARSHALL,JORDAN(in the paint)",1
--,"REBOUND DEF by PHILLIPS JR,RODNEY",,,,,,,"REBOUND DEF by PHILLIPS JR,RODNEY",1
19:19,"TURNOVER  by RUCKER,CAM",,,,,,,"TURNOVER  by RUCKER,CAM",1
19:04,,0,,2 (+2),"GOOD JUMPER by WHEATON,DAMIEN(in the paint)",BU 0-2 (-2),,"GOOD JUMPER by WHEATON,DAMIEN(in the paint)",1
--,,,,,"ASSIST  by JORDAN,JUDAH",,,"ASSIST  by JORDAN,JUDAH",1
18:49,"MISS 3PTR by PHILLIPS JR,RODNEY",,,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",1
--,"REBOUND OFF by BUSH,RODREEKAS",,,,,,,"REBOUND OFF by BUSH,RODREEKAS",1
18:28,"FOUL TECH by BUSH,RODREEKAS",,,,,,,"FOUL TECH by BUSH,RODREEKAS",1
18:28,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",1
18:28,,0,,3 (+3),"GOOD FT by MARSHALL,JORDAN",BU 0-3 (-3),,"GOOD FT by MARSHALL,JORDAN",1
18:27,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:20,,,,,"MISS 3PTR by MARSHALL,JORDAN",,,"MISS 3PTR by MARSHALL,JORDAN",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
18:11,,,,,"FOUL  by MCWILLIAMS,MARTAVIN",,,"FOUL  by MCWILLIAMS,MARTAVIN",1
18:11,"GOOD FT by UGHOVWA,NICHOLAS",1,,3 (+2),,Mill 1-3 (-2),,"GOOD FT by UGHOVWA,NICHOLAS",1
18:11,"GOOD FT by UGHOVWA,NICHOLAS",2,,3 (+1),,Mill 2-3 (-1),,"GOOD FT by UGHOVWA,NICHOLAS",1
17:48,,,,,"MISS JUMPER by MARSHALL,JORDAN",,,"MISS JUMPER by MARSHALL,JORDAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:45,"FOUL  by UGHOVWA,NICHOLAS",,,,,,,"FOUL  by UGHOVWA,NICHOLAS",1
17:42,,2,,5 (+3),"GOOD LAYUP by MARSHALL,JORDAN(in the paint)",BU 2-5 (-3),,"GOOD LAYUP by MARSHALL,JORDAN(in the paint)",1
17:17,"MISS LAYUP by RUCKER,CAM(in the paint)",,,,,,,"MISS LAYUP by RUCKER,CAM(in the paint)",1
--,"REBOUND OFF by RUCKER,CAM",,,,,,,"REBOUND OFF by RUCKER,CAM",1
17:10,"GOOD LAYUP by RUCKER,CAM(in the paint)",4,,5 (+1),,Mill 4-5 (-1),,"GOOD LAYUP by RUCKER,CAM(in the paint)",1
17:04,,,,,"FOUL  by WHEATON,DAMIEN",,,"FOUL  by WHEATON,DAMIEN",1
17:04,,,,,"TURNOVER  by WHEATON,DAMIEN",,,"TURNOVER  by WHEATON,DAMIEN",1
17:04,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
17:04,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
16:55,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by JORDAN,JUDAH",,,"REBOUND DEF by JORDAN,JUDAH",1
16:47,,4,,7 (+3),"GOOD LAYUP by MARSHALL,JORDAN(fastbreak)(in the paint)",BU 4-7 (-3),,"GOOD LAYUP by MARSHALL,JORDAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JORDAN,JUDAH",,,"ASSIST  by JORDAN,JUDAH",1
16:26,"TURNOVER  by RUCKER,CAM",,,,,,,"TURNOVER  by RUCKER,CAM",1
16:26,,,,,"STEAL  by MARSHALL,JORDAN",,,"STEAL  by MARSHALL,JORDAN",1
16:26,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
16:26,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",1
16:26,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
16:25,,,,,"FOUL  by WHEATON,DAMIEN",,,"FOUL  by WHEATON,DAMIEN",1
16:25,,,,,"TURNOVER  by WHEATON,DAMIEN",,,"TURNOVER  by WHEATON,DAMIEN",1
16:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:00,,,,,"SUB OUT by WHEATON,DAMIEN",,,"SUB OUT by WHEATON,DAMIEN",1
16:00,,,,,"SUB IN by TERRY,NEAL",,,"SUB IN by TERRY,NEAL",1
15:46,"MISS LAYUP by WATSON,DOUG(in the paint)",,,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
15:46,,,,,"BLOCK  by TERRY,NEAL",,,"BLOCK  by TERRY,NEAL",1
--,,,,,"REBOUND DEF by MARSHALL,JORDAN",,,"REBOUND DEF by MARSHALL,JORDAN",1
15:35,,4,,9 (+5),"GOOD LAYUP by MCWILLIAMS,MARTAVIN(in the paint)",BU 4-9 (-5),,"GOOD LAYUP by MCWILLIAMS,MARTAVIN(in the paint)",1
--,,,,,"ASSIST  by MARSHALL,JORDAN",,,"ASSIST  by MARSHALL,JORDAN",1
15:27,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
15:27,,,,,"BLOCK  by TERRY,NEAL",,,"BLOCK  by TERRY,NEAL",1
--,,,,,"REBOUND DEF by MARSHALL,JORDAN",,,"REBOUND DEF by MARSHALL,JORDAN",1
15:14,,4,,11 (+7),"GOOD JUMPER by JORDAN,JUDAH",BU 4-11 (-7),,"GOOD JUMPER by JORDAN,JUDAH",1
15:14,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",1
14:47,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
14:47,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
