Time Remaining,PIED,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by CLEMENTS-OWENS,ORRY",,,,,,,"TURNOVER  by CLEMENTS-OWENS,ORRY",1
19:27,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",1
18:57,"MISS JUMPER by JOLLY,RYAN",,,,,,,"MISS JUMPER by JOLLY,RYAN",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
18:37,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by CLEMENTS-OWENS,ORRY",,,,,,,"REBOUND DEF by CLEMENTS-OWENS,ORRY",1
18:28,"TURNOVER  by CLEMENTS-OWENS,ORRY",,,,,,,"TURNOVER  by CLEMENTS-OWENS,ORRY",1
18:28,,,,,"STEAL  by GASCA,DAKOTA",,,"STEAL  by GASCA,DAKOTA",1
18:19,,,,,"MISS 3PTR by GASCA,DAKOTA",,,"MISS 3PTR by GASCA,DAKOTA",1
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",1
18:11,"GOOD JUMPER by JOLLY,RYAN(in the paint)",2 (+2),,0,,PIED 2-0 (-2),,"GOOD JUMPER by JOLLY,RYAN(in the paint)",1
17:58,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by CLEMENTS-OWENS,ORRY",,,,,,,"REBOUND DEF by CLEMENTS-OWENS,ORRY",1
17:49,,,,,"FOUL  by GASCA,DAKOTA",,,"FOUL  by GASCA,DAKOTA",1
17:49,"GOOD FT by CLEMENTS-OWENS,ORRY",3 (+3),,0,,PIED 3-0 (-3),,"GOOD FT by CLEMENTS-OWENS,ORRY",1
17:49,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
17:49,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
17:49,"GOOD FT by CLEMENTS-OWENS,ORRY",4 (+4),,0,,PIED 4-0 (-4),,"GOOD FT by CLEMENTS-OWENS,ORRY",1
17:49,"SUB OUT by CLEMENTS-OWENS,ORRY",,,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",1
17:49,"SUB IN by REARDON,NOAH",,,,,,,"SUB IN by REARDON,NOAH",1
17:31,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",,,"MISS 3PTR by PHILLIPS JR,RODNEY",1
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",1
17:13,"GOOD JUMPER by RICHTER,WILL",6 (+6),,0,,PIED 6-0 (-6),,"GOOD JUMPER by RICHTER,WILL",1
16:53,"FOUL  by STIMPSON,ANDREW",,,,,,,"FOUL  by STIMPSON,ANDREW",1
16:53,,,,,"MISS FT by STEPHEN,SETH",,,"MISS FT by STEPHEN,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:53,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
16:53,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
16:53,,6 (+5),,1,"GOOD FT by STEPHEN,SETH",Mill 6-1 (-5),,"GOOD FT by STEPHEN,SETH",1
16:41,"TURNOVER  by JOLLY,RYAN",,,,,,,"TURNOVER  by JOLLY,RYAN",1
16:18,,6 (+3),,3,"GOOD JUMPER by GASCA,DAKOTA(in the paint)",Mill 6-3 (-3),,"GOOD JUMPER by GASCA,DAKOTA(in the paint)",1
16:05,"GOOD LAYUP by RICHTER,WILL(in the paint)",8 (+5),,3,,PIED 8-3 (-5),,"GOOD LAYUP by RICHTER,WILL(in the paint)",1
--,"ASSIST  by BEAGLE,GARRETT",,,,,,,"ASSIST  by BEAGLE,GARRETT",1
15:47,"FOUL  by STIMPSON,ANDREW",,,,,,,"FOUL  by STIMPSON,ANDREW",1
15:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:45,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
15:45,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
