Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
19:45,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,"REBOUND OFF by URSIN,AARON",,,,,,,"REBOUND OFF by URSIN,AARON",1
19:28,"GOOD LAYUP by URSIN,AARON(in the paint)",2 (+2),,0,,Mill 2-0 (+2),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
--,"ASSIST  by BONNECAZE,STEWART",,,,,,,"ASSIST  by BONNECAZE,STEWART",1
19:03,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:46,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
18:25,,,,,"MISS 3PTR by KEMP,JACKSON",,,"MISS 3PTR by KEMP,JACKSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:07,"GOOD LAYUP by URSIN,AARON(in the paint)",4 (+4),,0,,Mill 4-0 (+4),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
17:42,,,,,"MISS JUMPER by JAMES,JORDAN",,,"MISS JUMPER by JAMES,JORDAN",1
--,,,,,"REBOUND OFF by BENNIFIELD,DYLAN",,,"REBOUND OFF by BENNIFIELD,DYLAN",1
17:37,,4 (+1),,3,"GOOD 3PTR by JENEI,RYAN",OGL-M 4-3 (+1),,"GOOD 3PTR by JENEI,RYAN",1
--,,,,,"ASSIST  by BENNIFIELD,DYLAN",,,"ASSIST  by BENNIFIELD,DYLAN",1
17:11,"GOOD JUMPER by URSIN,AARON(in the paint)",6 (+3),,3,,Mill 6-3 (+3),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
--,"ASSIST  by BUSH,RODREEKAS",,,,,,,"ASSIST  by BUSH,RODREEKAS",1
16:52,,6,,6,"GOOD 3PTR by JAMES,JORDAN",OGL-M 6-6 (0),,"GOOD 3PTR by JAMES,JORDAN",1
--,,,,,"ASSIST  by BENNIFIELD,DYLAN",,,"ASSIST  by BENNIFIELD,DYLAN",1
16:31,"GOOD JUMPER by URSIN,AARON(in the paint)",8 (+2),,6,,Mill 8-6 (+2),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
--,"ASSIST  by BONNECAZE,STEWART",,,,,,,"ASSIST  by BONNECAZE,STEWART",1
16:08,,8,,8,"GOOD LAYUP by KEMP,JACKSON(in the paint)",OGL-M 8-8 (0),,"GOOD LAYUP by KEMP,JACKSON(in the paint)",1
15:49,"MISS JUMPER by BUSH,RODREEKAS",,,,,,,"MISS JUMPER by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
15:35,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
15:35,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:35,,8,,9 (+1),"GOOD FT by EZIGBO,UBA",OGL-M 8-9 (-1),,"GOOD FT by EZIGBO,UBA",1
15:35,,8,,10 (+2),"GOOD FT by EZIGBO,UBA",OGL-M 8-10 (-2),,"GOOD FT by EZIGBO,UBA",1
15:15,"MISS LAYUP by URSIN,AARON",,,,,,,"MISS LAYUP by URSIN,AARON",1
15:15,,,,,"BLOCK  by JAMES,JORDAN",,,"BLOCK  by JAMES,JORDAN",1
--,"REBOUND OFF by URSIN,AARON",,,,,,,"REBOUND OFF by URSIN,AARON",1
15:12,"MISS LAYUP by URSIN,AARON",,,,,,,"MISS LAYUP by URSIN,AARON",1
--,"REBOUND OFF by GASCA,DAKOTA",,,,,,,"REBOUND OFF by GASCA,DAKOTA",1
15:08,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
14:56,,,,,"MISS JUMPER by BENNIFIELD,DYLAN",,,"MISS JUMPER by BENNIFIELD,DYLAN",1
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",1
14:42,"MISS LAYUP by BONNECAZE,STEWART",,,,,,,"MISS LAYUP by BONNECAZE,STEWART",1
14:42,,,,,"BLOCK  by JAMES,JORDAN",,,"BLOCK  by JAMES,JORDAN",1
--,,,,,"REBOUND DEF by BENNIFIELD,DYLAN",,,"REBOUND DEF by BENNIFIELD,DYLAN",1
14:30,,8,,13 (+5),"GOOD 3PTR by BENNIFIELD,DYLAN",OGL-M 8-13 (-5),,"GOOD 3PTR by BENNIFIELD,DYLAN",1
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",1
14:29,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
14:29,,8,,14 (+6),"GOOD FT by BENNIFIELD,DYLAN",OGL-M 8-14 (-6),,"GOOD FT by BENNIFIELD,DYLAN",1
14:29,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
14:29,"SUB IN by JR,RODNEY PHILLIPS",,,,,,,"SUB IN by JR,RODNEY PHILLIPS",1
14:29,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
14:29,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
14:19,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",10,,14 (+4),,Mill 10-14 (-4),,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
14:07,,,,,"MISS 3PTR by JAMES,JORDAN",,,"MISS 3PTR by JAMES,JORDAN",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
13:54,,,,,"FOUL  by JAMES,JORDAN",,,"FOUL  by JAMES,JORDAN",1
13:54,"SUB IN by LITTLE,JAMES",,,,,,,"SUB IN by LITTLE,JAMES",1
13:54,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
13:54,,,,,"SUB IN by AWOLEYE,JONATHAN",,,"SUB IN by AWOLEYE,JONATHAN",1
13:54,,,,,"SUB IN by REISMAN,ROBERT",,,"SUB IN by REISMAN,ROBERT",1
13:54,,,,,"SUB IN by DOOLEY,MALACHI",,,"SUB IN by DOOLEY,MALACHI",1
13:54,,,,,"SUB IN by HARRIS,TREY",,,"SUB IN by HARRIS,TREY",1
13:54,,,,,"SUB IN by KEMP,MASON",,,"SUB IN by KEMP,MASON",1
13:54,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
13:54,,,,,"SUB OUT by BENNIFIELD,DYLAN",,,"SUB OUT by BENNIFIELD,DYLAN",1
13:54,,,,,"SUB OUT by JAMES,JORDAN",,,"SUB OUT by JAMES,JORDAN",1
13:54,,,,,"SUB OUT by KEMP,JACKSON",,,"SUB OUT by KEMP,JACKSON",1
13:54,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
13:41,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by DOOLEY,MALACHI",,,"REBOUND DEF by DOOLEY,MALACHI",1
13:33,,,,,"MISS 3PTR by HARRIS,TREY",,,"MISS 3PTR by HARRIS,TREY",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
13:23,,,,,"FOUL  by DOOLEY,MALACHI",,,"FOUL  by DOOLEY,MALACHI",1
13:23,"GOOD FT by GASCA,DAKOTA",11,,14 (+3),,Mill 11-14 (-3),,"GOOD FT by GASCA,DAKOTA",1
13:23,"GOOD FT by GASCA,DAKOTA",12,,14 (+2),,Mill 12-14 (-2),,"GOOD FT by GASCA,DAKOTA",1
13:02,,,,,"MISS 3PTR by DOOLEY,MALACHI",,,"MISS 3PTR by DOOLEY,MALACHI",1
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",1
12:50,"MISS LAYUP by JR,RODNEY PHILLIPS",,,,,,,"MISS LAYUP by JR,RODNEY PHILLIPS",1
--,,,,,"REBOUND DEF by KEMP,MASON",,,"REBOUND DEF by KEMP,MASON",1
12:25,"FOUL  by JR,RODNEY PHILLIPS",,,,,,,"FOUL  by JR,RODNEY PHILLIPS",1
12:25,,,,,"MISS FT by REISMAN,ROBERT",,,"MISS FT by REISMAN,ROBERT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:25,,12,,15 (+3),"GOOD FT by REISMAN,ROBERT",OGL-M 12-15 (-3),,"GOOD FT by REISMAN,ROBERT",1
12:11,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
