Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Whitm,Game Score,Team Indicator,Play,Period
19:42,,,,,"TURNOVER  by EFE ISIK,ALI",,,"TURNOVER  by EFE ISIK,ALI",1
19:27,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
19:27,,,,,"BLOCK  by CAFFO,MURPHY",,,"BLOCK  by CAFFO,MURPHY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:13,,0,,3 (+3),"GOOD 3PTR by LUM,WALTER",Whitm 0-3 (-3),,"GOOD 3PTR by LUM,WALTER",1
--,,,,,"ASSIST  by CAFFO,MURPHY",,,"ASSIST  by CAFFO,MURPHY",1
19:00,"MISS 3PTR by PHILLIPS JR,RODNEY",,,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",1
--,,,,,"REBOUND DEF by CAFFO,MURPHY",,,"REBOUND DEF by CAFFO,MURPHY",1
18:40,,0,,5 (+5),"GOOD LAYUP by EFE ISIK,ALI(in the paint)",Whitm 0-5 (-5),,"GOOD LAYUP by EFE ISIK,ALI(in the paint)",1
--,,,,,"ASSIST  by CAFFO,MURPHY",,,"ASSIST  by CAFFO,MURPHY",1
18:13,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
17:59,,0,,7 (+7),"GOOD JUMPER by LINO,XZAVIER(in the paint)",Whitm 0-7 (-7),,"GOOD JUMPER by LINO,XZAVIER(in the paint)",1
--,,,,,"ASSIST  by EFE ISIK,ALI",,,"ASSIST  by EFE ISIK,ALI",1
17:42,"MISS JUMPER by RUCKER,CAM(in the paint)",,,,,,,"MISS JUMPER by RUCKER,CAM(in the paint)",1
--,,,,,"REBOUND DEF by CAFFO,MURPHY",,,"REBOUND DEF by CAFFO,MURPHY",1
17:23,,0,,10 (+10),"GOOD 3PTR by HUNT,GRANT",Whitm 0-10 (-10),,"GOOD 3PTR by HUNT,GRANT",1
--,,,,,"ASSIST  by EFE ISIK,ALI",,,"ASSIST  by EFE ISIK,ALI",1
17:07,"GOOD JUMPER by URSIN,AARON(in the paint)",2,,10 (+8),,Mill 2-10 (-8),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
16:51,,,,,"MISS 3PTR by LINO,XZAVIER",,,"MISS 3PTR by LINO,XZAVIER",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
16:35,,,,,"FOUL  by CAFFO,MURPHY",,,"FOUL  by CAFFO,MURPHY",1
16:35,"GOOD FT by URSIN,AARON",3,,10 (+7),,Mill 3-10 (-7),,"GOOD FT by URSIN,AARON",1
16:35,,,,,"SUB OUT by CAFFO,MURPHY",,,"SUB OUT by CAFFO,MURPHY",1
16:35,,,,,"SUB IN by CLINE,JANDER",,,"SUB IN by CLINE,JANDER",1
16:35,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
16:35,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
16:35,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",1
16:35,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",1
16:35,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
16:35,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
16:35,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",1
--,,,,,"REBOUND DEF by LINO,XZAVIER",,,"REBOUND DEF by LINO,XZAVIER",1
16:19,,,,,"TURNOVER  by EFE ISIK,ALI",,,"TURNOVER  by EFE ISIK,ALI",1
16:19,"STEAL  by ROTH,DREW",,,,,,,"STEAL  by ROTH,DREW",1
16:12,"MISS 3PTR by URSIN,AARON",,,,,,,"MISS 3PTR by URSIN,AARON",1
--,,,,,"REBOUND DEF by EFE ISIK,ALI",,,"REBOUND DEF by EFE ISIK,ALI",1
16:03,,,,,"MISS JUMPER by CLINE,JANDER",,,"MISS JUMPER by CLINE,JANDER",1
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",1
15:55,"TURNOVER  by HOGAN,TJ",,,,,,,"TURNOVER  by HOGAN,TJ",1
15:55,,,,,"STEAL  by EFE ISIK,ALI",,,"STEAL  by EFE ISIK,ALI",1
15:50,"FOUL  by LITTLE ,JAMES",,,,,,,"FOUL  by LITTLE ,JAMES",1
15:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:50,,3,,11 (+8),"GOOD FT by HUNT,GRANT(fastbreak)",Whitm 3-11 (-8),,"GOOD FT by HUNT,GRANT(fastbreak)",1
15:50,,3,,12 (+9),"GOOD FT by HUNT,GRANT(fastbreak)",Whitm 3-12 (-9),,"GOOD FT by HUNT,GRANT(fastbreak)",1
15:50,,,,,"SUB OUT by EFE ISIK,ALI",,,"SUB OUT by EFE ISIK,ALI",1
15:50,,,,,"SUB IN by DESHPANDE,JAI",,,"SUB IN by DESHPANDE,JAI",1
15:50,,,,,"SUB OUT by HUNT,GRANT",,,"SUB OUT by HUNT,GRANT",1
15:50,,,,,"SUB IN by TRIFUNOVIC,NIKOLA",,,"SUB IN by TRIFUNOVIC,NIKOLA",1
15:38,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
15:38,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
