Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CCLA,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS 3PTR by BAINES,JERRICK",,,"MISS 3PTR by BAINES,JERRICK",1
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",1
19:11,"GOOD 3PTR by WATSON,DOUG",3 (+3),,0,,MC 3-0 (+3),,"GOOD 3PTR by WATSON,DOUG",1
19:00,,,,,"TURNOVER  by BEVERLY,QUENTIN",,,"TURNOVER  by BEVERLY,QUENTIN",1
18:59,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
18:55,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
--,,,,,"REBOUND DEF by BAINES,JERRICK",,,"REBOUND DEF by BAINES,JERRICK",1
18:27,,,,,"MISS 3PTR by BOARD,BRAEDEN",,,"MISS 3PTR by BOARD,BRAEDEN",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
18:16,"GOOD LAYUP by ,RODNEY PHILLIPS JR(in the paint)",5 (+5),,0,,MC 5-0 (+5),,"GOOD LAYUP by ,RODNEY PHILLIPS JR(in the paint)",1
18:16,,,,,"FOUL  by BOARD,BRAEDEN",,,"FOUL  by BOARD,BRAEDEN",1
18:16,"GOOD FT by ,RODNEY PHILLIPS JR",6 (+6),,0,,MC 6-0 (+6),,"GOOD FT by ,RODNEY PHILLIPS JR",1
18:03,,,,,"MISS 3PTR by THOMAS,SETH",,,"MISS 3PTR by THOMAS,SETH",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
17:45,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by BAINES,JERRICK",,,"REBOUND DEF by BAINES,JERRICK",1
17:32,,,,,"SUB IN by BEHR,JALEN",,,"SUB IN by BEHR,JALEN",1
17:32,,,,,"SUB OUT by THOMAS,SETH",,,"SUB OUT by THOMAS,SETH",1
17:22,,,,,"MISS 3PTR by BEHR,JALEN",,,"MISS 3PTR by BEHR,JALEN",1
--,,,,,"REBOUND OFF by SINGLETON,TYKEEM",,,"REBOUND OFF by SINGLETON,TYKEEM",1
17:16,,,,,"MISS 3PTR by SINGLETON,TYKEEM",,,"MISS 3PTR by SINGLETON,TYKEEM",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
17:07,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND OFF by URSIN,AARON",,,,,,,"REBOUND OFF by URSIN,AARON",1
