Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
00:03,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",35,,42 (+7),,Mill 35-42 (-7),,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",1
20:00,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",2
20:00,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
20:00,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
20:00,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
20:00,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
20:00,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
19:43,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",2
19:43,"GOOD FT by URSIN,AARON",36,,42 (+6),,Mill 36-42 (-6),,"GOOD FT by URSIN,AARON",2
19:43,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",2
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",2
19:27,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
19:22,,36,,44 (+8),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 36-44 (-8),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
19:07,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
19:07,"GOOD FT by URSIN,AARON",37,,44 (+7),,Mill 37-44 (-7),,"GOOD FT by URSIN,AARON",2
19:07,"GOOD FT by URSIN,AARON",38,,44 (+6),,Mill 38-44 (-6),,"GOOD FT by URSIN,AARON",2
19:07,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
19:07,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
18:51,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
18:49,,38,,46 (+8),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 38-46 (-8),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
18:49,"FOUL  by UGHOVWA,NICHOLAS",,,,,,,"FOUL  by UGHOVWA,NICHOLAS",2
18:49,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
18:49,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
18:49,,38,,47 (+9),"GOOD FT by KAHL,COLIN",Sewan 38-47 (-9),,"GOOD FT by KAHL,COLIN",2
18:35,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,"REBOUND OFF by BONNECAZE,STEWART",,,,,,,"REBOUND OFF by BONNECAZE,STEWART",2
18:28,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
18:20,,38,,49 (+11),"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",Sewan 38-49 (-11),,"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
18:06,"MISS 3PTR by URSIN,AARON",,,,,,,"MISS 3PTR by URSIN,AARON",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
17:49,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",,,"MISS JUMPER by KAHL,COLIN(in the paint)",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
17:43,"GOOD 3PTR by GASCA,DAKOTA(fastbreak)",41,,49 (+8),,Mill 41-49 (-8),,"GOOD 3PTR by GASCA,DAKOTA(fastbreak)",2
17:25,,41,,52 (+11),"GOOD 3PTR by KAHL,COLIN",Sewan 41-52 (-11),,"GOOD 3PTR by KAHL,COLIN",2
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",2
17:08,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",2
17:08,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
17:08,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
16:56,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
16:50,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",43,,52 (+9),,Mill 43-52 (-9),,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",2
16:25,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
16:22,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
16:19,,43,,54 (+11),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 43-54 (-11),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
16:03,"MISS 3PTR by GORTON,MACK",,,,,,,"MISS 3PTR by GORTON,MACK",2
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",2
15:54,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",2
15:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:54,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
15:54,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
15:54,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",2
15:54,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
15:54,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",2
15:54,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
15:48,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",2
15:48,,43,,55 (+12),"GOOD FT by CORRIGAN,TRE",Sewan 43-55 (-12),,"GOOD FT by CORRIGAN,TRE",2
15:48,,43,,56 (+13),"GOOD FT by CORRIGAN,TRE",Sewan 43-56 (-13),,"GOOD FT by CORRIGAN,TRE",2
15:48,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
15:48,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
15:48,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",2
15:48,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
15:48,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
15:48,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",2
15:48,,,,,"MISS FT by CORRIGAN,TRE",,,"MISS FT by CORRIGAN,TRE",2
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",2
15:31,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",2
15:31,"GOOD FT by PHILLIPS JR,RODNEY",44,,56 (+12),,Mill 44-56 (-12),,"GOOD FT by PHILLIPS JR,RODNEY",2
15:31,"GOOD FT by PHILLIPS JR,RODNEY",45,,56 (+11),,Mill 45-56 (-11),,"GOOD FT by PHILLIPS JR,RODNEY",2
15:13,,45,,58 (+13),"GOOD LAYUP by HOLLAND,ELI(in the paint)",Sewan 45-58 (-13),,"GOOD LAYUP by HOLLAND,ELI(in the paint)",2
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",2
14:56,"MISS 3PTR by GORTON,MACK",,,,,,,"MISS 3PTR by GORTON,MACK",2
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",2
14:43,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",2
14:43,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
14:43,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
14:43,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
14:24,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",2
14:24,,45,,59 (+14),"GOOD FT by WILLIAMS,RASHAUN",Sewan 45-59 (-14),,"GOOD FT by WILLIAMS,RASHAUN",2
14:24,,,,,"MISS FT by WILLIAMS,RASHAUN",,,"MISS FT by WILLIAMS,RASHAUN",2
--,"REBOUND DEF by ROTH,DREW",,,,,,,"REBOUND DEF by ROTH,DREW",2
14:19,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",2
14:07,,45,,62 (+17),"GOOD 3PTR by WILLIAMS,RASHAUN",Sewan 45-62 (-17),,"GOOD 3PTR by WILLIAMS,RASHAUN",2
--,,,,,"ASSIST  by HOLLAND,ELI",,,"ASSIST  by HOLLAND,ELI",2
13:59,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",2
13:59,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
13:59,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
13:59,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
13:59,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
13:58,"MISS 3PTR by BONNECAZE,STEWART",,,,,,,"MISS 3PTR by BONNECAZE,STEWART",2
--,"REBOUND OFF by BONNECAZE,STEWART",,,,,,,"REBOUND OFF by BONNECAZE,STEWART",2
13:55,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",2
13:49,,,,,"TURNOVER  by HOLLAND,ELI",,,"TURNOVER  by HOLLAND,ELI",2
13:49,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",2
13:44,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",2
13:44,"GOOD FT by BONNECAZE,STEWART",46,,62 (+16),,Mill 46-62 (-16),,"GOOD FT by BONNECAZE,STEWART",2
13:44,"GOOD FT by BONNECAZE,STEWART",47,,62 (+15),,Mill 47-62 (-15),,"GOOD FT by BONNECAZE,STEWART",2
13:43,"FOUL TECH by BONNECAZE,STEWART",,,,,,,"FOUL TECH by BONNECAZE,STEWART",2
13:43,,47,,63 (+16),"GOOD FT by CORRIGAN,TRE(fastbreak)",Sewan 47-63 (-16),,"GOOD FT by CORRIGAN,TRE(fastbreak)",2
13:43,,,,,"MISS FT by CORRIGAN,TRE(fastbreak)",,,"MISS FT by CORRIGAN,TRE(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:31,,47,,65 (+18),"GOOD LAYUP by WILLIAMS,RASHAUN(in the paint)",Sewan 47-65 (-18),,"GOOD LAYUP by WILLIAMS,RASHAUN(in the paint)",2
--,,,,,"ASSIST  by HOLLAND,ELI",,,"ASSIST  by HOLLAND,ELI",2
13:16,"MISS LAYUP by WATSON,DOUG(in the paint)",,,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",2
--,,,,,"REBOUND DEF by WILLIAMS,RASHAUN",,,"REBOUND DEF by WILLIAMS,RASHAUN",2
13:11,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
13:11,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
12:51,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,"MISS LAYUP by HOLLAND,ELI(in the paint)",2
12:51,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:45,,,,,"FOUL  by HOLLAND,ELI",,,"FOUL  by HOLLAND,ELI",2
12:27,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",2
12:27,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",2
12:27,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",2
12:27,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
12:27,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
12:27,"GOOD FT by WATSON,DOUG",48,,65 (+17),,Mill 48-65 (-17),,"GOOD FT by WATSON,DOUG",2
12:27,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",2
12:27,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
12:27,"GOOD FT by WATSON,DOUG",49,,65 (+16),,Mill 49-65 (-16),,"GOOD FT by WATSON,DOUG",2
12:10,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND DEF by STEPHEN,SETH",,,,,,,"REBOUND DEF by STEPHEN,SETH",2
12:03,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:03,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",2
11:53,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",2
--,"REBOUND OFF by ROTH,DREW",,,,,,,"REBOUND OFF by ROTH,DREW",2
11:51,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",2
11:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:51,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",2
11:51,,,,,"SUB IN by ROWE,GRANT",,,"SUB IN by ROWE,GRANT",2
11:51,"MISS FT by ROTH,DREW",,,,,,,"MISS FT by ROTH,DREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:51,"MISS FT by ROTH,DREW",,,,,,,"MISS FT by ROTH,DREW",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:42,"GOOD LAYUP by STEPHEN,SETH(in the paint)",51,,65 (+14),,Mill 51-65 (-14),,"GOOD LAYUP by STEPHEN,SETH(in the paint)",2
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",2
11:23,,51,,67 (+16),"GOOD LAYUP by WILLIAMS,RASHAUN(in the paint)",Sewan 51-67 (-16),,"GOOD LAYUP by WILLIAMS,RASHAUN(in the paint)",2
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",2
11:07,"MISS JUMPER by BUSH,RODREEKAS",,,,,,,"MISS JUMPER by BUSH,RODREEKAS",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
10:57,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",2
10:57,,51,,68 (+17),"GOOD FT by WILLIAMS,RASHAUN",Sewan 51-68 (-17),,"GOOD FT by WILLIAMS,RASHAUN",2
10:57,,51,,69 (+18),"GOOD FT by WILLIAMS,RASHAUN",Sewan 51-69 (-18),,"GOOD FT by WILLIAMS,RASHAUN",2
10:57,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
10:57,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",2
10:57,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
10:57,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
10:57,,51,,70 (+19),"GOOD FT by WILLIAMS,RASHAUN",Sewan 51-70 (-19),,"GOOD FT by WILLIAMS,RASHAUN",2
10:52,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
10:52,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
10:46,"MISS JUMPER by HOGAN,TJ(in the paint)",,,,,,,"MISS JUMPER by HOGAN,TJ(in the paint)",2
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",2
10:37,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",2
10:31,,51,,72 (+21),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 51-72 (-21),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
10:23,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
10:23,,,,,"STEAL  by WILLIAMS,RASHAUN",,,"STEAL  by WILLIAMS,RASHAUN",2
10:19,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
10:15,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
10:15,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
10:15,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
10:15,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
10:03,,,,,"MISS LAYUP by WILLIAMS,RASHAUN(in the paint)",,,"MISS LAYUP by WILLIAMS,RASHAUN(in the paint)",2
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",2
10:03,"BLOCK  by HOGAN,TJ",,,,,,,"BLOCK  by HOGAN,TJ",2
09:57,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:55,,,,,"SUB OUT by WILLIAMS,RASHAUN",,,"SUB OUT by WILLIAMS,RASHAUN",2
09:55,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",2
09:55,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
09:55,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
09:55,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",,,"MISS 3PTR by WILLIAMS,RASHAUN",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
09:55,"MISS JUMPER by HOGAN,TJ",,,,,,,"MISS JUMPER by HOGAN,TJ",2
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",2
09:40,,51,,74 (+23),"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 51-74 (-23),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",2
--,,,,,"ASSIST  by HOLLAND,ELI",,,"ASSIST  by HOLLAND,ELI",2
09:23,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",2
09:23,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",2
09:15,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",2
09:15,"BLOCK  by UGHOVWA,NICHOLAS",,,,,,,"BLOCK  by UGHOVWA,NICHOLAS",2
--,,,,,"REBOUND OFF by AVALIANI,LUKA",,,"REBOUND OFF by AVALIANI,LUKA",2
09:08,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,"MISS LAYUP by HOLLAND,ELI(in the paint)",2
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",2
09:01,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",2
--,"REBOUND DEF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",2
08:56,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",2
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",2
08:41,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",2
--,"REBOUND DEF by HOGAN,TJ",,,,,,,"REBOUND DEF by HOGAN,TJ",2
08:33,"TURNOVER  by UGHOVWA,NICHOLAS",,,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",2
08:33,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",2
08:33,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",2
08:33,,,,,"SUB IN by WILLIAMS,RASHAUN",,,"SUB IN by WILLIAMS,RASHAUN",2
08:33,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",2
08:33,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
08:33,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
08:24,,51,,77 (+26),"GOOD 3PTR by WILLIAMS,RASHAUN",Sewan 51-77 (-26),,"GOOD 3PTR by WILLIAMS,RASHAUN",2
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",2
08:10,"MISS JUMPER by HOGAN,TJ",,,,,,,"MISS JUMPER by HOGAN,TJ",2
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",2
08:00,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",2
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
08:00,,,,,"SUB OUT by HOLLAND,ELI",,,"SUB OUT by HOLLAND,ELI",2
08:00,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",2
08:00,,51,,78 (+27),"GOOD FT by ROWE,GRANT",Sewan 51-78 (-27),,"GOOD FT by ROWE,GRANT",2
08:00,,51,,79 (+28),"GOOD FT by ROWE,GRANT",Sewan 51-79 (-28),,"GOOD FT by ROWE,GRANT",2
08:00,,,,,"MISS FT by ROWE,GRANT",,,"MISS FT by ROWE,GRANT",2
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",2
07:42,"MISS JUMPER by URSIN,AARON(in the paint)",,,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",2
07:26,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",2
--,,,,,"REBOUND OFF by ROWE,GRANT",,,"REBOUND OFF by ROWE,GRANT",2
07:26,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",2
06:55,,51,,81 (+30),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 51-81 (-30),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
06:40,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",2
--,,,,,"REBOUND DEF by SMITH,GRAHAM",,,"REBOUND DEF by SMITH,GRAHAM",2
06:32,,,,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",,,"MISS LAYUP by CORRIGAN,TRE(in the paint)",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
06:25,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",53,,81 (+28),,Mill 53-81 (-28),,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",2
05:59,,,,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
05:53,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",2
05:53,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
05:53,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
05:53,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
05:53,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
05:53,,53,,82 (+29),"GOOD FT by WILLIAMS,RASHAUN",Sewan 53-82 (-29),,"GOOD FT by WILLIAMS,RASHAUN",2
05:53,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",2
05:53,,,,,"SUB OUT by ROWE,GRANT",,,"SUB OUT by ROWE,GRANT",2
05:53,,,,,"SUB IN by FOLK,BEN",,,"SUB IN by FOLK,BEN",2
05:53,,,,,"SUB IN by HOLLAND,ELI",,,"SUB IN by HOLLAND,ELI",2
05:53,,,,,"MISS FT by WILLIAMS,RASHAUN",,,"MISS FT by WILLIAMS,RASHAUN",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
05:53,"GOOD 3PTR by GASCA,DAKOTA",56,,82 (+26),,Mill 56-82 (-26),,"GOOD 3PTR by GASCA,DAKOTA",2
05:53,,,,,"MISS JUMPER by HOLLAND,ELI(in the paint)",,,"MISS JUMPER by HOLLAND,ELI(in the paint)",2
--,,,,,"REBOUND OFF by CORRIGAN,TRE",,,"REBOUND OFF by CORRIGAN,TRE",2
05:53,,,,,"MISS 3PTR by WILLIAMS,RASHAUN",,,"MISS 3PTR by WILLIAMS,RASHAUN",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
