Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by CORRIGAN,TRE",,,"ASSIST  by CORRIGAN,TRE",1
14:49,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by HOLLAND,ELI",,,"REBOUND DEF by HOLLAND,ELI",1
14:26,,10,,16 (+6),"GOOD 3PTR by MARR,RUSS",Sewan 10-16 (-6),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
14:13,"GOOD JUMPER by STEPHEN,SETH(in the paint)",12,,16 (+4),,Mill 12-16 (-4),,"GOOD JUMPER by STEPHEN,SETH(in the paint)",1
13:52,,,,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",,,"MISS JUMPER by AVALIANI,LUKA(in the paint)",1
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",1
13:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:47,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
13:47,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
13:47,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
13:47,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
13:46,"MISS DUNK by LITTLE ,JAMES(in the paint)",,,,,,,"MISS DUNK by LITTLE ,JAMES(in the paint)",1
--,"REBOUND OFF by GASCA,DAKOTA",,,,,,,"REBOUND OFF by GASCA,DAKOTA",1
13:39,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",14,,16 (+2),,Mill 14-16 (-2),,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",1
13:32,"FOUL  by GORTON,MACK",,,,,,,"FOUL  by GORTON,MACK",1
13:32,,14,,17 (+3),"GOOD FT by HOLLAND,ELI(fastbreak)",Sewan 14-17 (-3),,"GOOD FT by HOLLAND,ELI(fastbreak)",1
13:32,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
13:32,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
13:32,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
13:32,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
13:32,,,,,"MISS FT by HOLLAND,ELI(fastbreak)",,,"MISS FT by HOLLAND,ELI(fastbreak)",1
--,"REBOUND DEF by HOGAN,TJ",,,,,,,"REBOUND DEF by HOGAN,TJ",1
12:46,"GOOD 3PTR by HOGAN,TJ",17,,17,,Mill 17-17 (0),,"GOOD 3PTR by HOGAN,TJ",1
12:26,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",1
12:26,,17,,18 (+1),"GOOD FT by CORRIGAN,TRE",Sewan 17-18 (-1),,"GOOD FT by CORRIGAN,TRE",1
12:26,,17,,19 (+2),"GOOD FT by CORRIGAN,TRE",Sewan 17-19 (-2),,"GOOD FT by CORRIGAN,TRE",1
12:26,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
12:26,,,,,"SUB IN by ROWE,GRANT",,,"SUB IN by ROWE,GRANT",1
12:05,,,,,"FOUL  by WILLIAMS,RASHAUN",,,"FOUL  by WILLIAMS,RASHAUN",1
12:05,"GOOD FT by HOGAN,TJ",18,,19 (+1),,Mill 18-19 (-1),,"GOOD FT by HOGAN,TJ",1
