Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
17:01,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",5,,7 (+2),,LAGRANGE 5-7 (+2),,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",1
--,"ASSIST  by LYONS,CAMERIN",,,,,,,"ASSIST  by LYONS,CAMERIN",1
16:49,,5,,9 (+4),"GOOD JUMPER by URSIN,AARON",MILLSAPS 5-9 (+4),,"GOOD JUMPER by URSIN,AARON",1
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",1
16:20,"MISS JUMPER by LYONS,CAMERIN",,,,,,,"MISS JUMPER by LYONS,CAMERIN",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
15:54,,5,,12 (+7),"GOOD 3PTR by BUSH,RODREEKAS",MILLSAPS 5-12 (+7),,"GOOD 3PTR by BUSH,RODREEKAS",1
--,,,,,"ASSIST  by URSIN,AARON",,,"ASSIST  by URSIN,AARON",1
15:40,"GOOD LAYUP by SMITH,KYLE(in the paint)",7,,12 (+5),,LAGRANGE 7-12 (+5),,"GOOD LAYUP by SMITH,KYLE(in the paint)",1
--,"ASSIST  by EDWARDS,BERSHARD",,,,,,,"ASSIST  by EDWARDS,BERSHARD",1
15:21,,,,,"MISS LAYUP by URSIN,AARON",,,"MISS LAYUP by URSIN,AARON",1
--,"REBOUND DEF by SMITH,KYLE",,,,,,,"REBOUND DEF by SMITH,KYLE",1
15:13,"SUB IN by HERRELL,JACE",,,,,,,"SUB IN by HERRELL,JACE",1
15:13,"SUB OUT by LYONS,CAMERIN",,,,,,,"SUB OUT by LYONS,CAMERIN",1
14:49,"GOOD LAYUP by HILL,ZAC(in the paint)",9,,12 (+3),,LAGRANGE 9-12 (+3),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
14:33,,9,,14 (+5),"GOOD LAYUP by WATSON,DOUG(in the paint)",MILLSAPS 9-14 (+5),,"GOOD LAYUP by WATSON,DOUG(in the paint)",1
14:13,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",11,,14 (+3),,LAGRANGE 11-14 (+3),,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",1
14:05,"FOUL  by HERRELL,JACE",,,,,,,"FOUL  by HERRELL,JACE",1
14:05,,,,,"SUB IN by JR,RODNEY PHILLIPS",,,"SUB IN by JR,RODNEY PHILLIPS",1
14:05,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
14:05,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
14:05,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",1
13:57,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by SCOTT,BRODIE",,,,,,,"REBOUND DEF by SCOTT,BRODIE",1
13:49,"MISS 3PTR by HILL,ZAC",,,,,,,"MISS 3PTR by HILL,ZAC",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
13:43,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",1
--,"REBOUND DEF by HERRELL,JACE",,,,,,,"REBOUND DEF by HERRELL,JACE",1
13:34,"GOOD JUMPER by EDWARDS,BERSHARD",13,,14 (+1),,LAGRANGE 13-14 (+1),,"GOOD JUMPER by EDWARDS,BERSHARD",1
13:11,,,,,"TURNOVER  by RUCKER,CAM",,,"TURNOVER  by RUCKER,CAM",1
13:08,"GOOD LAYUP by HILL,ZAC(in the paint)",15 (+1),,14,,LAGRANGE 15-14 (-1),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
--,"ASSIST  by EDWARDS,BERSHARD",,,,,,,"ASSIST  by EDWARDS,BERSHARD",1
12:45,,15,,17 (+2),"GOOD 3PTR by JR,RODNEY PHILLIPS",MILLSAPS 15-17 (+2),,"GOOD 3PTR by JR,RODNEY PHILLIPS",1
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",1
12:31,"TURNOVER  by EDWARDS,BERSHARD",,,,,,,"TURNOVER  by EDWARDS,BERSHARD",1
12:31,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
12:31,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
12:31,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
12:31,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
12:31,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
12:31,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
12:28,,,,,"MISS 3PTR by GASCA,DAKOTA",,,"MISS 3PTR by GASCA,DAKOTA",1
--,"REBOUND DEF by SCOTT,BRODIE",,,,,,,"REBOUND DEF by SCOTT,BRODIE",1
12:13,,,,,"FOUL  by GORTON,MACK",,,"FOUL  by GORTON,MACK",1
11:58,"MISS FT by SCOTT,BRODIE",,,,,,,"MISS FT by SCOTT,BRODIE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:58,"GOOD FT by SCOTT,BRODIE",16,,17 (+1),,LAGRANGE 16-17 (+1),,"GOOD FT by SCOTT,BRODIE",1
11:49,,,,,"MISS LAYUP by JR,RODNEY PHILLIPS",,,"MISS LAYUP by JR,RODNEY PHILLIPS",1
--,"REBOUND DEF by HILL,ZAC",,,,,,,"REBOUND DEF by HILL,ZAC",1
11:44,"MISS 3PTR by EDWARDS,BERSHARD",,,,,,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by GORTON,MACK",,,"REBOUND DEF by GORTON,MACK",1
11:32,,16,,19 (+3),"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",MILLSAPS 16-19 (+3),,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",1
11:07,"MISS JUMPER by EDWARDS,BERSHARD",,,,,,,"MISS JUMPER by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
10:46,,,,,"FOUL  by JR,RODNEY PHILLIPS",,,"FOUL  by JR,RODNEY PHILLIPS",1
10:44,"SUB IN by LYONS,CAMERIN",,,,,,,"SUB IN by LYONS,CAMERIN",1
10:44,"SUB OUT by HERRELL,JACE",,,,,,,"SUB OUT by HERRELL,JACE",1
10:40,"TURNOVER  by HILL,ZAC",,,,,,,"TURNOVER  by HILL,ZAC",1
10:22,,16,,21 (+5),"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",MILLSAPS 16-21 (+5),,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",1
--,,,,,"ASSIST  by GASCA,DAKOTA",,,"ASSIST  by GASCA,DAKOTA",1
10:07,"MISS 3PTR by SMITH,KYLE",,,,,,,"MISS 3PTR by SMITH,KYLE",1
--,"REBOUND OFF by SCOTT,BRODIE",,,,,,,"REBOUND OFF by SCOTT,BRODIE",1
10:01,"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",18,,21 (+3),,LAGRANGE 18-21 (+3),,"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",1
--,"ASSIST  by SCOTT,BRODIE",,,,,,,"ASSIST  by SCOTT,BRODIE",1
09:46,,18,,24 (+6),"GOOD 3PTR by RUCKER,CAM",MILLSAPS 18-24 (+6),,"GOOD 3PTR by RUCKER,CAM",1
09:36,"GOOD 3PTR by SMITH,KYLE",21,,24 (+3),,LAGRANGE 21-24 (+3),,"GOOD 3PTR by SMITH,KYLE",1
--,"ASSIST  by SCOTT,BRODIE",,,,,,,"ASSIST  by SCOTT,BRODIE",1
09:15,,,,,"MISS 3PTR by RUCKER,CAM",,,"MISS 3PTR by RUCKER,CAM",1
--,"REBOUND DEF by SMITH,KYLE",,,,,,,"REBOUND DEF by SMITH,KYLE",1
09:02,"MISS JUMPER by EDWARDS,BERSHARD",,,,,,,"MISS JUMPER by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
08:33,,,,,"TURNOVER  by RUCKER,CAM",,,"TURNOVER  by RUCKER,CAM",1
08:33,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
08:33,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
08:33,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
08:33,,,,,"SUB OUT by JR,RODNEY PHILLIPS",,,"SUB OUT by JR,RODNEY PHILLIPS",1
08:33,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",1
08:33,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
08:31,"SUB IN by PETTIGREW,ISAIAH",,,,,,,"SUB IN by PETTIGREW,ISAIAH",1
08:31,"SUB OUT by HILL,ZAC",,,,,,,"SUB OUT by HILL,ZAC",1
08:17,"MISS 3PTR by EDWARDS,BERSHARD",,,,,,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
07:58,"FOUL  by PETTIGREW,ISAIAH",,,,,,,"FOUL  by PETTIGREW,ISAIAH",1
07:34,,,,,"MISS FT by UGHOVWA,NICHOLAS",,,"MISS FT by UGHOVWA,NICHOLAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:34,,21,,25 (+4),"GOOD FT by UGHOVWA,NICHOLAS",MILLSAPS 21-25 (+4),,"GOOD FT by UGHOVWA,NICHOLAS",1
07:34,"SUB IN by PENDLETON,TAYSHAWN",,,,,,,"SUB IN by PENDLETON,TAYSHAWN",1
07:34,"SUB OUT by SCOTT,BRODIE",,,,,,,"SUB OUT by SCOTT,BRODIE",1
07:34,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
07:34,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",1
07:21,"MISS LAYUP by PETTIGREW,ISAIAH",,,,,,,"MISS LAYUP by PETTIGREW,ISAIAH",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
06:53,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",1
06:48,"TURNOVER  by PETTIGREW,ISAIAH",,,,,,,"TURNOVER  by PETTIGREW,ISAIAH",1
06:38,,,,,"MISS LAYUP by BUSH,RODREEKAS",,,"MISS LAYUP by BUSH,RODREEKAS",1
06:38,"BLOCK  by PETTIGREW,ISAIAH",,,,,,,"BLOCK  by PETTIGREW,ISAIAH",1
--,"REBOUND DEF by PETTIGREW,ISAIAH",,,,,,,"REBOUND DEF by PETTIGREW,ISAIAH",1
06:28,"GOOD LAYUP by SMITH,KYLE(in the paint)",23,,25 (+2),,LAGRANGE 23-25 (+2),,"GOOD LAYUP by SMITH,KYLE(in the paint)",1
--,"ASSIST  by LYONS,CAMERIN",,,,,,,"ASSIST  by LYONS,CAMERIN",1
06:07,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
06:07,"SUB IN by DOLHANCYK,COOPER",,,,,,,"SUB IN by DOLHANCYK,COOPER",1
06:07,"SUB OUT by SMITH,KYLE",,,,,,,"SUB OUT by SMITH,KYLE",1
05:45,"MISS 3PTR by PENDLETON,TAYSHAWN",,,,,,,"MISS 3PTR by PENDLETON,TAYSHAWN",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
05:35,,,,,"MISS LAYUP by GASCA,DAKOTA",,,"MISS LAYUP by GASCA,DAKOTA",1
--,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",,,"REBOUND OFF by UGHOVWA,NICHOLAS",1
05:30,,23,,28 (+5),"GOOD 3PTR by GASCA,DAKOTA",MILLSAPS 23-28 (+5),,"GOOD 3PTR by GASCA,DAKOTA",1
--,,,,,"ASSIST  by UGHOVWA,NICHOLAS",,,"ASSIST  by UGHOVWA,NICHOLAS",1
05:21,"SUB IN by SCOTT,BRODIE",,,,,,,"SUB IN by SCOTT,BRODIE",1
05:21,"SUB OUT by EDWARDS,BERSHARD",,,,,,,"SUB OUT by EDWARDS,BERSHARD",1
05:21,,,,,"SUB IN by BONNECAZE,STEWART",,,"SUB IN by BONNECAZE,STEWART",1
05:21,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
05:01,"GOOD JUMPER by LYONS,CAMERIN",25,,28 (+3),,LAGRANGE 25-28 (+3),,"GOOD JUMPER by LYONS,CAMERIN",1
04:29,"FOUL  by LYONS,CAMERIN",,,,,,,"FOUL  by LYONS,CAMERIN",1
04:29,,25,,29 (+4),"GOOD FT by WATSON,DOUG",MILLSAPS 25-29 (+4),,"GOOD FT by WATSON,DOUG",1
04:29,,25,,30 (+5),"GOOD FT by WATSON,DOUG",MILLSAPS 25-30 (+5),,"GOOD FT by WATSON,DOUG",1
04:29,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
04:29,,,,,"SUB OUT by BONNECAZE,STEWART",,,"SUB OUT by BONNECAZE,STEWART",1
04:20,,,,,"FOUL  by GASCA,DAKOTA",,,"FOUL  by GASCA,DAKOTA",1
04:20,"MISS FT by LYONS,CAMERIN",,,,,,,"MISS FT by LYONS,CAMERIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:20,"GOOD FT by LYONS,CAMERIN",26,,30 (+4),,LAGRANGE 26-30 (+4),,"GOOD FT by LYONS,CAMERIN",1
04:20,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
04:20,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
03:58,,,,,"MISS LAYUP by WATSON,DOUG",,,"MISS LAYUP by WATSON,DOUG",1
03:58,"BLOCK  by PETTIGREW,ISAIAH",,,,,,,"BLOCK  by PETTIGREW,ISAIAH",1
--,"REBOUND DEF by PETTIGREW,ISAIAH",,,,,,,"REBOUND DEF by PETTIGREW,ISAIAH",1
03:36,"GOOD JUMPER by EDWARDS,BERSHARD",28,,30 (+2),,LAGRANGE 28-30 (+2),,"GOOD JUMPER by EDWARDS,BERSHARD",1
03:24,,28,,32 (+4),"GOOD JUMPER by HOGAN,TJ",MILLSAPS 28-32 (+4),,"GOOD JUMPER by HOGAN,TJ",1
03:16,"MISS 3PTR by EDWARDS,BERSHARD",,,,,,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
02:55,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",1
02:55,"SUB IN by HILL,ZAC",,,,,,,"SUB IN by HILL,ZAC",1
02:55,"SUB OUT by PETTIGREW,ISAIAH",,,,,,,"SUB OUT by PETTIGREW,ISAIAH",1
02:55,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
02:55,,,,,"SUB IN by JR,RODNEY PHILLIPS",,,"SUB IN by JR,RODNEY PHILLIPS",1
02:55,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
02:55,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
02:40,"GOOD LAYUP by HILL,ZAC(in the paint)",30,,32 (+2),,LAGRANGE 30-32 (+2),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
--,"ASSIST  by LYONS,CAMERIN",,,,,,,"ASSIST  by LYONS,CAMERIN",1
02:13,,,,,"MISS JUMPER by GORTON,MACK",,,"MISS JUMPER by GORTON,MACK",1
--,,,,,"REBOUND OFF by GORTON,MACK",,,"REBOUND OFF by GORTON,MACK",1
02:09,,30,,34 (+4),"GOOD JUMPER by GORTON,MACK",MILLSAPS 30-34 (+4),,"GOOD JUMPER by GORTON,MACK",1
01:48,"MISS 3PTR by DOLHANCYK,COOPER",,,,,,,"MISS 3PTR by DOLHANCYK,COOPER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:43,,,,,"FOUL  by HOGAN,TJ",,,"FOUL  by HOGAN,TJ",1
01:37,"MISS LAYUP by LYONS,CAMERIN",,,,,,,"MISS LAYUP by LYONS,CAMERIN",1
--,,,,,"REBOUND DEF by HOGAN,TJ",,,"REBOUND DEF by HOGAN,TJ",1
01:25,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",1
01:22,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
01:22,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
01:22,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
01:15,,,,,"MISS 3PTR by GASCA,DAKOTA",,,"MISS 3PTR by GASCA,DAKOTA",1
--,"REBOUND DEF by DOLHANCYK,COOPER",,,,,,,"REBOUND DEF by DOLHANCYK,COOPER",1
01:02,"TURNOVER  by EDWARDS,BERSHARD",,,,,,,"TURNOVER  by EDWARDS,BERSHARD",1
01:00,,,,,"STEAL  by GASCA,DAKOTA",,,"STEAL  by GASCA,DAKOTA",1
00:57,"FOUL  by EDWARDS,BERSHARD",,,,,,,"FOUL  by EDWARDS,BERSHARD",1
00:57,,,,,"MISS FT by GASCA,DAKOTA",,,"MISS FT by GASCA,DAKOTA",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:57,,30,,35 (+5),"GOOD FT by GASCA,DAKOTA",MILLSAPS 30-35 (+5),,"GOOD FT by GASCA,DAKOTA",1
00:57,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
00:57,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
00:57,,,,,"SUB IN by BONNECAZE,STEWART",,,"SUB IN by BONNECAZE,STEWART",1
00:57,,,,,"SUB OUT by JR,RODNEY PHILLIPS",,,"SUB OUT by JR,RODNEY PHILLIPS",1
00:57,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",1
00:57,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",1
00:51,"GOOD 3PTR by SCOTT,BRODIE",33,,35 (+2),,LAGRANGE 33-35 (+2),,"GOOD 3PTR by SCOTT,BRODIE",1
--,"ASSIST  by DOLHANCYK,COOPER",,,,,,,"ASSIST  by DOLHANCYK,COOPER",1
00:27,,33,,37 (+4),"GOOD LAYUP by GASCA,DAKOTA(in the paint)",MILLSAPS 33-37 (+4),,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",1
00:21,"MISS JUMPER by EDWARDS,BERSHARD",,,,,,,"MISS JUMPER by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by BONNECAZE,STEWART",,,"REBOUND DEF by BONNECAZE,STEWART",1
00:09,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by SCOTT,BRODIE",,,,,,,"SUB IN by SCOTT,BRODIE",2
20:00,"SUB OUT by COFIELD,GABE",,,,,,,"SUB OUT by COFIELD,GABE",2
19:36,"TURNOVER  by DOLHANCYK,COOPER",,,,,,,"TURNOVER  by DOLHANCYK,COOPER",2
19:14,"FOUL  by HILL,ZAC",,,,,,,"FOUL  by HILL,ZAC",2
19:01,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",2
--,"REBOUND DEF by EDWARDS,BERSHARD",,,,,,,"REBOUND DEF by EDWARDS,BERSHARD",2
18:55,"MISS 3PTR by SCOTT,BRODIE",,,,,,,"MISS 3PTR by SCOTT,BRODIE",2
--,,,,,"REBOUND DEF by HOGAN,TJ",,,"REBOUND DEF by HOGAN,TJ",2
18:31,,,,,"MISS LAYUP by URSIN,AARON",,,"MISS LAYUP by URSIN,AARON",2
--,"REBOUND DEF by LYONS,CAMERIN",,,,,,,"REBOUND DEF by LYONS,CAMERIN",2
18:25,"MISS JUMPER by EDWARDS,BERSHARD",,,,,,,"MISS JUMPER by EDWARDS,BERSHARD",2
--,"REBOUND OFF by DOLHANCYK,COOPER",,,,,,,"REBOUND OFF by DOLHANCYK,COOPER",2
18:21,"MISS 3PTR by SCOTT,BRODIE",,,,,,,"MISS 3PTR by SCOTT,BRODIE",2
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",2
17:51,"FOUL  by SCOTT,BRODIE",,,,,,,"FOUL  by SCOTT,BRODIE",2
17:51,,,,,"MISS FT by BUSH,RODREEKAS",,,"MISS FT by BUSH,RODREEKAS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:51,,,,,"MISS FT by BUSH,RODREEKAS",,,"MISS FT by BUSH,RODREEKAS",2
--,"REBOUND DEF by DOLHANCYK,COOPER",,,,,,,"REBOUND DEF by DOLHANCYK,COOPER",2
17:51,,,,,"SUB IN by BONNECAZE,STEWART",,,"SUB IN by BONNECAZE,STEWART",2
17:51,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",2
17:41,"MISS 3PTR by HILL,ZAC",,,,,,,"MISS 3PTR by HILL,ZAC",2
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",2
17:29,,,,,"MISS LAYUP by URSIN,AARON",,,"MISS LAYUP by URSIN,AARON",2
--,"REBOUND DEF by DOLHANCYK,COOPER",,,,,,,"REBOUND DEF by DOLHANCYK,COOPER",2
17:15,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",2
17:15,"GOOD FT by EDWARDS,BERSHARD",34,,37 (+3),,LAGRANGE 34-37 (+3),,"GOOD FT by EDWARDS,BERSHARD",2
17:15,"MISS FT by EDWARDS,BERSHARD",,,,,,,"MISS FT by EDWARDS,BERSHARD",2
--,,,,,"REBOUND DEF by JR,RODNEY PHILLIPS",,,"REBOUND DEF by JR,RODNEY PHILLIPS",2
17:15,,,,,"SUB IN by JR,RODNEY PHILLIPS",,,"SUB IN by JR,RODNEY PHILLIPS",2
17:15,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",2
17:15,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",2
17:15,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",2
17:07,"FOUL  by HILL,ZAC",,,,,,,"FOUL  by HILL,ZAC",2
17:03,,,,,"MISS FT by WATSON,DOUG",,,"MISS FT by WATSON,DOUG",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:03,,34,,38 (+4),"GOOD FT by WATSON,DOUG",MILLSAPS 34-38 (+4),,"GOOD FT by WATSON,DOUG",2
16:22,,,,,"FOUL  by BONNECAZE,STEWART",,,"FOUL  by BONNECAZE,STEWART",2
16:22,"GOOD FT by EDWARDS,BERSHARD",35,,38 (+3),,LAGRANGE 35-38 (+3),,"GOOD FT by EDWARDS,BERSHARD",2
16:22,"GOOD FT by EDWARDS,BERSHARD",36,,38 (+2),,LAGRANGE 36-38 (+2),,"GOOD FT by EDWARDS,BERSHARD",2
16:22,"SUB IN by SMITH,KYLE",,,,,,,"SUB IN by SMITH,KYLE",2
16:22,"SUB OUT by DOLHANCYK,COOPER",,,,,,,"SUB OUT by DOLHANCYK,COOPER",2
16:22,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",2
16:22,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",2
16:10,,36,,40 (+4),"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",MILLSAPS 36-40 (+4),,"GOOD LAYUP by JR,RODNEY PHILLIPS(in the paint)",2
--,,,,,"ASSIST  by BUSH,RODREEKAS",,,"ASSIST  by BUSH,RODREEKAS",2
16:02,"GOOD LAYUP by HILL,ZAC(in the paint)",38,,40 (+2),,LAGRANGE 38-40 (+2),,"GOOD LAYUP by HILL,ZAC(in the paint)",2
15:39,,,,,"FOUL  by BONNECAZE,STEWART",,,"FOUL  by BONNECAZE,STEWART",2
15:35,"SUB IN by PETTIGREW,ISAIAH",,,,,,,"SUB IN by PETTIGREW,ISAIAH",2
15:35,"SUB IN by ODEN,ISAIAH",,,,,,,"SUB IN by ODEN,ISAIAH",2
