Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,PS,Game Score,Team Indicator,Play,Period
14:50,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
14:50,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
14:39,,,,,"MISS 3PTR by GILLETTE,DREW",,,"MISS 3PTR by GILLETTE,DREW",1
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",1
14:32,"MISS JUMPER by LITTLE ,JAMES",,,,,,,"MISS JUMPER by LITTLE ,JAMES",1
--,,,,,"REBOUND DEF by GILLETTE,DREW",,,"REBOUND DEF by GILLETTE,DREW",1
14:24,,4,,10 (+6),"GOOD LAYUP by ERICKSON,GRANT(in the paint)",PS 4-10 (-6),,"GOOD LAYUP by ERICKSON,GRANT(in the paint)",1
--,,,,,"ASSIST  by GILLETTE,DREW",,,"ASSIST  by GILLETTE,DREW",1
13:58,"MISS 3PTR by LITTLE ,JAMES",,,,,,,"MISS 3PTR by LITTLE ,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:39,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by BAKER,DEZMAN",,,"REBOUND DEF by BAKER,DEZMAN",1
13:33,,4,,13 (+9),"GOOD 3PTR by RUTTLEDGE,LIAM(fastbreak)",PS 4-13 (-9),,"GOOD 3PTR by RUTTLEDGE,LIAM(fastbreak)",1
--,,,,,"ASSIST  by BAKER,DEZMAN",,,"ASSIST  by BAKER,DEZMAN",1
13:10,"MISS 3PTR by LITTLE ,JAMES",,,,,,,"MISS 3PTR by LITTLE ,JAMES",1
--,"REBOUND OFF by GORTON,MACK",,,,,,,"REBOUND OFF by GORTON,MACK",1
13:05,"GOOD LAYUP by GORTON,MACK(in the paint)",6,,13 (+7),,Mill 6-13 (-7),,"GOOD LAYUP by GORTON,MACK(in the paint)",1
13:05,,,,,"FOUL  by BAKER,DEZMAN",,,"FOUL  by BAKER,DEZMAN",1
13:05,,,,,"SUB OUT by ERICKSON,GRANT",,,"SUB OUT by ERICKSON,GRANT",1
13:05,,,,,"SUB OUT by CLAUS,ZAC",,,"SUB OUT by CLAUS,ZAC",1
13:05,,,,,"SUB IN by PHILLIPS,TAJ",,,"SUB IN by PHILLIPS,TAJ",1
13:05,,,,,"SUB IN by DEBOER,CHARLIE",,,"SUB IN by DEBOER,CHARLIE",1
13:05,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
13:05,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",1
13:05,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
13:05,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
13:05,"MISS FT by GORTON,MACK",,,,,,,"MISS FT by GORTON,MACK",1
--,,,,,"REBOUND DEF by DEBOER,CHARLIE",,,"REBOUND DEF by DEBOER,CHARLIE",1
12:53,,,,,"MISS 3PTR by BAKER,DEZMAN",,,"MISS 3PTR by BAKER,DEZMAN",1
--,,,,,"REBOUND OFF by RUTTLEDGE,LIAM",,,"REBOUND OFF by RUTTLEDGE,LIAM",1
12:48,,6,,15 (+9),"GOOD LAYUP by RUTTLEDGE,LIAM(in the paint)",PS 6-15 (-9),,"GOOD LAYUP by RUTTLEDGE,LIAM(in the paint)",1
12:31,"MISS JUMPER by LITTLE ,JAMES",,,,,,,"MISS JUMPER by LITTLE ,JAMES",1
