Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,PS,Game Score,Team Indicator,Play,Period
01:01,"MISS 3PTR by LITTLE ,JAMES",,,,,,,"MISS 3PTR by LITTLE ,JAMES",1
--,,,,,"REBOUND DEF by PHILLIPS,TAJ",,,"REBOUND DEF by PHILLIPS,TAJ",1
00:53,,,,,"TURNOVER  by PHILLIPS,TAJ",,,"TURNOVER  by PHILLIPS,TAJ",1
00:53,"STEAL  by GASCA,DAKOTA",,,,,,,"STEAL  by GASCA,DAKOTA",1
00:53,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
00:53,,,,,"SUB OUT by RUTTLEDGE,LIAM",,,"SUB OUT by RUTTLEDGE,LIAM",1
00:53,,,,,"SUB IN by ERICKSON,GRANT",,,"SUB IN by ERICKSON,GRANT",1
00:42,,32,,45 (+13),"GOOD 3PTR by POHLAND,WILL",PS 32-45 (-13),,"GOOD 3PTR by POHLAND,WILL",1
--,,,,,"ASSIST  by ERICKSON,GRANT",,,"ASSIST  by ERICKSON,GRANT",1
00:14,"GOOD JUMPER by URSIN,AARON",34,,45 (+11),,Mill 34-45 (-11),,"GOOD JUMPER by URSIN,AARON",1
00:00,,,,,"MISS 3PTR by POHLAND,WILL",,,"MISS 3PTR by POHLAND,WILL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by DEBOER,CHARLIE",,,"SUB OUT by DEBOER,CHARLIE",2
20:00,,,,,"SUB IN by RUTTLEDGE,LIAM",,,"SUB IN by RUTTLEDGE,LIAM",2
20:00,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
20:00,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
20:00,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
20:00,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
20:00,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
20:00,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
19:50,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",2
--,,,,,"REBOUND DEF by POHLAND,WILL",,,"REBOUND DEF by POHLAND,WILL",2
19:42,,34,,48 (+14),"GOOD 3PTR by PHILLIPS,TAJ(fastbreak)",PS 34-48 (-14),,"GOOD 3PTR by PHILLIPS,TAJ(fastbreak)",2
--,,,,,"ASSIST  by RUTTLEDGE,LIAM",,,"ASSIST  by RUTTLEDGE,LIAM",2
19:26,"MISS JUMPER by URSIN,AARON(in the paint)",,,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",2
--,,,,,"REBOUND DEF by ERICKSON,GRANT",,,"REBOUND DEF by ERICKSON,GRANT",2
19:19,,,,,"MISS 3PTR by RUTTLEDGE,LIAM",,,"MISS 3PTR by RUTTLEDGE,LIAM",2
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",2
19:11,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",2
--,,,,,"REBOUND DEF by TECLEMARIAM,MUSSIE",,,"REBOUND DEF by TECLEMARIAM,MUSSIE",2
19:04,,34,,50 (+16),"GOOD LAYUP by RUTTLEDGE,LIAM(fastbreak)(in the paint)",PS 34-50 (-16),,"GOOD LAYUP by RUTTLEDGE,LIAM(fastbreak)(in the paint)",2
18:49,"GOOD JUMPER by WATSON,DOUG",36,,50 (+14),,Mill 36-50 (-14),,"GOOD JUMPER by WATSON,DOUG",2
18:31,,36,,53 (+17),"GOOD 3PTR by TECLEMARIAM,MUSSIE",PS 36-53 (-17),,"GOOD 3PTR by TECLEMARIAM,MUSSIE",2
--,,,,,"ASSIST  by PHILLIPS,TAJ",,,"ASSIST  by PHILLIPS,TAJ",2
18:07,"GOOD JUMPER by WATSON,DOUG",38,,53 (+15),,Mill 38-53 (-15),,"GOOD JUMPER by WATSON,DOUG",2
17:48,,,,,"MISS 3PTR by POHLAND,WILL",,,"MISS 3PTR by POHLAND,WILL",2
--,,,,,"REBOUND OFF by TECLEMARIAM,MUSSIE",,,"REBOUND OFF by TECLEMARIAM,MUSSIE",2
17:42,,,,,"MISS LAYUP by PHILLIPS,TAJ(in the paint)",,,"MISS LAYUP by PHILLIPS,TAJ(in the paint)",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
17:35,"GOOD JUMPER by BONNECAZE,STEWART(fastbreak)(in the paint)",40,,53 (+13),,Mill 40-53 (-13),,"GOOD JUMPER by BONNECAZE,STEWART(fastbreak)(in the paint)",2
17:13,,40,,55 (+15),"GOOD LAYUP by TECLEMARIAM,MUSSIE(in the paint)",PS 40-55 (-15),,"GOOD LAYUP by TECLEMARIAM,MUSSIE(in the paint)",2
--,,,,,"ASSIST  by POHLAND,WILL",,,"ASSIST  by POHLAND,WILL",2
17:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:11,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
17:11,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
17:11,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
17:11,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
17:00,"TURNOVER  by BONNECAZE,STEWART",,,,,,,"TURNOVER  by BONNECAZE,STEWART",2
17:00,,,,,"STEAL  by RUTTLEDGE,LIAM",,,"STEAL  by RUTTLEDGE,LIAM",2
16:49,,,,,"MISS JUMPER by RUTTLEDGE,LIAM",,,"MISS JUMPER by RUTTLEDGE,LIAM",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
16:37,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
16:37,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
16:29,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",2
--,"REBOUND OFF by FORBES,TRACE",,,,,,,"REBOUND OFF by FORBES,TRACE",2
16:26,,,,,"FOUL  by TECLEMARIAM,MUSSIE",,,"FOUL  by TECLEMARIAM,MUSSIE",2
16:26,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
16:26,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",2
16:17,"MISS LAYUP by GORTON,MACK(in the paint)",,,,,,,"MISS LAYUP by GORTON,MACK(in the paint)",2
--,,,,,"REBOUND DEF by PHILLIPS,TAJ",,,"REBOUND DEF by PHILLIPS,TAJ",2
16:08,,40,,57 (+17),"GOOD LAYUP by ERICKSON,GRANT(in the paint)",PS 40-57 (-17),,"GOOD LAYUP by ERICKSON,GRANT(in the paint)",2
--,,,,,"ASSIST  by POHLAND,WILL",,,"ASSIST  by POHLAND,WILL",2
15:49,"MISS 3PTR by FORBES,TRACE",,,,,,,"MISS 3PTR by FORBES,TRACE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:36,,,,,"MISS 3PTR by RUTTLEDGE,LIAM",,,"MISS 3PTR by RUTTLEDGE,LIAM",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
15:19,,,,,"FOUL  by POHLAND,WILL",,,"FOUL  by POHLAND,WILL",2
15:11,"MISS LAYUP by GASCA,DAKOTA(in the paint)",,,,,,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",2
--,,,,,"REBOUND DEF by TECLEMARIAM,MUSSIE",,,"REBOUND DEF by TECLEMARIAM,MUSSIE",2
15:05,,,,,"FOUL  by ERICKSON,GRANT",,,"FOUL  by ERICKSON,GRANT",2
15:05,,,,,"TURNOVER  by ERICKSON,GRANT",,,"TURNOVER  by ERICKSON,GRANT",2
14:59,"GOOD 3PTR by LITTLE ,JAMES",43,,57 (+14),,Mill 43-57 (-14),,"GOOD 3PTR by LITTLE ,JAMES",2
14:36,,,,,"MISS 3PTR by TECLEMARIAM,MUSSIE",,,"MISS 3PTR by TECLEMARIAM,MUSSIE",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
14:23,"MISS 3PTR by FORBES,TRACE",,,,,,,"MISS 3PTR by FORBES,TRACE",2
--,,,,,"REBOUND DEF by POHLAND,WILL",,,"REBOUND DEF by POHLAND,WILL",2
13:59,,,,,"MISS JUMPER by TECLEMARIAM,MUSSIE",,,"MISS JUMPER by TECLEMARIAM,MUSSIE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:57,,,,,"SUB OUT by ERICKSON,GRANT",,,"SUB OUT by ERICKSON,GRANT",2
13:57,,,,,"SUB OUT by RUTTLEDGE,LIAM",,,"SUB OUT by RUTTLEDGE,LIAM",2
13:57,,,,,"SUB OUT by POHLAND,WILL",,,"SUB OUT by POHLAND,WILL",2
13:57,,,,,"SUB IN by GILLETTE,DREW",,,"SUB IN by GILLETTE,DREW",2
13:57,,,,,"SUB IN by CLAUS,ZAC",,,"SUB IN by CLAUS,ZAC",2
13:57,,,,,"SUB IN by BAILEY,JACK",,,"SUB IN by BAILEY,JACK",2
13:57,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
13:57,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
13:57,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",2
13:57,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
13:57,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
13:57,"SUB IN by VANBEBER ,RJ",,,,,,,"SUB IN by VANBEBER ,RJ",2
13:53,,,,,"MISS LAYUP by PHILLIPS,TAJ(in the paint)",,,"MISS LAYUP by PHILLIPS,TAJ(in the paint)",2
--,,,,,"REBOUND OFF by PHILLIPS,TAJ",,,"REBOUND OFF by PHILLIPS,TAJ",2
13:47,,43,,59 (+16),"GOOD LAYUP by PHILLIPS,TAJ(in the paint)",PS 43-59 (-16),,"GOOD LAYUP by PHILLIPS,TAJ(in the paint)",2
13:28,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
13:28,,,,,"STEAL  by PHILLIPS,TAJ",,,"STEAL  by PHILLIPS,TAJ",2
13:20,,,,,"MISS LAYUP by TECLEMARIAM,MUSSIE(in the paint)",,,"MISS LAYUP by TECLEMARIAM,MUSSIE(in the paint)",2
--,,,,,"REBOUND OFF by BAILEY,JACK",,,"REBOUND OFF by BAILEY,JACK",2
13:14,,43,,61 (+18),"GOOD LAYUP by BAILEY,JACK(in the paint)",PS 43-61 (-18),,"GOOD LAYUP by BAILEY,JACK(in the paint)",2
13:01,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:58,,,,,"SUB OUT by TECLEMARIAM,MUSSIE",,,"SUB OUT by TECLEMARIAM,MUSSIE",2
12:58,,,,,"SUB IN by DEBOER,CHARLIE",,,"SUB IN by DEBOER,CHARLIE",2
12:58,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
12:58,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
12:58,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
12:58,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
12:47,"TURNOVER  by STEPHEN,SETH",,,,,,,"TURNOVER  by STEPHEN,SETH",2
12:47,,,,,"STEAL  by DEBOER,CHARLIE",,,"STEAL  by DEBOER,CHARLIE",2
12:24,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",2
12:24,,43,,62 (+19),"GOOD FT by GILLETTE,DREW",PS 43-62 (-19),,"GOOD FT by GILLETTE,DREW",2
12:24,"SUB OUT by VANBEBER ,RJ",,,,,,,"SUB OUT by VANBEBER ,RJ",2
12:24,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
12:24,,43,,63 (+20),"GOOD FT by GILLETTE,DREW",PS 43-63 (-20),,"GOOD FT by GILLETTE,DREW",2
12:08,"TURNOVER  by PHILLIPS JR,RODNEY",,,,,,,"TURNOVER  by PHILLIPS JR,RODNEY",2
12:08,,,,,"SUB OUT by PHILLIPS,TAJ",,,"SUB OUT by PHILLIPS,TAJ",2
12:08,,,,,"SUB IN by POHLAND,WILL",,,"SUB IN by POHLAND,WILL",2
11:54,,,,,"TURNOVER  by CLAUS,ZAC",,,"TURNOVER  by CLAUS,ZAC",2
11:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:54,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
11:54,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
11:39,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",2
--,,,,,"REBOUND DEF by DEBOER,CHARLIE",,,"REBOUND DEF by DEBOER,CHARLIE",2
11:20,,43,,66 (+23),"GOOD 3PTR by DEBOER,CHARLIE",PS 43-66 (-23),,"GOOD 3PTR by DEBOER,CHARLIE",2
--,,,,,"ASSIST  by CLAUS,ZAC",,,"ASSIST  by CLAUS,ZAC",2
11:14,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",2
--,"REBOUND OFF by RUCKER,CAM",,,,,,,"REBOUND OFF by RUCKER,CAM",2
11:05,,,,,"FOUL  by DEBOER,CHARLIE",,,"FOUL  by DEBOER,CHARLIE",2
11:05,"MISS FT by PHILLIPS JR,RODNEY",,,,,,,"MISS FT by PHILLIPS JR,RODNEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:05,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
11:05,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
11:05,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
11:05,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",2
11:05,"GOOD FT by PHILLIPS JR,RODNEY",44,,66 (+22),,Mill 44-66 (-22),,"GOOD FT by PHILLIPS JR,RODNEY",2
10:56,,,,,"MISS 3PTR by BAILEY,JACK",,,"MISS 3PTR by BAILEY,JACK",2
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",2
10:42,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,"REBOUND OFF by PHILLIPS JR,RODNEY",,,,,,,"REBOUND OFF by PHILLIPS JR,RODNEY",2
10:37,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",46,,66 (+20),,Mill 46-66 (-20),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",2
10:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:37,,,,,"SUB OUT by BAILEY,JACK",,,"SUB OUT by BAILEY,JACK",2
10:37,,,,,"SUB IN by ERICKSON,GRANT",,,"SUB IN by ERICKSON,GRANT",2
10:37,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
10:37,"SUB IN by VANBEBER ,RJ",,,,,,,"SUB IN by VANBEBER ,RJ",2
10:18,,,,,"MISS 3PTR by DEBOER,CHARLIE",,,"MISS 3PTR by DEBOER,CHARLIE",2
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",2
10:02,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",2
10:02,,,,,"STEAL  by DEBOER,CHARLIE",,,"STEAL  by DEBOER,CHARLIE",2
09:56,,,,,"MISS LAYUP by POHLAND,WILL(in the paint)",,,"MISS LAYUP by POHLAND,WILL(in the paint)",2
09:56,"BLOCK  by WATSON,DOUG",,,,,,,"BLOCK  by WATSON,DOUG",2
09:52,,,,,"FOUL  by ERICKSON,GRANT",,,"FOUL  by ERICKSON,GRANT",2
09:52,"GOOD FT by LITTLE ,JAMES(fastbreak)",47,,66 (+19),,Mill 47-66 (-19),,"GOOD FT by LITTLE ,JAMES(fastbreak)",2
09:52,,,,,"SUB OUT by CLAUS,ZAC",,,"SUB OUT by CLAUS,ZAC",2
09:52,,,,,"SUB IN by PHILLIPS,TAJ",,,"SUB IN by PHILLIPS,TAJ",2
09:52,"GOOD FT by LITTLE ,JAMES(fastbreak)",48,,66 (+18),,Mill 48-66 (-18),,"GOOD FT by LITTLE ,JAMES(fastbreak)",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
09:41,,,,,"MISS LAYUP by PHILLIPS,TAJ(in the paint)",,,"MISS LAYUP by PHILLIPS,TAJ(in the paint)",2
--,,,,,"REBOUND OFF by ERICKSON,GRANT",,,"REBOUND OFF by ERICKSON,GRANT",2
09:37,,48,,68 (+20),"GOOD LAYUP by ERICKSON,GRANT(in the paint)",PS 48-68 (-20),,"GOOD LAYUP by ERICKSON,GRANT(in the paint)",2
09:23,,,,,"FOUL  by DEBOER,CHARLIE",,,"FOUL  by DEBOER,CHARLIE",2
09:23,"GOOD FT by VANBEBER ,RJ",49,,68 (+19),,Mill 49-68 (-19),,"GOOD FT by VANBEBER ,RJ",2
09:23,,,,,"SUB OUT by GILLETTE,DREW",,,"SUB OUT by GILLETTE,DREW",2
09:23,,,,,"SUB OUT by POHLAND,WILL",,,"SUB OUT by POHLAND,WILL",2
09:23,,,,,"SUB IN by TECLEMARIAM,MUSSIE",,,"SUB IN by TECLEMARIAM,MUSSIE",2
09:23,,,,,"SUB IN by RUTTLEDGE,LIAM",,,"SUB IN by RUTTLEDGE,LIAM",2
09:23,"GOOD FT by VANBEBER ,RJ",50,,68 (+18),,Mill 50-68 (-18),,"GOOD FT by VANBEBER ,RJ",2
09:23,"SUB OUT by VANBEBER ,RJ",,,,,,,"SUB OUT by VANBEBER ,RJ",2
09:23,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
09:08,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",2
09:03,,,,,"MISS JUMPER by PHILLIPS,TAJ(in the paint)",,,"MISS JUMPER by PHILLIPS,TAJ(in the paint)",2
09:03,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",2
--,"REBOUND DEF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",2
09:00,,,,,"FOUL  by ERICKSON,GRANT",,,"FOUL  by ERICKSON,GRANT",2
09:00,,,,,"SUB OUT by ERICKSON,GRANT",,,"SUB OUT by ERICKSON,GRANT",2
09:00,,,,,"SUB IN by POHLAND,WILL",,,"SUB IN by POHLAND,WILL",2
09:00,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
09:00,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
09:00,"GOOD FT by UGHOVWA,NICHOLAS(fastbreak)",51,,68 (+17),,Mill 51-68 (-17),,"GOOD FT by UGHOVWA,NICHOLAS(fastbreak)",2
09:00,"MISS FT by UGHOVWA,NICHOLAS(fastbreak)",,,,,,,"MISS FT by UGHOVWA,NICHOLAS(fastbreak)",2
--,"REBOUND OFF by LITTLE ,JAMES",,,,,,,"REBOUND OFF by LITTLE ,JAMES",2
08:53,"GOOD JUMPER by LITTLE ,JAMES",53,,68 (+15),,Mill 53-68 (-15),,"GOOD JUMPER by LITTLE ,JAMES",2
08:45,,53,,71 (+18),"GOOD 3PTR by POHLAND,WILL(fastbreak)",PS 53-71 (-18),,"GOOD 3PTR by POHLAND,WILL(fastbreak)",2
--,,,,,"ASSIST  by DEBOER,CHARLIE",,,"ASSIST  by DEBOER,CHARLIE",2
08:37,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
08:37,,,,,"SUB OUT by DEBOER,CHARLIE",,,"SUB OUT by DEBOER,CHARLIE",2
08:37,,,,,"SUB IN by BAILEY,JACK",,,"SUB IN by BAILEY,JACK",2
08:30,,,,,"TURNOVER  by TECLEMARIAM,MUSSIE",,,"TURNOVER  by TECLEMARIAM,MUSSIE",2
08:30,"STEAL  by LITTLE ,JAMES",,,,,,,"STEAL  by LITTLE ,JAMES",2
08:22,"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",55,,71 (+16),,Mill 55-71 (-16),,"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",2
08:13,,,,,"MISS 3PTR by POHLAND,WILL",,,"MISS 3PTR by POHLAND,WILL",2
--,,,,,"REBOUND OFF by RUTTLEDGE,LIAM",,,"REBOUND OFF by RUTTLEDGE,LIAM",2
08:10,,,,,"TURNOVER  by RUTTLEDGE,LIAM",,,"TURNOVER  by RUTTLEDGE,LIAM",2
08:10,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
08:10,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
08:10,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
08:10,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
07:52,"GOOD JUMPER by PHILLIPS JR,RODNEY(in the paint)",57,,71 (+14),,Mill 57-71 (-14),,"GOOD JUMPER by PHILLIPS JR,RODNEY(in the paint)",2
07:28,,57,,73 (+16),"GOOD JUMPER by TECLEMARIAM,MUSSIE(in the paint)",PS 57-73 (-16),,"GOOD JUMPER by TECLEMARIAM,MUSSIE(in the paint)",2
07:20,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",2
--,,,,,"REBOUND DEF by PHILLIPS,TAJ",,,"REBOUND DEF by PHILLIPS,TAJ",2
07:01,"FOUL  by LITTLE ,JAMES",,,,,,,"FOUL  by LITTLE ,JAMES",2
07:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:01,,,,,"SUB OUT by PHILLIPS,TAJ",,,"SUB OUT by PHILLIPS,TAJ",2
07:01,,,,,"SUB IN by CLAUS,ZAC",,,"SUB IN by CLAUS,ZAC",2
07:01,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
07:01,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",2
07:01,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
07:01,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
06:39,,,,,"MISS JUMPER by BAILEY,JACK",,,"MISS JUMPER by BAILEY,JACK",2
--,,,,,"REBOUND OFF by POHLAND,WILL",,,"REBOUND OFF by POHLAND,WILL",2
06:29,,,,,"TURNOVER  by BAILEY,JACK",,,"TURNOVER  by BAILEY,JACK",2
06:29,"STEAL  by HOGAN,TJ",,,,,,,"STEAL  by HOGAN,TJ",2
06:24,"GOOD JUMPER by HOGAN,TJ",59,,73 (+14),,Mill 59-73 (-14),,"GOOD JUMPER by HOGAN,TJ",2
06:18,,,,,"TURNOVER  by BAILEY,JACK",,,"TURNOVER  by BAILEY,JACK",2
06:18,"STEAL  by WATSON,DOUG",,,,,,,"STEAL  by WATSON,DOUG",2
06:08,,,,,"FOUL  by POHLAND,WILL",,,"FOUL  by POHLAND,WILL",2
06:08,,,,,"TURNOVER  by POHLAND,WILL",,,"TURNOVER  by POHLAND,WILL",2
06:08,"GOOD JUMPER by WATSON,DOUG",61,,73 (+12),,Mill 61-73 (-12),,"GOOD JUMPER by WATSON,DOUG",2
06:05,,,,,"SUB OUT by CLAUS,ZAC",,,"SUB OUT by CLAUS,ZAC",2
06:05,,,,,"SUB OUT by BAILEY,JACK",,,"SUB OUT by BAILEY,JACK",2
06:05,,,,,"SUB IN by ERICKSON,GRANT",,,"SUB IN by ERICKSON,GRANT",2
06:05,,,,,"SUB IN by PHILLIPS,TAJ",,,"SUB IN by PHILLIPS,TAJ",2
06:05,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
06:05,"SUB IN by VANBEBER ,RJ",,,,,,,"SUB IN by VANBEBER ,RJ",2
05:29,"GOOD JUMPER by HOGAN,TJ(in the paint)",63,,73 (+10),,Mill 63-73 (-10),,"GOOD JUMPER by HOGAN,TJ(in the paint)",2
05:24,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
05:11,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
05:11,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
05:11,"SUB OUT by VANBEBER ,RJ",,,,,,,"SUB OUT by VANBEBER ,RJ",2
05:11,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
05:11,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",2
05:05,,63,,76 (+13),"GOOD 3PTR by TECLEMARIAM,MUSSIE",PS 63-76 (-13),,"GOOD 3PTR by TECLEMARIAM,MUSSIE",2
--,,,,,"ASSIST  by PHILLIPS,TAJ",,,"ASSIST  by PHILLIPS,TAJ",2
04:54,"GOOD JUMPER by URSIN,AARON(in the paint)",65,,76 (+11),,Mill 65-76 (-11),,"GOOD JUMPER by URSIN,AARON(in the paint)",2
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",2
04:36,,,,,"MISS JUMPER by PHILLIPS,TAJ(in the paint)",,,"MISS JUMPER by PHILLIPS,TAJ(in the paint)",2
--,,,,,"REBOUND OFF by TECLEMARIAM,MUSSIE",,,"REBOUND OFF by TECLEMARIAM,MUSSIE",2
04:31,,,,,"TURNOVER  by RUTTLEDGE,LIAM",,,"TURNOVER  by RUTTLEDGE,LIAM",2
04:31,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
04:31,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
04:16,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",67,,76 (+9),,Mill 67-76 (-9),,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",2
03:59,,67,,79 (+12),"GOOD 3PTR by RUTTLEDGE,LIAM",PS 67-79 (-12),,"GOOD 3PTR by RUTTLEDGE,LIAM",2
--,,,,,"ASSIST  by ERICKSON,GRANT",,,"ASSIST  by ERICKSON,GRANT",2
