Time Remaining,LC,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:49,"FOUL  by BROWN,BRANTHONY",,,,,,,"FOUL  by BROWN,BRANTHONY",1
19:31,,,,,"MISS JUMPER by BUSH,RODREEKAS(in the paint)",,,"MISS JUMPER by BUSH,RODREEKAS(in the paint)",1
--,"REBOUND DEF by BROWN,BRANTHONY",,,,,,,"REBOUND DEF by BROWN,BRANTHONY",1
19:10,"MISS JUMPER by JOHNSON,DELOR",,,,,,,"MISS JUMPER by JOHNSON,DELOR",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
19:00,,,,,"MISS 3PTR by ROTH,DREW",,,"MISS 3PTR by ROTH,DREW",1
--,"REBOUND DEF by JOHNSON,DELOR",,,,,,,"REBOUND DEF by JOHNSON,DELOR",1
18:38,"MISS 3PTR by SMITH,GARY",,,,,,,"MISS 3PTR by SMITH,GARY",1
--,"REBOUND OFF by BROWN,BRANTHONY",,,,,,,"REBOUND OFF by BROWN,BRANTHONY",1
18:27,"MISS LAYUP by BROWN,BRANTHONY(in the paint)",,,,,,,"MISS LAYUP by BROWN,BRANTHONY(in the paint)",1
--,,,,,"REBOUND DEF by ROTH,DREW",,,"REBOUND DEF by ROTH,DREW",1
18:17,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by JOHNSON,DELOR",,,,,,,"REBOUND DEF by JOHNSON,DELOR",1
17:58,"GOOD JUMPER by JOHNSON,DELOR(in the paint)",2 (+2),,0,,LC 2-0 (-2),,"GOOD JUMPER by JOHNSON,DELOR(in the paint)",1
17:23,,,,,"TURNOVER  by ROTH,DREW",,,"TURNOVER  by ROTH,DREW",1
17:23,"STEAL  by BROWN,BRANTHONY",,,,,,,"STEAL  by BROWN,BRANTHONY",1
17:13,"GOOD 3PTR by BILBO,K.J.",5 (+5),,0,,LC 5-0 (-5),,"GOOD 3PTR by BILBO,K.J.",1
16:55,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:42,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
16:42,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",1
16:42,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
16:42,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
16:37,"TURNOVER  by JOHNSON,DELOR",,,,,,,"TURNOVER  by JOHNSON,DELOR",1
16:36,"SUB OUT by JOHNSON,KOBI",,,,,,,"SUB OUT by JOHNSON,KOBI",1
16:36,"SUB IN by DEJEAN,KONNOR",,,,,,,"SUB IN by DEJEAN,KONNOR",1
16:23,,5 (+2),,3,"GOOD 3PTR by BUSH,RODREEKAS",Mill 5-3 (-2),,"GOOD 3PTR by BUSH,RODREEKAS",1
--,,,,,"ASSIST  by PHILLIPS JR,RODNEY",,,"ASSIST  by PHILLIPS JR,RODNEY",1
16:10,"MISS 3PTR by BILBO,K.J.",,,,,,,"MISS 3PTR by BILBO,K.J.",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:04,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
16:04,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
15:53,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",1
15:53,"STEAL  by JOHNSON,DELOR",,,,,,,"STEAL  by JOHNSON,DELOR",1
15:35,"GOOD JUMPER by JOHNSON,DELOR",7 (+4),,3,,LC 7-3 (-4),,"GOOD JUMPER by JOHNSON,DELOR",1
--,"ASSIST  by DEJEAN,KONNOR",,,,,,,"ASSIST  by DEJEAN,KONNOR",1
