Time Remaining,WEBSTR,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:39,"MISS JUMPER by MOORE,KARL",,,,,,,"MISS JUMPER by MOORE,KARL",1
--,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
19:14,"FOUL  by MOORE,KARL",,,,,,,"FOUL  by MOORE,KARL",1
19:14,,,,,"MISS FT by URSIN,AARON",,,"MISS FT by URSIN,AARON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:14,,0,,1 (+1),"GOOD FT by URSIN,AARON",Mill 0-1 (+1),,"GOOD FT by URSIN,AARON",1
19:00,"GOOD JUMPER by BROWN JR.,WYNNE",2 (+1),,1,,WEBSTR 2-1 (-1),,"GOOD JUMPER by BROWN JR.,WYNNE",1
18:46,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",1
18:46,"STEAL  by BROWN JR.,WYNNE",,,,,,,"STEAL  by BROWN JR.,WYNNE",1
18:27,"GOOD JUMPER by BECTON,MARKUS(in the paint)",4 (+3),,1,,WEBSTR 4-1 (-3),,"GOOD JUMPER by BECTON,MARKUS(in the paint)",1
18:12,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",,,"TURNOVER  by UGHOVWA,NICHOLAS",1
18:00,"MISS JUMPER by SYKES II,JEMARD",,,,,,,"MISS JUMPER by SYKES II,JEMARD",1
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",1
17:50,,,,,"MISS LAYUP by UGHOVWA,NICHOLAS(in the paint)",,,"MISS LAYUP by UGHOVWA,NICHOLAS(in the paint)",1
--,,,,,"REBOUND OFF by URSIN,AARON",,,"REBOUND OFF by URSIN,AARON",1
17:46,"FOUL  by BECTON,MARKUS",,,,,,,"FOUL  by BECTON,MARKUS",1
17:46,,4 (+2),,2,"GOOD FT by URSIN,AARON",Mill 4-2 (-2),,"GOOD FT by URSIN,AARON",1
17:46,,4 (+1),,3,"GOOD FT by URSIN,AARON",Mill 4-3 (-1),,"GOOD FT by URSIN,AARON",1
