Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,HUNTINGD,Game Score,Team Indicator,Play,Period
19:49,,,,,"TURNOVER  by GARDNER,MAX",,,"TURNOVER  by GARDNER,MAX",1
19:43,"STEAL  by UGHOVWA,NICHOLAS",,,,,,,"STEAL  by UGHOVWA,NICHOLAS",1
19:37,"MISS LAYUP by URSIN,AARON",,,,,,,"MISS LAYUP by URSIN,AARON",1
--,,,,,"REBOUND DEF by GOOLESBY,TATE",,,"REBOUND DEF by GOOLESBY,TATE",1
19:20,,,,,"MISS LAYUP by GARDNER,MAX",,,"MISS LAYUP by GARDNER,MAX",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
19:11,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:50,"GOOD 3PTR by BUSH,RODREEKAS",3 (+3),,0,,MILLSAPS 3-0 (+3),,"GOOD 3PTR by BUSH,RODREEKAS",1
18:34,,,,,"MISS LAYUP by GOOLESBY,TATE",,,"MISS LAYUP by GOOLESBY,TATE",1
--,"REBOUND DEF by HOGAN,TJ",,,,,,,"REBOUND DEF by HOGAN,TJ",1
18:27,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",1
18:13,,3,,3,"GOOD 3PTR by GOOLESBY,TATE",HUNTINGD 3-3 (0),,"GOOD 3PTR by GOOLESBY,TATE",1
17:52,,,,,"FOUL  by GOOLESBY,TATE",,,"FOUL  by GOOLESBY,TATE",1
17:38,"GOOD LAYUP by URSIN,AARON(in the paint)",5 (+2),,3,,MILLSAPS 5-3 (+2),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
17:14,,,,,"MISS LAYUP by GOOLESBY,TATE",,,"MISS LAYUP by GOOLESBY,TATE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:10,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
17:10,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
17:10,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
17:10,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
17:08,"MISS LAYUP by BUSH,RODREEKAS",,,,,,,"MISS LAYUP by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by HAWKINS,DAQUAN",,,"REBOUND DEF by HAWKINS,DAQUAN",1
16:57,,,,,"TURNOVER  by GARDNER,MAX",,,"TURNOVER  by GARDNER,MAX",1
16:54,"STEAL  by ROTH,DREW",,,,,,,"STEAL  by ROTH,DREW",1
16:50,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
16:33,,,,,"TURNOVER  by JOHNS,NATE",,,"TURNOVER  by JOHNS,NATE",1
16:33,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
16:33,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
15:57,,,,,"FOUL  by JOHNS,NATE",,,"FOUL  by JOHNS,NATE",1
15:57,"GOOD FT by WATSON,DOUG",6 (+3),,3,,MILLSAPS 6-3 (+3),,"GOOD FT by WATSON,DOUG",1
15:57,"GOOD FT by WATSON,DOUG",7 (+4),,3,,MILLSAPS 7-3 (+4),,"GOOD FT by WATSON,DOUG",1
15:57,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
15:57,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
15:55,,7 (+2),,5,"GOOD LAYUP by JOHNS,NATE(in the paint)",HUNTINGD 7-5 (+2),,"GOOD LAYUP by JOHNS,NATE(in the paint)",1
15:45,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by JOHNS,NATE",,,"REBOUND DEF by JOHNS,NATE",1
15:32,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",1
15:32,,,,,"SUB IN by LINVILLE,AUSTIN",,,"SUB IN by LINVILLE,AUSTIN",1
15:32,,,,,"SUB IN by AUSTIN,JERMEY",,,"SUB IN by AUSTIN,JERMEY",1
15:32,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",1
15:32,,,,,"SUB OUT by HAWKINS,DAQUAN",,,"SUB OUT by HAWKINS,DAQUAN",1
15:06,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
15:06,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
15:06,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
15:06,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
14:59,,7,,8 (+1),"GOOD 3PTR by PAGE,SAM",HUNTINGD 7-8 (-1),,"GOOD 3PTR by PAGE,SAM",1
14:51,"GOOD LAYUP by GORTON,MACK(in the paint)",9 (+1),,8,,MILLSAPS 9-8 (+1),,"GOOD LAYUP by GORTON,MACK(in the paint)",1
14:36,,,,,"MISS 3PTR by GOOLESBY,TATE",,,"MISS 3PTR by GOOLESBY,TATE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:14,,,,,"SUB IN by MURPHY,MYLES",,,"SUB IN by MURPHY,MYLES",1
14:14,,,,,"SUB IN by DUMAS,CHASE",,,"SUB IN by DUMAS,CHASE",1
14:14,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
14:14,,,,,"SUB OUT by GOOLESBY,TATE",,,"SUB OUT by GOOLESBY,TATE",1
14:07,"GOOD 3PTR by RUCKER,CAM",12 (+4),,8,,MILLSAPS 12-8 (+4),,"GOOD 3PTR by RUCKER,CAM",1
14:00,,12 (+2),,10,"GOOD LAYUP by GARDNER,MAX(in the paint)",HUNTINGD 12-10 (+2),,"GOOD LAYUP by GARDNER,MAX(in the paint)",1
13:39,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
13:26,,,,,"FOUL  by MURPHY,MYLES",,,"FOUL  by MURPHY,MYLES",1
13:26,"SUB IN by JR,RODNEY PHILLIPS",,,,,,,"SUB IN by JR,RODNEY PHILLIPS",1
13:26,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
13:20,,,,,"FOUL  by DUMAS,CHASE",,,"FOUL  by DUMAS,CHASE",1
13:18,"GOOD FT by JR,RODNEY PHILLIPS",13 (+3),,10,,MILLSAPS 13-10 (+3),,"GOOD FT by JR,RODNEY PHILLIPS",1
13:07,"MISS FT by JR,RODNEY PHILLIPS",,,,,,,"MISS FT by JR,RODNEY PHILLIPS",1
--,,,,,"REBOUND DEF by DUMAS,CHASE",,,"REBOUND DEF by DUMAS,CHASE",1
13:07,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
13:07,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
13:01,,,,,"MISS 3PTR by AUSTIN,JERMEY",,,"MISS 3PTR by AUSTIN,JERMEY",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
12:46,,,,,"STEAL  by MURPHY,MYLES",,,"STEAL  by MURPHY,MYLES",1
12:42,,,,,"MISS 3PTR by LINVILLE,AUSTIN",,,"MISS 3PTR by LINVILLE,AUSTIN",1
--,,,,,"REBOUND OFF by MURPHY,MYLES",,,"REBOUND OFF by MURPHY,MYLES",1
12:37,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",1
12:06,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
12:06,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
12:06,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
12:06,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
12:06,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
12:06,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
12:02,,,,,"MISS LAYUP by DUMAS,CHASE",,,"MISS LAYUP by DUMAS,CHASE",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
11:52,"GOOD LAYUP by BUSH,RODREEKAS(in the paint)",15 (+5),,10,,MILLSAPS 15-10 (+5),,"GOOD LAYUP by BUSH,RODREEKAS(in the paint)",1
11:37,,,,,"MISS 3PTR by LINVILLE,AUSTIN",,,"MISS 3PTR by LINVILLE,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:33,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
11:33,,,,,"SUB IN by JOHNS,NATE",,,"SUB IN by JOHNS,NATE",1
11:33,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",1
11:33,,,,,"SUB IN by BOONE,CALEB",,,"SUB IN by BOONE,CALEB",1
11:33,,,,,"SUB IN by HAWKINS,DAQUAN",,,"SUB IN by HAWKINS,DAQUAN",1
11:33,,,,,"SUB OUT by LINVILLE,AUSTIN",,,"SUB OUT by LINVILLE,AUSTIN",1
11:33,,,,,"SUB OUT by DUMAS,CHASE",,,"SUB OUT by DUMAS,CHASE",1
11:33,,,,,"SUB OUT by AUSTIN,JERMEY",,,"SUB OUT by AUSTIN,JERMEY",1
11:33,,,,,"SUB OUT by GARDNER,MAX",,,"SUB OUT by GARDNER,MAX",1
11:30,,,,,"TURNOVER  by PAGE,SAM",,,"TURNOVER  by PAGE,SAM",1
11:28,"STEAL  by GASCA,DAKOTA",,,,,,,"STEAL  by GASCA,DAKOTA",1
11:26,"MISS LAYUP by GASCA,DAKOTA",,,,,,,"MISS LAYUP by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by BOONE,CALEB",,,"REBOUND DEF by BOONE,CALEB",1
11:19,,,,,"MISS 3PTR by JOHNS,NATE",,,"MISS 3PTR by JOHNS,NATE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:54,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
10:45,"FOUL  by JR,RODNEY PHILLIPS",,,,,,,"FOUL  by JR,RODNEY PHILLIPS",1
10:33,,15 (+2),,13,"GOOD 3PTR by LINVILLE,AUSTIN",HUNTINGD 15-13 (+2),,"GOOD 3PTR by LINVILLE,AUSTIN",1
--,,,,,"ASSIST  by BOONE,CALEB",,,"ASSIST  by BOONE,CALEB",1
10:15,"MISS JUMPER by URSIN,AARON",,,,,,,"MISS JUMPER by URSIN,AARON",1
--,,,,,"REBOUND DEF by MURPHY,MYLES",,,"REBOUND DEF by MURPHY,MYLES",1
10:08,,15,,15,"GOOD LAYUP by MURPHY,MYLES(in the paint)",HUNTINGD 15-15 (0),,"GOOD LAYUP by MURPHY,MYLES(in the paint)",1
09:56,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by HAWKINS,DAQUAN",,,"REBOUND DEF by HAWKINS,DAQUAN",1
09:41,,15,,17 (+2),"GOOD DUNK by JOHNS,NATE(in the paint)",HUNTINGD 15-17 (-2),,"GOOD DUNK by JOHNS,NATE(in the paint)",1
