Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
15:11,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:11,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",1
--,,,,,"REBOUND OFF by MCDONOUGH,SEAN",,,"REBOUND OFF by MCDONOUGH,SEAN",1
15:11,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",1
15:11,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
15:07,,,,,"MISS 3PTR by STARR,RYAN",,,"MISS 3PTR by STARR,RYAN",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
14:54,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
14:37,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
14:37,"SUB OUT by PELT,JUSTIN VAN",,,,,,,"SUB OUT by PELT,JUSTIN VAN",1
14:37,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
14:37,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
14:29,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",1
14:27,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",1
14:19,"GOOD JUMPER by MCLAURIN,RYAN",13 (+9),,4,,MIL 13-4 (-9),,"GOOD JUMPER by MCLAURIN,RYAN",1
13:52,,,,,"MISS LAYUP by GARWOOD,MACKIE",,,"MISS LAYUP by GARWOOD,MACKIE",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
13:40,,,,,"FOUL  by GARWOOD,MACKIE",,,"FOUL  by GARWOOD,MACKIE",1
13:40,"MISS FT by JENKINS,KALEB",,,,,,,"MISS FT by JENKINS,KALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:40,"GOOD FT by JENKINS,KALEB",14 (+10),,4,,MIL 14-4 (-10),,"GOOD FT by JENKINS,KALEB",1
13:40,"GOOD FT by JENKINS,KALEB",15 (+11),,4,,MIL 15-4 (-11),,"GOOD FT by JENKINS,KALEB",1
13:40,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",1
13:40,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",1
13:28,,,,,"MISS JUMPER by STARR,RYAN",,,"MISS JUMPER by STARR,RYAN",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
13:18,,,,,"FOUL  by STARR,RYAN",,,"FOUL  by STARR,RYAN",1
13:18,,,,,"FOUL  by STARR,RYAN",,,"FOUL  by STARR,RYAN",1
13:18,,,,,"FOUL TECH by STARR,RYAN",,,"FOUL TECH by STARR,RYAN",1
13:18,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",1
13:18,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",1
13:17,"MISS FT by MCLAURIN,RYAN",,,,,,,"MISS FT by MCLAURIN,RYAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:15,"GOOD FT by MCLAURIN,RYAN",16 (+12),,4,,MIL 16-4 (-12),,"GOOD FT by MCLAURIN,RYAN",1
13:15,"GOOD FT by JENKINS,KALEB",17 (+13),,4,,MIL 17-4 (-13),,"GOOD FT by JENKINS,KALEB",1
13:15,"GOOD FT by JENKINS,KALEB",18 (+14),,4,,MIL 18-4 (-14),,"GOOD FT by JENKINS,KALEB",1
13:07,,18 (+11),,7,"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 18-7 (-11),,"GOOD 3PTR by WARLICK,JORDAN",1
--,,,,,"ASSIST  by CRUMLY,JONNY",,,"ASSIST  by CRUMLY,JONNY",1
13:00,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
12:59,,,,,"STEAL  by MCDONOUGH,SEAN",,,"STEAL  by MCDONOUGH,SEAN",1
12:56,,18 (+9),,9,"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",SEWANEE 18-9 (-9),,"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",1
12:34,"GOOD 3PTR by JENKINS,KALEB",21 (+12),,9,,MIL 21-9 (-12),,"GOOD 3PTR by JENKINS,KALEB",1
12:12,,,,,"TURNOVER  by GARWOOD,MACKIE",,,"TURNOVER  by GARWOOD,MACKIE",1
12:12,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
12:12,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
12:05,"GOOD 3PTR by GRANT,SHE'CHEM",24 (+15),,9,,MIL 24-9 (-15),,"GOOD 3PTR by GRANT,SHE'CHEM",1
11:47,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",1
11:47,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:47,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
11:47,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
11:47,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
11:47,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
11:39,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
11:23,"MISS JUMPER by SPIKES,KALVIN",,,,,,,"MISS JUMPER by SPIKES,KALVIN",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
11:19,"MISS LAYUP by TULLOS,ZACHARY",,,,,,,"MISS LAYUP by TULLOS,ZACHARY",1
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",1
10:56,,,,,"MISS LAYUP by WARLICK,JORDAN",,,"MISS LAYUP by WARLICK,JORDAN",1
--,,,,,"REBOUND OFF by THOMAS,ADRIAN",,,"REBOUND OFF by THOMAS,ADRIAN",1
10:54,,24 (+13),,11,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",SEWANEE 24-11 (-13),,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",1
10:34,"TURNOVER  by MCLAURIN,RYAN",,,,,,,"TURNOVER  by MCLAURIN,RYAN",1
10:33,,,,,"STEAL  by KNOX,JOEY",,,"STEAL  by KNOX,JOEY",1
10:26,,24 (+11),,13,"GOOD LAYUP by GARWOOD,MACKIE(in the paint)",SEWANEE 24-13 (-11),,"GOOD LAYUP by GARWOOD,MACKIE(in the paint)",1
10:05,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
10:05,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
10:05,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",1
10:05,"SUB IN by HUGHES,ANTHONY",,,,,,,"SUB IN by HUGHES,ANTHONY",1
10:05,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
10:05,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",1
10:05,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
10:05,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
09:52,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
09:46,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
09:44,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",26 (+13),,13,,MIL 26-13 (-13),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
09:30,,26 (+11),,15,"GOOD LAYUP by MCDONOUGH,SEAN(in the paint)",SEWANEE 26-15 (-11),,"GOOD LAYUP by MCDONOUGH,SEAN(in the paint)",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
09:19,"FOUL  by HUGHES,ANTHONY",,,,,,,"FOUL  by HUGHES,ANTHONY",1
09:19,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
