Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
12:31,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
12:31,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
12:31,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
12:31,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
12:31,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
12:31,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
11:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:44,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
11:44,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
11:44,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
11:44,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
11:43,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
11:43,,11,,16 (+5),"GOOD FT by BATES,JACOB",Centre 11-16 (-5),,"GOOD FT by BATES,JACOB",1
11:43,,11,,17 (+6),"GOOD FT by BATES,JACOB",Centre 11-17 (-6),,"GOOD FT by BATES,JACOB",1
11:43,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
11:43,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
11:43,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
11:43,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
11:43,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
11:43,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",1
11:43,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
11:43,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
11:43,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
11:43,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
11:19,"GOOD LAYUP by CRUMLY,JONNY(in the paint)",13,,17 (+4),,Sewan 13-17 (-4),,"GOOD LAYUP by CRUMLY,JONNY(in the paint)",1
10:48,"FOUL  by MCDONOUGH,SEAN",,,,,,,"FOUL  by MCDONOUGH,SEAN",1
10:48,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
10:48,"MISS LAYUP by KNOX,JOEY",,,,,,,"MISS LAYUP by KNOX,JOEY",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
10:48,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
