Time Remaining,E&HM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,"ASSIST  by HOLLIDAY,ROBERT",,,,,,,"ASSIST  by HOLLIDAY,ROBERT",2
18:11,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",2
--,"REBOUND DEF by HOLLIDAY,ROBERT",,,,,,,"REBOUND DEF by HOLLIDAY,ROBERT",2
18:03,"MISS 3PTR by CATRON,DYLAN",,,,,,,"MISS 3PTR by CATRON,DYLAN",2
--,"REBOUND OFF by WILLIAMS,ANTHONY",,,,,,,"REBOUND OFF by WILLIAMS,ANTHONY",2
17:59,"MISS JUMPER by WILLIAMS,ANTHONY",,,,,,,"MISS JUMPER by WILLIAMS,ANTHONY",2
--,"REBOUND OFF by CATRON,DYLAN",,,,,,,"REBOUND OFF by CATRON,DYLAN",2
17:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
17:54,"MISS 3PTR by BANKS,MICAH",,,,,,,"MISS 3PTR by BANKS,MICAH",2
--,,,,,"REBOUND DEF by BARRY,MICHAEL",,,"REBOUND DEF by BARRY,MICHAEL",2
17:44,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",2
17:44,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",2
17:37,"FOUL  by CATRON,DYLAN",,,,,,,"FOUL  by CATRON,DYLAN",2
17:30,,26,,40 (+14),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 26-40 (+14),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
17:26,"TURNOVER  by CATRON,DYLAN",,,,,,,"TURNOVER  by CATRON,DYLAN",2
17:25,,,,,"STEAL  by STARR,RYAN",,,"STEAL  by STARR,RYAN",2
17:23,,,,,"MISS LAYUP by STARR,RYAN",,,"MISS LAYUP by STARR,RYAN",2
--,"REBOUND DEF by MOLDEN,COLIN",,,,,,,"REBOUND DEF by MOLDEN,COLIN",2
17:10,"MISS 3PTR by MOLDEN,COLIN",,,,,,,"MISS 3PTR by MOLDEN,COLIN",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
17:02,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",2
--,"REBOUND DEF by HOLLIDAY,ROBERT",,,,,,,"REBOUND DEF by HOLLIDAY,ROBERT",2
16:56,"MISS JUMPER by HOLLIDAY,ROBERT",,,,,,,"MISS JUMPER by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
16:29,,26,,42 (+16),"GOOD LAYUP by KNOX,JOEY(in the paint)",SEWANEE 26-42 (+16),,"GOOD LAYUP by KNOX,JOEY(in the paint)",2
16:15,"MISS JUMPER by MOLDEN,COLIN",,,,,,,"MISS JUMPER by MOLDEN,COLIN",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
15:55,,26,,44 (+18),"GOOD LAYUP by STARR,RYAN(in the paint)",SEWANEE 26-44 (+18),,"GOOD LAYUP by STARR,RYAN(in the paint)",2
15:38,"MISS JUMPER by HOLLIDAY,ROBERT",,,,,,,"MISS JUMPER by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by MCDONOUGH,SEAN",,,"REBOUND DEF by MCDONOUGH,SEAN",2
15:23,,26,,46 (+20),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 26-46 (+20),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,,,,,"ASSIST  by KNOX,JOEY",,,"ASSIST  by KNOX,JOEY",2
14:59,"MISS LAYUP by HOLLIDAY,ROBERT",,,,,,,"MISS LAYUP by HOLLIDAY,ROBERT",2
--,"REBOUND OFF by CATRON,DYLAN",,,,,,,"REBOUND OFF by CATRON,DYLAN",2
14:57,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",2
14:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
14:57,"GOOD FT by CATRON,DYLAN",27,,46 (+19),,E&HM 27-46 (+19),,"GOOD FT by CATRON,DYLAN",2
14:57,"GOOD FT by CATRON,DYLAN",28,,46 (+18),,E&HM 28-46 (+18),,"GOOD FT by CATRON,DYLAN",2
14:57,"SUB IN by SWANN,CHRIS",,,,,,,"SUB IN by SWANN,CHRIS",2
14:57,"SUB IN by MORGAN,MALCOLM",,,,,,,"SUB IN by MORGAN,MALCOLM",2
14:57,"SUB OUT by CATRON,DYLAN",,,,,,,"SUB OUT by CATRON,DYLAN",2
14:57,"SUB OUT by WILLIAMS,ANTHONY",,,,,,,"SUB OUT by WILLIAMS,ANTHONY",2
14:57,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",2
14:57,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",2
14:57,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",2
14:57,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",2
14:39,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",2
14:25,"GOOD 3PTR by MORGAN,MALCOLM",31,,46 (+15),,E&HM 31-46 (+15),,"GOOD 3PTR by MORGAN,MALCOLM",2
--,"ASSIST  by HOLLIDAY,ROBERT",,,,,,,"ASSIST  by HOLLIDAY,ROBERT",2
14:06,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",2
--,,,,,"REBOUND OFF by CRUMLY,JONNY",,,"REBOUND OFF by CRUMLY,JONNY",2
14:00,"FOUL  by SWANN,CHRIS",,,,,,,"FOUL  by SWANN,CHRIS",2
14:00,,,,,"SUB IN by GARWOOD,MACKIE",,,"SUB IN by GARWOOD,MACKIE",2
14:00,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",2
13:44,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",2
--,"REBOUND DEF by BANKS,MICAH",,,,,,,"REBOUND DEF by BANKS,MICAH",2
13:34,"TURNOVER  by MORGAN,MALCOLM",,,,,,,"TURNOVER  by MORGAN,MALCOLM",2
13:31,,,,,"STEAL  by GARWOOD,MACKIE",,,"STEAL  by GARWOOD,MACKIE",2
13:23,,,,,"MISS 3PTR by MCDONOUGH,SEAN",,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,"REBOUND DEF by MOLDEN,COLIN",,,,,,,"REBOUND DEF by MOLDEN,COLIN",2
13:11,"MISS 3PTR by MORGAN,MALCOLM",,,,,,,"MISS 3PTR by MORGAN,MALCOLM",2
--,,,,,"REBOUND DEF by STARR,RYAN",,,"REBOUND DEF by STARR,RYAN",2
12:54,"FOUL  by BANKS,MICAH",,,,,,,"FOUL  by BANKS,MICAH",2
12:54,,31,,47 (+16),"GOOD FT by STARR,RYAN",SEWANEE 31-47 (+16),,"GOOD FT by STARR,RYAN",2
12:54,,31,,48 (+17),"GOOD FT by STARR,RYAN",SEWANEE 31-48 (+17),,"GOOD FT by STARR,RYAN",2
12:54,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
12:54,,,,,"SUB OUT by MCDONOUGH,SEAN",,,"SUB OUT by MCDONOUGH,SEAN",2
12:47,"MISS 3PTR by HOLLIDAY,ROBERT",,,,,,,"MISS 3PTR by HOLLIDAY,ROBERT",2
--,"REBOUND OFF by SWANN,CHRIS",,,,,,,"REBOUND OFF by SWANN,CHRIS",2
12:40,"GOOD 3PTR by SWANN,CHRIS",34,,48 (+14),,E&HM 34-48 (+14),,"GOOD 3PTR by SWANN,CHRIS",2
--,"ASSIST  by MOLDEN,COLIN",,,,,,,"ASSIST  by MOLDEN,COLIN",2
12:14,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",2
--,,,,,"REBOUND OFF by GARWOOD,MACKIE",,,"REBOUND OFF by GARWOOD,MACKIE",2
12:09,,34,,51 (+17),"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 34-51 (+17),,"GOOD 3PTR by WARLICK,JORDAN",2
--,,,,,"ASSIST  by GARWOOD,MACKIE",,,"ASSIST  by GARWOOD,MACKIE",2
11:57,"GOOD JUMPER by MORGAN,MALCOLM(in the paint)",36,,51 (+15),,E&HM 36-51 (+15),,"GOOD JUMPER by MORGAN,MALCOLM(in the paint)",2
--,"ASSIST  by SWANN,CHRIS",,,,,,,"ASSIST  by SWANN,CHRIS",2
11:41,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",2
11:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:41,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",2
11:41,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",2
11:41,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",2
11:41,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",2
11:29,"GOOD JUMPER by HOLLIDAY,ROBERT(in the paint)",38,,51 (+13),,E&HM 38-51 (+13),,"GOOD JUMPER by HOLLIDAY,ROBERT(in the paint)",2
11:29,,,,,"FOUL  by GARWOOD,MACKIE",,,"FOUL  by GARWOOD,MACKIE",2
11:29,"MISS FT by HOLLIDAY,ROBERT",,,,,,,"MISS FT by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
11:29,"SUB IN by CATRON,DYLAN",,,,,,,"SUB IN by CATRON,DYLAN",2
11:29,"SUB OUT by SWANN,CHRIS",,,,,,,"SUB OUT by SWANN,CHRIS",2
11:18,,,,,"TURNOVER  by BARRY,MICHAEL",,,"TURNOVER  by BARRY,MICHAEL",2
11:17,"STEAL  by CATRON,DYLAN",,,,,,,"STEAL  by CATRON,DYLAN",2
11:07,"MISS 3PTR by HOLLIDAY,ROBERT",,,,,,,"MISS 3PTR by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
10:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:54,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",2
--,,,,,"REBOUND OFF by WARLICK,JORDAN",,,"REBOUND OFF by WARLICK,JORDAN",2
10:43,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",2
--,"REBOUND DEF by MOLDEN,COLIN",,,,,,,"REBOUND DEF by MOLDEN,COLIN",2
10:32,"MISS 3PTR by MOLDEN,COLIN",,,,,,,"MISS 3PTR by MOLDEN,COLIN",2
--,"REBOUND OFF by CATRON,DYLAN",,,,,,,"REBOUND OFF by CATRON,DYLAN",2
10:27,"MISS LAYUP by CATRON,DYLAN",,,,,,,"MISS LAYUP by CATRON,DYLAN",2
--,"REBOUND OFF by CATRON,DYLAN",,,,,,,"REBOUND OFF by CATRON,DYLAN",2
10:25,"TURNOVER  by CATRON,DYLAN",,,,,,,"TURNOVER  by CATRON,DYLAN",2
10:25,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",2
10:25,,,,,"SUB IN by STARR,RYAN",,,"SUB IN by STARR,RYAN",2
10:25,,,,,"SUB OUT by GARWOOD,MACKIE",,,"SUB OUT by GARWOOD,MACKIE",2
10:25,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",2
10:11,,,,,"MISS 3PTR by THOMAS,ADRIAN",,,"MISS 3PTR by THOMAS,ADRIAN",2
--,"REBOUND DEF by MORGAN,MALCOLM",,,,,,,"REBOUND DEF by MORGAN,MALCOLM",2
10:01,,,,,"FOUL  by KNOX,JOEY",,,"FOUL  by KNOX,JOEY",2
10:01,"GOOD FT by HOLLIDAY,ROBERT",39,,51 (+12),,E&HM 39-51 (+12),,"GOOD FT by HOLLIDAY,ROBERT",2
10:01,"GOOD FT by HOLLIDAY,ROBERT",40,,51 (+11),,E&HM 40-51 (+11),,"GOOD FT by HOLLIDAY,ROBERT",2
10:01,"SUB IN by GRANT,JORDAN",,,,,,,"SUB IN by GRANT,JORDAN",2
10:01,"SUB OUT by MORGAN,MALCOLM",,,,,,,"SUB OUT by MORGAN,MALCOLM",2
09:37,,40,,53 (+13),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 40-53 (+13),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,,,,,"ASSIST  by STARR,RYAN",,,"ASSIST  by STARR,RYAN",2
09:23,"MISS LAYUP by CATRON,DYLAN",,,,,,,"MISS LAYUP by CATRON,DYLAN",2
--,,,,,"REBOUND DEF by STARR,RYAN",,,"REBOUND DEF by STARR,RYAN",2
09:18,,40,,55 (+15),"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",SEWANEE 40-55 (+15),,"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by STARR,RYAN",,,"ASSIST  by STARR,RYAN",2
09:07,"MISS 3PTR by GRANT,JORDAN",,,,,,,"MISS 3PTR by GRANT,JORDAN",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
08:55,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",2
08:55,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",2
08:55,"SUB IN by SWANN,CHRIS",,,,,,,"SUB IN by SWANN,CHRIS",2
08:55,"SUB OUT by CATRON,DYLAN",,,,,,,"SUB OUT by CATRON,DYLAN",2
08:55,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",2
08:55,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",2
08:45,"MISS 3PTR by HOLLIDAY,ROBERT",,,,,,,"MISS 3PTR by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by STARR,RYAN",,,"REBOUND DEF by STARR,RYAN",2
08:26,"FOUL  by BANKS,MICAH",,,,,,,"FOUL  by BANKS,MICAH",2
08:13,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",2
08:12,"STEAL  by BANKS,MICAH",,,,,,,"STEAL  by BANKS,MICAH",2
08:09,"GOOD LAYUP by BANKS,MICAH(fastbreak)(in the paint)",42,,55 (+13),,E&HM 42-55 (+13),,"GOOD LAYUP by BANKS,MICAH(fastbreak)(in the paint)",2
08:08,,,,,"FOUL  by KNOX,JOEY",,,"FOUL  by KNOX,JOEY",2
08:08,"MISS FT by BANKS,MICAH",,,,,,,"MISS FT by BANKS,MICAH",2
--,,,,,"REBOUND DEF by BARRY,MICHAEL",,,"REBOUND DEF by BARRY,MICHAEL",2
08:08,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",2
08:08,,,,,"SUB IN by STARR,RYAN",,,"SUB IN by STARR,RYAN",2
08:08,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",2
08:08,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",2
08:08,,,,,"SUB OUT by MCDONOUGH,SEAN",,,"SUB OUT by MCDONOUGH,SEAN",2
08:08,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",2
07:50,"FOUL  by MOLDEN,COLIN",,,,,,,"FOUL  by MOLDEN,COLIN",2
07:50,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:50,,,,,"MISS FT by KNOX,JOEY",,,"MISS FT by KNOX,JOEY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:50,,,,,"MISS FT by KNOX,JOEY",,,"MISS FT by KNOX,JOEY",2
--,"REBOUND DEF by HOLLIDAY,ROBERT",,,,,,,"REBOUND DEF by HOLLIDAY,ROBERT",2
07:50,"SUB IN by GRAU RODRIGUEZ,KEVIN",,,,,,,"SUB IN by GRAU RODRIGUEZ,KEVIN",2
07:50,"SUB OUT by BANKS,MICAH",,,,,,,"SUB OUT by BANKS,MICAH",2
07:35,"MISS JUMPER by HOLLIDAY,ROBERT",,,,,,,"MISS JUMPER by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",2
07:13,,,,,"MISS JUMPER by KNOX,JOEY",,,"MISS JUMPER by KNOX,JOEY",2
--,"REBOUND DEF by GRANT,JORDAN",,,,,,,"REBOUND DEF by GRANT,JORDAN",2
06:53,"GOOD LAYUP by GRANT,JORDAN(in the paint)",44,,55 (+11),,E&HM 44-55 (+11),,"GOOD LAYUP by GRANT,JORDAN(in the paint)",2
06:38,,,,,"MISS 3PTR by STARR,RYAN",,,"MISS 3PTR by STARR,RYAN",2
--,,,,,"REBOUND OFF by MCDONOUGH,SEAN",,,"REBOUND OFF by MCDONOUGH,SEAN",2
06:19,,,,,"MISS 3PTR by MCDONOUGH,SEAN",,,"MISS 3PTR by MCDONOUGH,SEAN",2
--,"REBOUND DEF by HOLLIDAY,ROBERT",,,,,,,"REBOUND DEF by HOLLIDAY,ROBERT",2
06:12,"TURNOVER  by HOLLIDAY,ROBERT",,,,,,,"TURNOVER  by HOLLIDAY,ROBERT",2
06:10,,,,,"STEAL  by BARRY,MICHAEL",,,"STEAL  by BARRY,MICHAEL",2
05:55,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",2
--,"REBOUND DEF by SWANN,CHRIS",,,,,,,"REBOUND DEF by SWANN,CHRIS",2
05:55,,,,,"FOUL  by KNOX,JOEY",,,"FOUL  by KNOX,JOEY",2
05:55,"GOOD FT by GRAU RODRIGUEZ,KEVIN",45,,55 (+10),,E&HM 45-55 (+10),,"GOOD FT by GRAU RODRIGUEZ,KEVIN",2
05:55,"GOOD FT by GRAU RODRIGUEZ,KEVIN",46,,55 (+9),,E&HM 46-55 (+9),,"GOOD FT by GRAU RODRIGUEZ,KEVIN",2
05:55,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",2
05:55,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",2
05:42,"FOUL  by MOLDEN,COLIN",,,,,,,"FOUL  by MOLDEN,COLIN",2
05:42,,46,,56 (+10),"GOOD FT by MCDONOUGH,SEAN",SEWANEE 46-56 (+10),,"GOOD FT by MCDONOUGH,SEAN",2
05:42,,46,,57 (+11),"GOOD FT by MCDONOUGH,SEAN",SEWANEE 46-57 (+11),,"GOOD FT by MCDONOUGH,SEAN",2
05:25,"TURNOVER  by SWANN,CHRIS",,,,,,,"TURNOVER  by SWANN,CHRIS",2
05:24,,,,,"STEAL  by BARRY,MICHAEL",,,"STEAL  by BARRY,MICHAEL",2
05:22,,46,,59 (+13),"GOOD LAYUP by BARRY,MICHAEL(fastbreak)(in the paint)",SEWANEE 46-59 (+13),,"GOOD LAYUP by BARRY,MICHAEL(fastbreak)(in the paint)",2
05:08,"GOOD JUMPER by HOLLIDAY,ROBERT",48,,59 (+11),,E&HM 48-59 (+11),,"GOOD JUMPER by HOLLIDAY,ROBERT",2
04:53,,,,,"MISS JUMPER by STARR,RYAN",,,"MISS JUMPER by STARR,RYAN",2
04:53,"BLOCK  by SWANN,CHRIS",,,,,,,"BLOCK  by SWANN,CHRIS",2
--,,,,,"REBOUND OFF by CRUMLY,JONNY",,,"REBOUND OFF by CRUMLY,JONNY",2
04:50,"FOUL  by SWANN,CHRIS",,,,,,,"FOUL  by SWANN,CHRIS",2
04:50,,48,,60 (+12),"GOOD FT by CRUMLY,JONNY",SEWANEE 48-60 (+12),,"GOOD FT by CRUMLY,JONNY",2
04:50,,48,,61 (+13),"GOOD FT by CRUMLY,JONNY",SEWANEE 48-61 (+13),,"GOOD FT by CRUMLY,JONNY",2
04:37,"TURNOVER  by SWANN,CHRIS",,,,,,,"TURNOVER  by SWANN,CHRIS",2
04:24,,,,,"MISS JUMPER by STARR,RYAN",,,"MISS JUMPER by STARR,RYAN",2
--,"REBOUND DEF by GRAU RODRIGUEZ,KEVIN",,,,,,,"REBOUND DEF by GRAU RODRIGUEZ,KEVIN",2
04:06,"MISS 3PTR by SWANN,CHRIS",,,,,,,"MISS 3PTR by SWANN,CHRIS",2
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",2
03:41,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",2
03:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:41,"SUB IN by BANKS,MICAH",,,,,,,"SUB IN by BANKS,MICAH",2
03:41,"SUB IN by MORGAN,MALCOLM",,,,,,,"SUB IN by MORGAN,MALCOLM",2
03:41,"SUB OUT by SWANN,CHRIS",,,,,,,"SUB OUT by SWANN,CHRIS",2
03:41,"SUB OUT by GRAU RODRIGUEZ,KEVIN",,,,,,,"SUB OUT by GRAU RODRIGUEZ,KEVIN",2
03:41,,,,,"SUB IN by GARWOOD,MACKIE",,,"SUB IN by GARWOOD,MACKIE",2
03:41,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",2
03:41,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",2
03:41,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",2
03:36,"GOOD JUMPER by HOLLIDAY,ROBERT",50,,61 (+11),,E&HM 50-61 (+11),,"GOOD JUMPER by HOLLIDAY,ROBERT",2
03:20,,,,,"TURNOVER  by BARRY,MICHAEL",,,"TURNOVER  by BARRY,MICHAEL",2
03:19,"STEAL  by HOLLIDAY,ROBERT",,,,,,,"STEAL  by HOLLIDAY,ROBERT",2
03:16,"MISS 3PTR by MORGAN,MALCOLM",,,,,,,"MISS 3PTR by MORGAN,MALCOLM",2
--,,,,,"REBOUND DEF by GARWOOD,MACKIE",,,"REBOUND DEF by GARWOOD,MACKIE",2
03:06,"FOUL  by HOLLIDAY,ROBERT",,,,,,,"FOUL  by HOLLIDAY,ROBERT",2
03:06,,50,,62 (+12),"GOOD FT by GARWOOD,MACKIE",SEWANEE 50-62 (+12),,"GOOD FT by GARWOOD,MACKIE",2
03:06,,,,,"MISS FT by GARWOOD,MACKIE",,,"MISS FT by GARWOOD,MACKIE",2
--,"REBOUND DEF by HOLLIDAY,ROBERT",,,,,,,"REBOUND DEF by HOLLIDAY,ROBERT",2
02:59,"MISS JUMPER by HOLLIDAY,ROBERT",,,,,,,"MISS JUMPER by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",2
02:55,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",2
02:55,"STEAL  by HOLLIDAY,ROBERT",,,,,,,"STEAL  by HOLLIDAY,ROBERT",2
02:53,"GOOD JUMPER by MORGAN,MALCOLM(in the paint)",52,,62 (+10),,E&HM 52-62 (+10),,"GOOD JUMPER by MORGAN,MALCOLM(in the paint)",2
--,"ASSIST  by HOLLIDAY,ROBERT",,,,,,,"ASSIST  by HOLLIDAY,ROBERT",2
02:33,"FOUL  by HOLLIDAY,ROBERT",,,,,,,"FOUL  by HOLLIDAY,ROBERT",2
02:33,,,,,"MISS FT by WARLICK,JORDAN",,,"MISS FT by WARLICK,JORDAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:33,,52,,63 (+11),"GOOD FT by WARLICK,JORDAN",SEWANEE 52-63 (+11),,"GOOD FT by WARLICK,JORDAN",2
02:33,,,,,"SUB IN by STARR,RYAN",,,"SUB IN by STARR,RYAN",2
02:33,,,,,"SUB OUT by GARWOOD,MACKIE",,,"SUB OUT by GARWOOD,MACKIE",2
02:26,"TURNOVER  by MORGAN,MALCOLM",,,,,,,"TURNOVER  by MORGAN,MALCOLM",2
02:25,,,,,"STEAL  by STARR,RYAN",,,"STEAL  by STARR,RYAN",2
02:06,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",2
01:48,"GOOD LAYUP by HOLLIDAY,ROBERT(in the paint)",54,,63 (+9),,E&HM 54-63 (+9),,"GOOD LAYUP by HOLLIDAY,ROBERT(in the paint)",2
01:48,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",2
01:48,"MISS FT by HOLLIDAY,ROBERT",,,,,,,"MISS FT by HOLLIDAY,ROBERT",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
01:29,,,,,"MISS LAYUP by STARR,RYAN",,,"MISS LAYUP by STARR,RYAN",2
--,"REBOUND DEF by HOLLIDAY,ROBERT",,,,,,,"REBOUND DEF by HOLLIDAY,ROBERT",2
01:23,"GOOD LAYUP by HOLLIDAY,ROBERT(fastbreak)(in the paint)",56,,63 (+7),,E&HM 56-63 (+7),,"GOOD LAYUP by HOLLIDAY,ROBERT(fastbreak)(in the paint)",2
01:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:21,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
01:21,,,,,"SUB OUT by MCDONOUGH,SEAN",,,"SUB OUT by MCDONOUGH,SEAN",2
01:15,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",2
01:13,"STEAL  by BANKS,MICAH",,,,,,,"STEAL  by BANKS,MICAH",2
01:05,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",2
01:05,"MISS FT by HOLLIDAY,ROBERT",,,,,,,"MISS FT by HOLLIDAY,ROBERT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:05,"GOOD FT by HOLLIDAY,ROBERT",57,,63 (+6),,E&HM 57-63 (+6),,"GOOD FT by HOLLIDAY,ROBERT",2
01:03,"FOUL  by HOLLIDAY,ROBERT",,,,,,,"FOUL  by HOLLIDAY,ROBERT",2
01:03,,57,,64 (+7),"GOOD FT by KNOX,JOEY",SEWANEE 57-64 (+7),,"GOOD FT by KNOX,JOEY",2
01:03,,,,,"MISS FT by KNOX,JOEY",,,"MISS FT by KNOX,JOEY",2
--,"REBOUND DEF by MOLDEN,COLIN",,,,,,,"REBOUND DEF by MOLDEN,COLIN",2
00:52,"TURNOVER  by HOLLIDAY,ROBERT",,,,,,,"TURNOVER  by HOLLIDAY,ROBERT",2
00:49,,,,,"STEAL  by STARR,RYAN",,,"STEAL  by STARR,RYAN",2
00:42,"FOUL  by GRANT,JORDAN",,,,,,,"FOUL  by GRANT,JORDAN",2
