Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by HOBSON,CHARVEZ'",,,"ASSIST  by HOBSON,CHARVEZ'",1
16:38,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
16:38,,,,,"STEAL  by HARRIS,JAMES",,,"STEAL  by HARRIS,JAMES",1
16:31,,7,,8 (+1),"GOOD 3PTR by BOYD,CAM",Hunt 7-8 (-1),,"GOOD 3PTR by BOYD,CAM",1
--,,,,,"ASSIST  by HARRIS,JAMES",,,"ASSIST  by HARRIS,JAMES",1
16:10,"GOOD 3PTR by STARR,RYAN",10 (+2),,8,,Sewan 10-8 (+2),,"GOOD 3PTR by STARR,RYAN",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
15:48,,,,,"MISS JUMPER by HARRIS,JAMES",,,"MISS JUMPER by HARRIS,JAMES",1
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",1
15:43,,,,,"FOUL  by HOBSON,CHARVEZ'",,,"FOUL  by HOBSON,CHARVEZ'",1
15:43,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:43,"GOOD FT by WARLICK,JORDAN",11 (+3),,8,,Sewan 11-8 (+3),,"GOOD FT by WARLICK,JORDAN",1
15:43,"GOOD FT by WARLICK,JORDAN",12 (+4),,8,,Sewan 12-8 (+4),,"GOOD FT by WARLICK,JORDAN",1
15:43,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
15:43,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
15:34,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
15:34,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
15:34,,,,,"SUB IN by GOREE,LOGAN",,,"SUB IN by GOREE,LOGAN",1
15:34,,,,,SUB IN by 0,,,SUB IN by 0,1
15:34,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",1
15:34,,,,,"SUB OUT by HOBSON,CHARVEZ'",,,"SUB OUT by HOBSON,CHARVEZ'",1
15:24,,,,,"TURNOVER  by MADISON,DAMIEN",,,"TURNOVER  by MADISON,DAMIEN",1
15:24,"STEAL  by KNOX,JOEY",,,,,,,"STEAL  by KNOX,JOEY",1
15:18,"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",14 (+6),,8,,Sewan 14-8 (+6),,"GOOD LAYUP by KNOX,JOEY(fastbreak)(in the paint)",1
15:05,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,,,,,"REBOUND OFF by BOYD,CAM",,,"REBOUND OFF by BOYD,CAM",1
14:50,,,,,"TURNOVER  by SCHMITT,LUCAS",,,"TURNOVER  by SCHMITT,LUCAS",1
14:50,"STEAL  by STARR,RYAN",,,,,,,"STEAL  by STARR,RYAN",1
14:43,"MISS JUMPER by KNOX,JOEY",,,,,,,"MISS JUMPER by KNOX,JOEY",1
--,"REBOUND OFF by HOLLOWAY,JACK",,,,,,,"REBOUND OFF by HOLLOWAY,JACK",1
14:38,"MISS JUMPER by HOLLOWAY,JACK",,,,,,,"MISS JUMPER by HOLLOWAY,JACK",1
--,,,,,"REBOUND DEF by GOREE,LOGAN",,,"REBOUND DEF by GOREE,LOGAN",1
14:22,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",1
