Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
13:02,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",1
12:46,"TURNOVER  by SONE,CARLOS",,,,,,,"TURNOVER  by SONE,CARLOS",1
12:46,"SUB IN by KRIVITZKIN,TYLER",,,,,,,"SUB IN by KRIVITZKIN,TYLER",1
12:46,"SUB OUT by CHAMBERS,DIMETRI",,,,,,,"SUB OUT by CHAMBERS,DIMETRI",1
12:36,,11,,18 (+7),"GOOD 3PTR by STARR,RYAN",SEWANEE 11-18 (+7),,"GOOD 3PTR by STARR,RYAN",1
--,,,,,"ASSIST  by GARWOOD,MACKIE",,,"ASSIST  by GARWOOD,MACKIE",1
12:27,"MISS LAYUP by DAY,JUSTIN",,,,,,,"MISS LAYUP by DAY,JUSTIN",1
--,,,,,"REBOUND DEF by GARWOOD,MACKIE",,,"REBOUND DEF by GARWOOD,MACKIE",1
12:20,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",1
12:18,"STEAL  by SONE,CARLOS",,,,,,,"STEAL  by SONE,CARLOS",1
12:14,"GOOD LAYUP by SONE,CARLOS(fastbreak)(in the paint)",13,,18 (+5),,OUM 13-18 (+5),,"GOOD LAYUP by SONE,CARLOS(fastbreak)(in the paint)",1
11:57,,,,,"MISS 3PTR by STARR,RYAN",,,"MISS 3PTR by STARR,RYAN",1
--,"REBOUND DEF by FOSTER,LANE",,,,,,,"REBOUND DEF by FOSTER,LANE",1
11:47,"MISS LAYUP by FOSTER,LANE",,,,,,,"MISS LAYUP by FOSTER,LANE",1
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",1
11:33,,,,,"MISS 3PTR by MCDONOUGH,SEAN",,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:28,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:28,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",1
11:28,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
11:28,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
11:28,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
11:28,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
11:28,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",1
11:27,,,,,"TURNOVER  by BARRY,MICHAEL",,,"TURNOVER  by BARRY,MICHAEL",1
11:26,"STEAL  by DAY,JUSTIN",,,,,,,"STEAL  by DAY,JUSTIN",1
11:18,"MISS 3PTR by DAY,JUSTIN",,,,,,,"MISS 3PTR by DAY,JUSTIN",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
11:04,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
10:44,"MISS 3PTR by FOSTER,LANE",,,,,,,"MISS 3PTR by FOSTER,LANE",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
10:24,,,,,"MISS 3PTR by GARWOOD,MACKIE",,,"MISS 3PTR by GARWOOD,MACKIE",1
--,,,,,"REBOUND OFF by BARRY,MICHAEL",,,"REBOUND OFF by BARRY,MICHAEL",1
10:04,,13,,20 (+7),"GOOD LAYUP by BARRY,MICHAEL(in the paint)",SEWANEE 13-20 (+7),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",1
09:48,"MISS JUMPER by DAY,JUSTIN",,,,,,,"MISS JUMPER by DAY,JUSTIN",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
09:32,,13,,23 (+10),"GOOD 3PTR by MCDONOUGH,SEAN",SEWANEE 13-23 (+10),,"GOOD 3PTR by MCDONOUGH,SEAN",1
--,,,,,"ASSIST  by WARLICK,JORDAN",,,"ASSIST  by WARLICK,JORDAN",1
09:03,"GOOD JUMPER by SONE,CARLOS(in the paint)",15,,23 (+8),,OUM 15-23 (+8),,"GOOD JUMPER by SONE,CARLOS(in the paint)",1
09:03,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",1
09:03,"MISS FT by SONE,CARLOS",,,,,,,"MISS FT by SONE,CARLOS",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
09:03,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
09:03,"SUB IN by CHAMBERS,DIMETRI",,,,,,,"SUB IN by CHAMBERS,DIMETRI",1
09:03,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",1
09:03,"SUB OUT by ETIWE,TOJU",,,,,,,"SUB OUT by ETIWE,TOJU",1
09:03,"SUB OUT by KRIVITZKIN,TYLER",,,,,,,"SUB OUT by KRIVITZKIN,TYLER",1
09:03,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
08:48,,,,,"MISS 3PTR by THOMAS,ADRIAN",,,"MISS 3PTR by THOMAS,ADRIAN",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
08:38,"GOOD 3PTR by JENEI,RYAN",18,,23 (+5),,OUM 18-23 (+5),,"GOOD 3PTR by JENEI,RYAN",1
--,"ASSIST  by DAY,JUSTIN",,,,,,,"ASSIST  by DAY,JUSTIN",1
08:23,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",1
08:23,"BLOCK  by CHAMBERS,DIMETRI",,,,,,,"BLOCK  by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
08:16,"GOOD 3PTR by DAY,JUSTIN(fastbreak)",21,,23 (+2),,OUM 21-23 (+2),,"GOOD 3PTR by DAY,JUSTIN(fastbreak)",1
--,"ASSIST  by CHAMBERS,DIMETRI",,,,,,,"ASSIST  by CHAMBERS,DIMETRI",1
07:58,,,,,"MISS 3PTR by GARWOOD,MACKIE",,,"MISS 3PTR by GARWOOD,MACKIE",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
07:44,"MISS 3PTR by CAMMON,JOSH",,,,,,,"MISS 3PTR by CAMMON,JOSH",1
--,,,,,"REBOUND DEF by MCDONOUGH,SEAN",,,"REBOUND DEF by MCDONOUGH,SEAN",1
07:19,,21,,25 (+4),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 21-25 (+4),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by WARLICK,JORDAN",,,"ASSIST  by WARLICK,JORDAN",1
07:06,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by MCDONOUGH,SEAN",,,"REBOUND DEF by MCDONOUGH,SEAN",1
06:52,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",1
06:47,"TURNOVER  by CAMMON,JOSH",,,,,,,"TURNOVER  by CAMMON,JOSH",1
06:45,,,,,"STEAL  by THOMAS,ADRIAN",,,"STEAL  by THOMAS,ADRIAN",1
06:44,,21,,27 (+6),"GOOD LAYUP by THOMAS,ADRIAN(fastbreak)(in the paint)",SEWANEE 21-27 (+6),,"GOOD LAYUP by THOMAS,ADRIAN(fastbreak)(in the paint)",1
06:23,"TURNOVER  by JENEI,RYAN",,,,,,,"TURNOVER  by JENEI,RYAN",1
06:23,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:23,"SUB IN by GULLEY,TREVOR",,,,,,,"SUB IN by GULLEY,TREVOR",1
06:23,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
06:23,"SUB OUT by DAY,JUSTIN",,,,,,,"SUB OUT by DAY,JUSTIN",1
06:23,"SUB OUT by SONE,CARLOS",,,,,,,"SUB OUT by SONE,CARLOS",1
06:23,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
06:23,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",1
06:23,,,,,"SUB IN by STARR,RYAN",,,"SUB IN by STARR,RYAN",1
06:23,,,,,"SUB OUT by GARWOOD,MACKIE",,,"SUB OUT by GARWOOD,MACKIE",1
06:23,,,,,"SUB OUT by MCDONOUGH,SEAN",,,"SUB OUT by MCDONOUGH,SEAN",1
06:23,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
06:08,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND OFF by WARLICK,JORDAN",,,"REBOUND OFF by WARLICK,JORDAN",1
05:48,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND OFF by WARLICK,JORDAN",,,"REBOUND OFF by WARLICK,JORDAN",1
05:38,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
05:28,"GOOD LAYUP by CAMMON,JOSH(in the paint)",23,,27 (+4),,OUM 23-27 (+4),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
05:28,,,,,"FOUL  by HOLLOWAY,JACK",,,"FOUL  by HOLLOWAY,JACK",1
05:28,"GOOD FT by CAMMON,JOSH",24,,27 (+3),,OUM 24-27 (+3),,"GOOD FT by CAMMON,JOSH",1
05:15,,,,,"MISS JUMPER by KNOX,JOEY",,,"MISS JUMPER by KNOX,JOEY",1
--,,,,,"REBOUND OFF by KNOX,JOEY",,,"REBOUND OFF by KNOX,JOEY",1
05:00,,,,,"MISS 3PTR by STARR,RYAN",,,"MISS 3PTR by STARR,RYAN",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
04:50,"MISS JUMPER by CAMMON,JOSH",,,,,,,"MISS JUMPER by CAMMON,JOSH",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
04:32,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",1
04:32,,24,,28 (+4),"GOOD FT by WARLICK,JORDAN",SEWANEE 24-28 (+4),,"GOOD FT by WARLICK,JORDAN",1
04:32,,,,,"MISS FT by WARLICK,JORDAN",,,"MISS FT by WARLICK,JORDAN",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
04:32,"SUB IN by ETIWE,TOJU",,,,,,,"SUB IN by ETIWE,TOJU",1
04:32,"SUB IN by SONE,CARLOS",,,,,,,"SUB IN by SONE,CARLOS",1
04:32,"SUB OUT by GULLEY,TREVOR",,,,,,,"SUB OUT by GULLEY,TREVOR",1
04:32,"SUB OUT by CAMMON,JOSH",,,,,,,"SUB OUT by CAMMON,JOSH",1
04:32,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
04:32,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
04:17,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",26,,28 (+2),,OUM 26-28 (+2),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",1
--,"ASSIST  by JENEI,RYAN",,,,,,,"ASSIST  by JENEI,RYAN",1
04:00,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",1
--,,,,,"REBOUND OFF by THOMAS,ADRIAN",,,"REBOUND OFF by THOMAS,ADRIAN",1
03:56,,26,,30 (+4),"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",SEWANEE 26-30 (+4),,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",1
03:35,"GOOD LAYUP by FOSTER,LANE(in the paint)",28,,30 (+2),,OUM 28-30 (+2),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
03:18,,,,,"MISS LAYUP by KNOX,JOEY",,,"MISS LAYUP by KNOX,JOEY",1
--,"REBOUND DEF by CHAMBERS,DIMETRI",,,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",1
03:08,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",30,,30,,OUM 30-30 (0),,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",1
02:49,,30,,33 (+3),"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 30-33 (+3),,"GOOD 3PTR by WARLICK,JORDAN",1
--,,,,,"ASSIST  by KNOX,JOEY",,,"ASSIST  by KNOX,JOEY",1
