Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,TREVECCA,Game Score,Team Indicator,Play,Period
09:56,,16,,17 (+1),"GOOD LAYUP by STARLING,IMANI(in the paint)",TREVECCA 16-17 (-1),,"GOOD LAYUP by STARLING,IMANI(in the paint)",1
09:55,"FOUL  by HEITZENRATER,ANDREW",,,,,,,"FOUL  by HEITZENRATER,ANDREW",1
09:53,,16,,18 (+2),"GOOD FT by STARLING,IMANI",TREVECCA 16-18 (-2),,"GOOD FT by STARLING,IMANI",1
09:53,,,,,"SUB IN by SMITH,REED",,,"SUB IN by SMITH,REED",1
09:53,,,,,"SUB IN by THARPE,JAYLON",,,"SUB IN by THARPE,JAYLON",1
09:53,,,,,"SUB OUT by HEADRICK,JUSTIN",,,"SUB OUT by HEADRICK,JUSTIN",1
09:53,,,,,"SUB OUT by STARLING,IMANI",,,"SUB OUT by STARLING,IMANI",1
09:30,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
09:30,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",1
09:30,"SUB OUT by HEITZENRATER,ANDREW",,,,,,,"SUB OUT by HEITZENRATER,ANDREW",1
09:30,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
09:26,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by SMITH,REED",,,"REBOUND DEF by SMITH,REED",1
09:03,,,,,"TURNOVER  by THARPE,JAYLON",,,"TURNOVER  by THARPE,JAYLON",1
09:03,,,,,"SUB IN by HARPER,NATHAN",,,"SUB IN by HARPER,NATHAN",1
09:03,,,,,"SUB OUT by WILLS,AUSTIN",,,"SUB OUT by WILLS,AUSTIN",1
08:46,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by SMITH,REED",,,"REBOUND DEF by SMITH,REED",1
08:32,,,,,"MISS 3PTR by RAGSDALE,EVAN",,,"MISS 3PTR by RAGSDALE,EVAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:29,,,,,"FOUL  by WEBB,ADAM",,,"FOUL  by WEBB,ADAM",1
08:29,,,,,"SUB IN by RAGSDALE,EVAN",,,"SUB IN by RAGSDALE,EVAN",1
08:29,,,,,"SUB IN by HERBERT,CJ",,,"SUB IN by HERBERT,CJ",1
08:29,,,,,"SUB OUT by WEBB,ADAM",,,"SUB OUT by WEBB,ADAM",1
08:29,,,,,"SUB OUT by THARPE,JAYLON",,,"SUB OUT by THARPE,JAYLON",1
08:21,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",1
--,,,,,"REBOUND DEF by HARPER,NATHAN",,,"REBOUND DEF by HARPER,NATHAN",1
08:16,,,,,"TURNOVER  by HARPER,NATHAN",,,"TURNOVER  by HARPER,NATHAN",1
08:05,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by MCKAY,GABRIEL",,,"REBOUND DEF by MCKAY,GABRIEL",1
07:43,,,,,"TURNOVER  by SMITH,REED",,,"TURNOVER  by SMITH,REED",1
07:42,"STEAL  by BARRY,MICHAEL",,,,,,,"STEAL  by BARRY,MICHAEL",1
07:39,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
07:35,,,,,"STEAL  by MCKAY,GABRIEL",,,"STEAL  by MCKAY,GABRIEL",1
07:32,,,,,"MISS 3PTR by RAGSDALE,EVAN",,,"MISS 3PTR by RAGSDALE,EVAN",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
06:59,,,,,"FOUL  by HARPER,NATHAN",,,"FOUL  by HARPER,NATHAN",1
06:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:59,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
06:59,"SUB IN by GARWOOD,MACKIE",,,,,,,"SUB IN by GARWOOD,MACKIE",1
06:59,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
06:59,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
06:59,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
06:59,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
06:42,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",1
06:42,"TURNOVER  by KNOX,JOEY",,,,,,,"TURNOVER  by KNOX,JOEY",1
06:33,"FOUL  by CRUMLY,JONNY",,,,,,,"FOUL  by CRUMLY,JONNY",1
06:33,,16,,19 (+3),"GOOD FT by SMITH,REED",TREVECCA 16-19 (-3),,"GOOD FT by SMITH,REED",1
06:33,,16,,20 (+4),"GOOD FT by SMITH,REED",TREVECCA 16-20 (-4),,"GOOD FT by SMITH,REED",1
06:15,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
05:49,,16,,22 (+6),"GOOD JUMPER by STARLING,IMANI",TREVECCA 16-22 (-6),,"GOOD JUMPER by STARLING,IMANI",1
05:47,"GOOD JUMPER by KNOX,JOEY",18,,22 (+4),,SEWANEE 18-22 (-4),,"GOOD JUMPER by KNOX,JOEY",1
05:22,,,,,"MISS JUMPER by STARLING,IMANI",,,"MISS JUMPER by STARLING,IMANI",1
--,"REBOUND DEF by GARWOOD,MACKIE",,,,,,,"REBOUND DEF by GARWOOD,MACKIE",1
05:12,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
05:12,,,,,"SUB IN by STARLING,IMANI",,,"SUB IN by STARLING,IMANI",1
05:12,,,,,"SUB IN by HEADRICK,JUSTIN",,,"SUB IN by HEADRICK,JUSTIN",1
05:12,,,,,"SUB IN by WILLS,AUSTIN",,,"SUB IN by WILLS,AUSTIN",1
05:12,,,,,"SUB OUT by RAGSDALE,EVAN",,,"SUB OUT by RAGSDALE,EVAN",1
05:12,,,,,"SUB OUT by HERBERT,CJ",,,"SUB OUT by HERBERT,CJ",1
05:12,,,,,"SUB OUT by HARPER,NATHAN",,,"SUB OUT by HARPER,NATHAN",1
04:44,,,,,"TURNOVER  by SMITH,REED",,,"TURNOVER  by SMITH,REED",1
04:43,"STEAL  by CRUMLY,JONNY",,,,,,,"STEAL  by CRUMLY,JONNY",1
04:21,,,,,"FOUL  by SMITH,REED",,,"FOUL  by SMITH,REED",1
04:21,"MISS FT by STARR,RYAN",,,,,,,"MISS FT by STARR,RYAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:21,"MISS FT by STARR,RYAN",,,,,,,"MISS FT by STARR,RYAN",1
--,,,,,"REBOUND DEF by WILLS,AUSTIN",,,"REBOUND DEF by WILLS,AUSTIN",1
04:21,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
04:21,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
04:21,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",1
04:21,"SUB OUT by GARWOOD,MACKIE",,,,,,,"SUB OUT by GARWOOD,MACKIE",1
04:21,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
04:21,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
04:21,,,,,"SUB IN by MILLER,MICHAEL",,,"SUB IN by MILLER,MICHAEL",1
04:21,,,,,"SUB OUT by SMITH,REED",,,"SUB OUT by SMITH,REED",1
04:12,,18,,25 (+7),"GOOD 3PTR by HEADRICK,JUSTIN",TREVECCA 18-25 (-7),,"GOOD 3PTR by HEADRICK,JUSTIN",1
--,,,,,"ASSIST  by STARLING,IMANI",,,"ASSIST  by STARLING,IMANI",1
03:52,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:50,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
03:50,"SUB OUT by STARR,RYAN",,,,,,,"SUB OUT by STARR,RYAN",1
03:50,,,,,"SUB IN by HERBERT,CJ",,,"SUB IN by HERBERT,CJ",1
03:50,,,,,"SUB OUT by MILLER,MICHAEL",,,"SUB OUT by MILLER,MICHAEL",1
03:30,,,,,"MISS 3PTR by HEADRICK,JUSTIN",,,"MISS 3PTR by HEADRICK,JUSTIN",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
03:15,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",20,,25 (+5),,SEWANEE 20-25 (-5),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
03:04,,,,,"MISS JUMPER by HERBERT,CJ",,,"MISS JUMPER by HERBERT,CJ",1
--,,,,,"REBOUND OFF by HERBERT,CJ",,,"REBOUND OFF by HERBERT,CJ",1
02:42,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
02:26,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",22,,25 (+3),,SEWANEE 22-25 (-3),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",1
02:26,,22,,27 (+5),"GOOD LAYUP by STARLING,IMANI(in the paint)",TREVECCA 22-27 (-5),,"GOOD LAYUP by STARLING,IMANI(in the paint)",1
02:26,,,,,"SUB IN by RAGSDALE,EVAN",,,"SUB IN by RAGSDALE,EVAN",1
02:26,,,,,"SUB OUT by MCKAY,GABRIEL",,,"SUB OUT by MCKAY,GABRIEL",1
01:54,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by SMITH,REED",,,"REBOUND DEF by SMITH,REED",1
01:39,,,,,"MISS 3PTR by WILLS,AUSTIN",,,"MISS 3PTR by WILLS,AUSTIN",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
01:29,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",24,,27 (+3),,SEWANEE 24-27 (-3),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by WARLICK,JORDAN",,,,,,,"ASSIST  by WARLICK,JORDAN",1
01:09,,,,,"MISS JUMPER by WILLS,AUSTIN",,,"MISS JUMPER by WILLS,AUSTIN",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
00:52,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
00:52,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",1
00:52,"SUB OUT by HEITZENRATER,ANDREW",,,,,,,"SUB OUT by HEITZENRATER,ANDREW",1
00:52,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
00:52,,,,,"SUB IN by COCKRELL,CALEB",,,"SUB IN by COCKRELL,CALEB",1
00:52,,,,,"SUB OUT by WILLS,AUSTIN",,,"SUB OUT by WILLS,AUSTIN",1
00:44,"MISS LAYUP by WARLICK,JORDAN",,,,,,,"MISS LAYUP by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by RAGSDALE,EVAN",,,"REBOUND DEF by RAGSDALE,EVAN",1
00:28,,,,,"TURNOVER  by COCKRELL,CALEB",,,"TURNOVER  by COCKRELL,CALEB",1
00:22,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
00:12,,,,,"TURNOVER  by SMITH,REED",,,"TURNOVER  by SMITH,REED",1
00:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:01,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:00,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
00:00,,,,,"BLOCK  by WEBB,ADAM",,,"BLOCK  by WEBB,ADAM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:47,,24,,29 (+5),"GOOD JUMPER by WEBB,ADAM(in the paint)",TREVECCA 24-29 (-5),,"GOOD JUMPER by WEBB,ADAM(in the paint)",2
19:21,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",2
--,,,,,"REBOUND DEF by WEBB,ADAM",,,"REBOUND DEF by WEBB,ADAM",2
19:16,,24,,31 (+7),"GOOD LAYUP by STARLING,IMANI(fastbreak)(in the paint)",TREVECCA 24-31 (-7),,"GOOD LAYUP by STARLING,IMANI(fastbreak)(in the paint)",2
19:09,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
19:07,,,,,"FOUL  by WEBB,ADAM",,,"FOUL  by WEBB,ADAM",2
19:06,,,,,"SUB IN by HEADRICK,JUSTIN",,,"SUB IN by HEADRICK,JUSTIN",2
19:06,,,,,"SUB OUT by WEBB,ADAM",,,"SUB OUT by WEBB,ADAM",2
19:02,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",26,,31 (+5),,SEWANEE 26-31 (-5),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",2
18:52,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
18:51,,,,,"TURNOVER  by STARLING,IMANI",,,"TURNOVER  by STARLING,IMANI",2
18:50,"STEAL  by WARLICK,JORDAN",,,,,,,"STEAL  by WARLICK,JORDAN",2
18:43,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",2
--,,,,,"REBOUND DEF by STARLING,IMANI",,,"REBOUND DEF by STARLING,IMANI",2
18:31,,,,,"MISS 3PTR by HEADRICK,JUSTIN",,,"MISS 3PTR by HEADRICK,JUSTIN",2
--,"REBOUND DEF by STARR,RYAN",,,,,,,"REBOUND DEF by STARR,RYAN",2
18:24,"GOOD JUMPER by KNOX,JOEY(in the paint)",28,,31 (+3),,SEWANEE 28-31 (-3),,"GOOD JUMPER by KNOX,JOEY(in the paint)",2
18:06,,,,,"MISS 3PTR by SMITH,REED",,,"MISS 3PTR by SMITH,REED",2
--,,,,,"REBOUND OFF by HEADRICK,JUSTIN",,,"REBOUND OFF by HEADRICK,JUSTIN",2
